	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)	CLUSTER	PREPROCESSED_SENTENCE
S133-PMC2396486	PMC2396486	6/2008	S133-PMC2396486	['combined with OTHER experimental findings, THE CURRENT STUDY LENDS FURTHER CREDIBILITY to the NOTION that developmental Vitamin D deficiency IMPACTS adversely on normal Brain Development[30].']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 14), ('QUESTION_ANSWERED_BY_THIS_WORK', 43), ('INCOMPLETE_EVIDENCE', 61), ('INCOMPLETE_EVIDENCE', 94), ('SUPERFICIAL_RELATIONSHIP', 141)]	5	[('CHEBI_27300', 'vitamin D', 120, 'vitamin D'), ('GO_0007420', 'brain development', 169, 'brain development'), ('UBERON_0000955', 'brain', 169, 'brain')]	0	['combined findings, developmental  adversely normal [30].']
S131-PMC2873552	PMC2873552	4/2010	S131-PMC2873552	"['[""""second, in addition to mcgrace\'s list of diseases, Animal MODEL studies and epidemiological surveys have FURTHER LINKED Vitamin D insufficiency to Cardiovascular disease and Inflammatory Bowel disease [17,30,31], as well as abnormal Brain Development [31].""""]']"	[('INCOMPLETE_EVIDENCE', 58), ('INCOMPLETE_EVIDENCE', 105), ('SUPERFICIAL_RELATIONSHIP', 113)]	3	[('NCBITaxon_33208', 'Metazoa', 51, 'animal'), ('CHEBI_27300', 'vitamin D', 120, 'vitamin D'), ('UBERON_0004535', 'cardiovascular system', 147, 'cardiovascular'), ('UBERON_0001782', 'pigmented layer of retina', 174, 'inflammatory bowel'), ('GO_0007420', 'brain development', 233, 'brain development'), ('UBERON_0000955', 'brain', 233, 'brain')]	0	"['[""""second, addition mcgrace*s list diseases, animal epidemiological linkn cardiovascular disease inflammatory bowel disease [17,30,31], abnorment [31].""""]']"
S146-PMC2889879	PMC2889879	5/2010	S146-PMC2889879	['our results of the PROTECTIVE EFFECT of fatty fish COULD IN PART be due to the content of Vitamin D. WHILE the epidemiological EVIDENCE LINKING low Prenatal Vitamin D and schizophrenia REMAINS INCONCLUSIVE, Rodent MODELS have provided COMPELLING EVIDENCE about the ROLE of Vitamin D deficiency for Brain Development like larger lateral volumes [36], subtle Memory dysfunction and altered attention processing [37] which have IMPLICATIONS for neuropsychiatric disorders.']	[('SUPERFICIAL_RELATIONSHIP', 19), ('SUPERFICIAL_RELATIONSHIP', 30), ('INCOMPLETE_EVIDENCE', 51), ('INCOMPLETE_EVIDENCE', 57), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 101), ('INCOMPLETE_EVIDENCE', 127), ('SUPERFICIAL_RELATIONSHIP', 136), ('INCOMPLETE_EVIDENCE', 185), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 193), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 214), ('INCOMPLETE_EVIDENCE', 235), ('SUPERFICIAL_RELATIONSHIP', 265), ('IMPORTANT_CONSIDERATION', 425)]	13	[('CHEBI_27300', 'vitamin D', 90, 'vitamin D'), ('GO_0007565', 'female pregnancy', 148, 'prenatal'), ('CHEBI_27300', 'vitamin D', 157, 'vitamin D'), ('NCBITaxon_33208', 'Metazoa', 207, 'rodent'), ('CHEBI_27300', 'vitamin D', 273, 'vitamin D'), ('GO_0007420', 'brain development', 298, 'brain development'), ('UBERON_0000955', 'brain', 298, 'brain'), ('GO_0007613', 'memory', 357, 'memory')]	0	['results fatty fish content . prenatal  schizophrenia inconclusive, rodent   lateral volumes [36], subtle memory dysfunction altered processing [37] neuropsychiatric disorders.']
S159-PMC2996405	PMC2996405	11/2010	S159-PMC2996405	['there is GROWING EVIDENCE that low Vitamin D levels adversely IMPACT on Brain Development [52].']	[('INCOMPLETE_EVIDENCE', 9), ('SUPERFICIAL_RELATIONSHIP', 62)]	2	[('CHEBI_27300', 'vitamin D', 35, 'vitamin D'), ('GO_0007420', 'brain development', 72, 'brain development'), ('UBERON_0000955', 'brain', 72, 'brain')]	0	[' levels adversely  [52].']
S160-PMC2996405	PMC2996405	11/2010	S160-PMC2996405	['in Mice, it HAS BEEN SUGGESTED that changes in Brain Development induced by Prenatal Vitamin D deficiency LEAD TO specific functional alterations in hippocampal Synaptic plasticity [53].']	[('INCOMPLETE_EVIDENCE', 12), ('SUPERFICIAL_RELATIONSHIP', 106)]	2	[('NCBITaxon_10088', 'Mus <genus>', 3, 'mice'), ('GO_0007420', 'brain development', 47, 'brain development'), ('UBERON_0000955', 'brain', 47, 'brain'), ('GO_0007565', 'female pregnancy', 76, 'prenatal'), ('CHEBI_27300', 'vitamin D', 85, 'vitamin D'), ('GO_0045202', 'synapse', 161, 'synaptic')]	0	['mice, changes  induced prenatal  functional alterations hippocampal synaptic plasticity [53].']
S167-PMC2996405	PMC2996405	11/2010	S167-PMC2996405	['it is THEREFORE POSSIBLE that the same Genes COULD BE Regulated by Vitamin D levels also in Neurons during Brain Development that, in turn, HAVE BEEN ASSOCIATED to schizophrenia [47].']	[('PROBABLE_UNDERSTANDING', 6), ('INCOMPLETE_EVIDENCE', 16), ('INCOMPLETE_EVIDENCE', 45), ('INCOMPLETE_EVIDENCE', 140), ('SUPERFICIAL_RELATIONSHIP', 150)]	5	[('SO_0000704', 'gene', 39, 'genes'), ('GO_0065007', 'biological regulation', 54, 'regulated'), ('CHEBI_27300', 'vitamin D', 67, 'vitamin D'), ('CL_0000540', 'neuron', 92, 'neurons'), ('GO_0007420', 'brain development', 107, 'brain development'), ('UBERON_0000955', 'brain', 107, 'brain')]	0	['genes  levels neurons  that, turn, schizophrenia [47].']
S249-PMC2996405	PMC2996405	11/2010	S249-PMC2996405	['conclusions\nwe FOUND that frequencies of Genetic variants INVOLVED in Brain Development, schizophrenia and Vitamin D-RELATED processes significantly vary with latitude.']	[('INCOMPLETE_EVIDENCE', 15), ('SUPERFICIAL_RELATIONSHIP', 58), ('SUPERFICIAL_RELATIONSHIP', 117)]	3	[('SO_0000704', 'gene', 41, 'genetic'), ('GO_0007420', 'brain development', 70, 'brain development'), ('UBERON_0000955', 'brain', 70, 'brain'), ('CHEBI_27300', 'vitamin D', 107, 'vitamin D')]	0	['conclusions\nwe frequencies genetic variants schizophrenia -related processes latitude.']
S75-PMC3039633	PMC3039633	2/2011	S75-PMC3039633	['[30]302 children (australia)1,3(at 4 yrs)stanford-binet intelligence scale strengths and difficulties questionnaireiron vs. placebo20 weeks Gestation to Birth∅ 1,317/21\n1 = Cognitive Development\n2 = Motor Development\n3 = Behavioral Development\n4 = Visual Development\n5 = auditory development\n∅ = no effect of Nutrient(s) on development\n+ = positive EFFECT of Nutrient(s) on development\n- = negative EFFECT of Nutrient(s) on development\nmvm = multivitamin-Mineral\nHchp = high calorie, high protein\nlclp = low calorie, low protein\nmvm-a = multivitamin-Mineral without Vitamin a\nmvm+a = multivitamin-Mineral with Vitamin A\nld = lower dosage\ngiven the heterogeneity of methods and outcome measures in the studies reviewed, it was NOT FEASIBLE to compare effect sizes or to perform a meta-analysis.']	[('SUPERFICIAL_RELATIONSHIP', 349), ('SUPERFICIAL_RELATIONSHIP', 399), ('DIFFICULT_TASK', 726)]	3	[('GO_0007565', 'female pregnancy', 140, 'gestation'), ('GO_0007567', 'parturition', 153, 'birth'), ('GO_0007567', 'parturition', 158, '∅'), ('GO_0050787', 'detoxification of mercury ion', 173, 'cognitive development'), ('GO_0009653', 'anatomical structure morphogenesis', 199, 'motor development'), ('GO_0007420', 'brain development', 221, 'behavioral development'), ('GO_0007506', 'gonadal mesoderm development', 248, 'visual development'), ('CHEBI_33284', 'nutrient', 309, 'nutrient'), ('CHEBI_33284', 'nutrient', 359, 'nutrient'), ('CHEBI_33284', 'nutrient', 409, 'nutrient'), ('CHEBI_46662', 'mineral', 455, 'mineral'), ('CHEBI_17883', 'hydrogen chloride', 463, 'HCHP'), ('CHEBI_46662', 'mineral', 550, 'mineral'), ('CHEBI_33229', 'vitamin (role)', 566, 'vitamin'), ('CHEBI_46662', 'mineral', 597, 'mineral'), ('CHEBI_27300', 'vitamin D', 610, 'vitamin A'), ('PR_000004370', 'asialoglycoprotein receptor 2', 618, 'A')]	0	['[30]302 children (australia)1,3(at 4 yrs)stanford-binet intelligence questionnaireiron vs. placebo20 weeks gestation birth∅ 1,317/21\n1 = cognitive development\n2 = motor development\n3 = \n4 = visual development\n5 = auditory development\n∅ = nutrient(s) development\n+ = positive nutrient(s) development\n- = nutrient(s) development\nmvm = multivitamin-mineral\nhchp = calorie, protein\nlclp = calorie, protein\nmvm-a = multivitamin-mineral vitamin a\nmvm+a = multivitamin-mineral \nld = dosage\ngiven outcome reviewed, sizes perform meta-analysis.']
S44-PMC3309463	PMC3309463	6/2011	S44-PMC3309463	['we SPECULATE that (a) developmental Vitamin D deficiency MAY underlie KEY features of the epidemiology of schizophrenia, (b) the Vitamin D deficiency during development decanalizes Brain Development and (c) schizophrenia is a behavioral phenotype ASSOCIATED with increased variance ASSOCIATED with this decanalization of Brain Development.']	[('INCOMPLETE_EVIDENCE', 3), ('INCOMPLETE_EVIDENCE', 57), ('IMPORTANT_CONSIDERATION', 70), ('SUPERFICIAL_RELATIONSHIP', 247), ('SUPERFICIAL_RELATIONSHIP', 282)]	5	[('CHEBI_27300', 'vitamin D', 36, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 129, 'vitamin D'), ('GO_0007420', 'brain development', 181, 'brain development'), ('UBERON_0000955', 'brain', 181, 'brain'), ('GO_0007420', 'brain development', 321, 'brain development'), ('UBERON_0000955', 'brain', 321, 'brain')]	0	['(a) developmental  epidemiology schizophrenia, (b)  decanalizes  (c) schizophrenia behavioral phenotype associated decanalization .']
S45-PMC3309463	PMC3309463	6/2011	S45-PMC3309463	['we SPECULATE that Prenatal Vitamin D deficiency would be one of many DIFFERENT exposures that COULD decanalize Brain Development and lead TO an increased susceptibility to schizophrenia.']	[('INCOMPLETE_EVIDENCE', 3), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 69), ('INCOMPLETE_EVIDENCE', 94), ('QUESTION_ANSWERED_BY_THIS_WORK', 138)]	4	[('GO_0007565', 'female pregnancy', 18, 'prenatal'), ('CHEBI_27300', 'vitamin D', 27, 'vitamin D'), ('GO_0007420', 'brain development', 111, 'brain development'), ('UBERON_0000955', 'brain', 111, 'brain')]	0	['prenatal  exposures decanalize  schizophrenia.']
