	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)	CLUSTER	PREPROCESSED_SENTENCE
S103-BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640	4/2010	S103-BMJ_2010_Apr_29_340_c1640	['overall, epidemiological studies SUPPORT a PROTECTIVE ROLE for Vitamin D in Autoimmune disease, PARTICULARLY in childhood and Adolescence, and Vitamin D supplementation in early Adulthood EFFECTIVELY reduces the risk of multiple sclerosis; THEREFORE, supplementation of adolescents and young Adults COULD BE effectively used for PREVENTION.6the FINDINGS HERE provide the FIRST population BASED evidence beyond month of Birth PATTERNS to INDICATE that Vitamin D supplementation for the PREVENTION of multiple sclerosis MIGHT also NEED to be CONSIDERED during in utero development.14they are CONSISTENT with a multi-hit causal cascade for multiple sclerosis, with PUTATIVE adverse environmental FACTORS, such as low Vitamin D concentrations, acting at more than one stage of Life.53\n\nwhat is already known on this topic\nin the northern hemisphere, there are more cases of multiple sclerosis in People Born in may and fewer in those Born in november\nmaternal exposure to ambient ultraviolet radiation in Pregnancy can be used as an instrumental variable for Vitamin D status during Pregnancy\nlow Vitamin D concentrations HAVE BEEN ASSOCIATED with a higher risk of multiple sclerosis\n\nwhat THIS STUDY adds\nin australia there is a reciprocal PATTERN of month of Birth and risk of multiple sclerosis, with a higher risk for those Born in november-december compared with may-june\nthis PATTERN was accounted FOR by maternal exposure to ambient ultraviolet radiation in the first trimester\nlow maternal exposure to Ultraviolet Radiation in the first trimester was inversely RELATED to risk of multiple sclerosis in the offspring after adjustment for either month of Birth or place of Birth\n\npubmed central:']	[('INCOMPLETE_EVIDENCE', 33), ('SUPERFICIAL_RELATIONSHIP', 43), ('SUPERFICIAL_RELATIONSHIP', 54), ('IMPORTANT_CONSIDERATION', 96), ('IMPORTANT_CONSIDERATION', 188), ('PROBABLE_UNDERSTANDING', 240), ('INCOMPLETE_EVIDENCE', 299), ('SUPERFICIAL_RELATIONSHIP', 329), ('INCOMPLETE_EVIDENCE', 345), ('QUESTION_ANSWERED_BY_THIS_WORK', 354), ('INCOMPLETE_EVIDENCE', 371), ('QUESTION_ANSWERED_BY_THIS_WORK', 388), ('SUPERFICIAL_RELATIONSHIP', 425), ('INCOMPLETE_EVIDENCE', 437), ('SUPERFICIAL_RELATIONSHIP', 485), ('INCOMPLETE_EVIDENCE', 518), ('FUTURE_WORK', 529), ('IMPORTANT_CONSIDERATION', 529), ('FUTURE_WORK', 540), ('IMPORTANT_CONSIDERATION', 540), ('INCOMPLETE_EVIDENCE', 590), ('SUPERFICIAL_RELATIONSHIP', 590), ('PROBABLE_UNDERSTANDING', 662), ('SUPERFICIAL_RELATIONSHIP', 693), ('INCOMPLETE_EVIDENCE', 1118), ('SUPERFICIAL_RELATIONSHIP', 1128), ('QUESTION_ANSWERED_BY_THIS_WORK', 1186), ('SUPERFICIAL_RELATIONSHIP', 1237), ('SUPERFICIAL_RELATIONSHIP', 1378), ('QUESTION_ANSWERED_BY_THIS_WORK', 1400), ('SUPERFICIAL_RELATIONSHIP', 1565)]	31	[('CHEBI_27300', 'vitamin D', 63, 'vitamin D'), ('UBERON_0001442', 'skeleton of manus', 76, 'autoimmune'), ('GO_0048848', 'neurohypophysis morphogenesis', 126, 'adolescence'), ('CHEBI_27300', 'vitamin D', 143, 'vitamin D'), ('UBERON_0000113', 'post-juvenile adult stage', 178, 'adulthood'), ('UBERON_0007023', 'adult organism', 292, 'adults'), ('GO_0007567', 'parturition', 419, 'birth'), ('CHEBI_27300', 'vitamin D', 451, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 714, 'vitamin D'), ('UBERON_0000104', 'life cycle', 773, 'life'), ('NCBITaxon_10088', 'Mus <genus>', 892, 'people'), ('GO_0007567', 'parturition', 899, 'born'), ('GO_0007567', 'parturition', 930, 'born'), ('GO_0007565', 'female pregnancy', 1001, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 1055, 'vitamin D'), ('GO_0007565', 'female pregnancy', 1079, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 1093, 'vitamin D'), ('GO_0007567', 'parturition', 1257, 'birth'), ('GO_0007567', 'parturition', 1324, 'born'), ('CHEBI_52927', 'To-Pro-1(2+)', 1506, 'ultraviolet radiation'), ('GO_0007567', 'parturition', 1657, 'birth'), ('GO_0007567', 'parturition', 1675, 'birth')]	0	['overall, epidemiological  autoimmune disease, childhood adolescence,  supplementation adulthood reduces sclerosis; therefore, supplementation adolescents young  prevention.6the month birth  supplementation sclerosis utero development.14they multi-hit causal cascade sclerosis, environmental factors,  concentrations, life.53\n\nwhat topic\nin northern hemisphere, cases sclerosis people born born november\nmaternal exposure ambient ultraviolet radiation pregnancy  status pregnancy\nlow  concentrations higher sclerosis\n\nwhat adds\nin australia reciprocal month birth sclerosis, higher born november-december may-june\nthis maternal exposure ambient ultraviolet radiation trimester\nlow maternal exposure ultraviolet radiation trimester sclerosis offspring adjustment place birth\n\npubmed central:']
S296-PMC1448690	PMC1448690	4/2006	S296-PMC1448690	['the dietary factors INVOLVED include Eating at fast food outlets, as well as lower intake of milk, vegetables, fibre and Foods rich in Vitamin E. dietary Vitamin E was REPORTED to inhibit Ige responses to allergic stimuli in a random sample of 2633 Adults [174].']	[('SUPERFICIAL_RELATIONSHIP', 20), ('INCOMPLETE_EVIDENCE', 168)]	2	[('GO_0051318', 'G1 phase', 37, 'eating'), ('CHEBI_33290', 'food', 121, 'foods'), ('CHEBI_28384', 'vitamin K', 135, 'Vitamin E'), ('CHEBI_27300', 'vitamin D', 154, 'vitamin E'), ('GO_0007630', 'jump response', 188, 'IgE'), ('GO_0071743', 'IgE immunoglobulin complex, circulating', 188, 'IgE'), ('UBERON_0007023', 'adult organism', 249, 'adults')]	0	['dietary eating fast food outlets, intake milk, vegetables, fibre foods rich vitamin e. dietary  inhibit ige responses allergic stimuli random sample 2633  [174].']
S297-PMC1448690	PMC1448690	4/2006	S297-PMC1448690	['in a study of Adult-onset wheeze in aberdeen, intakes of Vitamin E and Plasma levels of Ascorbate (a measure of vitamin c) were inversely RELATED to Adult wheeze in the manual social class and among current smokers [175].']	[('SUPERFICIAL_RELATIONSHIP', 138)]	1	[('UBERON_0007023', 'adult organism', 14, 'adult'), ('CHEBI_27300', 'vitamin D', 57, 'vitamin E'), ('UBERON_0001969', 'blood plasma', 71, 'plasma'), ('CHEBI_22651', 'ascorbate', 88, 'ascorbate'), ('UBERON_0007023', 'adult organism', 149, 'adult')]	0	['-onset wheeze aberdeen, intakes  plasma levels ascorbate (a measure vitamin c)  wheeze manual social class among smokers [175].']
S302-PMC1448690	PMC1448690	4/2006	S302-PMC1448690	['in a separate study, the lowest intake of Vitamin E was ASSOCIATED with a fivefold increase in Adult-onset wheezy illness, while the lowest intake of vitamin c doubled the risk.']	[('SUPERFICIAL_RELATIONSHIP', 56)]	1	[('CHEBI_27300', 'vitamin D', 42, 'vitamin E'), ('UBERON_0007023', 'adult organism', 95, 'adult')]	0	['separate study, lowest intake  fivefold increase -onset wheezy illness, lowest intake vitamin c doubled risk.']
S26-PMC2290997	PMC2290997	4/2008	S26-PMC2290997	['more RECENTLY, there HAS BEEN a GROWING APPRECIATION for Vitamin D’s IMPACT on bone health in Adults.']	[('INCOMPLETE_EVIDENCE', 5), ('INCOMPLETE_EVIDENCE', 21), ('INCOMPLETE_EVIDENCE', 32), ('IMPORTANT_CONSIDERATION', 40), ('SUPERFICIAL_RELATIONSHIP', 69)]	5	[('CHEBI_27300', 'vitamin D', 57, 'vitamin D'), ('UBERON_0007023', 'adult organism', 94, 'adults')]	0	['recently, ’s bone .']
S86-PMC2290997	PMC2290997	4/2008	S86-PMC2290997	['“moreover, there is an inflammatory component to atherosclerosis, and Vascular Smooth Muscle Cells have a Vitamin D receptor and relax in the presence of 1,25(Oh)D, SUGGESTING a multitude of mechanisms by which Vitamin D MAY BE cardioprotective.”\nTO DETERMINE the POTENTIAL LINK betwen sun exposure and the PROTECTIVE effect in preventing hypertension, rolfdieter krause of the free university of berlin department of natural medicine and colleagues exposed a group of hypertensive Adults to a Tanning Bed that emitted full-spectrum uvr similar to summer sunlight.']	[('INCOMPLETE_EVIDENCE', 165), ('INCOMPLETE_EVIDENCE', 221), ('QUESTION_ANSWERED_BY_THIS_WORK', 247), ('INCOMPLETE_EVIDENCE', 264), ('SUPERFICIAL_RELATIONSHIP', 274), ('SUPERFICIAL_RELATIONSHIP', 307)]	6	[('CL_0000359', 'vascular associated smooth muscle cell', 70, 'vascular smooth muscle cells'), ('UBERON_0004237', 'blood vessel smooth muscle', 70, 'vascular smooth muscle'), ('CHEBI_27300', 'vitamin D', 106, 'vitamin D'), ('CHEBI_33010', 'chromide(1-)', 158, '(OH)D'), ('CHEBI_27300', 'vitamin D', 211, 'vitamin D'), ('UBERON_0007023', 'adult organism', 482, 'adults'), ('UBERON_0002544', 'digit', 494, 'tanning'), ('UBERON_0002531', 'paired fin bud', 502, 'bed')]	0	['“moreover, inflammatory atherosclerosis, vascular smooth muscle cells  receptor relax presence 1,25(oh)d, multitude mechanisms  cardioprotective.”\nto betwen sun exposure hypertension, rolfdieter krause university berlin department natural medicine colleagues exposed hypertensive  tanning bed emitted full-spectrum uvr summer sunlight.']
S2-PMC2396486	PMC2396486	6/2008	S2-PMC2396486	['because the Nucleus Accumbens HAS BEEN IMPLICATED in neuropsychiatric disorders, in THE CURRENT STUDY we EXAMINED protein Expression in this region in Adult Rats exposed to Dvd deficiency\n\nmethods\nfemale sprague dawley Rats were maintained on a Vitamin D deficient diet for 6 weeks, Mated and allowed to Give Birth, after which a diet containing Vitamin D was reintroduced.']	[('INCOMPLETE_EVIDENCE', 30), ('SUPERFICIAL_RELATIONSHIP', 39), ('QUESTION_ANSWERED_BY_THIS_WORK', 84), ('QUESTION_ANSWERED_BY_THIS_WORK', 105)]	4	[('UBERON_0001882', 'nucleus accumbens', 12, 'nucleus accumbens'), ('GO_0010467', 'gene expression', 122, 'expression'), ('UBERON_0007023', 'adult organism', 151, 'adult'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 157, 'rats'), ('PR_000006770', 'cytoplasmic dynein 1 heavy chain 1', 173, 'DVD'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 219, 'rats'), ('CHEBI_27300', 'vitamin D', 245, 'vitamin D'), ('GO_0007618', 'mating', 283, 'mated'), ('GO_0007631', 'feeding behavior', 304, 'give'), ('GO_0007567', 'parturition', 309, 'birth'), ('CHEBI_27300', 'vitamin D', 346, 'vitamin D')]	0	['nucleus accumbens neuropsychiatric disorders, protein expression region  rats exposed dvd deficiency\n\nmethods\nfemale sprague dawley rats  diet 6 weeks, mated allowed birth, diet containing  reintroduced.']
S29-PMC2821652	PMC2821652	2/2010	S29-PMC2821652	['DESPITE an expanding Intravascular volume during Pregnancy, maternal Vitamin D status SHOWS seasonal variation but beyond the typical FACTORS that INFLUENCE Vitamin D status in Adults (such as sunlight exposure and bmi), Vitamin D status does not fluctuate during Pregnancy and once supplemented, maternal Blood levels reach steady-state within 2 months [15].']	[('ANOMALY_CURIOUS_FINDING', 0), ('INCOMPLETE_EVIDENCE', 86), ('SUPERFICIAL_RELATIONSHIP', 134), ('SUPERFICIAL_RELATIONSHIP', 147)]	4	[('GO_0005622', 'intracellular anatomical structure', 21, 'intravascular'), ('GO_0007565', 'female pregnancy', 49, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 69, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 157, 'vitamin D'), ('UBERON_0007023', 'adult organism', 177, 'adults'), ('CHEBI_27300', 'vitamin D', 221, 'vitamin D'), ('GO_0007565', 'female pregnancy', 264, 'pregnancy'), ('UBERON_0000178', 'blood', 306, 'blood')]	0	['despite intravascular volume pregnancy, maternal  status seasonal typical  status  (such sunlight exposure bmi),  status fluctuate pregnancy supplemented, maternal blood levels steady-state 2 months [15].']
S118-PMC2872349	PMC2872349	4/2010	S118-PMC2872349	['a further example of a dynamic INTERACTION between Genetic and environmental INFLUENCES of bone mass was shown in the analysis of the Vitamin D Receptor (vdr) genotype and Adult bmd in participants of the hertfordshire cohort study.']	[('SUPERFICIAL_RELATIONSHIP', 31), ('SUPERFICIAL_RELATIONSHIP', 77)]	2	[('SO_0000704', 'gene', 51, 'genetic'), ('CHEBI_27300', 'vitamin D', 134, 'vitamin D'), ('PR_000001683', 'vasopressin V2 receptor', 134, 'vitamin D receptor'), ('UBERON_0007023', 'adult organism', 172, 'adult')]	0	['example dynamic genetic environmental bone mass  receptor (vdr) genotype  bmd participants hertfordshire study.']
S14-PMC2889879	PMC2889879	5/2010	S14-PMC2889879	['conclusion\nOUR FINDINGS RAISE a POSSIBILITY that Adult women with a high Intake of fish, Omega-3 or Omega-6 Pufa and Vitamin D have a lower rate of psychotic-like symptoms.']	[('QUESTION_ANSWERED_BY_THIS_WORK', 11), ('EXPLICIT_QUESTION', 24), ('INCOMPLETE_EVIDENCE', 32)]	3	[('UBERON_0007023', 'adult organism', 49, 'adult'), ('GO_0007631', 'feeding behavior', 73, 'intake'), ('CHEBI_79370', 'ibho#10', 89, 'omega-3'), ('CHEBI_79370', 'ibho#10', 100, 'omega-6'), ('CHEBI_8102', 'phenylmethanesulfonyl fluoride', 108, 'PUFA'), ('CHEBI_27300', 'vitamin D', 117, 'vitamin D')]	0	['conclusion\nour  women intake fish, omega-3 omega-6 pufa  rate psychotic-like symptoms.']
