OBO_ID (LABEL):	CHEBI_28934 (vitamin D2)

IGNORANCE CATEGORY:	incomplete_evidence

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC3257641	3/2010	S13-PMC3257641	['dietary Vitamin D MAY BE in the form of Vitamin D2(Ergocalciferol), derived from Plants, OR Vitamin D3, sourced from fatty fish such as salmon, Sardines and mackerel and, to a certain extent, Egg Yolks [3].']	[('INCOMPLETE_EVIDENCE', 18), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 89)]	2	[('CHEBI_27300', 'vitamin D', 8, 'vitamin D'), ('CHEBI_28934', 'vitamin D2', 40, 'vitamin D2'), ('PR_000017299', 'VIP peptides', 40, 'vitamin D2'), ('CHEBI_4910', 'etomidate', 51, 'ergocalciferol'), ('NCBITaxon_10088', 'Mus <genus>', 81, 'plants'), ('CHEBI_33279', 'vitamin D5', 92, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 92, 'vitamin D3'), ('UBERON_2000442', 'supraneural bone', 144, 'sardines'), ('UBERON_0005079', 'eggshell', 192, 'egg yolks')]
PMC3672018	5/2013	S23-PMC3672018	['Animal Tissues consumed as Food provide additional sources of this hormone-like vitamin, WHILE Plant foods MAY provide the less potent form of Vitamin D: Ergocalciferol (Vitamin D2) [7].']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 89), ('INCOMPLETE_EVIDENCE', 107)]	2	[('NCBITaxon_33208', 'Metazoa', 0, 'Animal'), ('UBERON_0000479', 'tissue', 7, 'tissues'), ('CHEBI_33290', 'food', 27, 'food'), ('NCBITaxon_33208', 'Metazoa', 95, 'plant'), ('CHEBI_27300', 'vitamin D', 143, 'vitamin D'), ('CHEBI_4910', 'etomidate', 154, 'ergocalciferol'), ('CHEBI_28934', 'vitamin D2', 170, 'vitamin D2'), ('PR_000017299', 'VIP peptides', 170, 'vitamin D2')]
PMC4113768	7/2014	S1485-PMC4113768	['dietary Vitamin D2—IS it a POTENTIALLY under-estimated contributor to Vitamin D nutriture at a population level?']	[('EXPLICIT_QUESTION', 19), ('INCOMPLETE_EVIDENCE', 27), ('EXPLICIT_QUESTION', 111)]	3	[('CHEBI_28934', 'vitamin D2', 8, 'Vitamin D2'), ('PR_000017279', 'testis-specific basic protein Y 1', 8, 'Vitamin D2'), ('CHEBI_28384', 'vitamin K', 70, 'Vitamin D'), ('PR_000017319', 'vacuolar protein sorting-associated protein 13A', 70, 'Vitamin D')]
PMC4251419	12/2014	S147-PMC4251419	['Vitamin D2 versus Vitamin D3 versus active 1,25(Oh)2D\nthere is MIXED EVIDENCE on the DIFFERENT physiological potency of Vitamin D3Compared to d2(for example, [87,88]).']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 63), ('INCOMPLETE_EVIDENCE', 63), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 85)]	3	[('CHEBI_28934', 'vitamin D2', 0, 'Vitamin D2'), ('PR_000017279', 'testis-specific basic protein Y 1', 0, 'Vitamin D2'), ('CHEBI_33279', 'vitamin D5', 18, 'vitamin D3'), ('PR_000017299', 'VIP peptides', 18, 'vitamin D3'), ('CHEBI_82784', 'PVP38-Ag NP', 43, '1,25(OH)2D'), ('CHEBI_59884', 'XDP(3-)', 120, 'vitamin D3compared'), ('PR_000029959', 'smad9 isoform 3 (human)', 120, 'vitamin D3compared')]
PMC4488777	5/2015	S32-PMC4488777	['for THE TIME BEING, we KNOW that Vitamin D exists in two forms: Vitamin D2(Ergocalciferol) and D3(Cholecalciferol).']	[('PROBABLE_UNDERSTANDING', 4), ('INCOMPLETE_EVIDENCE', 23)]	2	[('CHEBI_27300', 'vitamin D', 33, 'vitamin D'), ('CHEBI_28934', 'vitamin D2', 64, 'vitamin D2'), ('PR_000017299', 'VIP peptides', 64, 'vitamin D2'), ('CHEBI_4910', 'etomidate', 75, 'ergocalciferol'), ('PR_000001177', 'D(2) dopamine receptor', 95, 'D3'), ('CHEBI_52550', 'theopalauamide', 98, 'cholecalciferol')]
PMC4600246	10/2015	S4-PMC4600246	['introduction\nVitamin K is a fat-soluble Vitamin, IMPORTANT for the function of numerous proteins within the body, such as the Coagulation factors (ii, vii, Ix, x and protein c and protein s), Osteocalcin (a bone-Forming Protein) and Matrix-Gla Protein (Mgp) (an anticalcification protein), to name a few.1–3vitamin K exists naturally as Vitamin K1(Phylloquinone) and Vitamin K2(Menaquinone, mk-4 through mk-10).2–5vitamin K1Is mainly found in green leafy vegetables as well as olive oil and soyabean oil, whereas Vitamin K2(Menaquinone) is found in small amounts in Chicken, butter, Egg Yolks, cheese and fermented soyabeans (BETTER KNOWN as natto).26–9\nVitamin K1And Vitamin K2Are REQUIRED for the γ-glutamyl carboxylation of all Vitamin K-dependent proteins.2DESPITE the fact that Mammalian bacterial Intestinal flora are able to produce Vitamin K2, the amount produced IS THOUGHT TO be negligible.2the adequate intake (ai) for Vitamin K HAS BEEN PROPOSED to be 90\u2005µg/day for women and 120\u2005µg/day for men.210HOWEVER, it HAS BEEN SPECULATED that the ai for Vitamin K (90–120\u2005µg/day) is not sufficient to induce complete carboxylation of all Vitamin K-dependent proteins.21112\n\nvitamin K deficiency\nthe measurement and treatment of Vitamin K deficiency based on Blood tests is not perfect.']	[('IMPORTANT_CONSIDERATION', 49), ('INCOMPLETE_EVIDENCE', 626), ('IMPORTANT_CONSIDERATION', 682), ('ANOMALY_CURIOUS_FINDING', 760), ('INCOMPLETE_EVIDENCE', 872), ('INCOMPLETE_EVIDENCE', 875), ('INCOMPLETE_EVIDENCE', 940), ('INCOMPLETE_EVIDENCE', 949), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1007), ('INCOMPLETE_EVIDENCE', 1022), ('INCOMPLETE_EVIDENCE', 1031)]	11	[('CHEBI_28384', 'vitamin K', 13, 'Vitamin K'), ('CHEBI_33229', 'vitamin (role)', 40, 'vitamin'), ('GO_0050817', 'coagulation', 126, 'coagulation'), ('PR_000008875', 'islet amyloid polypeptide', 156, 'IX'), ('PR_000011634', 'oxidized low-density lipoprotein receptor 1', 192, 'osteocalcin'), ('PR_000004759', 'Bloom syndrome protein', 211, '-forming protein'), ('GO_0031012', 'extracellular matrix', 233, 'matrix'), ('PR_000010430', 'MAP kinase-interacting serine/threonine-protein kinase 2', 233, 'matrix-Gla protein'), ('PR_000010430', 'MAP kinase-interacting serine/threonine-protein kinase 2', 253, 'MGP'), ('CHEBI_52071', 'dextran', 315, 'K'), ('CHEBI_33229', 'vitamin (role)', 337, 'vitamin'), ('PR_000004483', 'V-type proton ATPase subunit C 1', 337, 'vitamin K1'), ('CHEBI_26124', 'phytosteroid', 348, 'phylloquinone'), ('CHEBI_28934', 'vitamin D2', 367, 'vitamin K2'), ('PR_000017299', 'VIP peptides', 367, 'vitamin K2'), ('CHEBI_18154', 'polysaccharide', 378, 'menaquinone'), ('PR_000009255', 'potassium voltage-gated channel subfamily E member 1', 422, 'K1is'), ('CHEBI_28934', 'vitamin D2', 513, 'vitamin K2'), ('PR_000017299', 'VIP peptides', 513, 'vitamin K2'), ('CHEBI_18154', 'polysaccharide', 524, 'menaquinone'), ('NCBITaxon_33208', 'Metazoa', 566, 'chicken'), ('UBERON_0005079', 'eggshell', 583, 'egg yolks'), ('CHEBI_33229', 'vitamin (role)', 654, 'Vitamin'), ('PR_000017319', 'vacuolar protein sorting-associated protein 13A', 654, 'Vitamin K1and'), ('PR_000017209', 'utrophin', 668, 'vitamin K2are'), ('CHEBI_27300', 'vitamin D', 731, 'vitamin K'), ('NCBITaxon_40674', 'Mammalia', 783, 'mammalian'), ('UBERON_0000160', 'intestine', 803, 'intestinal'), ('CHEBI_28934', 'vitamin D2', 840, 'vitamin K2'), ('PR_000017299', 'VIP peptides', 840, 'vitamin K2'), ('CHEBI_27300', 'vitamin D', 930, 'vitamin K'), ('CHEBI_27300', 'vitamin D', 1058, 'vitamin K'), ('CHEBI_27300', 'vitamin D', 1142, 'vitamin K'), ('CHEBI_52071', 'dextran', 1186, 'K'), ('CHEBI_27300', 'vitamin D', 1232, 'vitamin K'), ('UBERON_0000178', 'blood', 1262, 'blood')]
PMC4600246	10/2015	S15-PMC4600246	['Vitamin K and vascular calcifications\nCoronary Artery calcium (cac) HAS BEEN SHOWN to have increasing prevalence as Kidney function declines.3indeed, cac prevalence HAS BEEN reported in 13% of ‘healthy’ patients without Renal disease,2140% of patients with chronic Kidney disease patients not on dialysis,2157% of patients starting dialysis22and 83% of patients on long-term dialysis.23diets lacking Vitamin K can PRECIPITATE the development of Vitamin K deficiency in as little as 7\u2005days.24additionally, subclinical Vitamin K deficiency is not UNCOMMON, especially in patients receiving warfarin.25cross-sectional and cohort data HAVE SHOWN a lower risk of Coronary Heart disease (chd), chd mortality, all-cause mortality and SEVERE Aortic calcifications with higher Vitamin K2(Menaquinone) intake526(box 1).']	[('INCOMPLETE_EVIDENCE', 68), ('INCOMPLETE_EVIDENCE', 165), ('SUPERFICIAL_RELATIONSHIP', 414), ('INCOMPLETE_EVIDENCE', 545), ('INCOMPLETE_EVIDENCE', 631), ('IMPORTANT_CONSIDERATION', 727)]	6	[('CHEBI_28384', 'vitamin K', 0, 'Vitamin K'), ('UBERON_0001621', 'coronary artery', 38, 'Coronary artery'), ('UBERON_0002113', 'kidney', 116, 'kidney'), ('UBERON_0002113', 'kidney', 220, 'renal'), ('UBERON_0002113', 'kidney', 265, 'kidney'), ('CHEBI_27300', 'vitamin D', 400, 'vitamin K'), ('CHEBI_27300', 'vitamin D', 445, 'vitamin K'), ('CHEBI_27300', 'vitamin D', 517, 'vitamin K'), ('UBERON_0004151', 'cardiac chamber', 658, 'coronary heart'), ('UBERON_0000947', 'aorta', 734, 'aortic'), ('CHEBI_28934', 'vitamin D2', 768, 'vitamin K2'), ('PR_000009450', 'keratin, type II cytoskeletal 1', 776, 'K2'), ('CHEBI_18154', 'polysaccharide', 779, 'menaquinone')]
PMC4600246	10/2015	S16-PMC4600246	['this was NOT SHOWN with vitamin k1intake (Phylloquinone, the major dietary source of Vitamin K.2627thus, dietary vitamin k1intake, without Vitamin K2, MAY not be sufficient to suppress Arterial calcifications and/or reduce RISK for subsequent Cardiovascular events and death.']	[('INCOMPLETE_EVIDENCE', 9), ('INCOMPLETE_EVIDENCE', 151), ('IMPORTANT_CONSIDERATION', 223)]	3	[('CHEBI_26124', 'phytosteroid', 42, 'phylloquinone'), ('CHEBI_27300', 'vitamin D', 85, 'vitamin K'), ('CHEBI_28934', 'vitamin D2', 139, 'vitamin K2'), ('UBERON_0001637', 'artery', 185, 'arterial'), ('UBERON_0004535', 'cardiovascular system', 243, 'cardiovascular')]
PMC4600246	10/2015	S17-PMC4600246	['the Menaquinone form of Vitamin K (ie, Vitamin K2) HAS BEEN PRESUMED to be more effective than Vitamin K1At preventing and reversing Arterial calcifications.']	[('INCOMPLETE_EVIDENCE', 51), ('INCOMPLETE_EVIDENCE', 60), ('PROBABLE_UNDERSTANDING', 60)]	3	[('CHEBI_18154', 'polysaccharide', 4, 'menaquinone'), ('CHEBI_27300', 'vitamin D', 24, 'vitamin K'), ('CHEBI_28934', 'vitamin D2', 39, 'vitamin K2'), ('PR_000017299', 'VIP peptides', 39, 'vitamin K2'), ('CHEBI_83630', 'essential oil', 95, 'vitamin K1at'), ('PR_000009486', 'keratin, type II cytoskeletal 71', 103, 'K1at'), ('UBERON_0001637', 'artery', 133, 'arterial')]
PMC4600246	10/2015	S20-PMC4600246	['a recent meta-analysis HAS SHOWN that Vitamin K2(45\u2005mg/day) significantly reduces hip (77% reduction), vertebral (60% reduction) and all non-vertebral fractures (81% reduction).20\ncancer (especially Liver cancer)\nMAY help to prevent Liver cancer and death in patients with Liver cirrhosis and hepatocellular carcinoma (hcc)54–61\ntrial evidence\nfive randomised controlled trials tested Vitamin K2(45 or 90\u2005mg/day) in patients with hcc.']	[('INCOMPLETE_EVIDENCE', 23), ('INCOMPLETE_EVIDENCE', 213)]	2	[('CHEBI_28934', 'vitamin D2', 38, 'vitamin K2'), ('PR_000017299', 'VIP peptides', 38, 'vitamin K2'), ('UBERON_0002107', 'liver', 199, 'liver'), ('UBERON_0002107', 'liver', 233, 'liver'), ('UBERON_0002107', 'liver', 273, 'liver'), ('CHEBI_28934', 'vitamin D2', 385, 'vitamin K2'), ('PR_000009450', 'keratin, type II cytoskeletal 1', 393, 'K2')]
