OBO_ID (LABEL):	CHEBI_27300 (vitamin D)

IGNORANCE CATEGORY:	difficult_task

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC1533075	6/1998	S9-PMC1533075	['mothers also took individual Micronutrient supplements (e.g., Vitamin C tablets), but most mothers who took these also took multivitamins, making it IMPOSSIBLE to determine POTENTIAL independent EFFECTS of these Micronutrients.']	[('DIFFICULT_TASK', 149), ('INCOMPLETE_EVIDENCE', 173), ('SUPERFICIAL_RELATIONSHIP', 195)]	3	[('CHEBI_33962', 'mu4-sulfido-quadro-tetracopper(6+)', 29, 'micronutrient'), ('CHEBI_27300', 'vitamin D', 62, 'vitamin C'), ('PR_000004900', 'complement C3', 70, 'C'), ('CHEBI_33839', 'macromolecule', 212, 'micronutrients')]
PMC2582131	11/2008	S125-PMC2582131	['intervention studies[14],[40]–[44]assessing the EFFECT of Vitamin D and Calcium supplements on Glucose Metabolism among non-Pregnant Individuals have yielded MIXED results, which is AT LEAST PARTLY DUE TO VARIATIONS in the dose of supplementation and the duration of follow up.']	[('SUPERFICIAL_RELATIONSHIP', 48), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 158), ('PROBABLE_UNDERSTANDING', 182), ('INCOMPLETE_EVIDENCE', 191), ('PROBLEM_COMPLICATION', 198), ('DIFFICULT_TASK', 205)]	6	[('CHEBI_27300', 'vitamin D', 58, 'vitamin D'), ('CHEBI_22313', 'alkaline earth metal atom', 72, 'calcium'), ('CHEBI_17234', 'glucose', 95, 'glucose'), ('GO_0006006', 'glucose metabolic process', 95, 'glucose metabolism'), ('GO_0007565', 'female pregnancy', 124, 'pregnant'), ('NCBITaxon_1', 'root', 133, 'individuals')]
PMC2582131	11/2008	S126-PMC2582131	['optimizing the effective dose of Vitamin D supplement continues to be a CHALLENGE.']	[('DIFFICULT_TASK', 72)]	1	[('CHEBI_27300', 'vitamin D', 33, 'vitamin D')]
PMC2821652	2/2010	S75-PMC2821652	['THEREFORE, we were faced with the CHALLENGE of establishing novel criteria for Vitamin D supplement adherence by Serum 25(Oh)D levels; HOW we arrived at this definition is described below.']	[('PROBABLE_UNDERSTANDING', 0), ('DIFFICULT_TASK', 34), ('EXPLICIT_QUESTION', 135)]	3	[('CHEBI_27300', 'vitamin D', 79, 'vitamin D'), ('UBERON_0001977', 'blood serum', 113, 'serum'), ('CHEBI_71657', 'versiconol acetate', 119, '25(OH)D'), ('PR_000003010', 'moesin isoform 1', 121, '(OH ... D')]
PMC3257641	3/2010	S132-PMC3257641	['this is a DIFFICULT BUT IMPORTANT AREA to research [101,102,103,104], with Animal work indicting transient Prenatal Vitamin D deficiency is ASSOCIATED with subtle alterations in Learning and Memory functions in Adult Rats [105].']	[('DIFFICULT_TASK', 10), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 20), ('IMPORTANT_CONSIDERATION', 24), ('FUTURE_WORK', 34), ('SUPERFICIAL_RELATIONSHIP', 140)]	5	[('NCBITaxon_33208', 'Metazoa', 75, 'animal'), ('GO_0007565', 'female pregnancy', 107, 'prenatal'), ('CHEBI_27300', 'vitamin D', 116, 'vitamin D'), ('GO_0007612', 'learning', 178, 'learning'), ('GO_0007613', 'memory', 191, 'memory'), ('UBERON_0007023', 'adult organism', 211, 'adult'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 217, 'rats')]
BMJ_2010_Apr_29_340_c1640	4/2010	S18-BMJ_2010_Apr_29_340_c1640	['this EVIDENCE comes from both case-control and cohort studies and INDICATES that age of operation for such a PROTECTIVE EFFECT MIGHT include both childhood and early Adulthood.67891011\nexposure to ultraviolet radiation in early Life has NOT YET been formally examined but MIGHT be LINKED to excess risk of multiple sclerosis at Birth through seasonal deficiency in maternal Vitamin D concentrations.12A study of half siblings with multiple sclerosis has ALSO SHOWN that risk CAN be maternally MEDIATED.13pregnancy is a vulnerable time for Vitamin d deficiency BECAUSE of increased physiological needs and reduced maternal outdoor activity.14experimental data on Animal Fetal Development INDICATE that Cerebral White Matter is responsive to Vitamin D and that Oligodendrocytes in the Brain and Spinal Cord have Vitamin D Receptors.1516furthermore, maternal Vitamin D depletion alters Neurogenesis in the developing Rat Brain,17with subsequent altered Gene Expression in Adult Life.18a RECENT Genetic STUDY in Humans has FURTHER IMPLICATED Vitamin D as a strong environmental CANDIDATE by SHOWING direct functional INTERACTION with the major locus that determines susceptibility to multiple sclerosis.19ALTHOUGH Human EVIDENCE pertaining to fetal development HAS BEEN DIFFICULT to obtain, the body of RELATED EVIDENCE to date has led SOME to RECOMMEND Antenatal supplementation with Vitamin D to prevent multiple sclerosis.14\nAS an indicator of POSSIBLE Perinatal environmental exposures, such as ultraviolet radiation, individual studies in the northern hemisphere have examined month of Birth and risk of multiple sclerosis with VARIED results.2021222324a large RECENT pooled analysis of Births in the northern hemisphere, HOWEVER, SHOWED an excess of multiple sclerosis among People Born in may and a relative deficit among those Born in november; these results were stronger in familial cases and SUGGESTED INTERACTIONS between Genes and environment that are RELATED to climate and that MIGHT act during Gestation or shortly after Birth.12we EXAMINED month of Birth and risk of multiple sclerosis in australia.']	[('INCOMPLETE_EVIDENCE', 5), ('INCOMPLETE_EVIDENCE', 66), ('SUPERFICIAL_RELATIONSHIP', 109), ('SUPERFICIAL_RELATIONSHIP', 120), ('INCOMPLETE_EVIDENCE', 127), ('FULL_UNKNOWN', 237), ('INCOMPLETE_EVIDENCE', 272), ('SUPERFICIAL_RELATIONSHIP', 281), ('INCOMPLETE_EVIDENCE', 399), ('INCOMPLETE_EVIDENCE', 454), ('INCOMPLETE_EVIDENCE', 475), ('SUPERFICIAL_RELATIONSHIP', 493), ('PROBABLE_UNDERSTANDING', 560), ('INCOMPLETE_EVIDENCE', 687), ('INCOMPLETE_EVIDENCE', 984), ('INCOMPLETE_EVIDENCE', 1019), ('SUPERFICIAL_RELATIONSHIP', 1027), ('INCOMPLETE_EVIDENCE', 1074), ('INCOMPLETE_EVIDENCE', 1087), ('SUPERFICIAL_RELATIONSHIP', 1113), ('ANOMALY_CURIOUS_FINDING', 1199), ('ANOMALY_CURIOUS_FINDING', 1199), ('INCOMPLETE_EVIDENCE', 1216), ('INCOMPLETE_EVIDENCE', 1257), ('DIFFICULT_TASK', 1266), ('INCOMPLETE_EVIDENCE', 1299), ('SUPERFICIAL_RELATIONSHIP', 1299), ('INCOMPLETE_EVIDENCE', 1332), ('FUTURE_WORK', 1340), ('PROBABLE_UNDERSTANDING', 1424), ('INCOMPLETE_EVIDENCE', 1443), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1629), ('INCOMPLETE_EVIDENCE', 1662), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 1723), ('INCOMPLETE_EVIDENCE', 1732), ('INCOMPLETE_EVIDENCE', 1899), ('SUPERFICIAL_RELATIONSHIP', 1909), ('SUPERFICIAL_RELATIONSHIP', 1961), ('INCOMPLETE_EVIDENCE', 1989), ('QUESTION_ANSWERED_BY_THIS_WORK', 2044)]	40	[('UBERON_0000113', 'post-juvenile adult stage', 166, 'adulthood'), ('UBERON_0000104', 'life cycle', 228, 'life'), ('GO_0007567', 'parturition', 328, 'birth'), ('CHEBI_27300', 'vitamin D', 374, 'vitamin D'), ('CHEBI_33229', 'vitamin (role)', 539, 'vitamin'), ('NCBITaxon_33208', 'Metazoa', 662, 'animal'), ('GO_0002065', 'columnar/cuboidal epithelial cell differentiation', 669, 'fetal development'), ('UBERON_0002437', 'cerebral hemisphere white matter', 701, 'cerebral white matter'), ('CHEBI_27300', 'vitamin D', 740, 'vitamin D'), ('CL_0000128', 'oligodendrocyte', 759, 'oligodendrocytes'), ('UBERON_0000955', 'brain', 783, 'brain'), ('UBERON_0002240', 'spinal cord', 793, 'spinal cord'), ('CHEBI_27300', 'vitamin D', 810, 'vitamin D'), ('PR_000001708', 'sphingosine 1-phosphate receptor 3', 810, 'vitamin D receptors'), ('CHEBI_27300', 'vitamin D', 856, 'vitamin D'), ('GO_0022008', 'neurogenesis', 883, 'neurogenesis'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 914, 'rat'), ('UBERON_0000955', 'brain', 918, 'brain'), ('GO_0010467', 'gene expression', 950, 'gene expression'), ('SO_0000704', 'gene', 950, 'gene'), ('UBERON_0000113', 'post-juvenile adult stage', 969, 'adult life'), ('SO_0000704', 'gene', 991, 'genetic'), ('NCBITaxon_9606', 'Homo sapiens', 1008, 'humans'), ('CHEBI_27300', 'vitamin D', 1038, 'vitamin D'), ('NCBITaxon_9606', 'Homo sapiens', 1210, 'human'), ('GO_0007567', 'parturition', 1350, 'antenatal'), ('CHEBI_27300', 'vitamin D', 1381, 'vitamin D'), ('GO_0036268', 'swimming', 1452, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 1452, 'perinatal'), ('GO_0007567', 'parturition', 1587, 'birth'), ('GO_0007567', 'parturition', 1688, 'births'), ('NCBITaxon_10088', 'Mus <genus>', 1777, 'people'), ('GO_0007567', 'parturition', 1784, 'born'), ('GO_0007567', 'parturition', 1831, 'born'), ('SO_0000704', 'gene', 1930, 'genes'), ('GO_0007565', 'female pregnancy', 2006, 'gestation'), ('GO_0007567', 'parturition', 2033, 'birth'), ('GO_0007567', 'parturition', 2062, 'birth')]
PMC2889879	5/2010	S142-PMC2889879	['the absorption of dietary Vitamin D is GENERALLY high at all stages of Life [34], BUT Serum levels also depend on the endogenous Production Of Vitamin D due to sun exposure which is subject to seasonal VARIATIONS.']	[('PROBABLE_UNDERSTANDING', 39), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 82), ('DIFFICULT_TASK', 202)]	3	[('CHEBI_27300', 'vitamin D', 26, 'vitamin D'), ('UBERON_0000104', 'life cycle', 71, 'life'), ('UBERON_0001977', 'blood serum', 86, 'serum'), ('GO_0018240', 'protein S-linked glycosylation via cysteine', 129, 'production of vitamin D'), ('CHEBI_27300', 'vitamin D', 143, 'vitamin D')]
PMC2889879	5/2010	S143-PMC2889879	['THUS, the CORRELATION between Vitamin D intake and Serum levels MAY VARY.']	[('PROBABLE_UNDERSTANDING', 0), ('SUPERFICIAL_RELATIONSHIP', 10), ('INCOMPLETE_EVIDENCE', 64), ('DIFFICULT_TASK', 68)]	4	[('CHEBI_27300', 'vitamin D', 30, 'vitamin D'), ('UBERON_0001977', 'blood serum', 51, 'serum')]
PMC3032617	5/2010	S30-PMC3032617	['SEVERAL randomized placebo controlled STUDIES have ATTEMPTED to repeat pauling’s experience with INCONSISTENT and variable results which to date can not provide a definite conclusion around the real extent of overall health BENEFIT brought in by Vitamin C high daily intake [16-18].']	[('INCOMPLETE_EVIDENCE', 0), ('INCOMPLETE_EVIDENCE', 38), ('DIFFICULT_TASK', 51), ('INCOMPLETE_EVIDENCE', 51), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 97), ('IMPORTANT_CONSIDERATION', 224)]	6	[('CHEBI_27300', 'vitamin D', 246, 'vitamin C')]
PMC3032617	5/2010	S60-PMC3032617	['we HYPOTHESIZED to record at least 30% of women not hospitalized during Pregnancy in the control group in consideration of the fact they were supplemented regularly throughout their Pregnancy with Ferrous, Folic Acid and b-Complex for anemia prevention, also followed-up every month, ON THE OTHER SIDE at least a 50% of women not hospitalized in the group of women supplemented with Vitamin C in a 1:1 randomized ratio.']	[('INCOMPLETE_EVIDENCE', 3), ('DIFFICULT_TASK', 223), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 284)]	3	[('GO_0007565', 'female pregnancy', 72, 'pregnancy'), ('GO_0007565', 'female pregnancy', 182, 'pregnancy'), ('CHEBI_15378', 'hydron', 197, 'ferrous'), ('CHEBI_30751', 'formic acid', 206, 'folic acid'), ('CHEBI_34652', 'compactin diol lactone', 223, 'complex'), ('GO_0032991', 'protein-containing complex', 223, 'complex'), ('CHEBI_27300', 'vitamin D', 383, 'vitamin C')]
