OBO_ID (LABEL):	CHEBI_27300 (vitamin D)

IGNORANCE CATEGORY:	important_consideration

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
BMJ_2010_Apr_29_340_c1640	4/2010	S95-BMJ_2010_Apr_29_340_c1640	['maternal exposure and health of offspring\nthis report adds to other work SHOWING that maternal exposure to ambient ultraviolet radiation during Pregnancy MIGHT INFLUENCE subsequent health in the offspring.30313233in a new zealand Birth cohort, infants whose mothers were exposed to peak sunshine during the first Trimester were significantly heavier at Birth than infants whose mothers experienced trough levels of sunshine during the same trimester.30in the united kingdom, maternal ambient Ultraviolet B exposure in the third trimester HAS BEEN positively RELATED to bone Mineral density and content at age 9 in offspring.34there is now GROWING INTEREST in the ROLE of maternal Vitamin D deficiency in Pregnancy and the Development of Central Nervous System and Immune disorders, PARTICULARLY schizophrenia,33type 1 diabetes, and other disorders.35ALTHOUGH active Vitamin D3Concentrations in the mother increase substantially during Pregnancy, early fetal supplies are lower36and directly DEPENDENT on the mother.']	[('INCOMPLETE_EVIDENCE', 73), ('INCOMPLETE_EVIDENCE', 154), ('SUPERFICIAL_RELATIONSHIP', 160), ('INCOMPLETE_EVIDENCE', 538), ('SUPERFICIAL_RELATIONSHIP', 558), ('INCOMPLETE_EVIDENCE', 639), ('SUPERFICIAL_RELATIONSHIP', 663), ('IMPORTANT_CONSIDERATION', 782), ('ANOMALY_CURIOUS_FINDING', 848), ('SUPERFICIAL_RELATIONSHIP', 991)]	10	[('GO_0007565', 'female pregnancy', 144, 'pregnancy'), ('GO_0007567', 'parturition', 230, 'birth'), ('GO_0009294', 'DNA mediated transformation', 313, 'trimester'), ('GO_0007567', 'parturition', 353, 'birth'), ('CHEBI_72754', 'bisphenol AF', 492, 'ultraviolet B'), ('CHEBI_46662', 'mineral', 574, 'mineral'), ('CHEBI_27300', 'vitamin D', 680, 'vitamin D'), ('GO_0007565', 'female pregnancy', 704, 'pregnancy'), ('GO_0008289', 'lipid binding', 722, 'development'), ('GO_0022412', 'cellular process involved in reproduction in multicellular organism', 737, 'central nervous system'), ('UBERON_0001017', 'central nervous system', 737, 'central nervous system'), ('UBERON_0002405', 'immune system', 764, 'immune'), ('PR_000017350', 'serine/threonine-protein kinase VRK2', 866, 'vitamin D3concentrations'), ('GO_0007565', 'female pregnancy', 935, 'pregnancy')]
BMJ_2010_Apr_29_340_c1640	4/2010	S96-BMJ_2010_Apr_29_340_c1640	['by the time of Delivery, maternal and infant Cord Serum 25-Hydroxyvitamin d3concentrations are highly CORRELATED.37UNFORTUNATELY, much REMAINS UNKNOWN, leading to large international variations in maternal Vitamin D monitoring and supplementation during Pregnancy.353839\na maternal EFFECT operating Antenatally would also be CONSISTENT with the stronger maternal than paternal “parent of origin” EFFECT in familial multiple sclerosis.1340it HAS BEEN PREVIOUSLY PROPOSED14THAT maternal Vitamin D deficiency, a PROBLEM for SOME dark skinned women migrating to regions with low ambient ultraviolet radiation, such as the uk, MIGHT EXPLAIN the increase in incidence of disease SEEN among second generation migrants in such locations.41our FINDINGS are CONSISTENT with this EXPLANATION.']	[('SUPERFICIAL_RELATIONSHIP', 102), ('ANOMALY_CURIOUS_FINDING', 113), ('ANOMALY_CURIOUS_FINDING', 113), ('FULL_UNKNOWN', 135), ('SUPERFICIAL_RELATIONSHIP', 282), ('INCOMPLETE_EVIDENCE', 325), ('SUPERFICIAL_RELATIONSHIP', 396), ('INCOMPLETE_EVIDENCE', 441), ('INCOMPLETE_EVIDENCE', 450), ('INCOMPLETE_EVIDENCE', 461), ('IMPORTANT_CONSIDERATION', 509), ('INCOMPLETE_EVIDENCE', 521), ('INCOMPLETE_EVIDENCE', 622), ('PROBABLE_UNDERSTANDING', 628), ('INCOMPLETE_EVIDENCE', 673), ('INCOMPLETE_EVIDENCE', 735), ('INCOMPLETE_EVIDENCE', 748), ('PROBABLE_UNDERSTANDING', 769)]	18	[('GO_0007567', 'parturition', 15, 'delivery'), ('UBERON_0002240', 'spinal cord', 45, 'cord'), ('UBERON_0001977', 'blood serum', 50, 'serum'), ('CHEBI_67376', 'dihydrooroxylin A', 56, '25-hydroxyvitamin'), ('CHEBI_27300', 'vitamin D', 206, 'vitamin D'), ('GO_0007565', 'female pregnancy', 254, 'pregnancy'), ('GO_0007288', 'sperm axoneme assembly', 299, 'antenatally'), ('CHEBI_27300', 'vitamin D', 485, 'vitamin D')]
BMJ_2010_Apr_29_340_c1640	4/2010	S99-BMJ_2010_Apr_29_340_c1640	['ultraviolet radiation exposure during the first trimester would be expected to specifically INFLUENCE Vitamin D concentrations up to early in the second trimester, given that Vitamin D has a half life of one to two months.45in RECENT australian work, higher levels of ambient ultraviolet radiation were ASSOCIATED with higher Vitamin D concentrations at the population level with a lag of one and a half months.46\n\nPOSSIBLE mechanisms\nfirst trimester Vitamin D concentrations MIGHT be particularly IMPORTANT in the development of the Central Nervous System BECAUSE during Early Embryonic Development, Vitamin D receptors are Expressed in the Neuroepithelium and later in the Subventricular Zone.15myelination occurs later; EVEN in mid-Gestation (19-24 weeks) Cortical Axonal tracts are not yet myelinated,47with major myelination of several areas occurring as late as 29-39 weeks.48in addition, the in utero Development Of Immune central Tolerance occurs in the first trimester and Vitamin D has immunomodulating properties.']	[('SUPERFICIAL_RELATIONSHIP', 92), ('INCOMPLETE_EVIDENCE', 227), ('SUPERFICIAL_RELATIONSHIP', 303), ('INCOMPLETE_EVIDENCE', 415), ('INCOMPLETE_EVIDENCE', 476), ('IMPORTANT_CONSIDERATION', 498), ('PROBABLE_UNDERSTANDING', 557), ('ANOMALY_CURIOUS_FINDING', 723)]	8	[('CHEBI_27300', 'vitamin D', 102, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 175, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 326, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 451, 'vitamin D'), ('UBERON_0001017', 'central nervous system', 534, 'central nervous system'), ('UBERON_0019248', 'early embryo', 572, 'early embryonic'), ('GO_0009790', 'embryo development', 578, 'embryonic development'), ('CHEBI_27300', 'vitamin D', 601, 'vitamin D'), ('GO_0010467', 'gene expression', 625, 'expressed'), ('UBERON_0034705', 'developing neuroepithelium', 642, 'neuroepithelium'), ('UBERON_0004922', 'postnatal subventricular zone', 675, 'subventricular zone'), ('GO_0007565', 'female pregnancy', 735, 'gestation'), ('UBERON_0001851', 'cortex', 759, 'cortical'), ('GO_0030424', 'axon', 768, 'axonal'), ('GO_0034102', 'erythrocyte clearance', 908, 'development of ... tolerance'), ('UBERON_0002405', 'immune system', 923, 'immune'), ('CHEBI_27300', 'vitamin D', 982, 'vitamin D')]
BMJ_2010_Apr_29_340_c1640	4/2010	S101-BMJ_2010_Apr_29_340_c1640	['for example, Vitamin D can down-regulate Interleukin 6, an IMPORTANT mediator of the adverse EFFECT of maternal infection during Pregnancy on neural development in the fetus.505152\n\nPrenatal and Postnatal timing\nour results do not INDICATE that the POSSIBLE beneficial EFFECT of Ultraviolet radiation exposure is confined ONLY to the Prenatal period.']	[('IMPORTANT_CONSIDERATION', 59), ('SUPERFICIAL_RELATIONSHIP', 93), ('INCOMPLETE_EVIDENCE', 231), ('INCOMPLETE_EVIDENCE', 249), ('SUPERFICIAL_RELATIONSHIP', 269), ('INCOMPLETE_EVIDENCE', 322)]	6	[('CHEBI_27300', 'vitamin D', 13, 'vitamin D'), ('PR_000008988', 'interleukin-1 family member 5', 41, 'interleukin 6'), ('GO_0007565', 'female pregnancy', 129, 'pregnancy'), ('GO_0007565', 'female pregnancy', 182, 'Prenatal'), ('GO_0007567', 'parturition', 195, 'postnatal'), ('CHEBI_75275', 'tetradecyl sulfonic acid', 279, 'ultraviolet'), ('GO_0007565', 'female pregnancy', 334, 'prenatal')]
BMJ_2010_Apr_29_340_c1640	4/2010	S103-BMJ_2010_Apr_29_340_c1640	['overall, epidemiological studies SUPPORT a PROTECTIVE ROLE for Vitamin D in Autoimmune disease, PARTICULARLY in childhood and Adolescence, and Vitamin D supplementation in early Adulthood EFFECTIVELY reduces the risk of multiple sclerosis; THEREFORE, supplementation of adolescents and young Adults COULD BE effectively used for PREVENTION.6the FINDINGS HERE provide the FIRST population BASED evidence beyond month of Birth PATTERNS to INDICATE that Vitamin D supplementation for the PREVENTION of multiple sclerosis MIGHT also NEED to be CONSIDERED during in utero development.14they are CONSISTENT with a multi-hit causal cascade for multiple sclerosis, with PUTATIVE adverse environmental FACTORS, such as low Vitamin D concentrations, acting at more than one stage of Life.53\n\nwhat is already known on this topic\nin the northern hemisphere, there are more cases of multiple sclerosis in People Born in may and fewer in those Born in november\nmaternal exposure to ambient ultraviolet radiation in Pregnancy can be used as an instrumental variable for Vitamin D status during Pregnancy\nlow Vitamin D concentrations HAVE BEEN ASSOCIATED with a higher risk of multiple sclerosis\n\nwhat THIS STUDY adds\nin australia there is a reciprocal PATTERN of month of Birth and risk of multiple sclerosis, with a higher risk for those Born in november-december compared with may-june\nthis PATTERN was accounted FOR by maternal exposure to ambient ultraviolet radiation in the first trimester\nlow maternal exposure to Ultraviolet Radiation in the first trimester was inversely RELATED to risk of multiple sclerosis in the offspring after adjustment for either month of Birth or place of Birth\n\npubmed central:']	[('INCOMPLETE_EVIDENCE', 33), ('SUPERFICIAL_RELATIONSHIP', 43), ('SUPERFICIAL_RELATIONSHIP', 54), ('IMPORTANT_CONSIDERATION', 96), ('IMPORTANT_CONSIDERATION', 188), ('PROBABLE_UNDERSTANDING', 240), ('INCOMPLETE_EVIDENCE', 299), ('SUPERFICIAL_RELATIONSHIP', 329), ('INCOMPLETE_EVIDENCE', 345), ('QUESTION_ANSWERED_BY_THIS_WORK', 354), ('INCOMPLETE_EVIDENCE', 371), ('QUESTION_ANSWERED_BY_THIS_WORK', 388), ('SUPERFICIAL_RELATIONSHIP', 425), ('INCOMPLETE_EVIDENCE', 437), ('SUPERFICIAL_RELATIONSHIP', 485), ('INCOMPLETE_EVIDENCE', 518), ('FUTURE_WORK', 529), ('IMPORTANT_CONSIDERATION', 529), ('FUTURE_WORK', 540), ('IMPORTANT_CONSIDERATION', 540), ('INCOMPLETE_EVIDENCE', 590), ('SUPERFICIAL_RELATIONSHIP', 590), ('PROBABLE_UNDERSTANDING', 662), ('SUPERFICIAL_RELATIONSHIP', 693), ('INCOMPLETE_EVIDENCE', 1118), ('SUPERFICIAL_RELATIONSHIP', 1128), ('QUESTION_ANSWERED_BY_THIS_WORK', 1186), ('SUPERFICIAL_RELATIONSHIP', 1237), ('SUPERFICIAL_RELATIONSHIP', 1378), ('QUESTION_ANSWERED_BY_THIS_WORK', 1400), ('SUPERFICIAL_RELATIONSHIP', 1565)]	31	[('CHEBI_27300', 'vitamin D', 63, 'vitamin D'), ('UBERON_0001442', 'skeleton of manus', 76, 'autoimmune'), ('GO_0048848', 'neurohypophysis morphogenesis', 126, 'adolescence'), ('CHEBI_27300', 'vitamin D', 143, 'vitamin D'), ('UBERON_0000113', 'post-juvenile adult stage', 178, 'adulthood'), ('UBERON_0007023', 'adult organism', 292, 'adults'), ('GO_0007567', 'parturition', 419, 'birth'), ('CHEBI_27300', 'vitamin D', 451, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 714, 'vitamin D'), ('UBERON_0000104', 'life cycle', 773, 'life'), ('NCBITaxon_10088', 'Mus <genus>', 892, 'people'), ('GO_0007567', 'parturition', 899, 'born'), ('GO_0007567', 'parturition', 930, 'born'), ('GO_0007565', 'female pregnancy', 1001, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 1055, 'vitamin D'), ('GO_0007565', 'female pregnancy', 1079, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 1093, 'vitamin D'), ('GO_0007567', 'parturition', 1257, 'birth'), ('GO_0007567', 'parturition', 1324, 'born'), ('CHEBI_52927', 'To-Pro-1(2+)', 1506, 'ultraviolet radiation'), ('GO_0007567', 'parturition', 1657, 'birth'), ('GO_0007567', 'parturition', 1675, 'birth')]
PMC1168874	7/2005	S66-PMC1168874	['among Oestrogens and Retinol (Vitamin A), ONLY high dose treatments are CONSIDERED.']	[('INCOMPLETE_EVIDENCE', 42), ('IMPORTANT_CONSIDERATION', 72), ('INCOMPLETE_EVIDENCE', 72)]	3	[('CHEBI_50905', 'teratogenic agent', 6, 'oestrogens'), ('CHEBI_26536', 'retinoic acid', 21, 'retinol'), ('CHEBI_27300', 'vitamin D', 30, 'vitamin A')]
PMC1168874	7/2005	S67-PMC1168874	['it is WORTH MENTIONING that we had three mothers who were treated by 50,000 and one with 100,000 iu doses of Vitamin A daily in the first and second months of Gestation, and later they Delivered newborn infants without any cas25.']	[('IMPORTANT_CONSIDERATION', 6)]	1	[('CHEBI_27300', 'vitamin D', 109, 'vitamin A'), ('GO_0007565', 'female pregnancy', 159, 'gestation'), ('GO_0007567', 'parturition', 185, 'delivered')]
PMC1168874	7/2005	S68-PMC1168874	['OUR FINDING is IN AGREEMENT with the CONCLUSION of the european network of the teratology information services, whose data set DID NOT PROVIDE EVIDENCE for an INCREASED RISK of major cas ASSOCIATED with high Vitamin A intake (10,000 iu per day or more) during the Organogenetic period of Embryo26.']	[('QUESTION_ANSWERED_BY_THIS_WORK', 0), ('INCOMPLETE_EVIDENCE', 15), ('INCOMPLETE_EVIDENCE', 37), ('INCOMPLETE_EVIDENCE', 127), ('IMPORTANT_CONSIDERATION', 159), ('SUPERFICIAL_RELATIONSHIP', 187)]	6	[('CHEBI_27300', 'vitamin D', 208, 'vitamin A'), ('GO_0048513', 'animal organ development', 264, 'organogenetic'), ('UBERON_0000922', 'embryo', 288, 'embryo26')]
PMC1361787	12/2005	S11-PMC1361787	['maternal Intake of Carbohydrates and protein [3], Fatty Acids [4], and Micronutrients such as zinc [5-7], iron [2], magnesium [8-10], Calcium [11], riboflavin [4], and Vitamin C [12]MAY also have IMPORTANT EFFECTS on fetal growth and Perinatal outcomes.']	[('INCOMPLETE_EVIDENCE', 182), ('IMPORTANT_CONSIDERATION', 196), ('SUPERFICIAL_RELATIONSHIP', 206)]	3	[('GO_0007631', 'feeding behavior', 9, 'intake'), ('CHEBI_16646', 'carbohydrate', 19, 'carbohydrates'), ('CHEBI_35366', 'fatty acid', 50, 'fatty acids'), ('CHEBI_33839', 'macromolecule', 71, 'micronutrients'), ('CHEBI_22313', 'alkaline earth metal atom', 134, 'calcium'), ('CHEBI_27300', 'vitamin D', 168, 'vitamin C'), ('GO_0036268', 'swimming', 234, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 234, 'perinatal')]
PMC1544352	6/2006	S40-PMC1544352	['(2001), usa [19]survey, self completed questionnaire150 women in 1stto 3rdtrimesters (24% response rate)13% used Dietary Supplement during Pregnancy45 herbs used, most common: echinacea, Pregnancy tea**, ginger, Vitamin B6*, Vitamin C*, multivitamin with herbs, raspberry leaf studies specifically CONCERNED with nausea hollyer et al.']	[('IMPORTANT_CONSIDERATION', 298)]	1	[('CHEBI_23888', 'drug', 113, 'dietary'), ('CHEBI_16158', 'steroid sulfate', 121, 'supplement'), ('GO_0007565', 'female pregnancy', 139, 'pregnancy45'), ('GO_0007565', 'female pregnancy', 187, 'pregnancy'), ('CHEBI_33237', 'vitamin D4', 212, 'vitamin B6'), ('CHEBI_27300', 'vitamin D', 225, 'vitamin C')]
