OBO_ID (LABEL):	CHEBI_5759 (Honokiol)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2022678	10/2007	S0-PMC2022678	['determinants of Arsenic Metabolism: Blood Arsenic metabolites, Plasma Folate, Cobalamin, and Homocysteine concentrations in maternal–newborn pairs\n\nabstract\n\nbackground\nin bangladesh, tens of millions of People have been Consuming waterborne Arsenic for decades.']	N/A	N/A	[('CHEBI_85195', '9,10-epoxyoctadecanoate', 16, 'Arsenic'), ('GO_0018871', '1-aminocyclopropane-1-carboxylate metabolic process', 16, 'Arsenic Metabolism'), ('UBERON_0000178', 'blood', 36, 'Blood'), ('CHEBI_85195', '9,10-epoxyoctadecanoate', 42, 'Arsenic'), ('UBERON_0001969', 'blood plasma', 63, 'Plasma'), ('CHEBI_81245', 'Vulpecholate', 70, 'Folate'), ('CHEBI_15982', 'cob(I)alamin', 78, 'Cobalamin'), ('CHEBI_5759', 'Honokiol', 93, 'Homocysteine'), ('NCBITaxon_10088', 'Mus <genus>', 204, 'people'), ('GO_0007631', 'feeding behavior', 221, 'consuming'), ('CHEBI_27563', 'arsenic atom', 242, 'arsenic')]
PMC3360698	5/2012	S96-PMC3360698	['Plasma Folate, Cobalamin and Homocysteine\nPlasma Folate and total cobalamin from maternal and Cord Blood were analyzed by radioimmunoassay (quantaphase ii, bio-rad laboratories, richmond ca) as described previously[39].']	N/A	N/A	[('UBERON_0001969', 'blood plasma', 0, 'Plasma'), ('CHEBI_81245', 'Vulpecholate', 7, 'Folate'), ('CHEBI_15982', 'cob(I)alamin', 15, 'Cobalamin'), ('CHEBI_5759', 'Honokiol', 29, 'Homocysteine'), ('UBERON_0001969', 'blood plasma', 42, 'Plasma'), ('CHEBI_30863', '5-azaorotic acid', 49, 'folate'), ('UBERON_0002240', 'spinal cord', 94, 'cord'), ('UBERON_0000178', 'blood', 99, 'blood')]
PMC3423345	8/2012	S81-PMC3423345	['there was no significant association between the maternal Plasma free Choline and measures of Dha at 16 or 36 weeks of Gestation, and no difference in the maternal Plasma free Choline, betaine or Dimethylglycine among 36 week Gestation women taking or not taking supplemental Dha (maternal Plasma free Choline: 9.75±2.34 and 9.92±2.20 µmol/l, p\u200a=\u200a0.64; betaine: 13.0±2.61 and 13.6±2.87 µmol/l, p\u200a=\u200a0.20; Dimethylglycine: 1.37±0.57 and 1.38±0.44 µmol/l, p\u200a=\u200a0.90 for 36 week Gestation women not taking or taking supplemental Dha, respectively).10.1371/journal.pone.0043448.t001\n\ncaption (table-wrap): table 1\nPlasma Methyl Nutrients and Metabolites, Folate and Vitamin B12 at 16 weeks of Gestation1.Plasmamean±sdmedian (iqr)3choline (µmol/l)7.07±1.87 6.70 (5.78–8.03)betaine (µmol/l)13.1±3.84 12.4 (10.4–15.1)Dimethylglycine (µmol/l)1.08±0.49 1.00 (0.74–1.30)Homocysteine (µmol/l) 4.24±1.00 4.10 (2.50–4.80)Methionine (µmol/l) 20.9±5.29 20.1 (17.8–23.4)cysteine (µmol/l) 201±29.7 204 (185–221)Folate (nmol/l)36.4±8.08 35.9 (32.3–38.4)Total B12 (pmol/l) 285±119 260 (202–345)holotc (pmol/l)298.6±41.7 92.2 (71.6–118)\nsignificant skewed distributions show the median in bold, normal distributions show the mean in bold (kolmogorov-smirnov test, p<0.05).']	N/A	N/A	[('UBERON_0001969', 'blood plasma', 58, 'plasma'), ('CHEBI_15354', 'choline', 70, 'choline'), ('CHEBI_17874', 'dihydrozeatin', 94, 'DHA'), ('GO_0007565', 'female pregnancy', 119, 'gestation'), ('UBERON_0001969', 'blood plasma', 164, 'plasma'), ('CHEBI_15354', 'choline', 176, 'choline'), ('CHEBI_28212', 'deethylatrazine', 196, 'dimethylglycine'), ('GO_0007565', 'female pregnancy', 226, 'gestation'), ('CHEBI_17874', 'dihydrozeatin', 276, 'DHA'), ('UBERON_0001969', 'blood plasma', 290, 'plasma'), ('CHEBI_15354', 'choline', 302, 'choline'), ('CHEBI_28212', 'deethylatrazine', 404, 'dimethylglycine'), ('GO_0007565', 'female pregnancy', 474, 'gestation'), ('CHEBI_17874', 'dihydrozeatin', 524, 'DHA'), ('UBERON_0001969', 'blood plasma', 608, 'Plasma'), ('CHEBI_32875', 'methyl group', 615, 'methyl'), ('CHEBI_33284', 'nutrient', 622, 'nutrients'), ('CHEBI_25212', 'metabolite', 636, 'metabolites'), ('CHEBI_30863', '5-azaorotic acid', 649, 'folate'), ('CHEBI_33279', 'vitamin D5', 660, 'vitamin B12'), ('PR_000004738', 'class E basic helix-loop-helix protein 22', 668, 'B12'), ('GO_0007565', 'female pregnancy', 687, 'gestation1'), ('UBERON_0001854', 'saccule of membranous labyrinth', 698, 'PlasmaMean'), ('CHEBI_28212', 'deethylatrazine', 808, 'Dimethylglycine'), ('CHEBI_5759', 'Honokiol', 858, 'Homocysteine'), ('CHEBI_6809', 'methamphetamine', 906, 'Methionine'), ('CHEBI_81245', 'Vulpecholate', 992, 'Folate'), ('PR_000016850', 'tyrosine-protein kinase TXK', 1033, 'Total B12'), ('CHEBI_27778', 'abequose', 1039, 'B12')]
PMC3423345	8/2012	S86-PMC3423345	['Hcy: Homocysteine.']	N/A	N/A	[('CHEBI_37958', 'dye', 0, 'Hcy'), ('PR_000008443', 'huntingtin-associated protein 1', 0, 'Hcy'), ('CHEBI_5759', 'Honokiol', 5, 'Homocysteine')]
PMC3855580	10/2013	S65-PMC3855580	['Homocysteine concentrations were highest among hindu women (6.3\xa0μmol/l; muslim women: 5.6\xa0μmol/l; others: 5.6\xa0μmol/l).']	N/A	N/A	[('CHEBI_5759', 'Honokiol', 0, 'Homocysteine')]
PMC3855580	10/2013	S70-PMC3855580	['caption (table-wrap): table 1\n\ngeneral characteristics of the mothers during Pregnancy and their offspringcharacteristic n valuemother\u2003age, years65424.0 (20.0, 26.0)\u2003bmi, kg/m265423.3 (21.0, 26.0)\u2003Vitamin B12, pmol/l654163.5 (123.0, 224.0)\u2003b12 deficiency, n (%)654271 (41.4)\u2003Plasma Folate, nmol/l65435.4 (17.9, 51.2)\u2003Folate deficiency, n (%)65426 (4.0)\u2003Homocysteine, μmol/l6486.0 (5.1, 7.0)\u2003hyperhomocysteinaemia, n (%)64825 (3.9)offspring\u2003Birth\u2003\u2003Birthweight, kg6542.855 (2.575, 3.165)\u2003\u2003crown–Heel length, cm65348.7 (47.5, 50.1)\u2003\u2003Birthweight sds654−0.9 (−1.6, −0.3)\u2003\u2003Birth length sds653−0.5 (−1.1, 0.3)\u2003\u2003Head circumference, cm65333.9 (32.9, 34.7)\u2003\u2003muac, cm65110.3 (9.6, 10.9)\u2003\u2003Subscapular Skinfold thickness, mm6514.3 (3.9, 4.9)\u20035\xa0years\u2003\u2003height, cm578105.6 (102.8, 108.3)\u2003\u2003bmi, kg/m257813.4 (12.9, 14.2)\u2003\u2003height sds578−0.9 (−1.5, −0.3)\u2003\u2003bmi sds578−1.4 (−1.9, −0.7)\u2003\u2003Insulin resistance (homa-ir)5720.7 (0.5, 1.1)\u2003\u2003Insulin increment56626.7 (14.8, 41.9)\u20039.5\xa0years\u2003\u2003height, cm533130.5 (127.0, 134.4)\u2003\u2003bmi, kg/m253314.3 (13.4, 15.5)\u2003\u2003height sds533−0.8 (−1.3, −0.2)\u2003\u2003bmi sds533−1.3 (−2.0, −0.4 )\u2003\u2003Insulin resistance (homa-ir)5250.8 (0.5, 1.2)\u2003\u2003Vitamin B12, pmol /l522312.5 (249.8, 404.8)\u2003\u2003Plasma Folate, nmol /l52224.0 (18.0, 35.0)\u200313.5\xa0years\u2003\u2003height, cm539153.4 (148.9, 158.2)\u2003\u2003bmi, kg/m253917.0 (15.5, 19.3)\u2003\u2003height sds539−0.7 (−1.4, −0.1)\u2003\u2003bmi sds539−0.8 (−1.8, 0.06)\u2003\u2003Insulin resistance (homa-ir)5281.5 (1.0, 2.0)\nvalues given are median (interquartile range) or n (%)\nsdss are based on who growth standards\nat 9.5\xa0years of age, Vitamin B12 deficiency was present in 2.7% of children, and Folate deficiency in only one child.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 77, 'pregnancy'), ('CHEBI_28334', 'malonamoyl-CoA', 197, 'Vitamin B12'), ('PR_000017279', 'testis-specific basic protein Y 1', 197, 'Vitamin B12'), ('UBERON_0001969', 'blood plasma', 275, 'Plasma'), ('CHEBI_30863', '5-azaorotic acid', 282, 'folate'), ('CHEBI_81245', 'Vulpecholate', 317, 'Folate'), ('CHEBI_5759', 'Honokiol', 353, 'Homocysteine'), ('GO_0007567', 'parturition', 440, 'Birth'), ('GO_0007608', 'sensory perception of smell', 447, 'Birthweight'), ('UBERON_0015875', 'heel', 493, 'heel'), ('GO_0007608', 'sensory perception of smell', 530, 'Birthweight'), ('GO_0007567', 'parturition', 567, 'Birth'), ('UBERON_0000033', 'head', 604, 'Head'), ('UBERON_0012295', "Guérin's valve", 677, 'Subscapular skinfold'), ('PR_000045358', 'insulin family protein', 866, 'Insulin'), ('PR_000045358', 'insulin family protein', 913, 'Insulin'), ('PR_000045358', 'insulin family protein', 1091, 'Insulin'), ('CHEBI_28334', 'malonamoyl-CoA', 1138, 'Vitamin B12'), ('PR_000017279', 'testis-specific basic protein Y 1', 1138, 'Vitamin B12'), ('UBERON_0001969', 'blood plasma', 1183, 'Plasma'), ('CHEBI_30863', '5-azaorotic acid', 1190, 'folate'), ('PR_000045358', 'insulin family protein', 1366, 'Insulin'), ('CHEBI_33279', 'vitamin D5', 1527, 'vitamin B12'), ('PR_000004481', 'V-type proton ATPase subunit B, kidney isoform', 1527, 'vitamin B12'), ('CHEBI_30863', '5-azaorotic acid', 1587, 'folate')]
PMC3876120	12/2013	S90-PMC3876120	['Plasma analysis\nPlasma Glucose (hk-cp kit; abx diagnostics, montpellier, france), total Cholesterol (Cholesterol-cp; abx diagnostics, montpellier, france), hdl Cholesterol (hdl direct-cp; abx diagnostics, montpellier, france), Triglycerides (Triglycerides; randox laboratories ltd, crumlin, uk), free fatty acids (ffa) (Nefa-Hr-2 kit; wako chemicals gmbh, neuss, germany) and Homocysteine levels (Homocysteine enzymatic assays; demeditec diagnosis, kiel, germany) were measured using an automated abx pentra c200 equipment (horiba abx diagnostics, montpellier, france).']	N/A	N/A	[('UBERON_0001969', 'blood plasma', 0, 'Plasma'), ('UBERON_0001969', 'blood plasma', 16, 'Plasma'), ('CHEBI_17234', 'glucose', 23, 'glucose'), ('CHEBI_16113', 'cholesterol', 88, 'cholesterol'), ('CHEBI_16113', 'cholesterol', 101, 'Cholesterol'), ('CHEBI_16113', 'cholesterol', 160, 'cholesterol'), ('CHEBI_17855', 'triglyceride', 227, 'triglycerides'), ('CHEBI_17855', 'triglyceride', 242, 'Triglycerides'), ('PR_000011111', 'N-terminal EF-hand calcium-binding protein 3', 320, 'NEFA'), ('PR_000001164', '5-hydroxytryptamine receptor 1E', 325, 'HR-2'), ('CHEBI_17088', 'monoacyl-sn-glycerol 3-phosphate', 376, 'homocysteine'), ('CHEBI_5759', 'Honokiol', 397, 'Homocysteine')]
PMC3973641	4/2014	S12-PMC3973641	['introduction\nHomocysteine (Hcy) is a sulfur-containing amino acid derived from the Metabolism Of Methionine[1],[2].']	N/A	N/A	[('CHEBI_5759', 'Honokiol', 13, 'Homocysteine'), ('CHEBI_37958', 'dye', 27, 'Hcy'), ('GO_0006583', 'melanin biosynthetic process from tyrosine', 83, 'metabolism of methionine')]
PMC4673623	11/2015	S84-PMC4673623	['Homocysteine was 36% higher in maternal Blood and 28% higher in Fetal Blood in the hf-hed group (vs. control) ( p \xa0<\xa00.05).']	N/A	N/A	[('CHEBI_5759', 'Honokiol', 0, 'Homocysteine'), ('UBERON_0000178', 'blood', 40, 'blood'), ('UBERON_0000922', 'embryo', 64, 'fetal'), ('UBERON_0000178', 'blood', 70, 'blood')]
PMC4897523	10/2014	S111-PMC4897523	['Homocysteine is an amino acid, which plays several important roles in Human physiology.']	N/A	N/A	[('CHEBI_5759', 'Honokiol', 0, 'Homocysteine'), ('NCBITaxon_9606', 'Homo sapiens', 70, 'human')]
PMC4998730	4/2016	S86-PMC4998730	['Homocysteine is mainly Transformed from methionine.']	N/A	N/A	[('CHEBI_5759', 'Honokiol', 0, 'Homocysteine'), ('GO_0009294', 'DNA mediated transformation', 23, 'transformed')]
PMC5084009	10/2016	S12-PMC5084009	['Homocysteine is remethylated to methionine by the ubiquitous Folate and cobalamin-dependent methionine synthase (mtr; ec 2.1.1.13) and by betaine:Homocysteine methyltransferase (bhmt; ec 2.1.1.5) that occurs mainly in the Kidney and Liver [1].']	N/A	N/A	[('CHEBI_5759', 'Honokiol', 0, 'Homocysteine'), ('CHEBI_30863', '5-azaorotic acid', 61, 'folate'), ('CHEBI_17088', 'monoacyl-sn-glycerol 3-phosphate', 146, 'homocysteine'), ('UBERON_0002113', 'kidney', 222, 'kidney'), ('UBERON_0002107', 'liver', 233, 'liver')]
