OBO_ID (LABEL):	CL_0000084 (T cell)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2409299	5/2008	S102-PMC2409299	['in a small cohort of healthy young gambian men from the same population (n = 25), no effect of Perinatal nutritional exposures (assessed by season of birth and Birth weight) was observed on T Lymphocyte kinetics [31].']	N/A	N/A	[('GO_0036268', 'swimming', 95, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 95, 'perinatal'), ('GO_0007567', 'parturition', 160, 'birth'), ('CL_0000084', 'T cell', 190, 'T lymphocyte')]
PMC2409299	5/2008	S126-PMC2409299	['laboratory methods\nT-Lymphocyte (cd3+, Cd4+, Cd8+, B-Cell (Cd19+), and Natural Killer Cell (Cd56+) subpopulations were enumerated in whole Blood samples at Birth (Cord Blood) and at 8, 16 and 52 weeks of age by flow cytometry (facscalibur, beckton dickinson uk ltd, oxford, uk) using appropriate isotypic controls (cyto-stat, beckman-coulter international s.a., nyon, switzerland).']	N/A	N/A	[('CL_0000084', 'T cell', 19, 'T-lymphocyte'), ('PR_000001204', 'C-C chemokine receptor type 8', 39, 'CD4'), ('PR_000005170', 'CD37 molecule', 45, 'CD8'), ('CL_0000236', 'B cell', 51, 'B-cell'), ('PR_000001309', 'CD70 molecule', 59, 'CD19'), ('CL_0000623', 'natural killer cell', 71, 'natural killer cell'), ('PR_000001309', 'CD70 molecule', 92, 'CD56'), ('UBERON_0000178', 'blood', 139, 'blood'), ('GO_0007567', 'parturition', 156, 'birth'), ('UBERON_0002240', 'spinal cord', 163, 'cord'), ('UBERON_0000178', 'blood', 168, 'blood')]
PMC2685863	5/2009	S10-PMC2685863	['each T Cell is made with a unique Antigen receptor that allows the Immune System to react quickly to any foreign protein a Person might encounter.']	N/A	N/A	[('CL_0000084', 'T cell', 5, 'T cell'), ('CHEBI_59132', 'antigen', 34, 'antigen'), ('UBERON_0002405', 'immune system', 67, 'immune system'), ('NCBITaxon_10088', 'Mus <genus>', 123, 'person')]
PMC2721967	7/2009	S14-PMC2721967	['in the Thymus, Bone Marrow-derived precursors undergo differentiation and selection, ultimately leading to the migration of positively selected Thymocytes to the T-Cell-dependent areas of the peripheral lymphoid Organs (4,5).']	N/A	N/A	[('UBERON_0002370', 'thymus', 7, 'thymus'), ('UBERON_0002371', 'bone marrow', 15, 'bone marrow'), ('CL_0000893', 'thymocyte', 144, 'thymocytes'), ('CL_0000084', 'T cell', 162, 'T-cell'), ('UBERON_0010131', 'conducting tissue of heart', 212, '... organs')]
PMC2721967	7/2009	S136-PMC2721967	['the primary role of the Human Thymus is the site for the Differentiation Of Bone-Marrow-derived T-Cell precursors into positively selected Thymocytes.']	N/A	N/A	[('NCBITaxon_9606', 'Homo sapiens', 24, 'human'), ('UBERON_0002370', 'thymus', 30, 'thymus'), ('GO_0030154', 'cell differentiation', 57, 'differentiation of ... cell ...'), ('UBERON_0002371', 'bone marrow', 76, 'bone-marrow'), ('CL_0000084', 'T cell', 96, 'T-cell'), ('GO_0005854', 'nascent polypeptide-associated complex', 97, '-'), ('CL_0000893', 'thymocyte', 139, 'thymocytes')]
PMC2721967	7/2009	S137-PMC2721967	['this process involves sequential Expression of various proteins and rearrangements of T-Cell receptor Genes (5).']	N/A	N/A	[('GO_0010467', 'gene expression', 33, 'expression'), ('CL_0000084', 'T cell', 86, 'T-cell'), ('GO_0005622', 'intracellular anatomical structure', 87, '-cell'), ('SO_0000704', 'gene', 102, 'genes')]
PMC2721967	7/2009	S175-PMC2721967	['trecs are formed during the generation and Expression of the T-Cell Antigen receptor (31) and levels in Peripheral Blood T-Cells are increasingly used as a direct measure of Thymic output.']	N/A	N/A	[('GO_0010467', 'gene expression', 43, 'expression'), ('CL_0000084', 'T cell', 61, 'T-cell'), ('GO_0085026', 'tubovesicular membrane network', 61, 'T-cell'), ('CHEBI_59132', 'antigen', 68, 'antigen'), ('UBERON_0012101', 'perinatal stage', 104, 'peripheral blood'), ('CL_0000084', 'T cell', 121, 'T-cells'), ('GO_0005618', 'cell wall', 122, '-cells'), ('UBERON_0002370', 'thymus', 174, 'thymic')]
PMC2779500	11/2009	S82-PMC2779500	['uninfected Cd4+\nCd4+T Cells are produced by the Thymus at constant rate λx, are eliminated from the system at per-capita rate dxand become infected through mass-action kinetics at rate β (1 - ϵ) xy , where the infection rate β is a function of r , described below, and ϵ is the effectiveness of Drug therapy.']	N/A	N/A	[('CL_0000476', 'thyrotroph', 11, 'CD4 ...'), ('PR_000001204', 'C-C chemokine receptor type 8', 11, 'CD4'), ('CL_0000476', 'thyrotroph', 16, 'CD4 ...'), ('PR_000001204', 'C-C chemokine receptor type 8', 16, 'CD4'), ('CL_0000084', 'T cell', 20, 'T cells'), ('UBERON_0002370', 'thymus', 48, 'thymus'), ('CHEBI_23888', 'drug', 295, 'drug')]
PMC2779500	11/2009	S83-PMC2779500	['infected Cd4+\nCd4+T Cells become Infected at rate β (1 - ϵ) xy .']	N/A	N/A	[('PR_000001204', 'C-C chemokine receptor type 8', 9, 'CD4'), ('CL_0000476', 'thyrotroph', 14, 'CD4 ...'), ('PR_000001204', 'C-C chemokine receptor type 8', 14, 'CD4'), ('CL_0000084', 'T cell', 18, 'T cells'), ('GO_0007631', 'feeding behavior', 33, 'infected')]
PMC2779500	11/2009	S86-PMC2779500	['in the event of infection, Ros are also produced by infected cells at a rate proportional to the number of infected Cd4+T Cells, ky .']	N/A	N/A	[('CHEBI_8756', 'RNA (poly(A))', 27, 'ROS'), ('CL_0000476', 'thyrotroph', 116, 'CD4 ...'), ('CL_0000084', 'T cell', 120, 'T cells')]
