OBO_ID (LABEL):	GO_0006915 (apoptotic process)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
BMJ_2012_Jan_30_344_e184	1/2012	S93-BMJ_2012_Jan_30_344_e184	['other infant clinical outcomes\nno Anaphylactic reactions were reported.']	N/A	N/A	[('GO_0006915', 'apoptotic process', 34, 'anaphylactic')]
PMC1184067	7/2005	S79-PMC1184067	["caption (table-wrap): table 4\n\njapanese family physicians' self-reports of Preconception care in their clinical practice (n = 268)never/almost neversometimesoften/alwaysno responsen(%)n(%)n(%)n(%)timing of Intercourse to maximize chances of Conception222(82.8)20(7.5)9(3.6)17(6.3)Folic Acid supplementation217(81.0)24(9.0)11(4.1)16(6.0)exercise during Pregnancy198(73.9)32(11.9)20(7.5)18(6.7)testing for rubella Antibody180(67.2)55(20.5)21(7.8)12(4.5)increasing Calcium intake168(62.7)61(22.7)27(10.1)12(4.5)restricting Caffeine intake166(61.9)55(20.5)31(11.6)16(6.0)use of basal body temperature monitoring157(58.6)60(22.4)38(14.2)13(4.9)restricting Alcohol Intake107(39.9)74(27.6)72(26.9)15(5.6)testing for anemia56(20.9)112(41.8)94(35.1)6(2.2)smoking cessation37(13.8)63(23.5)162(60.4)6(2.2)\ntheir attitudes about providing Preconception care are depicted in table5."]	N/A	N/A	[('GO_0007565', 'female pregnancy', 75, 'preconception'), ('GO_0006954', 'inflammatory response', 206, 'intercourse'), ('GO_0007631', 'feeding behavior', 241, 'conception222'), ('CHEBI_30751', 'formic acid', 280, 'Folic acid'), ('GO_0006915', 'apoptotic process', 352, 'pregnancy198'), ('GO_0044222', 'anammoxosome', 412, 'antibody180'), ('CHEBI_22313', 'alkaline earth metal atom', 462, 'calcium'), ('CHEBI_27732', 'caffeine', 520, 'caffeine'), ('CHEBI_30879', 'alcohol', 651, 'alcohol'), ('GO_0042432', 'indole biosynthetic process', 659, 'intake107'), ('GO_0007565', 'female pregnancy', 827, 'preconception')]
PMC1544352	6/2006	S110-PMC1544352	['sixty-five percent of women had english as their first language\n\ncaption (table-wrap): table 2\n\nbackground characteristics of participants(n = 588)characteristicno.%age (median, range)32 (18–46)marital status (n = 584)\u2003married422 72.3 \u2003living with partner118 20.2 \u2003has partner, not cohabiting17 2.9 \u2003single21 3.6 \u2003separated or divorced5 0.9 \u2003widowed1 0.2secondary schooling (n = 584)\u2003completed secondary school to final year (12)475 81.3 \u2003did not complete secondary school97 16.6 \u2003attended primary school only10 1.7 \u2003did not attend primary school2 0.3higher education (n = 560)\u2003degree or higher235 42.0 \u2003no degree325 58.0taxable income for the household for last year, aud (n = 516)*\u2003< $20,00082 15.9 \u2003$20,000–$30,00075 14.5 \u2003$30,000–$40,00066 12.8 \u2003$40,000–$50,00063 12.2 \u2003> $50,000230 44.6country of Birth (only top 7 listed) (n = 583)\u2003australia314 53.9 \u2003vietnam66 11.3 \u2003china31 5.3 \u2003new zealand18 3.1 \u2003india15 2.6 \u2003uk and eire13 2.2 \u2003turkey10 1.7if not Born in australia, years in australia (n = 256)\u2003mean (sd)10 (sd 9.2) \u2003median (range)8 (0–36)english first language (n = 581)\u2003yes378 65.1religion (n = 505)\u2003christian237 46.9 \u2003muslim55 10.9 \u2003buddhist49 9.7 \u2003hindu8 1.6 \u2003other4 0.8 \u2003none152 30.0pre-Pregnancy smoking (579)\u2003none436 75.3 \u20031–983 14.3 \u200310–1940 6.9 \u200320–2916 2.8 \u200330–394 0.7 \u2003>400 -Gestation at recruitment (n = 575)\u2003mean (sd)38.45 (sd 1.28) \u2003median (range)38 (29–42)first baby (n = 582)\u2003yes310 53.3previous Pregnancy losses (could tick more than one option)\u2003termination of Pregnancy134 22.8 \u2003Miscarriage (including ectopic Pregnancies)113 19.2 \u2003Stillbirth >20 weeks Gestation6 1.0 \u2003Neonatal Death1 0.2 \u2003none of these353 60model of Pregnancy care (n = 586)\u2003public hospital clinic (doctor or midwife)280 47.7 \u2003shared care (majority of care with local family doctor)171 29.2 \u2003team midwifery or midwives clinic93 15.9 \u2003family Birth centre41 7.0\n* australian average annual income for those is currently employed is $42,484 (australian bureau of statistics, feb 2006,); for those not currently employed, government pensions and allowances provide income support of up to approximately $10–12,000 per year\ntable3shows the breakdown of the proportion of women who took herbal Supplements; 36% of our sample took at least one Herbal Medicine Supplement.']	N/A	N/A	[('GO_0007567', 'parturition', 802, 'birth'), ('GO_0007567', 'parturition', 956, 'born'), ('GO_0007565', 'female pregnancy', 1201, 'pregnancy'), ('GO_0006266', 'DNA ligation', 1295, 'Gestation'), ('GO_0007565', 'female pregnancy', 1421, 'pregnancy'), ('GO_0006915', 'apoptotic process', 1487, 'pregnancy134'), ('GO_0046660', 'female sex differentiation', 1506, 'Miscarriage'), ('GO_0007565', 'female pregnancy', 1537, 'pregnancies'), ('GO_0001967', 'suckling behavior', 1559, 'Stillbirth'), ('GO_0007565', 'female pregnancy', 1580, 'gestation6'), ('GO_0007569', 'cell aging', 1596, 'Neonatal'), ('GO_0007586', 'digestion', 1605, 'death1'), ('GO_0007565', 'female pregnancy', 1645, 'pregnancy'), ('GO_0007567', 'parturition', 1836, 'Birth'), ('CHEBI_33341', 'titanium atom', 2183, 'supplements'), ('CHEBI_5775', 'hydralazine', 2232, 'herbal medicine'), ('CHEBI_16158', 'steroid sulfate', 2248, 'supplement')]
PMC1779612	12/2006	S34-PMC1779612	['in univariate analyses, Awareness of cmv increased with higher levels of education ( p -value for trend < .0001), older age ( p -value for trend = .02), and varied by study site, with awareness being highest in houston and birmingham and lowest in chicago (table 1).']	N/A	N/A	[('GO_0006915', 'apoptotic process', 24, 'awareness')]
PMC2396486	6/2008	S16-PMC2396486	['briefly, Dvd-deficient neonates had larger Lateral Ventricles, increased Cellular Proliferation and reduced Apoptosis, altered Neurogenesis, reduced density of Neurotrophin Receptor (P75Ntr), and reduced levels of Nerve Growth Factor (Ngf) and Glial Cell Line-Derived Growth Factor (Gdnf) compared to controls[5]–[7].']	N/A	N/A	[('PR_000006770', 'cytoplasmic dynein 1 heavy chain 1', 9, 'DVD'), ('UBERON_0002285', 'telencephalic ventricle', 43, 'lateral ventricles'), ('GO_0008283', 'cell proliferation', 73, 'cellular proliferation'), ('GO_0006915', 'apoptotic process', 108, 'apoptosis'), ('GO_0022008', 'neurogenesis', 127, 'neurogenesis'), ('PR_000001493', 'neuropeptide Y receptor type 2', 160, 'neurotrophin receptor'), ('PR_000001244', 'long-wave-sensitive opsin 1', 183, 'p75NTR'), ('PR_000011193', 'ephexin-1', 214, 'nerve growth factor'), ('UBERON_0001021', 'nerve', 214, 'nerve'), ('PR_000011159', 'nexilin', 235, 'NGF'), ('CL_0000125', 'glial cell', 244, 'glial cell'), ('PR_000007939', 'glial fibrillary acidic protein', 244, 'glial cell line-derived growth factor'), ('PR_000007939', 'glial fibrillary acidic protein', 283, 'GDNF')]
PMC2409299	5/2008	S127-PMC2409299	["edta Anticoagulated whole Blood samples were labelled within 6 hours of collection, Red Cells were Lysed according to the manufacturer's instructions, and the labelled cells stabilised and fixed."]	N/A	N/A	[('GO_0006915', 'apoptotic process', 5, 'anticoagulated'), ('UBERON_0000178', 'blood', 26, 'blood'), ('CL_0000232', 'erythrocyte', 84, 'red cells'), ('GO_0019835', 'cytolysis', 99, 'lysed')]
PMC2658734	4/2009	S57-PMC2658734	['Control of timing of developmental Processes [18], Haematopoietic Cell Differentiation [19], Apoptosis [20], Cell Proliferation and Organ Development [21].']	N/A	N/A	[('GO_0065007', 'biological regulation', 0, 'control'), ('GO_0007565', 'female pregnancy', 35, 'processes'), ('CL_0000988', 'hematopoietic cell', 51, 'haematopoietic cell'), ('GO_0060218', 'hematopoietic stem cell differentiation', 51, 'haematopoietic cell differentiation'), ('GO_0006915', 'apoptotic process', 93, 'apoptosis'), ('GO_0008283', 'cell proliferation', 109, 'cell proliferation'), ('GO_0048513', 'animal organ development', 132, 'organ development'), ('UBERON_0000062', 'organ', 132, 'organ')]
PMC2658734	4/2009	S62-PMC2658734	['caption (table-wrap): table\xa01\n\nvalidated and hypothetic Mirna targetsvalidated Mirna targets in type 2 diabetes and in the Endocrine systemmirnatargetfunctionreferencemir-375myotrophininhibition of Insulin secretion[69]mir-9onecut2 transcription factorinhibition of Glucose-stimulated Insulin Release[70]mir-192e-box repressorstgf-Beta-Induced Matrix Protein Collagen Col1A1 and -2[24]mir-143glut4, Hsl, Fatty Acid-Binding protein Ap2, Ppar-Μ2Adipocyte differentiation[49]hypothetic Mirna targets associated with type 2 diabetesmir-30 familyreceptor for advanced glycation end product, Immediate Early Response 3, Vimentin, Heat-Shock Protein-20Podocyte Apoptosis and Cytoskeletal structure[79,80]Mir-23Bhairy/Enhancer Of The Split Protein (Hes1)downstream target of activated Notch Signalling and Expressed in Nephron segments during development[81,84]mir-15, mir-16wnt and Β-Cateninnephron induction during Embryo Development[75,76]mir-7gy-boxnotch signalling[73,74]mir-4, mir-79Brd-boxmir-2, mir-11k-box\nBiogenesis Of Mirnas starts in the Nucleus (see figure3) where stretches of several kilobases long primary Mirnas (pri-Mirnas) are transcribed from the Genome, 3′- Polyadenylated [covalent Linkage Poly (a) tail of 3′ end of Mirna], 5′- capped [7-methyl guanylate (m7g) cap of 5′ end of Mirna].']	N/A	N/A	[('SO_0000276', 'miRNA', 56, 'miRNA'), ('SO_0000276', 'miRNA', 79, 'miRNA'), ('UBERON_0002049', 'vasculature', 123, 'endocrine'), ('PR_000045358', 'insulin family protein', 198, 'insulin'), ('CHEBI_17234', 'glucose', 266, 'glucose'), ('PR_000045358', 'insulin family protein', 285, 'insulin'), ('GO_0006260', 'DNA replication', 293, 'release'), ('PR_000004670', 'protein PTHB1', 330, '-beta-induced matrix protein collagen'), ('GO_0031012', 'extracellular matrix', 344, 'matrix'), ('PR_000003266', 'collagen type II alpha chain', 368, 'Col1a1'), ('PR_000010222', 'muscleblind-like protein 2', 380, '2'), ('PR_000008794', 'heat shock factor protein 5', 399, 'HSL'), ('CHEBI_35366', 'fatty acid', 404, 'fatty acid'), ('PR_000010000', 'lysozyme g-like protein 2', 414, '-binding'), ('PR_000004123', 'adenomatous polyposis coli protein 2', 431, 'aP2'), ('PR_000013031', 'periostin', 436, 'PPAR-μ2Adipocyte'), ('SO_0000276', 'miRNA', 483, 'miRNA'), ('PR_000000035', 'BMP receptor type-1A', 531, '-30'), ('PR_000008890', 'isocitrate dehydrogenase [NAD] subunit beta, mitochondrial', 586, 'immediate early response 3'), ('PR_000017283', 'vitamin D3 receptor', 614, 'vimentin'), ('PR_000005163', 'CD2-associated protein', 624, 'heat-shock protein-20Podocyte'), ('GO_0006915', 'apoptotic process', 654, 'apoptosis'), ('GO_0005856', 'cytoskeleton', 668, 'cytoskeletal'), ('PR_000002103', 'sodium channel protein type 8 subunit alpha', 697, 'miR-23bHairy'), ('PR_000006890', 'enhancer of mRNA-decapping protein 3', 710, 'enhancer of the split protein'), ('SO_0000165', 'enhancer', 710, 'enhancer'), ('PR_000008474', 'hematopoietic lineage cell-specific protein', 741, 'Hes1'), ('GO_0038189', 'neuropilin signaling pathway', 777, 'Notch signalling'), ('GO_0010467', 'gene expression', 798, 'expressed'), ('UBERON_0001285', 'nephron', 811, 'nephron'), ('PR_000002198', 'catenin beta-1', 875, 'β-cateninNephron'), ('GO_0009790', 'embryo development', 909, 'embryo development'), ('UBERON_0000922', 'embryo', 909, 'embryo'), ('PR_000011040', 'nuclear receptor coactivator 1', 979, '79Brd'), ('PR_000010222', 'muscleblind-like protein 2', 992, '2'), ('GO_0070277', 'iodide oxidation', 1007, 'Biogenesis of miRNAs'), ('SO_0000276', 'miRNA', 1021, 'miRNAs'), ('GO_0005634', 'nucleus', 1042, 'nucleus'), ('SO_0000276', 'miRNA', 1114, 'miRNAs'), ('SO_0000276', 'miRNA', 1126, 'miRNAs'), ('SO_0001026', 'genome', 1159, 'genome'), ('GO_0043651', 'linoleic acid metabolic process', 1171, 'polyadenylated'), ('SO_0000987', 'linear', 1196, 'linkage'), ('SO_0000610', 'polyA_sequence', 1204, 'poly'), ('SO_0000276', 'miRNA', 1231, 'miRNA'), ('SO_0000276', 'miRNA', 1293, 'miRNA')]
PMC2779500	11/2009	S15-PMC2779500	['intermediate concentrations of H2O2(and certain other Ros) result in the activation of Nuclear Factor Κ B (Nf- Κ B), a transcription factor that upregulates several Cellular Processes, including Cell Proliferation and Apoptosis [1,6,7].']	N/A	N/A	[('CHEBI_16240', 'hydrogen peroxide', 31, 'H2O2'), ('CHEBI_8756', 'RNA (poly(A))', 54, 'ROS'), ('GO_0005643', 'nuclear pore', 87, 'nuclear factor κ'), ('PR_000011193', 'ephexin-1', 87, 'nuclear factor κ B'), ('GO_0071159', 'NF-kappaB complex', 107, 'NF- κ'), ('PR_000011111', 'N-terminal EF-hand calcium-binding protein 3', 107, 'NF- κ B'), ('GO_0009987', 'cellular process', 165, 'cellular processes'), ('GO_0008283', 'cell proliferation', 195, 'cell proliferation'), ('GO_0006915', 'apoptotic process', 218, 'apoptosis')]
PMC2984417	10/2010	S103-PMC2984417	['caption (table-wrap): table 1\n\nsocio-demographic and Reproductive characteristics and infant outcomes in the study population, lima, peru, 2006-2008characteristicsplacental abruptionp-valuecases (n = 375)controls (n = 368)n%n%maternal age at Delivery (years)28.4 ± 6.7128.0 ± 6.30.38maternal age at delivery (years)\u2003< 203910.4308.20.30\u200320-2917446.419151.9\u200330-348622.97821.2\u2003≥ 357520.06718.2\u2003missing10.320.5parity1.32 ± 1.5011.46 ± 1.510.19\u2003016142.914639.70.63\u20031-214338.114539.4\u2003≥ 37118.97720.9≤ high school education24164.321658.70.29employed during Pregnancy18649.617647.80.66planned Pregnancy13335.511531.30.47no Prenatal care4110.9226.00.02no Prenatal Vitamin5715.24512.20.38smoking during Pregnancy82.161.60.48alcohol use during Pregnancy359.3308.20.67illicit Drug use during Pregnancy20.510.3- - -depressive symptoms3338.8102.7< 0.001pre-Pregnancy body mass index (kg/m2)23.7 ± 3.7123.4 ± 3.50.31pre-Pregnancy body mass index (kg/m2)\u2003< 19.83910.43810.30.38\u200319.8-26.022760.524566.6\u200326.1-29.04712.5369.8\u2003≥ 29.0277.2256.8\u2003missing359.3246.5chronic hypertension205.3102.70.07preeclampsia or eclampsia9826.1113.0< 0.001previous history of Placental abruption20.910.50.62infant Birth weight (grams)22438 ± 86013306 ± 502< 0.001low Birth weight infant (< 2500 grams)219652.3174.6< 0.001gestational age at delivery (weeks)235.3 ± 3.8138.7 ± 1.8< 0.001preterm delivery infant (< 37 weeks)220454.4205.4< 0.001c-section delivery35795.314439.1< 0.001stillbirth delivery5915.700.0- - -\n1mean ± sd (sd: standard deviation)\n2restricted to Live Birth only (314 cases and 368 controls)\n3phq-9 depression symptom score ≥ 10, consistent with moderate or severe depression\nthe lifetime prevalence of headaches or migraine was 40.0% for Placental abruption cases and 29.6% for controls (table2).']	N/A	N/A	[('GO_0000003', 'reproduction', 53, 'Reproductive'), ('GO_0007586', 'digestion', 242, 'Delivery'), ('GO_0030254', 'protein secretion by the type III secretion system', 550, 'Pregnancy18649'), ('GO_0006915', 'apoptotic process', 585, 'Pregnancy13335'), ('GO_0007565', 'female pregnancy', 615, 'Prenatal'), ('GO_0007565', 'female pregnancy', 646, 'Prenatal'), ('CHEBI_83324', 'pent-2-enoyl-CoA(4-)', 655, 'Vitamin5715'), ('GO_0006412', 'translation', 693, 'Pregnancy82'), ('GO_0006412', 'translation', 733, 'Pregnancy359'), ('CHEBI_23888', 'drug', 764, 'Drug'), ('GO_0007608', 'sensory perception of smell', 780, 'Pregnancy20'), ('GO_0007565', 'female pregnancy', 843, 'pregnancy'), ('GO_0007565', 'female pregnancy', 905, 'pregnancy'), ('UBERON_0001987', 'placenta', 1138, 'Placental'), ('GO_0007567', 'parturition', 1176, 'Birth'), ('GO_0007567', 'parturition', 1229, 'Birth'), ('GO_0008610', 'lipid biosynthetic process', 1528, 'live birth'), ('PR_000000035', 'BMP receptor type-1A', 1577, '-9'), ('UBERON_0001987', 'placenta', 1720, 'placental')]
