OBO_ID (LABEL):	GO_0007596 (blood coagulation)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
BMJ_2012_Aug_30_345_e5605	8/2012	S7-BMJ_2012_Aug_30_345_e5605	['results no significant difference was seen between the two groups in absolute Birth weight, Birthweight centile, or ponderal index.']	N/A	N/A	[('GO_0007567', 'parturition', 78, 'birth'), ('GO_0007596', 'blood coagulation', 92, 'birthweight')]
PMC1252725	10/2005	S66-PMC1252725	['finally, mean Birth weight and Gestational age of control newborn infants Born to mothers with or without infusion treatment were compared in linear logistic regression model, while the proportion of Preterm Birth and low Birthweight were compared in unconditional logistic regression model.']	N/A	N/A	[('GO_0007567', 'parturition', 14, 'birth'), ('GO_0007565', 'female pregnancy', 31, 'gestational'), ('GO_0007567', 'parturition', 74, 'born'), ('GO_0007565', 'female pregnancy', 200, 'preterm'), ('GO_0007567', 'parturition', 208, 'birth'), ('GO_0007596', 'blood coagulation', 222, 'birthweight')]
PMC1252725	10/2005	S108-PMC1252725	['however, there was a significant reduction in mean Birth weight (3,162 ± 596 vs. 3,276 ± 511 gram) and it was reflected in a higher proportion of low Birthweight (10.4% vs. 5.7%).']	N/A	N/A	[('GO_0007567', 'parturition', 51, 'birth'), ('GO_0007596', 'blood coagulation', 150, 'birthweight')]
PMC1281283	10/2005	S104-PMC1281283	['the great majority of participants (94%) Breast-Fed their children, and half continued to Breast-Feed until at least 6 months Postpartum.']	N/A	N/A	[('GO_0007567', 'parturition', 41, 'breast'), ('GO_0007631', 'feeding behavior', 48, 'fed'), ('GO_0007596', 'blood coagulation', 90, 'breast-feed'), ('GO_0007565', 'female pregnancy', 126, 'postpartum')]
PMC1592148	7/2006	S2-PMC1592148	['internatal Care refers to a package of healthcare and ancillary services provided to a woman and her family from the Birth Of one Child to the Birth Of her next child.']	N/A	N/A	[('GO_0007567', 'parturition', 11, 'care'), ('GO_0007596', 'blood coagulation', 117, 'birth of ... child'), ('GO_0007567', 'parturition', 143, 'birth of')]
PMC1592148	7/2006	S24-PMC1592148	['internatal Care refers to a package of healthcare and ancillary services provided to a woman and her family from the Birth Of one Child to the Birth Of her next child.']	N/A	N/A	[('GO_0007567', 'parturition', 11, 'care'), ('GO_0007596', 'blood coagulation', 117, 'birth of ... child'), ('GO_0007567', 'parturition', 143, 'birth of')]
PMC1852384	1/2007	S40-PMC1852384	['prophylaxis against Deep Vein Thrombosis consisted of 5,000 units of unfractionated Heparin administered subcutaneously every 8\xa0h and pneumatic compression stockings until Ambulatory.']	N/A	N/A	[('UBERON_0001639', 'hepatic portal vein', 20, 'deep vein'), ('GO_0007596', 'blood coagulation', 30, 'thrombosis'), ('CHEBI_28304', 'heparin', 84, 'heparin'), ('GO_0040011', 'locomotion', 172, 'ambulatory')]
PMC1852384	1/2007	S52-PMC1852384	['complications were classified as systemic (prolonged intubation, deep Venous Thrombosis, Pulmonary embolism, and myocardial infarction/fatal arrhythmia) or technical (incisional hernia, intestinal obstruction, leak/perforation, dehiscence, Gi bleeding, Anastomotic stricture, and anastomotic ulcer).']	N/A	N/A	[('UBERON_0001638', 'vein', 70, 'venous'), ('GO_0007596', 'blood coagulation', 77, 'thrombosis'), ('UBERON_0002048', 'lung', 89, 'pulmonary'), ('UBERON_2001302', 'vagal ganglion 1', 240, 'GI'), ('UBERON_2000691', 'supraorbital bone', 253, 'anastomotic')]
PMC1937008	7/2007	S121-PMC1937008	['as with women who smoke, obese women have lower intention to Breastfeed [37,69].']	N/A	N/A	[('GO_0007596', 'blood coagulation', 61, 'breastfeed')]
PMC2098747	10/2007	S15-PMC2098747	['each of these women denied a personal or family history of Thrombosis.']	N/A	N/A	[('GO_0007596', 'blood coagulation', 59, 'thrombosis')]
