OBO_ID (LABEL):	UBERON_0000178 (blood)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
BMJ_2008_Nov_7_337_a2001	11/2008	S48-BMJ_2008_Nov_7_337_a2001	['recruited Pregnant women received three free Antenatal care checks, at which they were asked about Pregnancy complications and underwent a physical examination including Blood pressure and weight measurement.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 10, 'pregnant'), ('GO_0007567', 'parturition', 45, 'antenatal'), ('GO_0007565', 'female pregnancy', 99, 'pregnancy'), ('UBERON_0000178', 'blood', 170, 'blood')]
BMJ_2008_Nov_7_337_a2001	11/2008	S65-BMJ_2008_Nov_7_337_a2001	['small for Gestational age babies were defined as those whose weight was below the 10th centile of the Gestational age-sex specific us reference for fetal growth.13\nmaternal haemoglobin concentration was measured in capillary Blood collected early in the third trimester (Gestation 28-32 weeks) from a subsample of 599 Pregnant women with a Birth outcome, who were consecutively enrolled from 6 july 2004 to 28 october 2005.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 10, 'gestational'), ('GO_0007565', 'female pregnancy', 102, 'gestational'), ('UBERON_0000178', 'blood', 225, 'blood'), ('GO_0007565', 'female pregnancy', 271, 'gestation'), ('GO_0007565', 'female pregnancy', 318, 'pregnant'), ('GO_0007567', 'parturition', 340, 'birth')]
BMJ_2012_Aug_30_345_e5605	8/2012	S38-BMJ_2012_Aug_30_345_e5605	['at 28 weeks’ Gestation, repeat fasting Blood Glucose was measured and Glucose challenge testing one hour after a 50 g Glucose load was carried out.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 13, 'gestation'), ('UBERON_0000178', 'blood', 39, 'blood'), ('CHEBI_17234', 'glucose', 45, 'glucose'), ('CHEBI_17234', 'glucose', 70, 'glucose'), ('CHEBI_17234', 'glucose', 118, 'glucose')]
BMJ_2012_Aug_30_345_e5605	8/2012	S72-BMJ_2012_Aug_30_345_e5605	['values are mean (sd) unless stated otherwiseoutcomeintervention group (n=372)control group (n=387)mean difference (95% ci)p valuebirth weight (g)4034 (510)4006 (497)28.6 (−45.6 to 102.8)0.449birthweight centile70.5 (25.6)72.8 (25.6)−1.6 (−5.39 to 2.2)0.409no (%) Birth weight >4000 g189 (51)199 (51)—0.88length at Birth (cm)52.9 (2.7)52.6 (2.1)0.263 (−0.13 to 0.655)0.189head circumference at Birth (cm)35.8 (1.3)35.7 (1.5)−0.00225 (−0.231 to 0.227)0.985ponderal index at birth2.76 (3.8)2.75 (0.33)0.011 (−0.36 to 0.39)0.95birthweight difference* from first Pregnancy (g)−214.2 (541)−250.8 (512)−36.6 (−120.15 to 46.95)0.507estimated fetal weight at 34 weeks (g)2631 (326)2616 (368)14.74 (−40.89 to 70.38)0.603fetal Abdominal circumference at 34 weeks (mm)315.8 (16.7)315.6 (19.2)−0.201 (−3.067 to 2.665)0.89fetal anterior Abdominal Wall width at 34 weeks (mm)5.0 (1.3)5.1 (1.2)−0.108 (−0.323 to 0.107)0.323fasting Glucose at 28 weeks (mmol/l)4.45 (0.4)4.51 (0.6)−0.058 (−0.146 to 0.03)0.198Glucose challenge test at 28 weeks (mmol/l)6.47 (1.4)6.67 (1.7)−0.205 (−0.44 to 0.031)0.088cord Blood Glucose (mmol/l)4.17 (1.1)4.16 (1.2)0.014 (−0.19 to 0.217)0.896weight gain at 24 weeks (kg)5.3 (2.7)5.5 (2.7)−0.244 (−0.786 to 0.299)0.378weight gain at 28 weeks (kg)7.1 (2.8)7.7 (3.0)−0.593 (−1.072 to −0.114)0.015weight gain at 34 weeks (kg)10.1 (3.7)10.9 (3.9)−0.83 (−1.48 to −0.182)0.012weight gain at 40 weeks (kg)12.2 (4.4)13.7 (4.9)−1.346 (−2.451 to −0.241)0.017\n*Birth weight in second Pregnancy minus Birth weight in first Pregnancy.']	N/A	N/A	[('GO_0007567', 'parturition', 263, 'birth'), ('GO_0007567', 'parturition', 314, 'birth'), ('GO_0007567', 'parturition', 393, 'birth'), ('GO_0007565', 'female pregnancy', 558, 'pregnancy'), ('UBERON_0000916', 'abdomen', 716, 'abdominal'), ('UBERON_0003697', 'abdominal wall', 823, 'abdominal wall'), ('CHEBI_17234', 'glucose', 915, 'glucose'), ('CHEBI_27415', "(+-)-2-(4'-isobutylphenyl)propionitrile", 988, '198Glucose'), ('UBERON_0000178', 'blood', 1087, 'blood'), ('CHEBI_17234', 'glucose', 1093, 'glucose'), ('GO_0007567', 'parturition', 1463, 'Birth'), ('GO_0007565', 'female pregnancy', 1486, 'pregnancy'), ('GO_0007567', 'parturition', 1502, 'birth'), ('GO_0007565', 'female pregnancy', 1524, 'pregnancy')]
BMJ_2012_Aug_30_345_e5605	8/2012	S82-BMJ_2012_Aug_30_345_e5605	['an equal number of women in each arm had formal Glucose tolerance testing, and no significant difference existed in the incidence of Gestational diabetes according to either carpenter and coustan criteria (7 v 9) or the american diabetes association criteria (12 v 18).2328cord Blood Glucose was similar between the two groups (table 3).']	N/A	N/A	[('CHEBI_17234', 'glucose', 48, 'glucose'), ('GO_0007565', 'female pregnancy', 133, 'gestational'), ('UBERON_0000178', 'blood', 278, 'blood'), ('CHEBI_17234', 'glucose', 284, 'glucose')]
BMJ_2012_Jan_30_344_e184	1/2012	S71-BMJ_2012_Jan_30_344_e184	['concentrations of Docosahexaenoic Acid and Eicosapentaenoic Acid in the Plasma Phospholipids of Cord Blood from women in the N-3 Lcpufa group were greater than those for the control group (Docosahexaenoic Acid: median 7.5% v 6.2% total Phospholipid Fatty Acids, p<0.001; Eicosapentaenoic Acid: median 0.54% v 0.27% total Phospholipid Fatty Acids, p<0.001 based on a comparison of mean log transformed values).']	N/A	N/A	[('CHEBI_36003', 'decenoic acid', 18, 'docosahexaenoic acid'), ('CHEBI_36003', 'decenoic acid', 43, 'eicosapentaenoic acid'), ('UBERON_0001969', 'blood plasma', 72, 'plasma'), ('CHEBI_16247', 'phospholipid', 79, 'phospholipids'), ('UBERON_0002240', 'spinal cord', 96, 'cord'), ('UBERON_0000178', 'blood', 101, 'blood'), ('CHEBI_30256', 'thiocarbonyl group', 125, 'n-3'), ('CHEBI_63559', 'HBOA', 129, 'LCPUFA'), ('CHEBI_36003', 'decenoic acid', 189, 'docosahexaenoic acid'), ('CHEBI_16247', 'phospholipid', 236, 'phospholipid'), ('CHEBI_35366', 'fatty acid', 249, 'fatty acids'), ('CHEBI_36003', 'decenoic acid', 271, 'eicosapentaenoic acid'), ('CHEBI_16247', 'phospholipid', 321, 'phospholipid'), ('CHEBI_35366', 'fatty acid', 334, 'fatty acids')]
BMJ_2012_Jan_30_344_e184	1/2012	S72-BMJ_2012_Jan_30_344_e184	['the concentration of total n-3 lcpufa in the Cord Blood was higher in women in the N-3 lcpufa group (median 8.8% v 7.2% total Phospholipid Fatty Acids, p<0.001 based on a comparison of mean log transformed values), whereas the concentration of arachidonic acid in Cord Blood was lower in women in the n-3 lcpufa group compared with control (mean 14.6% v 16.4%, p<0.001 based on a comparison of means).']	N/A	N/A	[('UBERON_0002240', 'spinal cord', 45, 'cord'), ('UBERON_0000178', 'blood', 50, 'blood'), ('31', 'ACACA (human)', 83, 'n'), ('CHEBI_16247', 'phospholipid', 126, 'phospholipid'), ('CHEBI_35366', 'fatty acid', 139, 'fatty acids'), ('UBERON_0002240', 'spinal cord', 264, 'cord'), ('UBERON_0000178', 'blood', 269, 'blood')]
BMJ_2014_Feb_10_348_g1285	2/2014	S35-BMJ_2014_Feb_10_348_g1285	['prespecified secondary maternal outcomes included hypertension (systolic Blood pressure ≥140 mm hg and/or diastolic ≥90 mm hg on two occasions four or more hours apart) and pre-eclampsia27; Gestational diabetes (positive 75g Oral Glucose tolerance test result with fasting Blood Glucose ≥5.5 mmol/l or 2 hour ≥7.8 mmol/l)25; need for and length of antepartum hospital stay; antepartum haemorrhage requiring stay in hospital; preterm ruptured membranes before labour; term ruptured membranes before labour; chorioamnionitis requiring Antibiotics during labour; need for induction of labour; Antibiotic use during labour; caesarean section; Postpartum haemorrhage (>600 ml); Perineal trauma; wound infection; endometritis; Antibiotics Postpartum; Postpartum length of hospital stay; thromboembolic disease; and maternal death.']	N/A	N/A	[('UBERON_0000178', 'blood', 73, 'blood'), ('GO_0007565', 'female pregnancy', 190, 'gestational'), ('UBERON_0000165', 'mouth', 225, 'oral'), ('CHEBI_17234', 'glucose', 230, 'glucose'), ('UBERON_0000178', 'blood', 273, 'blood'), ('CHEBI_17234', 'glucose', 279, 'glucose'), ('CHEBI_33282', 'antibacterial agent', 533, 'antibiotics'), ('CHEBI_33282', 'antibacterial agent', 590, 'antibiotic'), ('GO_0007565', 'female pregnancy', 639, 'postpartum'), ('UBERON_0001977', 'blood serum', 673, 'perineal'), ('CHEBI_33282', 'antibacterial agent', 721, 'antibiotics'), ('GO_0007565', 'female pregnancy', 733, 'postpartum'), ('GO_0007565', 'female pregnancy', 745, 'postpartum')]
PMC1164414	5/2005	S27-PMC1164414	['controls (n = 379) consisted of Blood samples from healthy Blood donors (aged between 18–68 years), with no history of malignant neoplastic disease.']	N/A	N/A	[('UBERON_0000178', 'blood', 32, 'blood'), ('UBERON_0000178', 'blood', 59, 'blood')]
PMC1164414	5/2005	S31-PMC1164414	['genotyping\ndna was extracted from Peripheral Blood or Bone Marrow samples by using the qiaamp dna Blood midi kit (qiagen gmbh, hilden, germany).']	N/A	N/A	[('UBERON_0012101', 'perinatal stage', 34, 'peripheral'), ('UBERON_0000178', 'blood', 45, 'blood'), ('UBERON_0002371', 'bone marrow', 54, 'bone marrow'), ('UBERON_0000178', 'blood', 98, 'Blood')]
