OBO_ID (LABEL):	GO_0019221 (cytokine-mediated signaling pathway)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC3192420	7/2011	S70-PMC3192420	['Hypothalami were analyzed for Insulin receptor, leptin receptor (Obr), tyrosine-protein phosphatase nonreceptor (Ptp1B), Adiponectin Receptors (adnr) (Adnr1 and Adnr2), suppressor of Cytokine Signaling, Ghrelin Receptor, Melanocortin Receptors (Mc4R and Mc3R), Agouti-Related Peptide, Npy, Fat Mass And Obesity-Associated Protein (fto), Ampkα, and mtor.']	N/A	N/A	[('UBERON_0001954', "Ammon's horn", 0, 'Hypothalami'), ('PR_000045358', 'insulin family protein', 30, 'insulin'), ('PR_000001244', 'long-wave-sensitive opsin 1', 65, 'ObR'), ('PR_000013453', 'tyrosine-protein phosphatase non-receptor type 18', 113, 'PTP1B'), ('PR_000001188', 'alpha-2C adrenergic receptor', 121, 'adiponectin receptors'), ('PR_000000067', 'activin receptor type-1', 151, 'AdnR1'), ('PR_000000067', 'activin receptor type-1', 161, 'AdnR2'), ('GO_0019221', 'cytokine-mediated signaling pathway', 183, 'cytokine signaling'), ('CHEBI_69086', 'glycyrin', 203, 'ghrelin'), ('PR_000001593', 'leucine-rich repeat-containing G-protein coupled receptor 6', 203, 'ghrelin receptor'), ('PR_000001244', 'long-wave-sensitive opsin 1', 221, 'melanocortin receptors'), ('PR_000001244', 'long-wave-sensitive opsin 1', 245, 'MC4R'), ('PR_000001244', 'long-wave-sensitive opsin 1', 254, 'MC3R'), ('PR_000003890', 'A-kinase anchor protein 3', 261, 'agouti-related peptide'), ('PR_000011368', 'N-acetylneuraminate lyase', 285, 'NPY'), ('PR_000007702', 'galactoside alpha-(1,2)-fucosyltransferase 1', 290, 'fat mass and obesity-associated protein'), ('PR_000004510', 'ataxin-7-like protein 2', 337, 'AMPKα')]
PMC3192420	7/2011	S155-PMC3192420	['Agrp , Agouti-Related Peptide; Dnmt1 , Dinucleotide Methyl Transferase 1; Ghsr , Ghrelin Receptor; Glut1 , Glucose Transporter 1; Ir , Insulin Receptor; Socs3 , suppressor of Cytokine Signalling.']	N/A	N/A	[('PR_000003580', 'ABI gene family member 3', 0, 'AgRP'), ('PR_000004268', 'AT-rich interactive domain-containing protein 4B', 7, 'Agouti-related peptide'), ('PR_000006564', 'dynein heavy chain 5, axonemal', 31, 'DNMT1'), ('PR_000006279', 'death-associated protein-like 1', 39, 'dinucleotide methyl transferase 1'), ('PR_000007939', 'glial fibrillary acidic protein', 74, 'GHSR'), ('PR_000001593', 'leucine-rich repeat-containing G-protein coupled receptor 6', 81, 'ghrelin receptor'), ('PR_000015065', 'solute carrier family 2, facilitated glucose transporter member 3', 99, 'GLUT1'), ('CHEBI_17234', 'glucose', 107, 'glucose'), ('PR_000015064', 'solute carrier family 2, facilitated glucose transporter member 2', 107, 'glucose transporter 1'), ('PR_000002050', 'interferon regulatory factor 8', 130, 'IR'), ('PR_000001365', 'interleukin-10 receptor subunit alpha', 135, 'insulin receptor'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 153, 'SOCS3'), ('GO_0019221', 'cytokine-mediated signaling pathway', 175, 'cytokine signalling')]
PMC3264579	1/2012	S26-PMC3264579	['phosphorylation of leprb tyr1138leads to the phosphorylation, Dimerization and Nuclear Translocation of the Signal Transducer And Activator Of Transcription (Stat3) which activates the transcription of the suppressor Of Cytokine Signaling-3 (Socs-3).']	N/A	N/A	[('GO_0046983', 'protein dimerization activity', 62, 'dimerization'), ('GO_0005634', 'nucleus', 79, 'nuclear'), ('GO_0007097', 'nuclear migration', 79, 'nuclear translocation'), ('PR_000015909', 'synaptotagmin-7', 108, 'signal transducer and activator of transcription'), ('PR_000015700', 'alpha-2,8-sialyltransferase 8F', 158, 'STAT3'), ('PR_000011611', 'oral-facial-digital syndrome 1 protein', 217, 'of cytokine signaling-3'), ('GO_0019221', 'cytokine-mediated signaling pathway', 220, 'cytokine signaling'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 242, 'SOCS-3')]
PMC3387724	7/2012	S210-PMC3387724	['for example, activation of the leptin receptor induced Expression of Suppressor Of Cytokine Signaling-3 (Socs-3).']	N/A	N/A	[('GO_0010467', 'gene expression', 55, 'expression'), ('PR_000015906', 'synaptotagmin-4', 69, 'suppressor of cytokine signaling-3'), ('GO_0019221', 'cytokine-mediated signaling pathway', 83, 'cytokine signaling'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 105, 'SOCS-3')]
PMC3820434	12/2012	S46-PMC3820434	['Cxcl5 blocks Insulin Signalling by activating the Janus Kinase-2/Signal Transducer And Activator Of Transcription-5/Suppressor Of Cytokine Signalling-2 (Jak2/Stat5/Socs2) pathways.']	N/A	N/A	[('PR_000006069', 'C-X-C motif chemokine 2', 0, 'CXCL5'), ('GO_0031129', 'inductive cell-cell signaling', 13, 'insulin signalling'), ('PR_000045358', 'insulin family protein', 13, 'insulin'), ('PR_000009211', 'lysine-specific demethylase 3A', 50, 'janus kinase-2'), ('PR_000014750', 'serine/arginine-rich splicing factor 11', 65, 'signal transducer and activator of transcription-5'), ('PR_000009268', 'calcium-activated potassium channel subunit beta-3', 116, 'suppressor of cytokine signalling-2'), ('GO_0019221', 'cytokine-mediated signaling pathway', 130, 'cytokine signalling'), ('PR_000009231', 'protein ajuba', 153, 'Jak2'), ('PR_000015700', 'alpha-2,8-sialyltransferase 8F', 158, 'STAT5'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 164, 'SOCS2')]
PMC4208652	6/2014	S117-PMC4208652	['(2014)* Rdhe2 Epidermal Dehydrogenase 2 Rnf135 Ring Finger Protein 135 Rps20 Ribosomal Protein S20 Scmh1 Sex Comb On Midleg Homolog 1 ●Scube3 signal Peptide cub‐Domain Egf‐Like 3 Sf3B4 Splicing Factor 3B Subunit 4 49 kda Sh3Gl3 sh3‐Domain Grb2‐Like 3 Socs2 suppressor Of Cytokine Signaling 2sutherland et al.']	N/A	N/A	[('PR_000013829', 'calcipressin-1', 8, 'RDHE2'), ('PR_000007140', 'epsin-3', 14, 'Epidermal dehydrogenase 2'), ('UBERON_0007376', 'outer epithelium', 14, 'Epidermal'), ('PR_000014090', 'E3 ubiquitin-protein ligase RNF146', 40, 'RNF135'), ('PR_000014130', 'RING finger protein 32', 47, 'Ring finger protein 135'), ('PR_000014290', '40S ribosomal protein S7', 71, 'RPS20'), ('GO_0005768', 'endosome', 77, 'Ribosomal'), ('PR_000014290', '40S ribosomal protein S7', 77, 'Ribosomal protein S20'), ('PR_000002099', 'sodium channel protein type 3 subunit alpha', 99, 'SCMH1'), ('PR_000014760', 'serine/arginine-rich splicing factor 3', 105, 'Sex comb on midleg homolog 1'), ('SO_0000853', 'homologous_region', 124, 'homolog'), ('PR_000014555', 'syntenin-2', 135, 'SCUBE3'), ('SO_0001434', 'cassette_pseudogene', 149, 'peptide'), ('SO_0000417', 'polypeptide_domain', 161, 'domain'), ('PR_000006911', 'selenocysteine-specific elongation factor', 168, 'EGF‐like 3'), ('PR_000014747', 'secreted frizzled-related protein 5', 179, 'SF3B4'), ('GO_0008380', 'RNA splicing', 185, 'Splicing'), ('PR_000015906', 'synaptotagmin-4', 185, 'Splicing factor 3b subunit 4'), ('PR_000014823', 'endophilin-A2', 221, 'SH3GL3'), ('SO_0000440', 'vector_replicon', 231, '‐domain'), ('PR_000008290', 'eukaryotic peptide chain release factor GTP-binding subunit ERF3A', 239, 'GRB2‐like 3'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 251, 'SOCS2'), ('PR_000011611', 'oral-facial-digital syndrome 1 protein', 268, 'of cytokine signaling'), ('GO_0019221', 'cytokine-mediated signaling pathway', 271, 'cytokine signaling')]
PMC4208652	6/2014	S167-PMC4208652	['the suppressor of Cytokine Signaling ( Socs ) 2 Cpg Islands are hypermethylated in Ovarian cancers.']	N/A	N/A	[('GO_0019221', 'cytokine-mediated signaling pathway', 18, 'cytokine signaling'), ('PR_000015395', 'suppressor of cytokine signaling 4', 39, 'SOCS ... 2'), ('SO_0000307', 'CpG_island', 48, 'CpG islands'), ('UBERON_0000992', 'ovary', 83, 'ovarian')]
PMC4277409	12/2014	S192-PMC4277409	['in the presence of Chir99021, the increase in Chemokine Expression and Release induced by Lps was significantly attenuated.']	N/A	N/A	[('CHEBI_64066', 'CGP 78608(1+)', 19, 'CHIR99021'), ('GO_0019221', 'cytokine-mediated signaling pathway', 46, 'chemokine expression ... release'), ('CHEBI_16412', 'lipopolysaccharide', 90, 'LPS')]
PMC4302093	1/2015	S119-PMC4302093	['Stat5 promotes the Expression of Suppressor Of Cytokine Signaling proteins (Socs) [107].']	N/A	N/A	[('PR_000015700', 'alpha-2,8-sialyltransferase 8F', 0, 'STAT5'), ('GO_0010467', 'gene expression', 19, 'expression'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 33, 'suppressor of cytokine signaling'), ('GO_0019221', 'cytokine-mediated signaling pathway', 47, 'cytokine signaling'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 76, 'SOCS')]
PMC4979151	8/2016	S100-PMC4979151	['compared to unstimulated control Lymphocytes, Pha stimulation significantly down-regulated many C-C Chemokine receptors (Ccr1, Ccr2, Ccr3 and Ccr5), multiple toll-like receptors (tlrs)(Tlr1, Tlr2, Tlr4, Tlr6, Tlr9), Cxcr4, Clec7A (C-Type Lectin Domain Family 7, Member A), Socs5 (Suppressor Of Cytokine Signaling 55), Icoslg (Inducible T-Cell Co-Stimulator Ligand), Cd3D and Cd3G (subunits in cd3-T Cell receptor Complex), Cd8B (B Subunit On Cytotoxic T Cells), Cd81 (Expressed on T Lymphocytes), Tgf-Β, Ifngr1, Ifngr2 (receptors of ifn-γ), Hla-Dr, Nck1, Nck2, and Histone deacetylases (Hdac4-9) (fig.']	N/A	N/A	[('CL_0000542', 'lymphocyte', 33, 'lymphocytes'), ('CHEBI_34926', 'Pitrazepin', 46, 'PHA'), ('PR_000004915', 'carbonic anhydrase 12', 96, 'C-C'), ('CHEBI_28969', 'N,N-dimethyltryptamine', 100, 'chemokine'), ('PR_000001204', 'C-C chemokine receptor type 8', 121, 'CCR1'), ('PR_000001204', 'C-C chemokine receptor type 8', 127, 'CCR2'), ('PR_000001204', 'C-C chemokine receptor type 8', 133, 'CCR3'), ('PR_000001204', 'C-C chemokine receptor type 8', 142, 'CCR5'), ('PR_000001155', 'Toll-like receptor 4', 185, 'TLR1'), ('PR_000001155', 'Toll-like receptor 4', 191, 'TLR2'), ('PR_000001155', 'Toll-like receptor 4', 197, 'TLR4'), ('PR_000001155', 'Toll-like receptor 4', 203, 'TLR6'), ('PR_000001155', 'Toll-like receptor 4', 209, 'TLR9'), ('PR_000001209', 'C-X-C chemokine receptor type 5', 216, 'CXCR4'), ('PR_000005563', 'C-type lectin domain family 18 member C', 223, 'CLEC7A'), ('PR_000029352', 'centrosomal protein of 85 kDa', 231, 'C-type lectin domain family 7, member A'), ('SO_0000417', 'polypeptide_domain', 245, 'domain'), ('PR_000015399', 'superoxide dismutase [Cu-Zn]', 273, 'SOCS5'), ('PR_000015319', 'snRNA-activating protein complex subunit 4', 280, 'Suppressor of cytokine signaling 55'), ('GO_0019221', 'cytokine-mediated signaling pathway', 294, 'cytokine signaling'), ('PR_000008898', 'immediate early response 3-interacting protein 1', 318, 'ICOSLG'), ('PR_000008893', 'isopentenyl-diphosphate Delta-isomerase 2', 326, 'Inducible T-cell co-stimulator ligand'), ('CL_0000084', 'T cell', 336, 'T-cell'), ('GO_0005854', 'nascent polypeptide-associated complex', 337, '-'), ('PR_000002030', 'alpha-type platelet-derived growth factor receptor', 366, 'CD3D'), ('PR_000005170', 'CD37 molecule', 375, 'CD3G'), ('CL_0000918', 'Tc2 cell', 397, 'T Cell'), ('GO_0032991', 'protein-containing complex', 413, 'complex'), ('PR_000005170', 'CD37 molecule', 423, 'CD8B'), ('PR_000002195', 'caspase-1-like protease', 429, 'B subunit on'), ('CL_0000910', 'cytotoxic T cell', 442, 'cytotoxic T cells'), ('GO_0043066', 'negative regulation of apoptotic process', 442, 'cytotoxic'), ('PR_000016001', 'T-box transcription factor T', 452, 'T'), ('PR_000002060', 'lysosome-associated membrane glycoprotein 1', 462, 'CD81'), ('GO_0010467', 'gene expression', 468, 'expressed'), ('CL_0000084', 'T cell', 481, 'T lymphocytes'), ('PR_000000046', 'TGF-beta', 497, 'TGF-β'), ('PR_000008920', 'interferon alpha-7', 504, 'IFNGR1'), ('PR_000008920', 'interferon alpha-7', 512, 'IFNGR2'), ('PR_000002011', 'MHC class I histocompatibility antigen C alpha chain', 541, 'HLA-DR'), ('PR_000011040', 'nuclear receptor coactivator 1', 549, 'NCK1'), ('PR_000011040', 'nuclear receptor coactivator 1', 555, 'NCK2'), ('CHEBI_15358', 'histone', 565, 'histone'), ('PR_000043452', 'core histone', 565, 'histone'), ('PR_000008488', 'histone deacetylase 9', 587, 'HDAC4')]
PMC4979151	8/2016	S142-PMC4979151	['Cytokine Signaling is contained by multiple tiers of Control where specific responses elicited by cytokine stimulation, their threshold and magnitude are Regulated by numerous mechanisms [36].']	N/A	N/A	[('GO_0019221', 'cytokine-mediated signaling pathway', 0, 'Cytokine signaling'), ('GO_0065007', 'biological regulation', 53, 'control'), ('GO_0065007', 'biological regulation', 154, 'regulated')]
