OBO_ID (LABEL):	GO_0005737 (cytoplasm)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2396486	6/2008	S91-PMC2396486	['red circles indicate increased spots, blue circles indicate spots reduced in the average gel in dvd Animals.10.1371/journal.pone.0002383.t001\n\ncaption (table-wrap): table 1\nsummary of differentially Expressed protein spots in Nucleus Accumbens Tissue from Adult Dvd-deficient and control ratsfold changep valueproteinuniprot accession numbermowse scoremolecular weightph Calcium binding proteins 1.140.031calreticulin calrp18418114479664.33-1.250.050calbindin (Calretinin) calb2p47728156313844.94-1.180.045calbindin calb1p0717169299754.711.170.032hippocalcin hpcap8407679224134.87 General Cellular Metabolism proteins 1.470.026l-Lactate Dehydrogenase B Chain ldhbp42123119365895.701.230.004aldose reductase aldrp07943154357746.26-1.110.014crystallin, Mu crymq9qyu496335335.34-1.090.030malate dehydrogenase, Cytoplasmic mdhco8898969364606.16-1.350.030glycerol-3-Phosphate dehydrogenase [Nad+], Cytoplasmic gpdao35077141374286.16-1.170.043glutathione s-transferase p gstp1p0490678234246.89 Mitochondria Proteins -1.540.041hexokinase 1 hxk1p05708761023426.29-1.350.048dynamin 1-Like Protein dnm1lo35303106838566.64-1.120.046ubiquinol-Cytochrome-C Reductase Complex Core Protein 1, uqcr1q68fy0145528155.57-1.140.033isocitrate Dehydrogenase (Nad) Subunit Alpha, Mitochondrial idh3aq99na5113395886.471.160.037idh3aq99na5117..-1.370.011nadh Dehydrogenase 1 Alpha Subcomplex Subunit 10, nduaaq561s0219404687.64-1.100.039pyruvate dehydrogenase e1 component Subunit Beta, odpbp4943295389576.20-1.180.033voltage-Dependent Anion-Selective Channel Protein 2 vdac2p8115559317267.44 signal transduction and map-related proteins -1.280.007mitogen-Activated Protein Kinase 1 (Erk-2; Mapk 2) mk01p6308657412496.50-1.240.009serine/threonine-protein phosphatase 2a catalytic subunit beta Isoform pp2abp62716107355525.211.230.036guanine nucleotide-binding protein g(i)/g(s)/g(t) Subunit Beta 1 gbb1p5431164373535.60-1.150.031guanine nucleotide-binding protein g(i)/g(s)/g(t) subunit Beta 2 gbb2p5431374373075.60-1.240.029dynamin 1 dyn1p21575152958676.32-1.670.047thimet oligopeptidase mepdp24155112782645.54-1.220.006dihydropyrimidinase-Related Protein 2 (Drp-2; Crmp-2) dpyl2p47942101622395.951.170.038dpyl2p4794253..1.240.007dpyl2p4794285..-1.210.024syntaxin-Binding Protein 1 stxb1p6176591675266.49-1.250.036adenosylhomocysteinase sahhp1076093475076.071.310.013ras-Related Protein Rab-3C rab3cp6282464258565.101.140.003beta-synuclein syubq6375456144954.481.170.013myosin Light Polypeptide 6 myl6q6411954169644.46 proteins not otherwise classified 1.480.011eukaryotic initiation factor 4a-ii if4a2q5rki190463735.331.190.001glyceraldehyde-3-Phosphate dehydrogenase g3pp0479778358058.14-1.150.047adp-ribosylation factor 1 arf1p84079128206846.32\ningenuity pathway analysis identified two major networks; (a) Cellular Movement, Cellular Assembly and Organization, Cell Signaling; and (b) protein synthsis, rna post-transcriptional modification, cancer.']	N/A	N/A	[('NCBITaxon_33208', 'Metazoa', 100, 'animals'), ('GO_0010467', 'gene expression', 199, 'expressed'), ('UBERON_0001882', 'nucleus accumbens', 226, 'nucleus accumbens'), ('UBERON_0000479', 'tissue', 244, 'tissue'), ('UBERON_0007023', 'adult organism', 256, 'adult'), ('PR_000006770', 'cytoplasmic dynein 1 heavy chain 1', 262, 'DVD'), ('CHEBI_31341', 'calcium dihydroxide', 371, 'Calcium'), ('PR_000004968', 'calretinin', 461, 'calretinin'), ('GO_0007631', 'feeding behavior', 581, 'General'), ('GO_0044237', 'cellular metabolic process', 589, 'cellular metabolism'), ('CHEBI_24996', 'lactate', 629, 'lactate'), ('PR_000009791', 'LIM/homeobox protein Lhx1', 629, 'lactate dehydrogenase B chain'), ('NCBITaxon_10088', 'Mus <genus>', 751, 'mu'), ('GO_0005737', 'cytoplasm', 807, 'cytoplasmic'), ('CHEBI_15588', '(R)-malate(2-)', 858, '-3-phosphate'), ('CHEBI_34739', 'equilenin', 886, 'NAD+],'), ('GO_0005737', 'cytoplasm', 893, 'cytoplasmic'), ('GO_0005739', 'mitochondrion', 988, 'Mitochondria'), ('PR_000010050', 'transcription factor MafG', 988, 'Mitochondria Proteins'), ('PR_000003770', 'all-trans-retinol dehydrogenase [NAD(+)] ADH4', 1031, '1'), ('PR_000003930', 'methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial', 1073, '1-like protein'), ('PR_000004593', 'N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3', 1130, '-cytochrome-c reductase complex core protein 1'), ('CHEBI_75050', 'chromogenic compound', 1131, 'cytochrome-c'), ('GO_0030128', 'clathrin coat of endocytic vesicle', 1141, '-c reductase complex core protein 1'), ('PR_000006279', 'death-associated protein-like 1', 1222, 'dehydrogenase ...'), ('CHEBI_13389', 'NAD', 1237, 'NAD'), ('PR_000001224', 'medium-wave-sensitive opsin', 1237, 'NAD ... subunit alpha'), ('GO_0005739', 'mitochondrion', 1257, 'mitochondrial'), ('PR_000006629', 'docking protein 2', 1334, 'dehydrogenase 1 alpha subcomplex subunit 10'), ('GO_0031105', 'septin complex', 1356, 'subcomplex'), ('PR_000015908', 'synaptotagmin-6', 1448, 'subunit beta'), ('PR_000004671', 'HMG box transcription factor BBX', 1500, '-dependent anion-selective channel protein 2'), ('CHEBI_22563', 'anion', 1511, 'anion'), ('PR_000004593', 'N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3', 1630, '-activated protein kinase 1'), ('PR_000007164', 'general transcription and DNA repair factor IIH helicase subunit XPD', 1659, 'ERK-2'), ('PR_000010147', 'microtubule-associated protein 6', 1666, 'MAPK 2'), ('SO_0001060', 'sequence_variant', 1768, 'isoform'), ('PR_000013350', 'pregnancy-specific beta-1-glycoprotein 2', 1856, ') subunit beta 1'), ('PR_000004606', 'beta-1,4-galactosyltransferase 2', 1962, 'beta 2'), ('PR_000003770', 'all-trans-retinol dehydrogenase [NAD(+)] ADH4', 2008, '1'), ('PR_000004806', 'bromodomain-containing protein 2', 2115, '-related protein 2'), ('PR_000006660', 'dipeptidyl peptidase 3', 2135, 'DRP-2'), ('PR_000005875', 'cysteine-rich protein 3', 2142, 'CRMP-2'), ('PR_000004806', 'bromodomain-containing protein 2', 2239, '-binding protein 1'), ('PR_000004759', 'Bloom syndrome protein', 2346, '-related protein'), ('PR_000013639', 'Ras-related protein Rab-7a', 2363, 'Rab-3C'), ('PR_000009791', 'LIM/homeobox protein Lhx1', 2453, 'light polypeptide 6'), ('CHEBI_15588', '(R)-malate(2-)', 2618, '-3-phosphate'), ('GO_0001905', 'activation of membrane attack complex', 2786, 'Cellular Movement'), ('GO_0044277', 'cell wall disassembly', 2805, 'cellular assembly'), ('GO_0009566', 'fertilization', 2827, 'organization'), ('GO_0007267', 'cell-cell signaling', 2841, 'cell signaling')]
PMC2658734	4/2009	S65-PMC2658734	['Pre-Mirnas bear a two nt 3′-Overhang that contributes to Pre-Mirna Export Out of the Nucleus to the Cytoplasm by a Rangtp/exportin- 5-dependent mechanism [26].']	N/A	N/A	[('SO_0001244', 'pre_miRNA', 0, 'Pre-miRNAs'), ('SO_0001006', 'prophage', 26, '′-overhang'), ('SO_0001244', 'pre_miRNA', 57, 'pre-miRNA'), ('GO_0007618', 'mating', 61, 'miRNA'), ('GO_0051168', 'nuclear export', 67, 'export out ... nucleus'), ('GO_0005634', 'nucleus', 85, 'nucleus'), ('GO_0005737', 'cytoplasm', 100, 'cytoplasm'), ('PR_000013702', 'RNA-binding Raly-like protein', 115, 'RanGTP')]
PMC2658734	4/2009	S66-PMC2658734	['Dicer, a Cytoplasmic rnaseiii enzyme, then subjects Pre-Mirna to a second cleavage step in the Cytoplasm.']	N/A	N/A	[('PR_000006305', 'dermcidin', 0, 'Dicer'), ('GO_0005737', 'cytoplasm', 9, 'cytoplasmic'), ('SO_0001244', 'pre_miRNA', 52, 'pre-miRNA'), ('GO_0005737', 'cytoplasm', 95, 'cytoplasm')]
PMC2658734	4/2009	S78-PMC2658734	['Pre-Mirnas are exported out of the Nucleus to the Cytoplasm by the Rangtp/Exportin-5-dependent mechanism.']	N/A	N/A	[('SO_0001244', 'pre_miRNA', 0, 'Pre-miRNAs'), ('GO_0005634', 'nucleus', 35, 'nucleus'), ('GO_0005737', 'cytoplasm', 50, 'cytoplasm'), ('PR_000013702', 'RNA-binding Raly-like protein', 67, 'RanGTP'), ('PR_000007129', 'ephrin type-B receptor 1', 74, 'exportin-5')]
PMC2658734	4/2009	S123-PMC2658734	['Amos are targeting mature Mirna Molecules in Cytoplasm and designed to block its function in mirisc [46].']	N/A	N/A	[('CHEBI_32038', 'pralidoxime iodide', 0, 'AMOs'), ('SO_0000276', 'miRNA', 26, 'miRNA'), ('CHEBI_36357', 'polyatomic entity', 32, 'molecules'), ('GO_0005737', 'cytoplasm', 45, 'cytoplasm')]
PMC3219760	10/2011	S42-PMC3219760	['Iron, in its reduced form, enters the Enterocyte Cytoplasm by means of a Membrane transporter.']	N/A	N/A	[('CHEBI_24870', 'ion', 0, 'Iron'), ('CL_0000584', 'enterocyte', 38, 'enterocyte'), ('GO_0005737', 'cytoplasm', 49, 'cytoplasm'), ('GO_0016020', 'membrane', 73, 'membrane')]
PMC3219760	10/2011	S49-PMC3219760	['once in Cytoplasm, in Hematopoietic Cells, iron enters the Mitochondria to participate in the synthesis of the Heme Group, an essential component of hemoglobin.']	N/A	N/A	[('GO_0005737', 'cytoplasm', 8, 'cytoplasm'), ('CL_0000988', 'hematopoietic cell', 22, 'hematopoietic cells'), ('GO_0030097', 'hemopoiesis', 22, 'hematopoietic'), ('GO_0005739', 'mitochondrion', 59, 'mitochondria'), ('CHEBI_51142', 'amino groups', 111, 'heme group')]
PMC3401547	7/2012	S25-PMC3401547	['the transport through the syncytiotrophoblast includes the influx of Neutral, Anionic, and Cationic amino Acids across the mvm, the passage through the Cytoplasm of the Trophoblasts, and the transfer outside the Trophoblasts across the basal membrane into the fetal circulation.']	N/A	N/A	[('CHEBI_46949', 'thiadiazepane', 69, 'neutral'), ('CHEBI_35492', 'cystine zwitterion', 78, 'anionic'), ('CHEBI_36916', 'cation', 91, 'cationic'), ('CHEBI_37527', 'acid', 106, 'acids'), ('GO_0005737', 'cytoplasm', 152, 'cytoplasm'), ('UBERON_0000088', 'trophoblast', 169, 'trophoblasts'), ('UBERON_0000088', 'trophoblast', 212, 'trophoblasts')]
PMC3407139	7/2012	S124-PMC3407139	['Mitochondria are present in the Cytoplasm of cells, and contain their own 16,569 Base-Pair circular genome[34].']	N/A	N/A	[('GO_0005739', 'mitochondrion', 0, 'Mitochondria'), ('GO_0005737', 'cytoplasm', 32, 'cytoplasm'), ('SO_0000028', 'base_pair', 81, 'base-pair')]
PMC3415261	7/2012	S59-PMC3415261	['data from Humans report that B Cells appear in the fetal Spleen together with Liver, Bone Marrow, and Lymph Nodes at 7-8 weeks of Gestation, and these B Cells possess an immature phenotype with no Surface Immunoglobulins but Cytoplasmic Igm [26].']	N/A	N/A	[('NCBITaxon_9606', 'Homo sapiens', 10, 'humans'), ('CL_0000236', 'B cell', 29, 'B cells'), ('UBERON_0002106', 'spleen', 57, 'spleen'), ('UBERON_0002107', 'liver', 78, 'liver'), ('UBERON_0002371', 'bone marrow', 85, 'bone marrow'), ('UBERON_0000029', 'lymph node', 102, 'lymph nodes'), ('GO_0007565', 'female pregnancy', 130, 'gestation'), ('CL_0000236', 'B cell', 151, 'B cells'), ('GO_0097420', 'skein-like inclusion', 197, 'surface immunoglobulins'), ('GO_0005737', 'cytoplasm', 225, 'cytoplasmic'), ('GO_0071754', 'IgM immunoglobulin complex, circulating', 237, 'IgM')]
PMC3423345	8/2012	S27-PMC3423345	['10-formyl-thf: 10-Formyl-Tetrahydrofolate; 5,10-Ch\u200a=\u200athf: 5,10-methenyltetrahydrofolate; 5,10-Ch2-thf: 5,10-Methylenetetrahydrofolate; 5-Ch3-thf: 5-Methyltetrahydrofolate; badh: betaine Aldehyde dehydrogenase; bhmt: betaine-Homocysteine s -methyltransferase; Cbs: cystathionine beta synthase; chdh: Choline dehydrogenase; cys: cysteine; cshmt: Cytoplasmic serine hydroxymethyltransferase; dd: Dimethylglycine dehydrogenase; Dhf: Dihydrofolate; dhfr: Dihydrofolatereductase; dmg: dimethylglycine; dump: 2′-Deoxyuridine 5′-monophosphate; ftd: 10-Formyl-Tetrahydrofolate dehydrogenase; fts: 10-Formyl-Tetrahydrofolate synthase; gdc: glycine decarboxylase; gly: glycine; Gnmt: glycine n -methyltransferase; Hcy: Homocysteine; mat, methionine adenosyltransferase; met: methionine; ms: methionine synthase; mshmt: Mitochondrial serine hydroxymethyltransferase; mtch: 5,10-Methylenetetrahydrofolate Cyclohydrolase; mthfd: 5,10-Methylenetetrahydrofolate dehydrogenase; mthfr: 5,10-Methylenetetrahydrofolate reductase; mts, s -adenosyl methionine-dependent methyltransferases; sah, s -Adenosyl Homocysteine; sahh: S -Adenosyl Homocysteine hydrolase; sam: S -Adenosyl Methionine; Sarc: Sarcosine; Sdh: sarcosine dehydrogenase; ser: serine; thf: Tetrahydrofolate; ts: thymidylate synthase.']	N/A	N/A	[('CHEBI_42485', 'formyl group', 18, 'formyl'), ('CHEBI_67016', 'tetrahydrofolate', 25, 'tetrahydrofolate'), ('CHEBI_17996', 'chloride', 48, 'CH'), ('CHEBI_17883', 'hydrogen chloride', 94, 'CH2'), ('CHEBI_20612', '5-methyltetrahydrofolate', 103, '5,10-methylenetetrahydrofolate'), ('CHEBI_65934', 'furowanin B', 135, '5-CH3'), ('CHEBI_20612', '5-methyltetrahydrofolate', 146, '5-methyltetrahydrofolate'), ('CHEBI_17478', 'aldehyde', 186, 'aldehyde'), ('CHEBI_17088', 'monoacyl-sn-glycerol 3-phosphate', 224, 'homocysteine'), ('PR_000005255', 'cyclin-dependent kinase 2-associated protein 2', 259, 'CBS'), ('CHEBI_15354', 'choline', 299, 'choline'), ('GO_0005737', 'cytoplasm', 344, 'cytoplasmic'), ('CHEBI_28212', 'deethylatrazine', 393, 'dimethylglycine'), ('CHEBI_42098', 'digoxigenin', 424, 'DHF'), ('CHEBI_36263', 'hydrogenmolybdate', 429, 'dihydrofolate'), ('CHEBI_33974', 'magnesium(1+)', 450, 'dihydrofolatereductase'), ('CHEBI_73956', '(S)-2-chloropropanoic acid', 502, '2′-deoxyuridine'), ('CHEBI_37983', 'sulfur-35 atom', 541, '10'), ('CHEBI_42485', 'formyl group', 544, 'formyl'), ('CHEBI_67016', 'tetrahydrofolate', 551, 'tetrahydrofolate'), ('CHEBI_19641', '2-hydroxyisobutyrate', 588, '10-formyl-tetrahydrofolate'), ('GO_0051318', 'G1 phase', 667, 'GNMT'), ('CHEBI_37958', 'dye', 703, 'Hcy'), ('CHEBI_17088', 'monoacyl-sn-glycerol 3-phosphate', 708, 'homocysteine'), ('GO_0005739', 'mitochondrion', 808, 'mitochondrial'), ('CHEBI_20612', '5-methyltetrahydrofolate', 861, '5,10-methylenetetrahydrofolate'), ('CHEBI_495055', 'beta-cyclodextrin', 892, 'cyclohydrolase'), ('CHEBI_52071', 'dextran', 915, '5,'), ('CHEBI_18123', 'N-methylnicotinate', 917, '10-methylenetetrahydrofolate'), ('CHEBI_18123', 'N-methylnicotinate', 970, '10-methylenetetrahydrofolate'), ('CHEBI_59650', 'amino fatty acid', 1075, '-adenosyl homocysteine'), ('CHEBI_17575', 'S-(5-deoxy-D-ribos-5-yl)-L-homocysteine', 1105, 'S -adenosyl homocysteine'), ('CHEBI_50770', 'N,N-dihydroxypentahomomethionine', 1146, 'S -adenosyl methionine'), ('PR_000014759', 'protein SCAF11', 1170, 'Sarc'), ('PR_000002097', 'sodium channel protein type 11 subunit alpha', 1176, 'sarcosine'), ('CHEBI_8984', 'sodium dodecyl sulfate', 1187, 'SDH'), ('CHEBI_67016', 'tetrahydrofolate', 1235, 'tetrahydrofolate')]
PMC3424155	8/2012	S60-PMC3424155	['mature clusters are vascularized and formed by an increase in the Cytoplasm of Podocytes and invaginations into the center of Mesangial area, creating a sphere[11],[16].']	N/A	N/A	[('GO_0005737', 'cytoplasm', 66, 'cytoplasm'), ('CL_0000653', 'glomerular visceral epithelial cell', 79, 'podocytes'), ('UBERON_0001042', 'chordate pharynx', 126, 'mesangial')]
PMC3518064	11/2012	S68-PMC3518064	['these five stages include (1) the emergence of loose Connective Tissue, (2) Proliferation of primitive Vessels associated with Mesenchymal condensation, (3) Mesenchymal cells differentiating into stellate Preadipocytes within a vascular structure or Glomerulus, (4) appearance of fine fat Vacuoles in cell Cytoplasm of Mesenchymal Lobules, and (5) Fat Lobules well separated from each other by dense septae of Perilobular Mesenchymal Tissue [54].']	N/A	N/A	[('UBERON_0002384', 'connective tissue', 53, 'connective tissue'), ('GO_0008283', 'cell proliferation', 76, 'proliferation'), ('UBERON_0000055', 'vessel', 103, 'vessels'), ('UBERON_0003104', 'mesenchyme', 127, 'mesenchymal'), ('UBERON_0003104', 'mesenchyme', 157, 'mesenchymal'), ('CL_0002334', 'preadipocyte', 205, 'preadipocytes'), ('UBERON_0001047', 'neural glomerulus', 250, 'glomerulus'), ('GO_0005773', 'vacuole', 289, 'vacuoles'), ('GO_0005737', 'cytoplasm', 306, 'cytoplasm'), ('UBERON_0003104', 'mesenchyme', 319, 'mesenchymal lobules'), ('UBERON_0000323', 'late embryo', 348, 'fat lobules'), ('UBERON_0012101', 'perinatal stage', 410, 'perilobular'), ('UBERON_0003104', 'mesenchyme', 422, 'mesenchymal tissue')]
