OBO_ID (LABEL):	GO_0005829 (cytosol)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2780862	12/2009	S97-PMC2780862	['after exercise, Hdac5 is phosphorylated by amp-activated protein kinase, dissociated from mef2, and exported from the Nucleus to the Cytosol (69–71).']	N/A	N/A	[('PR_000008488', 'histone deacetylase 9', 16, 'HDAC5'), ('GO_0005634', 'nucleus', 118, 'nucleus'), ('GO_0005829', 'cytosol', 133, 'cytosol')]
PMC3156909	9/2011	S49-PMC3156909	['for Cd36 quantification by immunoblotting, 4 µg and 6 µg of Cytosolic and Membrane extracts, respectively, were loaded and probed with 1/1000 Rabbit polyclonal anti-Cd36 Antibody (novus biologicals, inc. littleton, co, usa).']	N/A	N/A	[('PR_000002060', 'lysosome-associated membrane glycoprotein 1', 4, 'CD36'), ('GO_0005829', 'cytosol', 60, 'cytosolic'), ('GO_0016020', 'membrane', 74, 'membrane'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 142, 'rabbit'), ('PR_000002060', 'lysosome-associated membrane glycoprotein 1', 165, 'CD36'), ('GO_0042571', 'immunoglobulin complex, circulating', 170, 'antibody')]
PMC3321448	3/2012	S28-PMC3321448	['the receptors then translocate from the Plasma Membrane into Vesicular Cytosolic compartments and either targeted for degradation or dephosphorylation and recycled back to the Membrane.']	N/A	N/A	[('GO_0005886', 'plasma membrane', 40, 'plasma membrane'), ('GO_0031982', 'vesicle', 61, 'vesicular'), ('GO_0005829', 'cytosol', 71, 'cytosolic'), ('GO_0016020', 'membrane', 176, 'membrane')]
PMC3321448	3/2012	S52-PMC3321448	['western blot analysis\nHearts collected for western blot analysis from the langendorff study were used to prepare Cardiac Membrane and Cytosolic fractionated samples as described by fernandez-Twinn and colleagues [20].']	N/A	N/A	[('UBERON_0000948', 'heart', 22, 'Hearts'), ('UBERON_0000948', 'heart', 113, 'cardiac'), ('GO_0016020', 'membrane', 121, 'membrane'), ('GO_0005829', 'cytosol', 134, 'cytosolic'), ('PR_000016829', 'gamma-tubulin complex component 4', 191, 'Twinn')]
PMC3321448	3/2012	S55-PMC3321448	['the supernatant fraction was then spun at 100,000×\u2009g for 1\u2009h 20\u2009min at 4°c in an ultracentrifuge to generate a pellet and supernatant which corresponded to the Plasma Membrane and Cytosolic fractions, respectively.']	N/A	N/A	[('GO_0005886', 'plasma membrane', 160, 'plasma membrane'), ('GO_0005829', 'cytosol', 180, 'cytosolic')]
PMC3321448	3/2012	S89-PMC3321448	['Expression was measured in both Membrane (figure 1) and Cytosolic (figure 2) fractions prepared from each Heart.']	N/A	N/A	[('GO_0010467', 'gene expression', 0, 'Expression'), ('GO_0016020', 'membrane', 32, 'membrane'), ('GO_0005829', 'cytosol', 56, 'cytosolic'), ('UBERON_0000948', 'heart', 106, 'heart')]
PMC3355895	1/2011	S173-PMC3355895	['caption (fig): figure 1\n\nPlacental Calcium Transport: Calcium enters from the maternal circulation via facilitated transporters (Cat 1 and 2), crosses the Cytosol bound to proteins such as Calbindin and is then actively extruded into the fetal circulation by Na/ca exchanger and pmca proteins (Plasma Membrane calcium atpases) .']	N/A	N/A	[('GO_0007565', 'female pregnancy', 25, 'Placental'), ('UBERON_0001987', 'placenta', 25, 'Placental'), ('GO_0006816', 'calcium ion transport', 35, 'calcium transport'), ('CHEBI_31341', 'calcium dihydroxide', 54, 'Calcium'), ('PR_000015009', 'brain mitochondrial carrier protein 1', 129, 'CAT 1'), ('PR_000010222', 'muscleblind-like protein 2', 139, '2'), ('GO_0005829', 'cytosol', 155, 'cytosol'), ('PR_000004968', 'calretinin', 189, 'calbindin'), ('CHEBI_25614', 'nylons', 259, 'Na'), ('GO_0005886', 'plasma membrane', 294, 'plasma membrane')]
PMC3610650	3/2013	S77-PMC3610650	['the supernatant was removed, spun at 41000 rpm for 1 hr at 4°c to obtain the Cytosolic fraction (supernatant) and Membrane fraction (pellet resuspended in 15–30 µl of Lysis buffer).']	N/A	N/A	[('GO_0005829', 'cytosol', 77, 'cytosolic'), ('GO_0016020', 'membrane', 114, 'membrane'), ('GO_0019835', 'cytolysis', 167, 'lysis')]
PMC3610650	3/2013	S227-PMC3610650	['(e) representative immunoblots (Membrane fraction) of Dmt1+ire (Nramp21-a, alpha diagnostics), fpn, Dcytb, Hif-2Α (Nuclear fraction) and Ferritin H (Cytosolic fraction).']	N/A	N/A	[('GO_0016020', 'membrane', 32, 'membrane'), ('PR_000006606', 'DNA (cytosine-5)-methyltransferase 1', 54, 'Dmt1'), ('PR_000011409', 'nuclear receptor subfamily 4 group A member 2', 64, 'NRAMP21'), ('PR_000002015', 'MHC class II histocompatibility antigen alpha chain DRA', 100, 'Dcytb'), ('PR_000008594', 'histone H2B type 1-O', 107, 'Hif-2α'), ('GO_0005634', 'nucleus', 115, 'nuclear'), ('CHEBI_69271', 'Inflatin B', 137, 'Ferritin H'), ('PR_000007573', 'formin-like protein 3', 137, 'Ferritin H'), ('GO_0005829', 'cytosol', 149, 'cytosolic')]
PMC4100392	6/2014	S113-PMC4100392	['a key mediator of the upr is the mrna encoding to x-Box Dna Binding Protein 1 (xbp1), which is cleaved by the Cytosolic endoribonuclease motif of activated Ire-1 Α , allowing for Translation Of its Mrna and consequently the generation of xbp1, a potent transcription factor.']	N/A	N/A	[('PR_000004806', 'bromodomain-containing protein 2', 51, '-box DNA binding protein 1'), ('GO_0005829', 'cytosol', 110, 'cytosolic'), ('PR_000029559', 'interleukin-36 beta', 156, 'IRE-1 α'), ('SO_0001182', 'iron_responsive_element', 156, 'IRE'), ('GO_0006412', 'translation', 179, 'translation of'), ('GO_0006281', 'DNA repair', 198, 'mRNA')]
