	ARTICLE	ARTICLE DATE	NUM SENTENCES
1068	PMC4896250	4/2016	864
111	PMC2784897	12/2007	422
838	PMC4448820	5/2015	232
645	PMC4113768	7/2014	212
1047	PMC4864049	1/2016	153
614	PMC4037119	5/2014	148
934	PMC4661500	11/2014	142
662	PMC4154213	5/2014	140
799	PMC4392553	3/2015	139
136	PMC2888576	6/2010	131
937	PMC4663588	11/2015	122
782	PMC4377888	3/2015	122
1010	PMC4789467	3/2016	121
749	PMC4303849	1/2015	111
619	PMC4051754	6/2014	110
1459	PMC5680205	11/2017	109
1390	PMC5487839	3/2016	108
127	PMC2867001	5/2010	104
493	PMC3734354	7/2013	103
282	PMC3325178	4/2012	102
1124	PMC4977047	2/2016	100
572	PMC3907150	1/2014	98
171	PMC3029215	1/2011	96
502	PMC3749995	8/2013	95
518	PMC3794936	10/2013	93
639	PMC4100392	6/2014	91
723	PMC4263713	12/2014	91
1479	PMC5718612	12/2017	91
729	PMC4271720	12/2014	91
427	PMC3615950	3/2013	90
492	PMC3728489	7/2013	90
1212	PMC5093279	10/2016	90
362	PMC3500842	6/2011	89
606	PMC4026129	1/2014	88
656	PMC4143239	8/2014	87
1446	PMC5644840	4/2014	86
1123	PMC4977046	3/2016	86
319	PMC3407995	7/2012	86
898	PMC4581239	8/2015	86
612	PMC4034700	5/2014	85
557	PMC3877003	12/2013	85
778	PMC4372177	2/2015	85
1034	PMC4835505	4/2016	83
1076	PMC4910734	6/2015	83
948	PMC4682815	12/2015	83
1257	PMC5215441	7/2016	83
102	PMC2749934	9/2009	83
794	PMC4388824	4/2015	82
1245	PMC5153572	11/2016	82
161	PMC2996405	11/2010	82
650	PMC4129499	8/2014	80
1018	PMC4806285	3/2016	80
1210	PMC5091916	11/2016	78
837	PMC4446764	5/2015	78
212	PMC3138750	7/2011	77
1153	PMC5000726	8/2016	76
340	PMC3458940	9/2012	76
511	PMC3773449	8/2013	76
259	PMC3272870	12/2011	75
425	PMC3613945	2/2013	74
363	PMC3501517	11/2012	74
1026	PMC4820961	3/2016	74
527	PMC3820434	12/2012	73
1037	PMC4846845	4/2016	73
487	PMC3717170	5/2013	73
793	PMC4386645	3/2015	73
620	PMC4053091	4/2014	72
524	PMC3816674	12/2012	71
680	PMC4183922	6/2014	71
1092	PMC4933715	7/2016	71
634	PMC4089555	5/2014	71
1428	PMC5593991	9/2017	71
361	PMC3496584	7/2012	70
255	PMC3268605	8/2011	70
419	PMC3607807	3/2013	70
1167	PMC5025055	9/2016	69
1331	PMC5386978	4/2017	69
735	PMC4277121	12/2015	67
422	PMC3608974	2/2013	67
122	PMC2831965	1/2010	67
738	PMC4280220	12/2014	67
1268	PMC5241768	1/2017	66
1079	PMC4918713	6/2015	66
695	PMC4208652	6/2014	66
1066	PMC4892663	5/2016	66
1030	PMC4825102	2/2016	65
859	PMC4490503	6/2015	65
126	PMC2850511	4/2010	65
1080	PMC4919374	6/2016	64
1518	PMC5941617	5/2018	64
