	ARTICLE	ARTICLE DATE	NUM SENTENCES
1142	PMC4896250	4/2016	3424
685	PMC4113768	7/2014	1280
896	PMC4448820	5/2015	1013
687	PMC4120194	7/2014	1006
1211	PMC4990268	8/2016	829
118	PMC2784897	12/2007	651
1621	PMC5941617	5/2018	545
131	PMC2841444	2/2010	520
1210	PMC4989298	8/2016	477
90	PMC2679409	5/2009	408
20	PMC1448690	4/2006	398
1312	PMC5129285	11/2016	380
509	PMC3710934	7/2013	368
965	PMC4586450	10/2015	348
1012	PMC4676908	12/2015	339
1391	PMC5347102	3/2017	335
25	PMC1592148	7/2006	330
1166	PMC4933715	7/2016	326
1060	PMC4739499	2/2016	318
1124	PMC4869271	5/2016	315
854	PMC4392553	3/2015	299
235	PMC3183498	8/2011	296
401	PMC3532199	11/2012	294
1351	PMC5241768	1/2017	288
568	PMC3850030	9/2013	283
599	PMC3901973	5/2013	280
945	PMC4539876	7/2015	279
1145	PMC4903143	5/2016	267
1035	PMC4714725	1/2016	267
730	PMC4193257	7/1992	266
1003	PMC4663588	11/2015	266
1000	PMC4661500	11/2014	262
806	PMC4318168	1/2013	258
717	PMC4172095	8/2014	253
1205	PMC4980580	8/2016	248
1440	PMC5424401	10/2015	245
539	PMC3773919	9/2013	239
1255	PMC5030620	9/2016	239
1480	PMC5487839	3/2016	236
919	PMC4490503	6/2015	234
946	PMC4539881	7/2015	233
835	PMC4377879	3/2015	232
673	PMC4085190	7/2014	231
650	PMC4037119	5/2014	230
1001	PMC4661586	4/2015	229
1379	PMC5327873	1/2017	228
1292	PMC5091916	11/2016	227
442	PMC3607807	3/2013	225
964	PMC4586449	10/2015	223
1206	PMC4982007	8/2016	219
821	PMC4349447	3/2015	218
1034	PMC4703068	8/2015	218
410	PMC3544621	11/2012	216
339	PMC3407995	7/2012	214
1107	PMC4846845	4/2016	213
779	PMC4275593	9/2014	212
396	PMC3515887	11/2012	211
1018	PMC4683742	12/2015	210
320	PMC3366611	4/2012	209
1170	PMC4935697	7/2016	209
313	PMC3355854	3/2012	206
518	PMC3728489	7/2013	206
384	PMC3500842	6/2011	205
610	PMC3928864	1/2014	204
782	PMC4277121	12/2015	203
1350	PMC5241009	1/2017	203
890	PMC4438628	5/2015	201
255	PMC3238385	10/2010	199
1362	PMC5292182	1/2017	198
703	PMC4154213	5/2014	197
80	PMC2642759	1/2009	196
1342	PMC5216258	12/2016	196
563	PMC3828585	11/2013	195
1486	PMC5511638	7/2017	193
556	PMC3820434	12/2012	193
1620	PMC5924963	4/2018	193
769	PMC4260194	12/2014	193
1273	PMC5059968	10/2016	192
1457	PMC5445501	5/2017	191
987	PMC4627942	10/2015	190
