	ARTICLE	ARTICLE DATE	NUM SENTENCES
1144	PMC4896250	4/2016	7980
687	PMC4113768	7/2014	3044
898	PMC4448820	5/2015	1402
689	PMC4120194	7/2014	1214
1213	PMC4990268	8/2016	1144
120	PMC2784897	12/2007	1104
403	PMC3532199	11/2012	777
92	PMC2679409	5/2009	708
133	PMC2841444	2/2010	666
1014	PMC4676908	12/2015	652
1624	PMC5941617	5/2018	649
1295	PMC5091916	11/2016	632
1212	PMC4989298	8/2016	625
511	PMC3710934	7/2013	592
967	PMC4586450	10/2015	567
1394	PMC5347102	3/2017	510
1168	PMC4933715	7/2016	503
1002	PMC4661500	11/2014	492
257	PMC3238385	10/2010	481
20	PMC1448690	4/2006	481
705	PMC4154213	5/2014	463
1126	PMC4869271	5/2016	463
1315	PMC5129285	11/2016	460
1036	PMC4703068	8/2015	451
1458	PMC5444625	5/2017	434
541	PMC3773919	9/2013	433
570	PMC3850030	9/2013	430
1113	PMC4856298	5/2016	430
856	PMC4392553	3/2015	421
966	PMC4586449	10/2015	415
26	PMC1592148	7/2006	406
1127	PMC4871475	5/2016	402
823	PMC4349447	3/2015	401
1354	PMC5241768	1/2017	396
1062	PMC4739499	2/2016	396
1005	PMC4663588	11/2015	380
341	PMC3407995	7/2012	377
1382	PMC5327873	1/2017	376
1207	PMC4980580	8/2016	376
1037	PMC4714725	1/2016	372
947	PMC4539876	7/2015	369
642	PMC4018969	5/2014	363
1257	PMC5030620	9/2016	357
1443	PMC5424401	10/2015	354
1585	PMC5727393	12/2017	351
975	PMC4592566	10/2015	350
808	PMC4318168	1/2013	349
601	PMC3901973	5/2013	348
222	PMC3130670	6/2011	348
264	PMC3250923	10/2011	345
1456	PMC5442804	9/2016	344
730	PMC4192934	7/1989	343
412	PMC3544621	11/2012	340
236	PMC3180355	8/2011	340
447	PMC3608974	2/2013	339
732	PMC4193257	7/1992	337
1623	PMC5924963	4/2018	335
237	PMC3183498	8/2011	335
524	PMC3739737	8/2013	333
1147	PMC4903143	5/2016	332
1393	PMC5345907	1/2017	331
1208	PMC4982007	8/2016	329
398	PMC3515887	11/2012	329
612	PMC3928864	1/2014	328
1460	PMC5445501	5/2017	327
1003	PMC4661586	4/2015	327
769	PMC4258799	11/2014	326
771	PMC4260194	12/2014	326
1363	PMC5291430	2/2017	325
1494	PMC5516245	10/2016	322
1538	PMC5634437	10/2017	318
1448	PMC5434919	3/2017	317
1285	PMC5073870	10/2016	314
1372	PMC5307851	2/2017	312
652	PMC4037119	5/2014	311
82	PMC2642759	1/2009	307
1489	PMC5511638	7/2017	306
1275	PMC5059968	10/2016	303
1353	PMC5241009	1/2017	302
118	PMC2779500	11/2009	302
1211	PMC4988629	8/2016	301
948	PMC4539881	7/2015	301
558	PMC3820434	12/2012	298
763	PMC4246417	11/2014	298
665	PMC4065350	12/2013	297
921	PMC4490503	6/2015	297
1485	PMC5496067	6/2017	296
1106	PMC4835505	4/2016	296
1471	PMC5472316	6/2017	296
1172	PMC4935697	7/2016	293
1406	PMC5371292	3/2017	293
507	PMC3704911	7/2013	293
455	PMC3621213	1/2013	292
1639	PMC6039335	7/2018	292
1426	PMC5396145	10/2016	291
17	PMC1281295	10/2005	289
1076	PMC4774132	3/2016	289
968	PMC4586451	10/2015	288
1142	PMC4892663	5/2016	288
1602	PMC5800548	2/2018	287
1292	PMC5088205	11/2016	286
831	PMC4363193	3/2015	285
878	PMC4417529	4/2015	285
1015	PMC4680925	12/2015	284
719	PMC4172095	8/2014	284
330	PMC3385441	2/2012	284
1278	PMC5062906	10/2016	283
901	PMC4453242	5/2015	282
386	PMC3500842	6/2011	281
322	PMC3366611	4/2012	280
444	PMC3607807	3/2013	280
1091	PMC4807004	3/2016	280
699	PMC4143239	8/2014	279
422	PMC3561108	9/2012	279
304	PMC3338544	4/2012	279
59	PMC2367680	5/2008	278
364	PMC3462678	4/2012	278
569	PMC3849683	9/2013	278
781	PMC4275593	9/2014	277
1365	PMC5292182	1/2017	277
1483	PMC5487839	3/2016	275
564	PMC3828574	11/2013	274
639	PMC4015817	10/2013	274
675	PMC4085190	7/2014	274
1294	PMC5090877	11/2016	274
597	PMC3895739	12/2013	274
113	PMC2756957	10/2009	274
145	PMC2888390	6/2010	273
1139	PMC4891833	6/2016	273
1377	PMC5320754	2/2017	270
1311	PMC5119728	11/2016	268
784	PMC4277121	12/2015	268
1166	PMC4931906	5/2016	267
925	PMC4499946	7/2015	267
837	PMC4377879	3/2015	267
510	PMC3708703	6/2013	267
480	PMC3669017	5/2013	267
1627	PMC5956785	5/2018	267
1350	PMC5232347	1/2017	266
1020	PMC4683742	12/2015	266
807	PMC4316389	1/2015	264
871	PMC4409764	4/2015	263
1501	PMC5526977	7/2017	263
591	PMC3880212	12/2013	263
939	PMC4526903	6/2015	262
735	PMC4196482	11/2014	262
1586	PMC5732382	12/2017	262
1004	PMC4663580	11/2015	261
916	PMC4477503	6/2015	261
1215	PMC4992225	8/2016	261
221	PMC3127778	5/2011	261
1398	PMC5351212	3/2017	261
1325	PMC5139892	12/2016	260
1565	PMC5688482	11/2017	260
794	PMC4292819	1/2015	259
1170	PMC4934634	11/2015	259
485	PMC3675032	6/2013	259
905	PMC4463023	2/2015	259
1151	PMC4910255	6/2016	259
923	PMC4494359	11/2013	259
1260	PMC5035072	9/2016	258
1468	PMC5470056	4/2017	257
538	PMC3766643	8/2013	257
1058	PMC4736099	1/2016	257
663	PMC4062859	3/2014	257
568	PMC3829803	11/2013	256
1519	PMC5576377	8/2017	255
1345	PMC5216258	12/2016	255
1566	PMC5689158	11/2017	255
30	PMC1764147	12/2006	254
553	PMC3813450	10/2013	254
1093	PMC4810511	3/2016	254
1628	PMC5958072	5/2018	254
1080	PMC4784858	3/2016	252
1629	PMC5965027	5/2018	252
1109	PMC4846845	4/2016	252
100	PMC2707610	7/2009	252
799	PMC4302607	1/2015	252
532	PMC3751294	8/2013	252
1258	PMC5031324	9/2016	251
1548	PMC5651398	9/2017	251
1120	PMC4864049	1/2016	250
413	PMC3547777	12/2012	250
171	PMC2993657	11/2010	250
437	PMC3585827	1/2013	249
1338	PMC5187359	12/2016	249
565	PMC3828585	11/2013	248
686	PMC4110237	7/2014	248
481	PMC3669365	5/2013	248
1642	PMC6056931	7/2018	248
29	PMC1665416	11/2006	247
406	PMC3534233	11/2012	247
944	PMC4536216	8/2015	247
938	PMC4518609	5/2015	245
131	PMC2831965	1/2010	244
782	PMC4275595	9/2014	244
521	PMC3734354	7/2013	243
654	PMC4045304	2/2014	243
137	PMC2872320	3/2010	242
464	PMC3641012	4/2013	242
1379	PMC5325195	2/2017	241
721	PMC4173670	9/2014	241
1011	PMC4672086	12/2015	241
1520	PMC5578746	8/2017	241
869	PMC4407379	4/2015	239
484	PMC3674738	5/2013	239
715	PMC4169453	9/2014	238
1065	PMC4752592	2/2016	237
51	PMC2265059	3/2008	237
520	PMC3728489	7/2013	237
1541	PMC5640793	9/2017	237
1317	PMC5131456	11/2016	237
1034	PMC4701936	1/2016	237
707	PMC4155824	8/2014	236
973	PMC4591141	10/2015	236
722	PMC4176103	10/2013	236
1061	PMC4739392	2/2016	235
824	PMC4351952	3/2015	235
581	PMC3864158	12/2013	234
862	PMC4404046	4/2015	234
508	PMC3705146	5/2013	233
175	PMC2999828	3/2009	233
563	PMC3827496	11/2013	233
1146	PMC4897523	10/2014	232
1223	PMC4997301	9/2016	232
749	PMC4216170	7/2014	232
638	PMC4014765	3/2014	232
1307	PMC5116101	11/2016	231
1358	PMC5279975	12/2016	231
567	PMC3829207	11/2013	230
696	PMC4141279	8/2014	230
315	PMC3355854	3/2012	230
1465	PMC5452160	4/2017	230
359	PMC3436647	4/2012	230
347	PMC3415261	7/2012	230
1637	PMC6029118	7/2018	229
989	PMC4627942	10/2015	229
