	ARTICLE	ARTICLE DATE	NUM SENTENCES
1109	PMC4896250	4/2016	1630
115	PMC2784897	12/2007	479
670	PMC4113768	7/2014	378
873	PMC4448820	5/2015	296
970	PMC4661500	11/2014	191
535	PMC3794936	10/2013	186
290	PMC3325178	4/2012	185
831	PMC4392553	3/2015	181
687	PMC4154213	5/2014	179
575	PMC3877003	12/2013	179
1087	PMC4864049	1/2016	178
140	PMC2888576	6/2010	175
636	PMC4037119	5/2014	174
973	PMC4663588	11/2015	169
1509	PMC5680205	11/2017	157
813	PMC4377888	3/2015	156
177	PMC3029215	1/2011	153
1531	PMC5718612	12/2017	151
1050	PMC4789467	3/2016	151
1074	PMC4835505	4/2016	151
750	PMC4263713	12/2014	149
518	PMC3749995	8/2013	146
643	PMC4051754	6/2014	144
1300	PMC5215441	7/2016	143
826	PMC4388824	4/2015	143
375	PMC3501517	11/2012	142
722	PMC4208652	6/2014	141
778	PMC4303849	1/2015	138
763	PMC4277409	12/2014	137
1165	PMC4977047	2/2016	136
1209	PMC5025055	9/2016	135
1253	PMC5091916	11/2016	132
590	PMC3907150	1/2014	131
351	PMC3458940	9/2012	127
809	PMC4372177	2/2015	125
441	PMC3615950	3/2013	124
131	PMC2867001	5/2010	121
106	PMC2749934	9/2009	121
634	PMC4034700	5/2014	121
167	PMC2996405	11/2010	121
219	PMC3138750	7/2011	120
263	PMC3268605	8/2011	119
1437	PMC5487839	3/2016	118
508	PMC3734354	7/2013	118
681	PMC4143239	8/2014	118
1164	PMC4977046	3/2016	118
507	PMC3728489	7/2013	117
329	PMC3407995	7/2012	117
420	PMC3581200	3/2013	116
985	PMC4682815	12/2015	115
1328	PMC5303734	2/2017	114
872	PMC4446764	5/2015	112
1303	PMC5216338	1/2017	111
659	PMC4089555	5/2014	111
756	PMC4271720	12/2014	110
1066	PMC4820961	3/2016	110
664	PMC4100392	6/2014	109
1288	PMC5153572	11/2016	107
692	PMC4161853	8/2014	106
706	PMC4183922	6/2014	106
627	PMC4021291	4/2014	106
866	PMC4438573	5/2015	106
765	PMC4280220	12/2014	106
82	PMC2671035	5/2009	105
1377	PMC5386978	4/2017	104
1107	PMC4892663	5/2016	104
675	PMC4129499	8/2014	103
1255	PMC5093279	10/2016	103
1236	PMC5062906	10/2016	102
202	PMC3107945	5/2011	102
1133	PMC4933715	7/2016	102
545	PMC3820434	12/2012	102
606	PMC3946277	3/2014	101
374	PMC3500842	6/2011	100
1117	PMC4910734	6/2015	100
1411	PMC5442804	9/2016	99
990	PMC4685088	12/2015	98
859	PMC4425955	4/2015	98
770	PMC4292443	1/2015	97
1451	PMC5521778	7/2017	97
1454	PMC5526977	7/2017	97
628	PMC4026129	1/2014	97
1496	PMC5644840	4/2014	97
1507	PMC5678092	11/2017	97
126	PMC2831965	1/2010	95
1194	PMC5000726	8/2016	95
438	PMC3613945	2/2013	95
934	PMC4581239	8/2015	94
1478	PMC5593991	9/2017	94
1428	PMC5482199	2/2017	94
1431	PMC5484502	6/2017	94
1058	PMC4806285	3/2016	92
283	PMC3316748	10/2011	92
97	PMC2717130	7/2009	92
1422	PMC5470056	4/2017	91
527	PMC3773449	8/2013	91
782	PMC4314531	11/2014	91
1119	PMC4915063	6/2016	91
435	PMC3608974	2/2013	91
1070	PMC4825102	2/2016	91
216	PMC3131279	7/2011	91
644	PMC4053091	4/2014	90
295	PMC3342123	3/2012	90
1212	PMC5025983	8/2015	90
881	PMC4463828	5/2015	90
287	PMC3321454	3/2012	89
855	PMC4418750	6/2015	89
723	PMC4210519	10/2014	89
459	PMC3653849	5/2013	89
984	PMC4682386	12/2015	89
178	PMC3031146	1/2011	88
894	PMC4490503	6/2015	88
1257	PMC5094567	6/2016	88
267	PMC3272870	12/2011	88
807	PMC4368185	3/2015	88
373	PMC3496584	7/2012	87
686	PMC4152245	9/2014	87
42	PMC2022678	10/2007	87
1295	PMC5187359	12/2016	86
542	PMC3816674	12/2012	86
335	PMC3415261	7/2012	85
1556	PMC5804559	10/2017	85
800	PMC4352208	2/2015	85
460	PMC3654972	5/2013	84
825	PMC4386645	3/2015	84
1003	PMC4703052	1/2016	84
1435	PMC5486026	6/2017	84
432	PMC3607807	3/2013	83
1571	PMC5941617	5/2018	83
502	PMC3717170	5/2013	83
1311	PMC5241768	1/2017	83
1077	PMC4846845	4/2016	83
419	PMC3578836	2/2013	82
805	PMC4360220	2/2015	82
326	PMC3404662	4/2012	82
673	PMC4122175	8/2014	81
426	PMC3586494	2/2013	81
762	PMC4277121	12/2015	81
622	PMC4006733	5/2014	80
739	PMC4233040	11/2014	80
1469	PMC555773	9/2004	80
