	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4208652	6/2014	4.0	0.0
1	PMC3322122	4/2012	2.0	0.0
2	PMC3342123	3/2012	2.0	0.0
3	PMC2682672	6/2009	2.0	18.0
4	PMC3208550	11/2011	1.0	1.0
5	PMC3423345	8/2012	1.0	0.0
6	PMC3532199	11/2012	1.0	0.0
7	PMC3877003	12/2013	1.0	0.0
8	PMC4132016	8/2014	1.0	0.0
9	PMC3156909	9/2011	1.0	0.0
10	PMC4448820	5/2015	1.0	0.0
11	PMC4516488	9/2009	1.0	0.0
12	PMC4663595	11/2015	1.0	0.0
13	PMC4685088	12/2015	1.0	0.0
14	PMC4806285	3/2016	1.0	0.0
15	PMC5069446	10/2016	1.0	0.0
16	PMC5187359	12/2016	1.0	0.0
17	PMC6039335	7/2018	1.0	1.0
18	PMC5385335	4/2017	0.0	4.0
19	PMC3953741	3/2014	0.0	2.0
20	PMC3031146	1/2011	0.0	1.0
21	PMC3335729	3/2012	0.0	1.0
22	PMC3674738	5/2013	0.0	1.0
23	PMC3774699	10/2013	0.0	1.0
24	PMC3828638	11/2013	0.0	1.0
25	PMC4934568	10/2014	0.0	1.0
