	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4896250	4/2016	864.0	766.0
1	PMC2784897	12/2007	422.0	57.0
2	PMC4448820	5/2015	232.0	64.0
3	PMC4113768	7/2014	212.0	166.0
4	PMC4864049	1/2016	153.0	25.0
5	PMC4037119	5/2014	148.0	26.0
6	PMC4661500	11/2014	142.0	49.0
7	PMC4154213	5/2014	140.0	39.0
8	PMC4392553	3/2015	139.0	42.0
9	PMC2888576	6/2010	131.0	44.0
10	PMC4663588	11/2015	122.0	47.0
11	PMC4377888	3/2015	122.0	34.0
12	PMC4789467	3/2016	121.0	30.0
13	PMC4303849	1/2015	111.0	27.0
14	PMC4051754	6/2014	110.0	34.0
15	PMC5680205	11/2017	109.0	48.0
16	PMC5487839	3/2016	108.0	10.0
17	PMC2867001	5/2010	104.0	17.0
18	PMC3734354	7/2013	103.0	15.0
19	PMC3325178	4/2012	102.0	83.0
20	PMC4977047	2/2016	100.0	36.0
21	PMC3907150	1/2014	98.0	33.0
22	PMC3029215	1/2011	96.0	57.0
23	PMC3749995	8/2013	95.0	51.0
24	PMC3794936	10/2013	93.0	93.0
25	PMC4100392	6/2014	91.0	18.0
26	PMC4263713	12/2014	91.0	58.0
27	PMC5718612	12/2017	91.0	60.0
28	PMC4271720	12/2014	91.0	19.0
29	PMC3615950	3/2013	90.0	34.0
30	PMC3728489	7/2013	90.0	27.0
31	PMC5093279	10/2016	90.0	13.0
32	PMC3500842	6/2011	89.0	11.0
33	PMC4026129	1/2014	88.0	9.0
34	PMC4143239	8/2014	87.0	31.0
35	PMC5644840	4/2014	86.0	11.0
36	PMC4977046	3/2016	86.0	32.0
37	PMC3407995	7/2012	86.0	31.0
38	PMC4581239	8/2015	86.0	8.0
39	PMC4034700	5/2014	85.0	36.0
40	PMC3877003	12/2013	85.0	94.0
41	PMC4372177	2/2015	85.0	40.0
42	PMC4835505	4/2016	83.0	68.0
43	PMC4910734	6/2015	83.0	17.0
44	PMC4682815	12/2015	83.0	32.0
45	PMC5215441	7/2016	83.0	60.0
46	PMC2749934	9/2009	83.0	38.0
47	PMC4388824	4/2015	82.0	61.0
48	PMC5153572	11/2016	82.0	25.0
49	PMC2996405	11/2010	82.0	39.0
50	PMC4129499	8/2014	80.0	23.0
51	PMC4806285	3/2016	80.0	12.0
52	PMC5091916	11/2016	78.0	54.0
53	PMC4446764	5/2015	78.0	34.0
54	PMC3138750	7/2011	77.0	43.0
55	PMC5000726	8/2016	76.0	19.0
56	PMC3458940	9/2012	76.0	51.0
57	PMC3773449	8/2013	76.0	15.0
58	PMC3272870	12/2011	75.0	13.0
59	PMC3613945	2/2013	74.0	21.0
60	PMC3501517	11/2012	74.0	68.0
61	PMC4820961	3/2016	74.0	36.0
62	PMC3820434	12/2012	73.0	29.0
63	PMC4846845	4/2016	73.0	10.0
64	PMC3717170	5/2013	73.0	10.0
65	PMC4386645	3/2015	73.0	11.0
66	PMC4053091	4/2014	72.0	18.0
67	PMC3816674	12/2012	71.0	15.0
68	PMC4183922	6/2014	71.0	35.0
69	PMC4933715	7/2016	71.0	31.0
70	PMC4089555	5/2014	71.0	40.0
71	PMC5593991	9/2017	71.0	23.0
72	PMC3496584	7/2012	70.0	17.0
73	PMC3268605	8/2011	70.0	49.0
74	PMC3607807	3/2013	70.0	13.0
75	PMC5025055	9/2016	69.0	66.0
76	PMC5386978	4/2017	69.0	35.0
77	PMC4277121	12/2015	67.0	14.0
78	PMC3608974	2/2013	67.0	24.0
79	PMC2831965	1/2010	67.0	28.0
80	PMC4280220	12/2014	67.0	39.0
81	PMC5241768	1/2017	66.0	17.0
82	PMC4918713	6/2015	66.0	6.0
83	PMC4208652	6/2014	66.0	75.0
84	PMC4892663	5/2016	66.0	38.0
85	PMC4825102	2/2016	65.0	26.0
86	PMC4490503	6/2015	65.0	23.0
87	PMC2850511	4/2010	65.0	8.0
88	PMC4919374	6/2016	64.0	15.0
89	PMC5941617	5/2018	64.0	19.0
90	PMC3107945	5/2011	64.0	38.0
91	PMC3316748	10/2011	64.0	28.0
92	PMC5025983	8/2015	64.0	26.0
93	PMC4161853	8/2014	64.0	42.0
94	PMC4122175	8/2014	63.0	18.0
95	PMC4463828	5/2015	62.0	28.0
96	PMC4728620	1/2016	62.0	5.0
97	PMC2717130	7/2009	62.0	30.0
98	PMC5484502	6/2017	62.0	32.0
99	PMC3946277	3/2014	62.0	39.0
100	PMC4314531	11/2014	62.0	29.0
101	PMC3202114	10/2011	61.0	17.0
102	PMC4714725	1/2016	61.0	12.0
103	PMC3693910	6/2013	60.0	7.0
104	PMC555773	9/2004	60.0	20.0
105	PMC3404662	4/2012	60.0	22.0
106	PMC4264037	9/2014	60.0	17.0
107	PMC5303734	2/2017	60.0	54.0
108	PMC2780862	12/2009	59.0	17.0
109	PMC5678092	11/2017	59.0	38.0
110	PMC4990268	8/2016	59.0	16.0
111	PMC4407308	4/2015	59.0	20.0
112	PMC3534233	11/2012	59.0	8.0
113	PMC4685088	12/2015	58.0	40.0
114	PMC4390789	1/2015	58.0	15.0
115	PMC5216338	1/2017	58.0	53.0
116	PMC4512131	8/2015	58.0	17.0
117	PMC4940755	7/2015	58.0	5.0
118	PMC5482199	2/2017	58.0	36.0
119	PMC4703052	1/2016	58.0	26.0
120	PMC4161944	9/2014	58.0	14.0
121	PMC4733817	3/2016	58.0	14.0
122	PMC4425955	4/2015	57.0	41.0
123	PMC5062906	10/2016	56.0	46.0
124	PMC3031146	1/2011	56.0	32.0
125	PMC4933662	4/2016	56.0	9.0
126	PMC3581200	3/2013	56.0	60.0
127	PMC4418750	6/2015	56.0	33.0
128	PMC5094567	6/2016	56.0	32.0
129	PMC5526786	8/2017	56.0	14.0
130	PMC4193194	10/2014	56.0	23.0
131	PMC4368185	3/2015	56.0	32.0
132	PMC4703068	8/2015	55.0	17.0
133	PMC5627472	10/2017	55.0	10.0
134	PMC4377870	3/2015	55.0	12.0
135	PMC5804559	10/2017	54.0	31.0
136	PMC3710934	7/2013	54.0	22.0
137	PMC4360220	2/2015	54.0	28.0
138	PMC4682386	12/2015	54.0	35.0
139	PMC4292443	1/2015	54.0	43.0
140	PMC3586494	2/2013	54.0	27.0
141	PMC4021291	4/2014	54.0	52.0
142	PMC5486026	6/2017	54.0	30.0
143	PMC3299317	2/2012	53.0	2.0
144	PMC5187359	12/2016	53.0	33.0
145	PMC3415261	7/2012	53.0	32.0
146	PMC4915063	6/2016	53.0	38.0
147	PMC4155824	8/2014	53.0	18.0
148	PMC2689221	5/2009	53.0	7.0
149	PMC1448690	4/2006	53.0	5.0
150	PMC3653849	5/2013	52.0	37.0
151	PMC2940790	8/2010	52.0	23.0
152	PMC3426771	1/2012	52.0	11.0
153	PMC5183755	12/2016	52.0	24.0
154	PMC5367805	3/2017	52.0	16.0
155	PMC4352208	2/2015	52.0	33.0
156	PMC4701853	1/2016	52.0	26.0
