	ARTICLE	ARTICLE DATE	NUM SENTENCES
997	PMC4896250	4/2016	766
605	PMC4113768	7/2014	166
520	PMC3877003	12/2013	94
485	PMC3794936	10/2013	93
687	PMC4277409	12/2014	90
258	PMC3325178	4/2012	83
651	PMC4208652	6/2014	75
967	PMC4835505	4/2016	68
336	PMC3501517	11/2012	68
1088	PMC5025055	9/2016	66
790	PMC4448820	5/2015	64
784	PMC4438573	5/2015	63
1273	PMC5442804	9/2016	62
746	PMC4388824	4/2015	61
1172	PMC5215441	7/2016	60
1382	PMC5718612	12/2017	60
379	PMC3581200	3/2013	60
677	PMC4263713	12/2014	58
99	PMC2784897	12/2007	57
152	PMC3029215	1/2011	57
68	PMC2671035	5/2009	56
1197	PMC5303734	2/2017	54
189	PMC3131279	7/2011	54
1130	PMC5091916	11/2016	54
262	PMC3342123	3/2012	54
1175	PMC5216338	1/2017	53
568	PMC4021291	4/2014	52
469	PMC3749995	8/2013	51
313	PMC3458940	9/2012	51
1312	PMC5526977	7/2017	50
232	PMC3268605	8/2011	49
873	PMC4661500	11/2014	49
1309	PMC5521778	7/2017	48
1362	PMC5680205	11/2017	48
1341	PMC5626729	10/2017	48
876	PMC4663588	11/2015	47
397	PMC3614838	9/2011	47
652	PMC4210519	10/2014	46
1113	PMC5062906	10/2016	46
33	PMC2022678	10/2007	45
291	PMC3404653	3/2012	45
666	PMC4233040	11/2014	45
350	PMC3527219	11/2012	44
122	PMC2888576	6/2010	44
694	PMC4292443	1/2015	43
192	PMC3138750	7/2011	43
1290	PMC5483961	7/2017	42
274	PMC3357266	6/2012	42
60	PMC2621211	12/2008	42
620	PMC4152245	9/2014	42
625	PMC4161853	8/2014	42
751	PMC4392553	3/2015	42
1284	PMC5470056	4/2017	41
779	PMC4425955	4/2015	41
742	PMC4383546	4/2015	41
596	PMC4089555	5/2014	40
729	PMC4372177	2/2015	40
1385	PMC5727393	12/2017	40
892	PMC4685088	12/2015	40
209	PMC3208550	11/2011	40
255	PMC3321454	3/2012	40
145	PMC2996405	11/2010	39
548	PMC3946277	3/2014	39
621	PMC4154213	5/2014	39
582	PMC4054662	7/2014	39
378	PMC3578836	2/2013	39
689	PMC4280220	12/2014	39
92	PMC2756957	10/2009	38
995	PMC4892663	5/2016	38
90	PMC2749934	9/2009	38
175	PMC3107945	5/2011	38
1230	PMC5371292	3/2017	38
1007	PMC4915063	6/2016	38
1073	PMC4999234	8/2016	38
1360	PMC5678092	11/2017	38
1003	PMC4908484	6/2016	37
414	PMC3654972	5/2013	37
325	PMC3478561	11/2012	37
376	PMC3577465	2/2013	37
413	PMC3653849	5/2013	37
960	PMC4820961	3/2016	36
573	PMC4034700	5/2014	36
286	PMC3387174	6/2012	36
203	PMC3192058	10/2011	36
1048	PMC4977047	2/2016	36
1289	PMC5482199	2/2017	36
559	PMC3994935	5/2014	35
638	PMC4183922	6/2014	35
713	PMC4329404	10/2014	35
822	PMC4516488	9/2009	35
304	PMC3424155	8/2012	35
471	PMC3756974	8/2013	35
887	PMC4682386	12/2015	35
1211	PMC5332602	3/2017	35
654	PMC4210914	10/2014	35
1243	PMC5386978	4/2017	35
580	PMC4051754	6/2014	34
398	PMC3615950	3/2013	34
1083	PMC5019390	9/2016	34
733	PMC4377888	3/2015	34
423	PMC3669365	5/2013	34
789	PMC4446764	5/2015	34
722	PMC4352208	2/2015	33
901	PMC4699824	12/2015	33
631	PMC4169551	9/2014	33
1169	PMC5187359	12/2016	33
343	PMC3513828	11/2012	33
533	PMC3907150	1/2014	33
703	PMC4309881	2/2015	33
1286	PMC5472316	6/2017	33
775	PMC4418750	6/2015	33
1291	PMC5484502	6/2017	32
971	PMC4848989	4/2016	32
301	PMC3415261	7/2012	32
664	PMC4231349	10/2013	32
914	PMC4728639	1/2016	32
1047	PMC4977046	3/2016	32
1134	PMC5094567	6/2016	32
723	PMC4354412	3/2015	32
153	PMC3031146	1/2011	32
1050	PMC4979151	8/2016	32
728	PMC4368185	3/2015	32
888	PMC4682815	12/2015	32
80	PMC2707610	7/2009	32
1096	PMC5030620	9/2016	32
147	PMC3001618	1/2011	31
509	PMC3857258	12/2013	31
727	PMC4363193	3/2015	31
295	PMC3407995	7/2012	31
1021	PMC4933715	7/2016	31
783	PMC4430416	5/2015	31
365	PMC3553086	1/2013	31
690	PMC4284764	12/2014	31
793	PMC4453242	5/2015	31
1404	PMC5804559	10/2017	31
