	OBO_ID	OBO_LABEL	ENRICHMENT_P_VALUE	TOTAL_POPULATION	TOTAL_SUCCESSES	TOTAL_WORD_IGNORANCE	TOTAL_SUCCESSES_IN_WORD_IGNORANCE	BONFERRONI_CRRECTION_P_VALUE	BONFERRONI_CRRECTION_P_VALUE_REJECT	BH_CRRECTION_P_VALUE	BH_CRRECTION_P_VALUE_REJECT
2936	SO_0000704	gene	1.7810780596322657e-141	51868	14403	33885	10620	2.0858205156353463e-137	True	2.0858205156353466e-137	True
4031	CHEBI_27300	vitamin D	5.3699416290193e-104	51868	2619	33885	2195	6.288738641744502e-100	True	3.144369320872251e-100	True
6490	GO_0007565	female pregnancy	1.6407444879780868e-81	51868	12746	33885	9207	1.9214758698711375e-77	True	6.404919566237124e-78	True
2468	UBERON_0000104	life cycle	1.1475125278421684e-74	51868	1261	33885	1105	1.3438519213559633e-70	True	3.3596298033899087e-71	True
2242	UBERON_0002405	immune system	1.0640630591209157e-70	51868	1374	33885	1185	1.2461242485365045e-66	True	2.4922484970730088e-67	True
5753	UBERON_0000955	brain	1.6288782712868276e-69	51868	3995	33885	3102	1.907579343504004e-65	True	3.1792989058400063e-66	True
4609	GO_0065007	biological regulation	3.008177440178485e-67	51868	3020	33885	2395	3.522876600193024e-63	True	5.0326808574186066e-64	True
6830	GO_0008152	metabolic process	4.95782893513716e-65	51868	1905	33885	1573	5.8061134659391286e-61	True	7.257641832423911e-62	True
7357	GO_0007420	brain development	8.957204332247865e-58	51868	526	33885	496	1.0489781993495475e-53	True	1.1655313326106083e-54	True
9574	NCBITaxon_9606	Homo sapiens	6.048657899471676e-47	51868	1719	33885	1389	7.08358326607128e-43	True	7.083583266071281e-44	True
3901	GO_0050890	cognition	1.9571868475211634e-36	51868	505	33885	452	2.2920615171320344e-32	True	2.0836922883018496e-33	True
6128	CHEBI_33284	nutrient	3.273835913826291e-36	51868	944	33885	788	3.833989238681969e-32	True	3.194991032234974e-33	True
320	GO_0006955	immune response	7.025910496528181e-28	51868	473	33885	413	8.228043782484153e-24	True	6.3292644480647325e-25	True
6323	GO_0006306	DNA methylation	8.444593734173886e-26	51868	1156	33885	916	9.889463722091038e-22	True	7.063902658636456e-23	True
7164	UBERON_0001555	digestive tract	1.7696660990405713e-24	51868	402	33885	352	2.072455968586413e-20	True	1.381637312390942e-21	True
5090	UBERON_0001987	placenta	4.9596257490754396e-24	51868	5247	33885	3752	5.808217714742247e-20	True	3.6301360717139046e-21	True
9606	GO_0007399	nervous system development	6.476473587195743e-24	51868	265	33885	243	7.584598217964935e-20	True	4.461528363508785e-21	True
8284	UBERON_0007023	adult organism	1.335015523756463e-23	51868	1508	33885	1161	1.563436679871194e-19	True	8.685759332617744e-21	True
7167	NCBITaxon_1	root	1.3332823227072712e-21	51868	1063	33885	835	1.5614069281224853e-17	True	8.21793120064466e-19	True
78	GO_0036268	swimming	1.2408772168163925e-19	51868	586	33885	481	1.4531913086136774e-15	True	7.265956543068386e-17	True
6116	CHEBI_30863	5-azaorotic acid	2.71440018632073e-19	51868	782	33885	624	3.178834058200207e-15	True	1.5137305039048605e-16	True
10219	UBERON_0012101	perinatal stage	3.854763826103635e-19	51868	680	33885	549	4.514313916749967e-15	True	2.051960871249985e-16	True
506	GO_0007567	parturition	1.3935812601974638e-17	51868	6593	33885	4610	1.6320230138172498e-13	True	7.095752233988043e-15	True
5246	UBERON_0004535	cardiovascular system	2.244825139360409e-17	51868	378	33885	320	2.628914720704975e-13	True	1.0953811336270728e-14	True
9904	UBERON_0000113	post-juvenile adult stage	1.2021654188527365e-16	51868	424	33885	353	1.4078559220184397e-12	True	5.631423688073759e-14	True
6685	UBERON_0022293	reproductive gland secretion	2.691981131893524e-16	51868	267	33885	233	3.1525791035605062e-12	True	1.2125304244463486e-13	True
4319	NCBITaxon_33208	Metazoa	3.2703428960334075e-16	51868	2290	33885	1673	3.829898565544724e-12	True	1.4184809502017494e-13	True
4422	UBERON_0000160	intestine	6.0762899095279015e-15	51868	1121	33885	851	7.115943113048126e-11	True	2.541408254660045e-12	True
2296	CHEBI_27563	arsenic atom	7.943703748768464e-15	51868	989	33885	757	9.302871460182749e-11	True	3.2078867104078446e-12	True
7404	GO_0042593	glucose homeostasis	1.2321048066715706e-14	51868	200	33885	178	1.4429179390930762e-10	True	4.809726463643588e-12	True
7833	CL_0000540	neuron	5.96346678066286e-14	51868	611	33885	483	6.983815946834275e-10	True	2.252843853817508e-11	True
8823	GO_0007612	learning	7.250062890937553e-13	51868	329	33885	273	8.490548651576969e-09	True	2.653296453617803e-10	True
6451	UBERON_0001898	hypothalamus	9.139966962229193e-13	51868	1027	33885	775	1.0703815309466607e-08	True	3.243580396808063e-10	True
1528	UBERON_0002046	thyroid gland	3.001220100163717e-12	51868	1309	33885	970	3.5147288593017285e-08	True	1.0337437821475673e-09	True
7246	GO_0000003	reproduction	7.0533951204543245e-12	51868	276	33885	231	8.260231025564059e-08	True	2.360066007304017e-09	True
5633	CHEBI_24859	iodine atom	9.154105718960741e-12	51868	480	33885	381	1.0720373207474923e-07	True	2.9778814465208123e-09	True
19	GO_0007566	embryo implantation	1.0608890042535265e-11	51868	246	33885	208	1.242407112881305e-07	True	3.357857061841365e-09	True
4564	GO_0007631	feeding behavior	3.15950363622546e-11	51868	3369	33885	2374	3.700094708383636e-07	True	9.737091337851675e-09	True
6223	GO_0001822	kidney development	3.4481307172478213e-11	51868	142	33885	127	4.0381058829689233e-07	True	1.030334060588816e-08	True
6204	GO_0045202	synapse	3.519200958376965e-11	51868	351	33885	285	4.121336242355264e-07	True	1.030334060588816e-08	True
8105	GO_0007568	aging	9.3885250585212e-11	51868	1078	33885	801	1.0994901696034178e-06	True	2.681683340496141e-08	True
1008	GO_0001890	placenta development	2.261619392649851e-10	51868	117	33885	106	2.6485824707322406e-06	True	6.306148739838668e-08	True
6665	CHEBI_15354	choline	6.307435297728686e-10	51868	334	33885	269	7.386637477170064e-06	True	1.7178226691093172e-07	True
9209	UBERON_0001442	skeleton of manus	6.600047326161897e-10	51868	155	33885	135	7.729315423668198e-06	True	1.7566625962882267e-07	True
10126	CHEBI_23888	drug	7.300005167471735e-10	51868	443	33885	348	8.549036051626149e-06	True	1.899785789250255e-07	True
476	GO_0006006	glucose metabolic process	2.8534681643128706e-09	51868	259	33885	212	3.341696567226803e-05	True	7.264557754840875e-07	True
4442	SO_0001023	allele	1.2789153299476804e-08	51868	260	33885	211	0.00014977377429017285	True	3.1866760487270815e-06	True
6033	GO_0071514	genetic imprinting	1.3534830944145748e-08	51868	413	33885	322	0.00015850640518689087	True	3.3022167747268927e-06	True
2642	UBERON_0000062	organ	1.4080994997785823e-08	51868	395	33885	309	0.00016490253241906977	True	3.365357804470812e-06	True
914	UBERON_0001016	nervous system	1.6524969690809086e-08	51868	197	33885	164	0.00019352392004906522	True	3.870478400981305e-06	True
9251	SO_0000694	SNP	1.761015335396894e-08	51868	307	33885	245	0.00020623250592833025	True	4.043774626045692e-06	True
6850	CHEBI_16865	gamma-aminobutyric acid	2.485975227382222e-08	51868	93	33885	84	0.000291132558878732	True	5.598703055360231e-06	True
10395	GO_0006629	lipid metabolic process	3.675137048840508e-08	51868	285	33885	228	0.0004303952997897119	True	8.12066603376815e-06	True
9309	UBERON_0002369	adrenal gland	3.96027440818773e-08	51868	149	33885	127	0.00046378773594286504	True	8.588661776719724e-06	True
4007	CHEBI_33962	mu4-sulfido-quadro-tetracopper(6+)	4.792112314956294e-08	51868	216	33885	177	0.0005612042732045316	True	1.020371405826421e-05	True
9140	CHEBI_26346	prostaglandins J	7.123783593262603e-08	51868	75	33885	69	0.0008342662966069834	True	1.4897612439410419e-05	True
9466	CHEBI_52217	pharmaceutical	1.1441133718965135e-07	51868	93	33885	83	0.001339871169828007	True	2.3506511751368544e-05	True
3851	GO_0001501	skeletal system development	1.3872796564924708e-07	51868	57	33885	54	0.0016246432057183326	True	2.8011089753764354e-05	True
7204	CHEBI_50905	teratogenic agent	1.425405161760623e-07	51868	51	33885	49	0.0016692919849378657	True	2.82930844904723e-05	True
5039	GO_0097009	energy homeostasis	1.7145383960670934e-07	51868	62	33885	58	0.002007895915634173	True	3.346493192723622e-05	True
3414	PR_000045358	insulin family protein	1.8910617149352527e-07	51868	2455	33885	1720	0.0022146223743606743	True	3.624338147929332e-05	True
11328	GO_0019653	anaerobic purine nucleobase catabolic process	1.918785459581749e-07	51868	67	33885	62	0.0022470896517161865	True	3.624338147929332e-05	True
7440	GO_0007595	lactation	2.765244040946736e-07	51868	434	33885	332	0.0032383772963527225	True	5.140281422782099e-05	True
952	CHEBI_24261	glucocorticoid	4.247666637947121e-07	51868	195	33885	159	0.004974442399699874	True	7.72062633619344e-05	True
10205	UBERON_0001017	central nervous system	4.2852080253827475e-07	51868	164	33885	136	0.005018407118525735	True	7.72062633619344e-05	True
4788	CHEBI_30751	formic acid	1.035395019913587e-06	51868	788	33885	577	0.012125511078208017	True	0.0001837198648213336	True
10485	CHEBI_8102	phenylmethanesulfonyl fluoride	1.4633000458067926e-06	51868	197	33885	159	0.017136706836443347	True	0.0002557717438275127	True
3640	CHEBI_22313	alkaline earth metal atom	2.0169222394520056e-06	51868	130	33885	109	0.023620176346222436	True	0.0003473555345032711	True
5942	GO_0050787	detoxification of mercury ion	3.0037475860914437e-06	51868	54	33885	50	0.0351768879807169	True	0.0005098099707350275	True
1355	UBERON_0002109	pair of nares	3.0930599343745734e-06	51868	148	33885	122	0.03622282489146063	True	0.0005174689270208661	True
7457	CHEBI_16170	mercury(0)	3.4083950995322e-06	51868	73	33885	65	0.0399157150106216	True	0.0005621931691636845	True
2402	PR_000017269	ventral anterior homeobox 2	3.8213607390176695e-06	51868	68	33885	61	0.04475195561463593	True	0.0006215549390921656	True
4349	PR_000043452	core histone	5.536733701151015e-06	51868	357	33885	272	0.06484068837417954	False	0.000883120460778397	True
6928	UBERON_0001285	nephron	5.580301775903115e-06	51868	122	33885	102	0.06535091409760138	False	0.000883120460778397	True
10675	CHEBI_73033	pterocarpan	5.678604993088461e-06	51868	89	33885	77	0.06650214307405897	False	0.0008866952409874528	True
5084	UBERON_0004288	skeleton	6.337032185029221e-06	51868	363	33885	276	0.0742129839188772	False	0.0009764866305115421	True
7668	UBERON_0000310	breast	6.799040692070538e-06	51868	1753	33885	1230	0.07962356554483807	False	0.0010340722798030917	True
10778	GO_0043277	apoptotic cell clearance	7.341390308982088e-06	51868	152	33885	124	0.08597502190848923	False	0.0011022438706216567	True
4846	UBERON_0024914	circuit part of central nervous system	8.026649893579035e-06	51868	46	33885	43	0.09400009690370408	False	0.0011898746443506846	True
4284	CHEBI_25512	neurotransmitter	8.50224241534564e-06	51868	96	33885	82	0.09956976092611278	False	0.0012446220115764099	True
5659	GO_0001525	angiogenesis	8.830761198414217e-06	51868	100	33885	85	0.1034170443946289	False	0.0012670563113742726	True
5388	CHEBI_17874	dihydrozeatin	8.871882634505196e-06	51868	462	33885	345	0.10389861753269035	False	0.0012670563113742726	True
9761	GO_0006094	gluconeogenesis	9.153544084195388e-06	51868	181	33885	145	0.1071971547700122	False	0.0012915319851808699	True
5553	GO_0007507	heart development	9.670141233043436e-06	51868	40	33885	38	0.11324702398017168	False	0.0013481788569068057	True
3340	CHEBI_30256	thiocarbonyl group	1.1317459782268255e-05	51868	78	33885	68	0.13253877151014354	False	0.0015411485059319016	True
6443	GO_0007599	hemostasis	1.1317459782268255e-05	51868	78	33885	68	0.13253877151014354	False	0.0015411485059319016	True
9725	GO_0048848	neurohypophysis morphogenesis	1.1866951479156256e-05	51868	69	33885	61	0.13897386877239892	False	0.0015974007904873439	True
11412	CHEBI_73832	Asp-Val	1.4102377291587395e-05	51868	39	33885	37	0.16515294046177997	False	0.0018767379597929544	True
