	ARTICLE	ARTICLE DATE	NUM SENTENCES_x	NUM SENTENCES_y
0	PMC4703052	1/2016	8.0	1.0
1	PMC4896250	4/2016	4.0	0.0
2	PMC4910734	6/2015	3.0	1.0
3	PMC4931906	5/2016	3.0	0.0
4	PMC3472225	8/2012	3.0	0.0
5	PMC4871475	5/2016	2.0	1.0
6	PMC2430236	6/2008	2.0	0.0
7	PMC4160835	9/2014	2.0	0.0
8	PMC4670104	12/2015	2.0	0.0
9	PMC555773	9/2004	2.0	0.0
10	PMC4448820	5/2015	2.0	0.0
11	PMC4214174	9/2014	2.0	0.0
12	PMC4857870	5/2016	2.0	0.0
13	PMC3488908	4/2010	2.0	1.0
14	PMC4997411	8/2016	2.0	3.0
15	PMC1252725	10/2005	1.0	0.0
16	PMC4908484	6/2016	1.0	0.0
17	PMC4903143	5/2016	1.0	0.0
18	PMC4703068	8/2015	1.0	0.0
19	PMC4574972	9/2015	1.0	0.0
20	PMC4921626	6/2016	1.0	0.0
21	PMC4995781	8/2016	1.0	0.0
22	PMC4982007	8/2016	1.0	0.0
23	PMC4989298	8/2016	1.0	0.0
24	PMC5041052	8/2016	1.0	0.0
25	PMC5054480	9/2016	1.0	0.0
26	PMC5084028	10/2016	1.0	0.0
27	PMC5110566	11/2016	1.0	0.0
28	PMC5133065	10/2016	1.0	0.0
29	PMC5183755	12/2016	1.0	0.0
30	PMC5371292	3/2017	1.0	0.0
31	PMC5485170	3/2017	1.0	0.0
32	PMC5523023	7/2017	1.0	5.0
33	PMC5680205	11/2017	1.0	1.0
34	PMC5716389	9/2017	1.0	0.0
35	PMC4530571	4/2015	1.0	0.0
36	PMC4346113	3/2015	1.0	0.0
37	PMC4386645	3/2015	1.0	0.0
38	PMC4354412	3/2015	1.0	0.0
39	PMC2644268	3/2009	1.0	0.0
40	PMC2749934	9/2009	1.0	0.0
41	PMC3120196	7/2011	1.0	0.0
42	PMC3138750	7/2011	1.0	0.0
43	PMC3171895	9/2011	1.0	0.0
44	PMC3342123	3/2012	1.0	0.0
45	PMC3403156	7/2012	1.0	1.0
46	PMC3415261	7/2012	1.0	0.0
47	PMC3458940	9/2012	1.0	0.0
48	PMC3532199	11/2012	1.0	0.0
49	PMC3586494	2/2013	1.0	1.0
50	PMC3702245	6/2013	1.0	0.0
51	PMC3829803	11/2013	1.0	0.0
52	PMC3877972	12/2013	1.0	0.0
53	PMC3973641	4/2014	1.0	0.0
54	PMC3976831	3/2014	1.0	0.0
55	PMC4090565	6/2014	1.0	0.0
56	PMC4152245	9/2014	1.0	0.0
57	PMC4161853	8/2014	1.0	0.0
58	PMC4161944	9/2014	1.0	0.0
59	PMC4169551	9/2014	1.0	0.0
60	PMC4171568	9/2014	1.0	0.0
61	PMC4172064	9/2014	1.0	1.0
62	PMC4193194	10/2014	1.0	0.0
63	PMC4258799	11/2014	1.0	3.0
64	PMC4303849	1/2015	1.0	0.0
65	PMC2098747	10/2007	1.0	0.0
66	PMC5941617	5/2018	1.0	0.0
67	PMC4630792	11/2015	0.0	2.0
68	PMC5513133	7/2017	0.0	1.0
69	PMC5372327	3/2017	0.0	1.0
70	PMC4859539	5/2016	0.0	1.0
71	PMC2779500	11/2009	0.0	1.0
72	PMC4483650	6/2015	0.0	1.0
73	PMC4392531	3/2015	0.0	1.0
74	PMC4287506	10/2014	0.0	1.0
75	PMC3683620	5/2013	0.0	1.0
76	PMC5804559	10/2017	0.0	1.0
