OBO_ID	OBO_LABEL	COVERAGE	IGNORANCE-BASE (Y, N)	IGNORANCE (Y, N)	NOT IGNORANCE(Y, N)	GENERAL INDEX	GENERAL BONFERRONI P-VALUE	GENERAL BENGAMINI-HOCHBERG P-VALUE	IGNORANCE INDEX	IGNORANCE BONFERRONI P-VALUE	IGNORANCE BENGAMINI-HOCHBERG P-VALUE
CHEBI_17319	5'-deoxyadenosine	1	Y	N	Y	3518	1.0	0.11214271133478153	11690	1.0	1.0
CHEBI_15378	hydron	2	Y	Y	Y	631	1.086433677420638e-07	1.713617787729713e-10	8146	1.0	1.0
GO_0005789	endoplasmic reticulum membrane	2	Y	Y	Y	2492	1.0	0.026406799210654797	6733	1.0	1.0
GO_0051607	defense response to virus	3	Y	Y	Y	673	6.865996855739535e-07	1.01268390202648e-09	2705	1.0	1.0
GO_0051539	defense response to virus	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_2000553	defense response to virus	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0001650	defense response to virus	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0001013	adipose tissue	3	Y	Y	Y	11	0.0	0.0	186	1.0	0.1940759279146567
GO_0050778	positive regulation of immune response	1	Y	Y	N	7381	1.0	0.3342218204141381	5737	1.0	1.0
CHEBI_15377	water	4	Y	Y	Y	13	0.0	0.0	9724	1.0	1.0
CHEBI_49883	water	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005794	Golgi apparatus	1	Y	N	Y	6108	1.0	0.3342218204141381	9632	1.0	1.0
GO_0005811	lipid droplet	2	Y	Y	Y	956	0.0010950517053118175	1.1359457523981514e-06	1613	1.0	1.0
GO_0035710	lipid droplet	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005783	endoplasmic reticulum	2	Y	Y	Y	47	3.994247298665793e-220	8.321348538887067e-222	201	1.0	0.2754916506524971
GO_0016829	endoplasmic reticulum	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0034157	endoplasmic reticulum	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0005743	mitochondrial inner membrane	1	Y	Y	Y	1161	0.04372782157151316	3.7183521744483974e-05	2804	1.0	1.0
GO_0005739	mitochondrion	2	Y	Y	Y	28	0.0	0.0	166	1.0	0.14086302348402616
GO_0009615	response to virus	3	Y	Y	N	8304	1.0	0.3342218204141381	6088	1.0	1.0
GO_0005515	response to virus	23	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_1001608	foreskin fibroblast	7	Y	Y	N	3579	1.0	0.11214271133478153	2398	1.0	1.0
CL_0000771	eosinophil	6	Y	Y	Y	1	0.0	0.0	10275	1.0	1.0
GO_0045071	eosinophil	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_17499	eosinophil	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_57844	eosinophil	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0045087	innate immune response	11	Y	Y	Y	99	3.413041589205296e-86	3.4130415892052954e-88	93	0.29637464928426777	0.003152921800896465
CHEBI_37563	innate immune response	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0000178	blood	17	Y	Y	Y	31	0.0	0.0	11139	1.0	1.0
GO_0005741	mitochondrial outer membrane	2	Y	Y	Y	1373	0.27631780941535045	0.00020037549631279943	8618	1.0	1.0
CHEBI_166821	mitochondrial outer membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0043367	mitochondrial outer membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0046872	mitochondrial outer membrane	5	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0034165	mitochondrial outer membrane	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0043621	protein self-association	1	Y	Y	Y	2435	1.0	0.026406799210654797	8464	1.0	1.0
CHEBI_13193	hydrogen acceptor	1	Y	Y	Y	1356	0.27631780941535045	0.00020037549631279943	1573	1.0	1.0
CHEBI_59789	hydrogen acceptor	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0050709	hydrogen acceptor	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SO_0001217	protein_coding_gene	37	Y	Y	Y	2011	1.0	0.0054672462985972045	7205	1.0	1.0
PR_Q8WXG1	protein_coding_gene	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000014318	radical S-adenosyl methionine domain-containing protein 2	1	Y	Y	Y	436	2.697137864396738e-13	6.143822014571158e-16	9168	1.0	1.0
UBERON_0001332	prepuce of penis	7	Y	Y	Y	1603	1.0	0.001074482875515041	6925	1.0	1.0
CL_0000094	granulocyte	19	Y	Y	Y	180	4.0638218290182025e-34	2.232869136823188e-36	9108	1.0	1.0
CL_0000097	mast cell	6	Y	Y	Y	105	1.389112545593103e-80	1.3104835335783989e-82	600	1.0	1.0
GO_0004169	mast cell	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000594	mast cell	2	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0002381	pectoralis major	2	Y	Y	N	7172	1.0	0.3342218204141381	5203	1.0	1.0
CHEBI_137323	pectoralis major	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_137321	pectoralis major	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000632	hepatic stellate cell	1	Y	Y	Y	521	4.3038762634982607e-10	8.244973684862569e-13	353	1.0	1.0
UBERON_0002107	liver	4	Y	Y	Y	19	0.0	0.0	9154	1.0	1.0
CHEBI_57683	liver	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_Q8IUR5	liver	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0000030	liver	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0001911	mammary gland	4	Y	Y	Y	57	5.401155589962555e-176	9.312337224073368e-178	150	1.0	0.08939509588439327
CHEBI_29999	mammary gland	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0002462	erector spinae muscle group	4	Y	Y	Y	1051	0.006919899045775022	6.552934702438468e-06	8933	1.0	1.0
CL_0000188	erector spinae muscle group	5	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBERON_0002380	trapezius muscle	4	Y	N	Y	6600	1.0	0.3342218204141381	10187	1.0	1.0
GO_0035269	trapezius muscle	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEBI_30013	trapezius muscle	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CL_0000576	monocyte	14	Y	Y	Y	61	6.0949598804782e-156	9.830580452384193e-158	8065	1.0	1.0
UBERON_0002371	bone marrow	15	Y	Y	Y	63	6.521348585432633e-144	1.0189607164738487e-145	9083	1.0	1.0
GO_0016021	bone marrow	10	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PR_000030326	bone marrow	1	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0006396	RNA processing	1	Y	Y	Y	548	2.720077688706975e-09	4.909887524741831e-12	235	1.0	0.5180534299699322
