GO_OBO_ID	GO_OBO_LABEL	BONFERRONI P-VALUE	BENJAMINI-HOCHBERG	IGNORANCE-BASE (Y, N)	IGNORANCE (Y, N)	NOT IGNORANCE(Y, N)	GENERAL INDEX	GENERAL BONFERRONI P-VALUE	GENERAL BENGAMINI-HOCHBERG P-VALUE	IGNORANCE INDEX	IGNORANCE BONFERRONI P-VALUE	IGNORANCE BENGAMINI-HOCHBERG P-VALUE
GO_0042581	specific granule	3.0495453939849426e-09	2.2889013748439328e-09	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0030141	secretory granule	4.577813905726202e-09	2.2889013748439328e-09	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0099503	secretory vesicle	5.9037673638684396e-08	1.967922096131881e-08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0002376	immune system process	5.547862980126439e-07	5.543533609629364e-07	Y	Y	Y	959	0.0010950517053118175	1.1359457523981514e-06	1595	1.0	1.0
GO_0070820	tertiary granule	1.4685593796581742e-07	3.671398461857077e-08	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0006955	immune response	2.8674740681911004e-06	1.432619867013861e-06	Y	Y	Y	0	0.0	0.0	12	8.228043782484152e-24	6.3292644480647325e-25
GO_0044433	cytoplasmic vesicle part	1.8325389200546383e-06	3.665081205104111e-07	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0045087	innate immune response	1.308519599785285e-05	4.3583555648867866e-06	Y	Y	Y	99	3.413041589205296e-86	3.4130415892052954e-88	93	0.29637464928426777	0.003152921800896465
GO_0006952	defense response	5.953850327444776e-05	1.4873448696696671e-05	Y	Y	Y	90	8.239219100764614e-96	9.054086923917162e-98	221	1.0	0.4145127360833191
GO_0030667	secretory granule membrane	2.3036274195975537e-05	3.5414922798966927e-06	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0035580	specific granule lumen	2.4790140028430052e-05	3.5414922798966927e-06	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0098542	defense response to other organism	0.00041375833330226097	8.270416498472488e-05	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0051707	response to other organism	0.0012187135604382338	0.00017879274435395545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0043207	response to external biotic stimulus	0.0012517435103805985	0.00017879274435395545	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0009607	response to biotic stimulus	0.0019827727704919695	0.00024789877022254333	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0031410	cytoplasmic vesicle	0.0010730195780853657	0.000123097391404278	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0097708	intracellular vesicle	0.0011072657309518785	0.000123097391404278	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0006950	response to stress	0.010116819062829796	0.0011289293031197989	Y	Y	Y	15627	1.0	1.0	N/A	N/A	N/A
GO_0070821	tertiary granule membrane	0.0024318429036468414	0.0002411159668894404	N	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0030659	cytoplasmic vesicle membrane	0.0026487767790424055	0.0002411159668894404	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0031982	vesicle	0.003121387489416372	0.000254432400272632	Y	Y	Y	1119	0.024593637244431667	2.195860468252828e-05	2766	1.0	1.0
GO_0012506	vesicle membrane	0.0033021808592271773	0.000254432400272632	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0002682	regulation of immune system process	0.019737357914361042	0.001991902424783295	Y	Y	Y	2960	1.0	0.07932766001638547	1340	1.0	1.0
GO_0034774	secretory granule lumen	0.006485502721458647	0.00046475232379978985	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0060205	cytoplasmic vesicle lumen	0.008926042006541568	0.0005695984379686474	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GO_0031983	vesicle lumen	0.009072351961188274	0.0005695984379686474	Y	Y	Y	4450	1.0	0.24750037900772726	2148	1.0	1.0
GO_0005615	extracellular space	0.011956445390587045	0.0007075401584159297	Y	Y	Y	550	2.720077688706975e-09	4.909887524741831e-12	6394	1.0	1.0
GO_0002250	adaptive immune response	0.08704129562418661	0.00827184610642282	Y	Y	Y	551	2.720077688706975e-09	4.909887524741831e-12	1471	1.0	1.0
