OBO_ID (LABEL):	GO_0006629 (lipid metabolic process)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2671035	5/2009	S155-PMC2671035	['we next assessed Expression of Nuclear receptors known to Regulate Adipocyte differentiation and/or Lipid Metabolism.']	N/A	N/A	[('GO_0010467', 'gene expression', 17, 'expression'), ('GO_0005634', 'nucleus', 31, 'nuclear'), ('GO_0065007', 'biological regulation', 58, 'regulate'), ('CL_0000136', 'fat cell', 67, 'adipocyte'), ('CHEBI_18059', 'lipid', 100, 'lipid'), ('GO_0006629', 'lipid metabolic process', 100, 'lipid metabolism')]
PMC2707610	7/2009	S24-PMC2707610	['they developed adiposity and impaired Glucose and Lipid Metabolism as early as Postnatal day 20[10],[11],[12], which were maintained until Adulthood[13].']	N/A	N/A	[('CHEBI_17234', 'glucose', 38, 'glucose'), ('GO_0007369', 'gastrulation', 38, 'glucose ...'), ('CHEBI_18059', 'lipid', 50, 'lipid'), ('GO_0006629', 'lipid metabolic process', 50, 'lipid metabolism'), ('GO_0007567', 'parturition', 79, 'postnatal'), ('UBERON_0000113', 'post-juvenile adult stage', 139, 'adulthood')]
PMC3001618	1/2011	S4-PMC3001618	['Lipid infiltration and molecular indices of Gluconeogenesis, Lipid Metabolism and Mitochondrial function were measured.']	N/A	N/A	[('CHEBI_18059', 'lipid', 0, 'Lipid'), ('GO_0006094', 'gluconeogenesis', 44, 'gluconeogenesis'), ('CHEBI_18059', 'lipid', 61, 'lipid'), ('GO_0006629', 'lipid metabolic process', 61, 'lipid metabolism'), ('GO_0005739', 'mitochondrion', 82, 'mitochondrial')]
PMC3001618	1/2011	S120-PMC3001618	['2005) that act by the transcription factors Hepatocyte Nuclear Factor 4 (Hnf4) and Sterol Regulatory Element-Binding Protein-1c (Srebf1 (Srebp-1c)) to Regulate Hepatocyte differentiation and overall Lipid Metabolism (jump et al .']	N/A	N/A	[('CL_0000182', 'hepatocyte', 44, 'hepatocyte'), ('PR_000008467', 'hemoglobin subunit zeta', 44, 'hepatocyte nuclear factor 4'), ('GO_0005643', 'nuclear pore', 55, 'nuclear factor'), ('PR_000008653', 'hepatocyte nuclear factor 1-beta', 73, 'HNF4'), ('CHEBI_15889', 'sterol', 83, 'sterol'), ('PR_000015699', 'alpha-2,8-sialyltransferase 8E', 83, 'sterol regulatory element-binding protein'), ('SO_0001861', 'sterol_regulatory_element', 83, 'sterol regulatory element'), ('GO_0065007', 'biological regulation', 90, 'regulatory'), ('PR_000015626', 'signal recognition particle subunit SRP68', 129, 'SREBF1'), ('PR_000015619', 'sorcin', 137, 'SREBP'), ('GO_0065007', 'biological regulation', 151, 'regulate'), ('CL_0000182', 'hepatocyte', 160, 'hepatocyte'), ('CHEBI_18059', 'lipid', 199, 'lipid'), ('GO_0006629', 'lipid metabolic process', 199, 'lipid metabolism')]
PMC3028350	2/2011	S195-PMC3028350	['iugr, hf diet, fat distribution, and Lipid Metabolism.']	N/A	N/A	[('CHEBI_18059', 'lipid', 37, 'lipid'), ('GO_0006629', 'lipid metabolic process', 37, 'lipid metabolism')]
PMC3138750	7/2011	S60-PMC3138750	['at juvenile stage, pathways of Lipid Metabolism and N-Metabolism were enriched.']	N/A	N/A	[('CHEBI_18059', 'lipid', 31, 'lipid'), ('GO_0006629', 'lipid metabolic process', 31, 'lipid metabolism'), ('GO_0018937', 'nitroglycerin metabolic process', 52, 'N-metabolism')]
PMC3325178	4/2012	S147-PMC3325178	['a list of Genes comprising a network involved in Lipid Metabolism, identified as enriched in cu Liver using ipa software was used as a positive control.']	N/A	N/A	[('SO_0000704', 'gene', 10, 'genes'), ('CHEBI_18059', 'lipid', 49, 'lipid'), ('GO_0006629', 'lipid metabolic process', 49, 'lipid metabolism'), ('UBERON_0002107', 'liver', 96, 'liver')]
PMC3325178	4/2012	S150-PMC3325178	['a list of Genes comprising a network involved in Lipid Metabolism, identified as enriched in cu Placenta using ipa software was used as a positive control.']	N/A	N/A	[('SO_0000704', 'gene', 10, 'genes'), ('CHEBI_18059', 'lipid', 49, 'lipid'), ('GO_0006629', 'lipid metabolic process', 49, 'lipid metabolism'), ('UBERON_0001987', 'placenta', 96, 'placenta')]
PMC3340401	4/2012	S1-PMC3340401	['kwashiorkor differs from marasmus in the patterns of Protein, amino acid and Lipid Metabolism when patients are acutely ill as well as after rehabilitation to ideal weight for height.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 53, 'protein ...'), ('CHEBI_18059', 'lipid', 77, 'lipid'), ('GO_0006629', 'lipid metabolic process', 77, 'lipid metabolism')]
PMC3669365	5/2013	S18-PMC3669365	['ampk acts as an efficient sensor of cellular energy states Regulating Glucose and Lipid Metabolism[15],[16],[17].']	N/A	N/A	[('GO_0065007', 'biological regulation', 59, 'regulating'), ('CHEBI_17234', 'glucose', 70, 'glucose'), ('GO_0007369', 'gastrulation', 70, 'glucose ...'), ('CHEBI_18059', 'lipid', 82, 'lipid'), ('GO_0006629', 'lipid metabolic process', 82, 'lipid metabolism')]
