OBO_ID (LABEL):	CL_0000576 (monocyte)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2409299	5/2008	S129-PMC2409299	['location of the Lymphocyte gate, and freedom from Monocyte contamination, were assessed using monoclonal Antibodies to cd14+ and Cd45+.']	N/A	N/A	[('CL_0000542', 'lymphocyte', 16, 'lymphocyte'), ('CL_0000576', 'monocyte', 50, 'monocyte'), ('GO_0042571', 'immunoglobulin complex, circulating', 105, 'antibodies'), ('PR_000001309', 'CD70 molecule', 129, 'CD45')]
PMC2671035	5/2009	S51-PMC2671035	['total T4 and T4 charcoal binding were analyzed as described (12), and adipokines (Tumor Necrosis Factor [Tnf]-Α, Interleukin [Il]-6, Monocyte Chemoattractant Protein [Mcp]-1, Plasminogen Activator Inhibitor [Pai]-1, and resistin) measured by multiplex elisa (millipore, billerica, ma).']	N/A	N/A	[('PR_000016190', 'trichohyalin-like protein 1', 6, 'T4'), ('PR_000016190', 'trichohyalin-like protein 1', 13, 'T4'), ('PR_000001949', 'tumor necrosis factor ligand superfamily member 4', 82, 'tumor necrosis factor ...'), ('PR_000000125', 'zinc finger FYVE domain-containing protein 9', 105, 'TNF]-α'), ('PR_000001470', 'interleukin-28B', 113, 'interleukin ...'), ('PR_000008989', 'interleukin-1 family member 7', 126, 'IL]-6'), ('CL_0000576', 'monocyte', 133, 'monocyte'), ('PR_000010706', 'metallothionein-4', 133, 'monocyte chemoattractant protein ...'), ('PR_000010230', 'membrane-bound transcription factor site-2 protease', 167, 'MCP]-1'), ('PR_000014700', 'serpin B9', 175, 'plasminogen activator inhibitor ...'), ('CHEBI_35222', 'inhibitor', 197, 'inhibitor'), ('PR_000014702', 'plasminogen activator inhibitor 1', 208, 'PAI]-1')]
PMC2780862	12/2009	S142-PMC2780862	['poor Glycemic Control increases Nf-Κb activity in Monocytes and thereby Gene Expression of inflammatory cytokines (100,101).']	N/A	N/A	[('GO_0006094', 'gluconeogenesis', 5, 'glycemic control'), ('GO_0071159', 'NF-kappaB complex', 32, 'NF-κB'), ('PR_000011111', 'N-terminal EF-hand calcium-binding protein 3', 32, 'NF-κB'), ('CL_0000576', 'monocyte', 50, 'monocytes'), ('GO_0010467', 'gene expression', 72, 'gene expression'), ('SO_0000704', 'gene', 72, 'gene')]
PMC3029215	1/2011	S253-PMC3029215	['for example, some of the chemokines that promote development of atherosclerotic lesions are shear responsive [74], for example, Ccl2 (Monocyte Chemoattractant Protein 1) which is one of the Genes contributing to the present implication of shear responsiveness (table3).']	N/A	N/A	[('PR_000001204', 'C-C chemokine receptor type 8', 128, 'CCL2'), ('CL_0000576', 'monocyte', 134, 'monocyte'), ('PR_000010286', 'mediator of RNA polymerase II transcription subunit 14', 134, 'monocyte chemoattractant protein 1'), ('SO_0000704', 'gene', 190, 'genes')]
PMC3347028	3/2012	S64-PMC3347028	['both 1,25(Oh)2D and 25(Oh)D have the ability to induce the Expression of Cathelicidin in Monocyte/Macrophage and Epidermal lineage in cells that simultaneously have the 25(Oh)D hydroxylase [22].']	N/A	N/A	[('CHEBI_66212', "5,7,3',4'-tetrahydroxy-2'-(3,3-dimethylallyl)isoflavone", 7, '25(OH)2D'), ('CHEBI_71657', 'versiconol acetate', 20, '25(OH)D'), ('GO_0010467', 'gene expression', 59, 'expression'), ('PR_000006009', 'alpha-catulin', 73, 'cathelicidin'), ('CL_0000576', 'monocyte', 89, 'monocyte ...'), ('CL_0000235', 'macrophage', 98, 'macrophage'), ('UBERON_0007376', 'outer epithelium', 113, 'epidermal'), ('CHEBI_71657', 'versiconol acetate', 169, '25(OH)D')]
PMC3482177	10/2012	S84-PMC3482177	['fc\u200a=\u200afold-change.accession numberp-valuefcgene symbolgene titlebe1155190.042.35sox4sry (Sex Determining Region Y)-box 4bg3780860.022.21map1bmicrotubule-associated protein 1bbe1105160.021.97rgd1563798similar to bc040823 proteinbe1161270.001.92rgd1564560similar to rckbf5222830.041.91ppp2r4protein Phosphatase 2A Activator, Regulatory Subunit 4bf5623090.031.85ng35ng35 Pseudogenebi2906080.021.77adipor2adiponectin Receptor 2bf5628000.051.75loc683788similar To Fascin (Singed-Like Protein)af3894250.021.73dpysl3dihydropyrimidinase-Like 3ai0732720.051.69tor1btorsin Family 1, member bbf4074690.021.67mbrlmembralinai2361850.031.63rcc2regulator Of Chromosome Condensation 2x742110.011.60map2microtubule-Associated Protein 2bf3896750.031.57cbx1chromobox Homolog 1 (Hp1 Beta Homolog Drosophila )ai2286560.031.56znf618zinc Finger protein 618be1116920.011.55myst3myst Histone acetyltransferase (Monocytic Leukemia) 3bf3986800.021.52map4k4mitogen-Activated Protein 4 Kinase 4nm_0215970.031.51eif2c2eukaryotic Translation Initiation Factor 2C, 2aw5255600.021.50loc683788similar To Fascin (Singed-Like Protein)l382470.051.48syt4synaptotagmin ivbf4208070.010.63myo5cmyosin vcaf1402320.010.69s100a6s100 Calcium Binding Protein a6aa8177460.030.70loc365985similar To Adenylate Kinase 5 Isoform 1nm_0332340.030.72hbbhemoglobin, betaai1794120.000.72frrs1ferric-chelate reductase 1aw5350820.000.73mthfs5,10-Methenyltetrahydrofolate synthetase (5-Formyltetrahydrofolate Cyclo-Ligase)bm3906970.010.73gcagrancalcinab0013820.020.74spp1secreted Phosphoprotein 1aa8190340.010.75isg12(b)putative Isg12(b) proteinai1053660.000.75pyroxd2pyridine Nucleotide-Disulphide oxidoreductase Domain 2nm_0200820.010.75rnase4ribonuclease, rnase a family 4bi2822680.040.75hdhd2haloacid dehalogenase-like hydrolase Domain 2nm_0171340.010.75arg1arginase, Liverai1760410.010.76pirpirin (Iron-Binding Nuclear Protein)ai0299910.000.76clec1bc-Type Lectin Domain Family 1, member bai5480390.000.76nepnnephrocannm_0808900.000.76as3mtarsenic (+3 oxidation state) methyltransferasebf2846950.030.77wdr43wd repeat Domain 43bf4181690.000.77trex2three prime Repair exonuclease 2nm_0203080.050.77adam15a disintegrin and metallopeptidase Domain 15 (Metargidin)\n\npathway analysis\npathway analysis was performed using the metacore platform to identify the functional processes associated with the significant Gene Expression changes following exposure of the Embryo to maternal iron deficiency.']	N/A	N/A	[('GO_0007530', 'sex determination', 88, 'sex determining'), ('PR_000014450', 'histone deacetylase complex subunit SAP30L', 88, 'sex determining region Y'), ('GO_0000806', 'Y chromosome', 111, 'Y'), ('PR_000012202', 'proliferation-associated protein 2G4', 296, 'phosphatase 2A activator, regulatory subunit'), ('GO_0065007', 'biological regulation', 322, 'regulatory'), ('SO_0001078', 'polypeptide_secondary_structure', 367, 'pseudogeneBI2906080'), ('PR_000014368', 'RuvB-like 1', 412, 'receptor'), ('PR_000016833', 'tuftelin', 455, 'to Fascin'), ('PR_000015289', 'SPARC-related modular calcium-binding protein 1', 466, 'Singed-like protein'), ('PR_000004592', 'N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2', 527, '-like'), ('PR_000007319', 'fatty acid desaturase 3', 562, 'family 1,'), ('PR_000012046', 'oxysterol-binding protein-related protein 11', 639, 'of chromosome condensation'), ('GO_0030261', 'chromosome condensation', 642, 'chromosome condensation'), ('PR_000004806', 'bromodomain-containing protein 2', 696, '-associated protein'), ('PR_000017655', 'zinc finger RNA-binding protein 2', 747, 'homolog 1'), ('SO_0000853', 'homologous_region', 747, 'homolog'), ('PR_000008476', 'orexin', 758, 'HP1 beta homolog Drosophila'), ('SO_0000853', 'homologous_region', 767, 'homolog'), ('NCBITaxon_10088', 'Mus <genus>', 775, 'Drosophila'), ('PR_000007591', 'protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha', 814, 'finger'), ('CHEBI_15358', 'histone', 858, 'histone'), ('CL_0000576', 'monocyte', 885, 'monocytic'), ('PR_000010430', 'MAP kinase-interacting serine/threonine-protein kinase 2', 885, 'monocytic leukemia'), ('PR_000004693', 'Bcl-2-like protein 10', 935, '-activated protein 4 kinase'), ('GO_0006413', 'translational initiation', 998, 'translation initiation'), ('PR_000016029', 'transcription initiation factor TFIID subunit 5', 998, 'translation initiation factor 2C'), ('PR_000016833', 'tuftelin', 1066, 'to Fascin'), ('PR_000015289', 'SPARC-related modular calcium-binding protein 1', 1077, 'Singed-like protein'), ('PR_000004989', 'calcium/calmodulin-dependent protein kinase type 1D', 1188, 'calcium binding protein'), ('PR_000016293', 'protein-glutamine gamma-glutamyltransferase 2', 1247, 'to adenylate kinase 5'), ('SO_0001060', 'sequence_variant', 1269, 'isoform'), ('CHEBI_18123', 'N-methylnicotinate', 1384, '10-methenyltetrahydrofolate'), ('CHEBI_59348', 'alpha-D-Ko', 1424, '5-formyltetrahydrofolate cyclo-ligase'), ('CHEBI_16243', 'quercetin', 1520, 'phosphoprotein'), ('PR_000009129', 'integrin alpha-4', 1569, 'ISG12'), ('CHEBI_35258', 'glyco-amino acid', 1617, 'nucleotide-disulphide'), ('SO_0000417', 'polypeptide_domain', 1654, 'domain'), ('PR_000004907', 'complement component C7', 1697, ','), ('SO_0000417', 'polypeptide_domain', 1773, 'domain'), ('UBERON_0003123', 'pharyngeal arch artery 6', 1812, 'liverAI1760410'), ('PR_000009020', "Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase", 1843, 'iron-binding nuclear protein'), ('GO_0005634', 'nucleus', 1856, 'nuclear'), ('PR_000004670', 'protein PTHB1', 1895, '-type lectin domain family 1,'), ('SO_0000417', 'polypeptide_domain', 1908, 'domain'), ('SO_0000417', 'polypeptide_domain', 2061, 'domain'), ('GO_0006281', 'DNA repair', 2103, 'repair'), ('SO_0000417', 'polypeptide_domain', 2181, 'domain'), ('PR_000010040', 'mitotic spindle assembly checkpoint protein MAD2B', 2192, 'metargidin'), ('GO_0010467', 'gene expression', 2350, 'gene expression'), ('SO_0000704', 'gene', 2350, 'gene'), ('UBERON_0000922', 'embryo', 2400, 'embryo')]
PMC3501517	11/2012	S147-PMC3501517	['6.1±3.3×105cells,figure 5g), Macrophages/Monocytes (0.53±0.21×105vs.']	N/A	N/A	[('CL_0000235', 'macrophage', 29, 'macrophages'), ('CL_0000576', 'monocyte', 41, 'monocytes')]
PMC3501517	11/2012	S162-PMC3501517	['1.28±0.45×105cells,figure 6f), Bal Fluid Neutrophils (0.05±0.10 vs. 0.01±0.01×105cells,figure 6g) and Bal Fluid Macrophages/Monocytes (1.18±0.71×105vs.']	N/A	N/A	[('UBERON_0006310', 'vitelline venous plexus', 31, 'BAL fluid'), ('CL_0000775', 'neutrophil', 41, 'neutrophils'), ('UBERON_0006310', 'vitelline venous plexus', 102, 'BAL fluid'), ('CL_0000235', 'macrophage', 112, 'macrophages'), ('CL_0000576', 'monocyte', 124, 'monocytes')]
PMC3553086	1/2013	S191-PMC3553086	['briefly, whole Blood, Peripheral Blood Mononuclear Cells (pbmc), Cd4+T Cells, Cd8+T-Cells, Cd56+Nk Cells, Cd19+B Cells, cd14+Monocytes, Granulocytes, Neutrophils and Eosinophils were isolated.']	N/A	N/A	[('UBERON_0000178', 'blood', 15, 'blood'), ('CL_0000111', 'peripheral neuron', 22, 'peripheral blood'), ('UBERON_0000178', 'blood', 33, 'blood'), ('CL_0000226', 'single nucleate cell', 39, 'mononuclear cells'), ('GO_0031097', 'medial cortex', 39, 'mononuclear'), ('PR_000001204', 'C-C chemokine receptor type 8', 65, 'CD4'), ('CL_0000084', 'T cell', 69, 'T cells'), ('PR_000005170', 'CD37 molecule', 78, 'CD8'), ('CL_0000084', 'T cell', 82, 'T-cells'), ('PR_000001309', 'CD70 molecule', 91, 'CD56'), ('CL_0000623', 'natural killer cell', 96, 'NK cells'), ('GO_0005634', 'nucleus', 96, 'NK'), ('PR_000001309', 'CD70 molecule', 106, 'CD19'), ('CL_0000236', 'B cell', 111, 'B cells'), ('CL_0000576', 'monocyte', 125, 'monocytes'), ('CL_0000094', 'granulocyte', 136, 'granulocytes'), ('CL_0000775', 'neutrophil', 150, 'neutrophils'), ('CL_0000771', 'eosinophil', 166, 'eosinophils')]
PMC3553086	1/2013	S193-PMC3553086	['magnetic-Activated Cell sorting (macs, miltenyi biotech, germany) was used to obtain T Cells, B Cells, Monocytes, and Nk Cells from the pbmc:s and Neutrophils and Eosinophils from the Granulocyte containing pellet.']	N/A	N/A	[('CL_0000161', 'acid secreting cell', 9, 'activated cell'), ('CL_0000084', 'T cell', 85, 'T cells'), ('CL_0000236', 'B cell', 94, 'B cells'), ('CL_0000576', 'monocyte', 103, 'monocytes'), ('CL_0000623', 'natural killer cell', 118, 'NK cells'), ('GO_0005634', 'nucleus', 118, 'NK'), ('CL_0000775', 'neutrophil', 147, 'neutrophils'), ('CL_0000771', 'eosinophil', 163, 'eosinophils'), ('CL_0000094', 'granulocyte', 184, 'granulocyte')]
