OBO_ID (LABEL):	GO_0006936 (muscle contraction)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2290983	4/2008	S71-PMC2290983	['Cooking frequency, its duration, and type of fuel, and fuel-burning duration per day, number of Persons who Cooked and for whom Cooking was done, and duration of the participant’s stay in the kitchen while fuel was burning were solicited.']	N/A	N/A	[('GO_0006936', 'muscle contraction', 0, 'Cooking'), ('NCBITaxon_10088', 'Mus <genus>', 96, 'persons'), ('GO_0065007', 'biological regulation', 108, 'cooked'), ('GO_0065007', 'biological regulation', 128, 'cooking')]
PMC2516569	8/2008	S96-PMC2516569	['variables that did not meet the criteria for inclusion in the multivariable model but were of particular interest a priori (e.g., Contraceptive Use at Conception, Maternal smoking in the first trimester) we added to the final model individually for evaluation in the multivariable setting.']	N/A	N/A	[('GO_0006936', 'muscle contraction', 130, 'contraceptive use'), ('GO_0007620', 'copulation', 151, 'conception'), ('GO_0007618', 'mating', 163, 'maternal')]
PMC3031146	1/2011	S85-PMC3031146	['these pathways included cytokine-cytokine receptor interaction, the Regulation Of Actin Cytoskeleton, tight junction, Calcium Signaling Pathway, Smooth Muscle Contraction and the Wnt Signaling Pathway.']	N/A	N/A	[('GO_0040012', 'regulation of locomotion', 68, 'regulation of actin'), ('GO_0015629', 'actin cytoskeleton', 82, 'actin cytoskeleton'), ('GO_0019722', 'calcium-mediated signaling', 118, 'calcium signaling pathway'), ('UBERON_0001135', 'smooth muscle tissue', 145, 'smooth muscle'), ('GO_0006936', 'muscle contraction', 152, 'muscle contraction'), ('GO_0016055', 'Wnt signaling pathway', 179, 'Wnt signaling pathway')]
PMC3052301	3/2011	S95-PMC3052301	['Heart rate, Left Ventricular pressure (Lvp), Contractility (dp/dtmax), and mean Arterial pressure (map); data are the means ± sem; group differences are calculated by one way of anova ( 4a, 4d ) * p<0.05 vs control group (c-c);#p<0.05 vs high protein-control (hp-c); or two way of anova ( 4b ), ** p<0.01; group differences (diet effects).']	N/A	N/A	[('UBERON_0000948', 'heart', 0, 'Heart'), ('UBERON_0002084', 'heart left ventricle', 12, 'left ventricular'), ('UBERON_0005414', 'zone of polarizing activity', 39, 'LVP'), ('GO_0006936', 'muscle contraction', 45, 'contractility'), ('UBERON_0001637', 'artery', 80, 'arterial')]
PMC3052301	3/2011	S107-PMC3052301	['we found no significant differences for all measured parameters, as exemplarily shown for Heart rate, Contractility, Left Ventricular pressure (Lvp), or mean Arterial pressure (map) in figure 4d .']	N/A	N/A	[('UBERON_0000948', 'heart', 90, 'heart'), ('GO_0006936', 'muscle contraction', 102, 'contractility'), ('UBERON_0002084', 'heart left ventricle', 117, 'left ventricular'), ('UBERON_0005414', 'zone of polarizing activity', 144, 'LVP'), ('UBERON_0001637', 'artery', 158, 'arterial')]
PMC3104979	5/2011	S154-PMC3104979	['Il-1 stimulates the Amnion and the Decidua to produce Prostaglandins and can stimulate Myometrial Contractions[20].']	N/A	N/A	[('PR_000001470', 'interleukin-28B', 0, 'IL-1'), ('UBERON_0000305', 'amnion', 20, 'amnion'), ('UBERON_0002450', 'decidua', 35, 'decidua'), ('CHEBI_26333', 'prostaglandin', 54, 'prostaglandins'), ('UBERON_0001697', 'orbit of skull', 87, 'myometrial'), ('GO_0006936', 'muscle contraction', 98, 'contractions')]
PMC3131279	7/2011	S88-PMC3131279	['tight junction and Steroid Hormone Biosynthesis pathways were over-represented amongst the down-regulated Genes, while jak-Stat Signalling and Wnt Signalling pathways were under-represented amongst the down-regulated Genes.']	N/A	N/A	[('CHEBI_34980', 'Stenbolone', 19, 'Steroid Hormone'), ('GO_0042427', 'serotonin biosynthetic process', 19, 'Steroid Hormone Biosynthesis'), ('SO_0000704', 'gene', 106, 'genes'), ('GO_0006936', 'muscle contraction', 123, 'STAT Signalling'), ('GO_0016055', 'Wnt signaling pathway', 143, 'Wnt Signalling'), ('SO_0000704', 'gene', 217, 'genes')]
PMC3138750	7/2011	S223-PMC3138750	['Tissue sampling included offspring of these sows at one Prenatal (94 dies post Conceptionem (dpc)) and three Postnatal time points (1, 28, 188 dies post Natum (dpn)).']	N/A	N/A	[('UBERON_0000479', 'tissue', 0, 'Tissue'), ('GO_0007565', 'female pregnancy', 56, 'prenatal'), ('GO_0006936', 'muscle contraction', 79, 'conceptionem'), ('GO_0007567', 'parturition', 109, 'postnatal'), ('GO_0007567', 'parturition', 153, 'natum')]
PMC3216618	11/2011	S96-PMC3216618	['operant Conditioning behavior\nwe used the behavioral go-no go Olfactory Learning methods63detailed briefly as follows.']	N/A	N/A	[('GO_0006936', 'muscle contraction', 8, 'conditioning'), ('GO_0008355', 'olfactory learning', 62, 'olfactory learning')]
PMC3279448	10/2011	S61-PMC3279448	['we used array control probes to assess the quality of our samples and evaluate potential problems such as poor Bisulfite Conversion or color-specific issues for each array.']	N/A	N/A	[('CHEBI_29874', 'bromine dioxide', 111, 'bisulfite'), ('GO_0006936', 'muscle contraction', 121, 'conversion')]
