OBO_ID (LABEL):	CL_0000775 (neutrophil)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2779500	11/2009	S74-PMC2779500	['during hiv infection, Immune Cells (such as Macrophages and Neutrophils) are also activated, resulting in an increase in Ros generation.']	N/A	N/A	[('CL_0000738', 'leukocyte', 22, 'immune cells'), ('UBERON_0002405', 'immune system', 22, 'immune'), ('CL_0000235', 'macrophage', 44, 'macrophages'), ('CL_0000775', 'neutrophil', 60, 'neutrophils'), ('CHEBI_8756', 'RNA (poly(A))', 121, 'ROS')]
PMC3257641	3/2010	S69-PMC3257641	['for example, 1,25(Oh)2D Regulates the Production Of the Antimicrobial Protein Cathelicidin, Camp (Ll37), an Intracellular Antimicrobial protein found within Lysosomes of Neutrophils, Macrophages and also within Trophoblasts [14,50].']	N/A	N/A	[('CHEBI_82784', 'PVP38-Ag NP', 13, '1,25(OH)2D'), ('GO_0065007', 'biological regulation', 24, 'regulates'), ('GO_0006412', 'translation', 38, 'production of ... protein'), ('CHEBI_65381', 'albizoside C', 56, 'antimicrobial'), ('PR_000006009', 'alpha-catulin', 78, 'cathelicidin'), ('PR_000004968', 'calretinin', 92, 'CAMP'), ('PR_000009801', 'DNA ligase 3', 98, 'LL37'), ('GO_0005622', 'intracellular anatomical structure', 108, 'intracellular'), ('CHEBI_65381', 'albizoside C', 122, 'antimicrobial'), ('GO_0005764', 'lysosome', 157, 'lysosomes'), ('CL_0000775', 'neutrophil', 170, 'neutrophils'), ('CL_0000235', 'macrophage', 183, 'macrophages'), ('UBERON_0000088', 'trophoblast', 211, 'trophoblasts')]
PMC3420688	5/2012	S51-PMC3420688	['Neutrophils remained less than 1.0 × 109/l, and she remained transfusion dependent.']	N/A	N/A	[('CL_0000775', 'neutrophil', 0, 'Neutrophils')]
PMC3420688	5/2012	S53-PMC3420688	['three months later, she still remained transfusion dependent with Neutrophils less than 1.0 × 109/l.']	N/A	N/A	[('CL_0000775', 'neutrophil', 66, 'neutrophils')]
PMC3420688	5/2012	S65-PMC3420688	['however Platelet transfusions continued and Neutrophils remained between 1 and 2 × 109/l.']	N/A	N/A	[('CL_0000233', 'platelet', 8, 'platelet'), ('CL_0000775', 'neutrophil', 44, 'neutrophils')]
PMC3501517	11/2012	S10-PMC3501517	['ex-vivo , Neutrophils from Vitamin D deficient Mice showed impaired Chemotaxis to Kc but not to C5A.']	N/A	N/A	[('CL_0000775', 'neutrophil', 10, 'neutrophils'), ('CHEBI_27300', 'vitamin D', 27, 'vitamin D'), ('NCBITaxon_10088', 'Mus <genus>', 47, 'mice'), ('GO_0006935', 'chemotaxis', 68, 'chemotaxis'), ('PR_000009255', 'potassium voltage-gated channel subfamily E member 1', 82, 'KC'), ('PR_000002319', 'catenin beta-1 isoform 1', 96, 'C5a')]
PMC3501517	11/2012	S11-PMC3501517	['Vitamin D deficiency modestly impairs Neutrophil Chemotaxis; however, it does not affect Lung injury or its resolution in an Lps model of acute Lung injury.']	N/A	N/A	[('CHEBI_28384', 'vitamin K', 0, 'Vitamin D'), ('CL_0000775', 'neutrophil', 38, 'neutrophil'), ('GO_0007567', 'parturition', 38, 'neutrophil'), ('GO_0006935', 'chemotaxis', 49, 'chemotaxis'), ('UBERON_0002048', 'lung', 89, 'lung'), ('CHEBI_16412', 'lipopolysaccharide', 125, 'LPS'), ('UBERON_0002048', 'lung', 144, 'lung')]
PMC3501517	11/2012	S70-PMC3501517	['following deparaffinization and Antigen retrieval with hier 2 Solution, slides were stained for Macrophages or Neutrophils, using α-F4/80 (clone bm8, 1∶200 dilution, invitrogen, grand island, ny) or α-ly6b (clone 7/4, 1∶10,000 dilution, abd serotec, raleigh, nc), respectively.']	N/A	N/A	[('CHEBI_59132', 'antigen', 32, 'antigen'), ('CHEBI_75958', 'solution', 62, 'solution'), ('CL_0000235', 'macrophage', 96, 'macrophages'), ('CL_0000775', 'neutrophil', 111, 'neutrophils'), ('PR_000001900', 'neuropilin-1', 132, 'F4/80')]
PMC3501517	11/2012	S73-PMC3501517	['measurement of Neutrophil Chemotaxis and Cxcr2 Expression ex vivo\nVitamin D sufficient and deficient Mice were euthanized by exposure to Isoflurane followed by exsanguination.']	N/A	N/A	[('CL_0000775', 'neutrophil', 15, 'neutrophil'), ('GO_0006935', 'chemotaxis', 26, 'chemotaxis'), ('PR_000001209', 'C-X-C chemokine receptor type 5', 41, 'CXCR2'), ('GO_0010467', 'gene expression', 47, 'Expression'), ('CHEBI_28384', 'vitamin K', 66, 'Vitamin D'), ('NCBITaxon_10088', 'Mus <genus>', 101, 'mice'), ('CHEBI_6015', 'isoflurane', 137, 'isoflurane')]
PMC3501517	11/2012	S74-PMC3501517	['the Femurs and Tibia Of both Hind Legs were dissected free, and Neutrophils were isolated from the Bone Marrow as previously described[38].']	N/A	N/A	[('UBERON_0000981', 'femur', 4, 'femurs'), ('UBERON_0001291', 'thick ascending limb of loop of Henle', 15, 'tibia of ... hind legs'), ('CL_0000775', 'neutrophil', 64, 'neutrophils'), ('UBERON_0002371', 'bone marrow', 99, 'bone marrow')]
