OBO_ID (LABEL):	CHEBI_16480 (nitric oxide)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2581757	11/2008	S78-PMC2581757	['estimation of Lipid peroxidation [36]\npacked Red Cells (0.2\xa0ml) were used for the quantitation of Malondialdehyde (Mda) as Thiobarbituric Acid reactive substances (tbars).']	N/A	N/A	[('CHEBI_18059', 'lipid', 14, 'lipid'), ('CL_0000232', 'erythrocyte', 45, 'red cells'), ('CHEBI_16480', 'nitric oxide', 98, 'malondialdehyde'), ('CHEBI_34840', 'methyl methacrylate', 115, 'MDA'), ('CHEBI_9592', 'tiglic acid', 123, 'thiobarbituric acid')]
PMC2581757	11/2008	S167-PMC2581757	['Superoxide dismutase and Nitric Oxide compete for Superoxide.']	N/A	N/A	[('CHEBI_9358', 'Sumatrol', 0, 'Superoxide'), ('CHEBI_16480', 'nitric oxide', 25, 'nitric oxide'), ('CHEBI_18421', 'superoxide', 50, 'superoxide')]
PMC3066640	12/2011	S36-PMC3066640	['the activity of constitutive Nitric Oxide synthase is dependent on calcium and is inhibited by a reduction in the concentration of Mg [22].']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 29, 'nitric oxide'), ('CHEBI_34829', 'Medrysone', 131, 'Mg')]
PMC3115550	5/2011	S154-PMC3115550	['Nitric Oxide Synthesis by Enos promotes Preadipocyte differentiation (43).']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 0, 'Nitric oxide'), ('GO_0006741', 'NADP biosynthetic process', 0, 'Nitric oxide synthesis'), ('PR_000007020', 'ETS-related transcription factor Elf-1', 26, 'eNOS'), ('CL_0002334', 'preadipocyte', 40, 'preadipocyte')]
PMC3184661	9/2006	S69-PMC3184661	['Fish Oil supplementation has significantly improved Endothelial function measured in terms of Nitric Oxide- and flow-mediated dilation and Vasodilation of Resistance Vessels Of the Forearm (23).']	N/A	N/A	[('CHEBI_5063', 'fipronil', 0, 'Fish oil'), ('UBERON_0001986', 'endothelium', 52, 'endothelial'), ('CHEBI_16480', 'nitric oxide', 94, 'nitric oxide'), ('GO_0042311', 'vasodilation', 139, 'vasodilation'), ('UBERON_0000161', 'orifice', 155, 'resistance'), ('UBERON_0001453', 'distal tarsal bone 2', 166, 'vessels of ... forearm')]
PMC3248362	11/2011	S123-PMC3248362	['Nicotine acts on Human Placenta to release Placental Acetylcholine, which stimulates release of Endothelium-Derived Relaxing Factor and Nitric Oxide [23], and in vitro studies show that Nicotine selectively inhibits Thromboxane A2 Synthesis [24].']	N/A	N/A	[('CHEBI_17790', 'methanol', 0, 'Nicotine'), ('NCBITaxon_9606', 'Homo sapiens', 17, 'human'), ('UBERON_0001987', 'placenta', 23, 'placenta'), ('CHEBI_52213', 'beta-beta-diporphyrin', 43, 'placental'), ('UBERON_0001987', 'placenta', 43, 'placental'), ('CHEBI_15355', 'acetylcholine', 53, 'acetylcholine'), ('UBERON_0001986', 'endothelium', 96, 'endothelium'), ('PR_000009212', 'lysine-specific demethylase 3B', 107, '-derived relaxing factor'), ('CHEBI_16480', 'nitric oxide', 136, 'nitric oxide'), ('CHEBI_25501', 'neoxanthin', 186, 'nicotine'), ('CHEBI_15627', 'thromboxane A2', 216, 'thromboxane A2'), ('PR_000002103', 'sodium channel protein type 8 subunit alpha', 216, 'thromboxane A2'), ('GO_0034205', 'amyloid-beta formation', 228, 'A2 synthesis')]
PMC3268605	8/2011	S0-PMC3268605	['Perinatal exogenous Nitric Oxide in fawn-hooded hypertensive Rats reduces Renal Ribosomal Biogenesis in early Life\n\nabstract\nNitric Oxide (No) is known to depress Ribosome Biogenesis in vitro .']	N/A	N/A	[('GO_0036268', 'swimming', 0, 'Perinatal'), ('UBERON_0012101', 'perinatal stage', 0, 'Perinatal'), ('CHEBI_44445', 'nimesulide', 20, 'Nitric Oxide'), ('NCBITaxon_10088', 'Mus <genus>', 61, 'Rats'), ('UBERON_0002113', 'kidney', 74, 'Renal'), ('GO_0005768', 'endosome', 80, 'Ribosomal'), ('GO_0022613', 'ribonucleoprotein complex biogenesis', 80, 'Ribosomal Biogenesis'), ('UBERON_0000104', 'life cycle', 110, 'Life'), ('CHEBI_16480', 'nitric oxide', 125, 'Nitric oxide'), ('CHEBI_16382', 'iodide', 139, 'NO'), ('GO_0005840', 'ribosome', 163, 'ribosome'), ('GO_0042254', 'ribosome biogenesis', 163, 'ribosome biogenesis')]
PMC3268605	8/2011	S112-PMC3268605	['caption (table-wrap): table 2\n\nNitric Oxide yields (pmol mnic/mg Tissue) determined by epr in Kidneys and Liver in of 2-week-old control fhh and 2-week-old fhh offspring of dams treated with Molsidomine .malesfemalescontrolsmolsidominecontrolsmolsidomine 2 weeks number/litters4/27/44/28/4No yield in Kidney (left and right)0.49\u2009±\u20090.030.53\u2009±\u20090.010.50\u2009±\u20090.040.49\u2009±\u20090.02no yield in Liver1.30\u2009±\u20090.081.39\u2009±\u20090.041.35\u2009±\u20090.081.32\u2009±\u20090.04\nmnic, mononitrosyl-Iron Complexes .']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 31, 'Nitric oxide'), ('UBERON_0000479', 'tissue', 65, 'tissue'), ('UBERON_0002113', 'kidney', 94, 'kidneys'), ('UBERON_0002107', 'liver', 106, 'liver'), ('CHEBI_30629', 'diethylenetriamine', 191, 'molsidomine'), ('CHEBI_37042', "purine 2'-deoxyribonucleoside 5'-triphosphate", 288, '4NO'), ('UBERON_0002113', 'kidney', 301, 'kidney'), ('UBERON_0002107', 'liver', 380, 'liver1'), ('GO_0030054', 'cell junction', 449, 'iron'), ('GO_0032991', 'protein-containing complex', 454, 'complexes')]
PMC3268605	8/2011	S164-PMC3268605	['discussion\nNitric Oxide donors are known to inhibit Proliferation Of Mesangial and other Glomerular Cells in vitro (rupprecht et al.,2000).']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 11, 'Nitric oxide'), ('GO_0008283', 'cell proliferation', 52, 'proliferation of ... cells'), ('CL_0000777', 'mesangial phagocyte', 69, 'mesangial ...'), ('UBERON_0001042', 'chordate pharynx', 69, 'mesangial'), ('CL_1000746', 'glomerular cell', 89, 'glomerular cells'), ('UBERON_0000074', 'renal glomerulus', 89, 'glomerular')]
PMC3534321	12/2012	S66-PMC3534321	['other studies are based on secondary prevention, when applied to high-risk population: Drugs such as Diuretics, Progesterone, Nitric Oxide, calcium supplementation, and Aspirin [20].']	N/A	N/A	[('CHEBI_23888', 'drug', 87, 'drugs'), ('CHEBI_35498', 'diuretic', 101, 'diuretics'), ('CHEBI_17026', 'progesterone', 112, 'progesterone'), ('CHEBI_16480', 'nitric oxide', 126, 'nitric oxide'), ('CHEBI_2904', 'atenolol', 169, 'aspirin')]
PMC3534321	12/2012	S148-PMC3534321	['Vasodilatation and inhibition of Platelet Aggregation are some functions of Endothelium derived Nitric Oxide.']	N/A	N/A	[('GO_0033151', 'V(D)J recombination', 0, 'Vasodilatation'), ('CL_0000233', 'platelet', 33, 'platelet'), ('GO_0070527', 'platelet aggregation', 33, 'platelet aggregation'), ('UBERON_0001986', 'endothelium', 76, 'endothelium'), ('CHEBI_16480', 'nitric oxide', 96, 'nitric oxide')]
PMC3534321	12/2012	S149-PMC3534321	['Drugs that enhance Nitric Oxide levels are Nitric Oxide Donors such as Glyceryl Trinitrate, Isosorbide Mononitrate, Isosorbide Dinitrate, S-Nitroglutathione, and Sodium Nitroprusside.']	N/A	N/A	[('CHEBI_23888', 'drug', 0, 'Drugs'), ('CHEBI_16480', 'nitric oxide', 19, 'nitric oxide'), ('CHEBI_50743', 'cyproterone acetate', 43, 'nitric oxide donors'), ('CHEBI_24403', 'glycosyl group', 71, 'glyceryl trinitrate'), ('CHEBI_6061', 'isosorbide dinitrate', 92, 'isosorbide mononitrate'), ('CHEBI_6061', 'isosorbide dinitrate', 116, 'isosorbide dinitrate'), ('CHEBI_8927', 'S-(2,4-dinitrophenyl)glutathione', 138, 'S-nitroglutathione'), ('CHEBI_66870', 'sodium dithionite', 162, 'sodium nitroprusside')]
PMC3534321	12/2012	S151-PMC3534321	['Nitric Oxide synthase are a family of enzymes that catalyze the Production Of Nitric Oxide from its precursor, an aminoacid, l-arginine.']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 0, 'Nitric oxide'), ('GO_0000050', 'urea cycle', 64, 'production of nitric oxide'), ('CHEBI_16480', 'nitric oxide', 78, 'nitric oxide')]
PMC3534321	12/2012	S152-PMC3534321	['Nitric Oxide Signaling is mainly mediated by the guanylate cyclase/cyclic guanylate monophosphate pathway.']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 0, 'Nitric oxide'), ('GO_0038061', 'NIK/NF-kappaB signaling', 0, 'Nitric oxide signaling')]
PMC3534321	12/2012	S161-PMC3534321	['four trials (170 women) compared Nitric Oxide donors (Glyceryl Trinitrate) or precursors (L-Arginine) with either placebo or no intervention.']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 33, 'nitric oxide'), ('CHEBI_24403', 'glycosyl group', 54, 'glyceryl trinitrate'), ('CHEBI_16977', 'L-alanine', 90, 'L-arginine')]
PMC3538633	1/2013	S23-PMC3538633	['furthermore, Nitric Oxide (No) is one of the major bio-active vasodilator Molecules and the constitutive Production Of Nitric Oxide within the Vascular Endothelium is important for determining basal Arteriolar tone.']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 13, 'nitric oxide'), ('CHEBI_16382', 'iodide', 27, 'NO'), ('CHEBI_36357', 'polyatomic entity', 74, 'molecules'), ('GO_0000050', 'urea cycle', 105, 'production of nitric oxide'), ('CHEBI_16480', 'nitric oxide', 119, 'nitric oxide'), ('UBERON_0004821', 'pulmonary alveolus epithelium', 143, 'vascular endothelium'), ('UBERON_0001637', 'artery', 199, 'arteriolar')]
PMC3543392	12/2012	S104-PMC3543392	['lcpufa are incorporated into Cell Membranes of the Vascular Endothelium and increase Endothelial Nitric Oxide Synthesis [59].']	N/A	N/A	[('GO_0005886', 'plasma membrane', 29, 'cell membranes'), ('UBERON_0004821', 'pulmonary alveolus epithelium', 51, 'vascular endothelium'), ('UBERON_0001986', 'endothelium', 85, 'endothelial'), ('CHEBI_16480', 'nitric oxide', 97, 'nitric oxide'), ('GO_0006809', 'nitric oxide biosynthetic process', 97, 'nitric oxide synthesis')]
PMC3586494	2/2013	S123-PMC3586494	['levels of Malondialdehyde were significantly higher, and Vitamin A and e levels were significantly lower in all diabetic women than controls.']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 10, 'malondialdehyde'), ('CHEBI_27300', 'vitamin D', 57, 'vitamin A')]
PMC3599191	1/2013	S38-PMC3599191	['serotonin, in addition to the vasoconstrictor effect, function as a Mitogen on the Smooth Muscle Cells and inhibits the production of Nitric Oxide, a potent vasodilator during both intra-Uterine and post-Natal Life [17].']	N/A	N/A	[('CHEBI_52290', 'mitogen', 68, 'mitogen'), ('CL_0000192', 'smooth muscle cell', 83, 'smooth muscle cells'), ('UBERON_0001135', 'smooth muscle tissue', 83, 'smooth muscle'), ('CHEBI_16480', 'nitric oxide', 134, 'nitric oxide'), ('GO_0000740', 'nuclear membrane fusion', 134, 'nitric oxide'), ('UBERON_0000995', 'uterus', 187, 'uterine'), ('GO_0007567', 'parturition', 204, 'natal'), ('UBERON_0000104', 'life cycle', 210, 'life')]
PMC3691177	6/2013	S6-PMC3691177	['secondary outcomes included atopy, Respiratory infection, impulse oscillometry and exhaled Nitric Oxide.']	N/A	N/A	[('UBERON_0001004', 'respiratory system', 35, 'respiratory'), ('CHEBI_16480', 'nitric oxide', 91, 'nitric oxide')]
PMC3691177	6/2013	S9-PMC3691177	['atopy was assessed by skin test for 95 children (53%), Serum Ige for 86 (48%), exhaled Nitric Oxide for 62 (34%) and impulse oscillometry of acceptable quality for 51 (28%).']	N/A	N/A	[('UBERON_0001977', 'blood serum', 55, 'serum'), ('GO_0071743', 'IgE immunoglobulin complex, circulating', 61, 'IgE'), ('CHEBI_16480', 'nitric oxide', 87, 'nitric oxide')]
PMC3691177	6/2013	S11-PMC3691177	['there was no significant difference in atopy, eczema risk, Lung function or exhaled Nitric Oxide between supplemented groups and controls.']	N/A	N/A	[('UBERON_0002048', 'lung', 59, 'lung'), ('CHEBI_16480', 'nitric oxide', 84, 'nitric oxide')]
PMC3691177	6/2013	S39-PMC3691177	['exhaled Nitric Oxide (eno) was measured using an offline, tidal breathing technique adherent to ats/ers guidelines[22].']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 8, 'nitric oxide')]
PMC3691177	6/2013	S43-PMC3691177	['seefile s1for description of ios quality control and exhaled Nitric Oxide assessment.']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 61, 'nitric oxide')]
PMC3756974	8/2013	S75-PMC3756974	['Amp-activated protein kinase (ampk) Antibody, thr172-phosphorylated ampk Antibody, Endothelial Isoform of Nitric Oxide synthase (Enos) Antibody, phosphorylated Enos Antibody, P53 Antibody (cell signaling technology, usa), and Β-Actin Antibody (abcam, japan) were incubated with the blot in a 1% blocking Solution that contained 40 mm Tris–Hcl buffer (ph7.4), 0.9% Nacl, 0.3% Tween 20, and 1% blocking Reagent or odyssey blocking buffer.']	N/A	N/A	[('CHEBI_16027', "adenosine 5'-monophosphate", 0, 'AMP'), ('GO_0042571', 'immunoglobulin complex, circulating', 36, 'antibody'), ('GO_0042571', 'immunoglobulin complex, circulating', 73, 'antibody'), ('UBERON_0001986', 'endothelium', 83, 'endothelial'), ('SO_0001060', 'sequence_variant', 95, 'isoform'), ('CHEBI_16480', 'nitric oxide', 106, 'nitric oxide'), ('PR_000007020', 'ETS-related transcription factor Elf-1', 129, 'eNOS'), ('GO_0042571', 'immunoglobulin complex, circulating', 135, 'antibody'), ('PR_000007020', 'ETS-related transcription factor Elf-1', 160, 'eNOS'), ('GO_0042571', 'immunoglobulin complex, circulating', 165, 'antibody'), ('PR_000003035', 'cellular tumor antigen p53', 175, 'p53'), ('GO_0042571', 'immunoglobulin complex, circulating', 179, 'antibody'), ('PR_000003676', 'actin, cytoplasmic 1', 226, 'β-actin'), ('GO_0042571', 'immunoglobulin complex, circulating', 234, 'antibody'), ('CHEBI_75958', 'solution', 304, 'solution'), ('CHEBI_9754', 'tris', 334, 'Tris'), ('CHEBI_17883', 'hydrogen chloride', 339, 'HCl'), ('CHEBI_26710', 'sodium chloride', 364, 'NaCl'), ('CHEBI_53424', 'polysorbate 20', 375, 'Tween 20'), ('CHEBI_33893', 'reagent', 401, 'reagent')]
PMC3820434	12/2012	S272-PMC3820434	['Pm(2.5) exposure induced signalling abnormalities characteristic of ir, including decreased Akt and Endothelial Nitric Oxide synthase (Enos) phosphorylation in the Endothelium and increased Protein Kinase C Expression.']	N/A	N/A	[('CHEBI_18303', 'phosphatidyl-L-serine', 0, 'PM'), ('PR_000003908', 'aflatoxin B1 aldehyde reductase member 2', 92, 'Akt'), ('UBERON_0001986', 'endothelium', 100, 'endothelial'), ('CHEBI_16480', 'nitric oxide', 112, 'nitric oxide'), ('PR_000007020', 'ETS-related transcription factor Elf-1', 135, 'eNOS'), ('UBERON_0001986', 'endothelium', 164, 'endothelium'), ('PR_000013390', '26S proteasome non-ATPase regulatory subunit 8', 190, 'protein kinase C'), ('GO_0010467', 'gene expression', 207, 'expression')]
PMC3925765	9/2013	S73-PMC3925765	['Serum and Tissue Malondialdehyde (Mda) were measured by Thiobarbituric Acid spectrometry assay (Tba)(23).']	N/A	N/A	[('UBERON_0001977', 'blood serum', 0, 'Serum'), ('UBERON_0000479', 'tissue', 10, 'tissue'), ('CHEBI_16480', 'nitric oxide', 17, 'malondialdehyde'), ('CHEBI_34840', 'methyl methacrylate', 34, 'MDA'), ('CHEBI_9592', 'tiglic acid', 56, 'thiobarbituric acid'), ('CHEBI_9383', 'THTA', 96, 'TBA')]
PMC3926113	1/2014	S52-PMC3926113	['biochemistry\nanalysis of vitc and Malondialdehyde (Mda) in Brain were performed as described previously[28,29,31].']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 34, 'malondialdehyde'), ('CHEBI_34840', 'methyl methacrylate', 51, 'MDA'), ('UBERON_0000955', 'brain', 59, 'brain')]
PMC4034700	5/2014	S93-PMC4034700	['Sflt-1 sensitized Endothelial Cells to pro-inflammatory factors, increasing Endothelial Cell Activation, as measured by increases in Endothelial Intercellular Adhesion Molecule 1 (Icam1), Vascular Cell Adhesion Molecule 1, Endothelin 1 (Et-1), Von Willebrand Factor and Leukocyte adhesion, and led to reduction of Akt ser473and Endothelial Nitric Oxide synthase (Enos) ser1177phosphorylation (cindrova-davies et al., 2011).']	N/A	N/A	[('PR_000014793', 'inactive tyrosine-protein kinase PRAG1', 0, 'sFlt-1'), ('CL_0000115', 'endothelial cell', 18, 'endothelial cells'), ('UBERON_0001986', 'endothelium', 18, 'endothelial'), ('CL_0000115', 'endothelial cell', 76, 'endothelial cell'), ('GO_0060847', 'endothelial cell fate specification', 76, 'endothelial cell activation'), ('UBERON_0001986', 'endothelium', 76, 'endothelial'), ('PR_000007122', 'ephrin type-A receptor 2', 133, 'endothelial intercellular adhesion molecule 1'), ('UBERON_0001986', 'endothelium', 133, 'endothelial'), ('GO_0005823', 'central plaque of spindle pole body', 145, 'intercellular adhesion molecule'), ('CHEBI_36357', 'polyatomic entity', 168, 'molecule'), ('PR_000001868', 'interleukin-6 receptor subunit beta', 180, 'ICAM1'), ('CL_0000568', 'amine precursor uptake and decarboxylation cell', 188, 'vascular cell'), ('PR_000001881', 'lymphocyte activation gene 3 protein', 188, 'vascular cell adhesion molecule 1'), ('CHEBI_36357', 'polyatomic entity', 211, 'molecule'), ('PR_000000794', 'voltage-gated potassium channel KCNH5', 223, 'endothelin 1'), ('PR_000007222', 'protein C-ets-2', 237, 'ET-1'), ('PR_000017316', 'DDB1- and CUL4-associated factor 1', 244, 'von Willebrand factor'), ('CL_0000738', 'leukocyte', 270, 'leukocyte'), ('PR_000003888', 'A-kinase anchor protein 14', 314, 'AKT'), ('UBERON_0001986', 'endothelium', 328, 'endothelial'), ('CHEBI_16480', 'nitric oxide', 340, 'nitric oxide'), ('PR_000007020', 'ETS-related transcription factor Elf-1', 363, 'eNOS')]
