OBO_ID (LABEL):	GO_0032991 (protein-containing complex)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2658734	4/2009	S67-PMC2658734	['Dicer cleaves near the Hairpin loop to release a short, ∼22 Base-Pair (Bp)-long incomplete rna duplex with characteristic two nt-long 3′-Overhangs at both ends that anchor Mirna Molecules to the Mirna-induced silencing Complex mirisc [27].']	N/A	N/A	[('PR_000006305', 'dermcidin', 0, 'Dicer'), ('SO_0000313', 'stem_loop', 23, 'hairpin'), ('SO_0000028', 'base_pair', 60, 'base-pair'), ('SO_0000028', 'base_pair', 71, 'bp'), ('SO_0000855', 'orthologous_region', 137, 'overhangs'), ('SO_0000276', 'miRNA', 172, 'miRNA'), ('CHEBI_36357', 'polyatomic entity', 178, 'molecules'), ('GO_0007618', 'mating', 195, 'miRNA'), ('SO_0000276', 'miRNA', 195, 'miRNA'), ('GO_0032991', 'protein-containing complex', 219, 'complex')]
PMC2716336	7/2009	S138-PMC2716336	['it inhibits the absorption of Minerals by forming insoluble Complexes [35].']	N/A	N/A	[('CHEBI_46751', 'quinolizidine', 30, 'minerals'), ('GO_0032991', 'protein-containing complex', 60, 'complexes')]
PMC2726293	9/2009	S64-PMC2726293	['briefly, a one-in-four series of Forebrain sections from each Animal was incubated in primary Fos Antibody (48\xa0h; 1:10,000; Rabbit polyclonal; santa cruz biotechnology, santa cruz, ca), then in secondary Antibody (2\xa0h; 1:200; biotinylated anti-Rabbit; vector laboratories, burlingame ca) and in an avidin–Biotin horseradish peroxidase (hrp) Complex (1\xa0h; vector elite kit, vector).']	N/A	N/A	[('UBERON_0001890', 'forebrain', 33, 'forebrain'), ('NCBITaxon_33208', 'Metazoa', 62, 'animal'), ('PR_000007705', 'galactoside alpha-(1,2)-fucosyltransferase 2', 94, 'Fos'), ('GO_0042571', 'immunoglobulin complex, circulating', 98, 'antibody'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 124, 'rabbit'), ('GO_0042571', 'immunoglobulin complex, circulating', 204, 'antibody'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 244, 'rabbit'), ('CHEBI_15956', 'biotin', 305, 'biotin'), ('GO_0032991', 'protein-containing complex', 341, 'complex')]
PMC2992766	12/2010	S30-PMC2992766	['Zinc directly inhibits the Formation Of O2−by inhibiting the Nadph oxidase Complex that catalyzes its formation, and indirectly, by inducing the production of metallothionein, a Free Radical scavenger.']	N/A	N/A	[('CHEBI_27377', "Unsym-bis(4'-chlorophenyl)ethylene", 0, 'Zinc'), ('GO_0007631', 'feeding behavior', 27, 'formation of O2'), ('CHEBI_37952', 'succinyl group', 40, 'O2−'), ('GO_0016589', 'NURF complex', 61, 'NADPH ...'), ('GO_0032991', 'protein-containing complex', 75, 'complex'), ('CHEBI_26519', 'radical', 178, 'free radical')]
PMC2996405	11/2010	S187-PMC2996405	['the Complexes contain either one of two closely related alternative atpases: brahma ( brm i.e.']	N/A	N/A	[('GO_0032991', 'protein-containing complex', 4, 'complexes')]
PMC3156327	4/2011	S49-PMC3156327	['these marks in turn attract Macromolecular Complexes that together determine the higher order structure and function of a Genomic region, whether at the level of a Gene Promoter, whole chromosome, or the entire Genome.']	N/A	N/A	[('GO_0005839', 'proteasome core complex', 28, 'macromolecular'), ('GO_0032991', 'protein-containing complex', 43, 'complexes'), ('SO_0001026', 'genome', 122, 'genomic'), ('SO_0000138', 'gene_rearranged_at_DNA_level', 164, 'gene promoter'), ('SO_0001026', 'genome', 211, 'genome')]
PMC3268605	8/2011	S82-PMC3268605	['Tissue No content\nendogenous No levels in Kidney and Liver Tissues of fhh pups were assayed at 2 weeks by No trapping with Iron-Dithiocarbamate (Fe-Detc) Complexes, as previously described (koeners et al.,2007; van faassen et al.,2008).']	N/A	N/A	[('UBERON_0000479', 'tissue', 0, 'Tissue'), ('CHEBI_16382', 'iodide', 7, 'NO'), ('CHEBI_16382', 'iodide', 29, 'NO'), ('UBERON_0002113', 'kidney', 42, 'kidney'), ('UBERON_0002107', 'liver', 53, 'liver'), ('UBERON_0000479', 'tissue', 59, 'tissues'), ('CHEBI_16382', 'iodide', 106, 'NO'), ('CHEBI_75832', 'iron(2+) sulfate (anhydrous)', 123, 'iron-dithiocarbamate'), ('CHEBI_33290', 'food', 145, 'Fe'), ('CHEBI_15946', 'keto-D-fructose 6-phosphate', 148, 'DETC'), ('GO_0032991', 'protein-containing complex', 154, 'complexes')]
PMC3268605	8/2011	S83-PMC3268605	['briefly, the yields of paramagnetic No-Fe(Ii)-Detc Complexes (Mononitrosyl-Iron Complexes, mnic) in Tissues was quantified with epr spectroscopy of intact frozen Tissue sections at 77k.']	N/A	N/A	[('CHEBI_16382', 'iodide', 36, 'NO'), ('CHEBI_51907', 'dansyl chloride', 39, 'Fe(II)-'), ('CHEBI_15946', 'keto-D-fructose 6-phosphate', 46, 'DETC'), ('GO_0032991', 'protein-containing complex', 51, 'complexes'), ('CHEBI_29441', 'isothiocyanato group', 62, 'mononitrosyl'), ('GO_0030054', 'cell junction', 75, 'iron'), ('GO_0032991', 'protein-containing complex', 80, 'complexes'), ('UBERON_0000479', 'tissue', 100, 'tissues'), ('UBERON_0000479', 'tissue', 162, 'tissue')]
PMC3268605	8/2011	S84-PMC3268605	['the Tissues were reduced at room temperature with Dithionite (50\u2009mm for 15\u2009min) to remove the overlapping epr signal from paramagnetic Cu(Ii)-Detc Complexes as commonly found in biological materials.']	N/A	N/A	[('UBERON_0000479', 'tissue', 4, 'tissues'), ('CHEBI_29209', 'dithionate(2-)', 50, 'dithionite'), ('CHEBI_70293', 'Remisporin A', 135, 'Cu(II)-'), ('CHEBI_15946', 'keto-D-fructose 6-phosphate', 142, 'DETC'), ('GO_0032991', 'protein-containing complex', 147, 'complexes')]
PMC3268605	8/2011	S112-PMC3268605	['caption (table-wrap): table 2\n\nNitric Oxide yields (pmol mnic/mg Tissue) determined by epr in Kidneys and Liver in of 2-week-old control fhh and 2-week-old fhh offspring of dams treated with Molsidomine .malesfemalescontrolsmolsidominecontrolsmolsidomine 2 weeks number/litters4/27/44/28/4No yield in Kidney (left and right)0.49\u2009±\u20090.030.53\u2009±\u20090.010.50\u2009±\u20090.040.49\u2009±\u20090.02no yield in Liver1.30\u2009±\u20090.081.39\u2009±\u20090.041.35\u2009±\u20090.081.32\u2009±\u20090.04\nmnic, mononitrosyl-Iron Complexes .']	N/A	N/A	[('CHEBI_16480', 'nitric oxide', 31, 'Nitric oxide'), ('UBERON_0000479', 'tissue', 65, 'tissue'), ('UBERON_0002113', 'kidney', 94, 'kidneys'), ('UBERON_0002107', 'liver', 106, 'liver'), ('CHEBI_30629', 'diethylenetriamine', 191, 'molsidomine'), ('CHEBI_37042', "purine 2'-deoxyribonucleoside 5'-triphosphate", 288, '4NO'), ('UBERON_0002113', 'kidney', 301, 'kidney'), ('UBERON_0002107', 'liver', 380, 'liver1'), ('GO_0030054', 'cell junction', 449, 'iron'), ('GO_0032991', 'protein-containing complex', 454, 'complexes')]
