OBO_ID (LABEL):	UBERON_0001135 (smooth muscle tissue)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2581757	11/2008	S23-PMC2581757	['No Regulates Leukocyte adhesion to the Endothelium [17] and inhibits Vascular Smooth Muscle Cell Proliferation and Platelet Aggregation [18].']	N/A	N/A	[('CHEBI_16382', 'iodide', 0, 'NO'), ('GO_0065007', 'biological regulation', 3, 'regulates'), ('CL_0000738', 'leukocyte', 13, 'leukocyte'), ('UBERON_0001986', 'endothelium', 39, 'endothelium'), ('CL_0000359', 'vascular associated smooth muscle cell', 69, 'vascular smooth muscle cell'), ('UBERON_0001135', 'smooth muscle tissue', 78, 'smooth muscle'), ('GO_0007601', 'visual perception', 85, 'muscle'), ('GO_0008283', 'cell proliferation', 92, 'cell proliferation'), ('CL_0000233', 'platelet', 115, 'platelet'), ('GO_0070527', 'platelet aggregation', 115, 'platelet aggregation')]
PMC2646054	3/2009	S137-PMC2646054	['the morphology and cellular composition of lesions (Macrophages vs. Smooth Muscle Cells) was not different between groups (data not shown).']	N/A	N/A	[('CL_0000235', 'macrophage', 52, 'macrophages'), ('CL_0000192', 'smooth muscle cell', 68, 'smooth muscle cells'), ('UBERON_0001135', 'smooth muscle tissue', 68, 'smooth muscle')]
PMC2872320	3/2010	S136-PMC2872320	['willful Ingestion Of Soil: Geophagy\nmost Primate species are Geophageous.']	N/A	N/A	[('GO_0007631', 'feeding behavior', 8, 'Ingestion of Soil'), ('UBERON_0001135', 'smooth muscle tissue', 21, 'Soil'), ('GO_0042267', 'natural killer cell mediated cytotoxicity', 27, 'Geophagy'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 41, 'primate'), ('GO_0042332', 'gravitaxis', 61, 'geophageous')]
PMC2872320	3/2010	S204-PMC2872320	['Soil, the layer of minerals, living microorganisms and dead Plants and Animals blanketing the planet, is the mother of all terrestrial life.']	N/A	N/A	[('UBERON_0001135', 'smooth muscle tissue', 0, 'Soil'), ('NCBITaxon_10088', 'Mus <genus>', 60, 'plants'), ('NCBITaxon_33208', 'Metazoa', 71, 'animals')]
PMC3031146	1/2011	S85-PMC3031146	['these pathways included cytokine-cytokine receptor interaction, the Regulation Of Actin Cytoskeleton, tight junction, Calcium Signaling Pathway, Smooth Muscle Contraction and the Wnt Signaling Pathway.']	N/A	N/A	[('GO_0040012', 'regulation of locomotion', 68, 'regulation of actin'), ('GO_0015629', 'actin cytoskeleton', 82, 'actin cytoskeleton'), ('GO_0019722', 'calcium-mediated signaling', 118, 'calcium signaling pathway'), ('UBERON_0001135', 'smooth muscle tissue', 145, 'smooth muscle'), ('GO_0006936', 'muscle contraction', 152, 'muscle contraction'), ('GO_0016055', 'Wnt signaling pathway', 179, 'Wnt signaling pathway')]
PMC3156909	9/2011	S66-PMC3156909	['Rat monoclonal anti-Vascular Cell Adhesion Molecule 1 (Vcam1) and anti-Cd68 Antibodies, and Rabbit polyclonal anti-Α Smooth Muscle Actin (Αsma) Antibody (abcam, cambridge, uk) were used on frozen sections of Antenatal-treated Aortic Roots.']	N/A	N/A	[('NCBITaxon_10088', 'Mus <genus>', 0, 'Rat'), ('CL_0000568', 'amine precursor uptake and decarboxylation cell', 20, 'vascular cell'), ('PR_000001881', 'lymphocyte activation gene 3 protein', 20, 'vascular cell adhesion molecule 1'), ('GO_0000328', 'fungal-type vacuole lumen', 29, 'cell adhesion molecule'), ('CHEBI_36357', 'polyatomic entity', 43, 'molecule'), ('PR_000001970', 'vascular cell adhesion protein 1', 55, 'VCAM1'), ('PR_000001309', 'CD70 molecule', 71, 'CD68'), ('GO_0042571', 'immunoglobulin complex, circulating', 76, 'antibodies'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 92, 'rabbit'), ('PR_000003669', 'acyl-coenzyme A synthetase ACSM5, mitochondrial', 115, 'α smooth muscle actin'), ('UBERON_0001135', 'smooth muscle tissue', 117, 'smooth muscle'), ('PR_000003669', 'acyl-coenzyme A synthetase ACSM5, mitochondrial', 138, 'αSMA'), ('GO_0042571', 'immunoglobulin complex, circulating', 144, 'antibody'), ('UBERON_0001760', 'frontal sinus', 208, 'antenatal'), ('UBERON_0002109', 'pair of nares', 226, 'aortic roots')]
PMC3156909	9/2011	S142-PMC3156909	['furthermore, lipistase reduced the number of Αsma-positive Smooth Muscle Cells in Micronutrient-treated Mice compared with controls ( figure\xa06d ).']	N/A	N/A	[('PR_000003669', 'acyl-coenzyme A synthetase ACSM5, mitochondrial', 45, 'αSMA'), ('CL_0000192', 'smooth muscle cell', 59, 'smooth muscle cells'), ('UBERON_0001135', 'smooth muscle tissue', 59, 'smooth muscle'), ('CHEBI_33962', 'mu4-sulfido-quadro-tetracopper(6+)', 82, 'micronutrient'), ('NCBITaxon_10088', 'Mus <genus>', 104, 'mice')]
PMC3236407	11/2012	S94-PMC3236407	['changes within the Gi Tract include Gastric dysrhythmia (tachygastria or bradygastria or both) or Gastroparesis and abnormalities in Gastric neural activity and Smooth Muscle function [35].']	N/A	N/A	[('UBERON_0000993', 'oviduct', 19, 'GI tract'), ('UBERON_0001844', 'cochlea', 36, 'gastric'), ('GO_0007369', 'gastrulation', 98, 'gastroparesis'), ('UBERON_0001844', 'cochlea', 133, 'gastric'), ('UBERON_0001135', 'smooth muscle tissue', 161, 'smooth muscle')]
PMC3415211	5/2012	S173-PMC3415211	['c : at e16.5, chrna7:cre ablated Embryos frequently manifest myelomeningocele (i.e., extrusion of the Meninges and Spinal Cord) at the Site of the Sb (double arrows) and Nerve Roots (arrow).']	N/A	N/A	[('UBERON_0000922', 'embryo', 33, 'embryos'), ('UBERON_0002360', 'meninx', 102, 'meninges'), ('UBERON_0002240', 'spinal cord', 115, 'spinal cord'), ('UBERON_0001135', 'smooth muscle tissue', 135, 'site'), ('UBERON_0001290', 'proximal straight tubule', 147, 'SB'), ('UBERON_0002211', 'nerve root', 170, 'nerve roots')]
PMC3577465	2/2013	S63-PMC3577465	['samples were incubated with a primary Antibody against Smooth Muscle specific Α-actin (Α-Sma, clone: 1a4, dako) overnight, followed by secondary goat Antibody (hrp Polymer) for 30 minutes at 37°c.']	N/A	N/A	[('GO_0042571', 'immunoglobulin complex, circulating', 38, 'antibody'), ('UBERON_0001135', 'smooth muscle tissue', 55, 'smooth muscle'), ('PR_000010051', 'transcription factor MafK', 62, 'muscle'), ('PR_000004770', 'Polycomb complex protein BMI-1', 78, 'α-'), ('PR_000003664', 'acyl-coenzyme A synthetase ACSM1, mitochondrial', 87, 'α-SMA'), ('GO_0042571', 'immunoglobulin complex, circulating', 150, 'antibody'), ('CHEBI_33839', 'macromolecule', 164, 'polymer')]
