OBO_ID (LABEL):	GO_0045202 (synapse)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC2526009	10/2008	S128-PMC2526009	['morphometric analyses of Neurons: alterations in spine density\nDendritic Spines are the primary source of Synaptic Contact in the Mammalian Brain.']	N/A	N/A	[('CL_0000540', 'neuron', 25, 'neurons'), ('GO_0044307', 'dendritic branch', 63, 'Dendritic spines'), ('GO_0045202', 'synapse', 106, 'synaptic contact'), ('NCBITaxon_40674', 'Mammalia', 130, 'mammalian'), ('UBERON_0000955', 'brain', 140, 'brain')]
PMC2526009	10/2008	S234-PMC2526009	['the Synapse of the deficient Rat was characterized by elevated acetylcholinesterase (ache) and Choline acetyltransferase (chat) activities, and increased Synthesis Of Ach from Choline transported by Sodium-dependent high-affinity Choline uptake (sdhacu).']	N/A	N/A	[('GO_0045202', 'synapse', 4, 'synapse'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 29, 'rat'), ('CHEBI_15354', 'choline', 95, 'choline'), ('GO_0007416', 'synapse assembly', 154, 'synthesis of ACh'), ('CHEBI_15354', 'choline', 176, 'choline'), ('CHEBI_52632', 'potassium-39 atom', 199, 'sodium'), ('CHEBI_15354', 'choline', 230, 'choline')]
PMC2689221	5/2009	S67-PMC2689221	['this is also extended to Astrocyte-Neuronal interactions in tripartite Synapses.']	N/A	N/A	[('CL_0000127', 'astrocyte', 25, 'astrocyte'), ('CL_0000540', 'neuron', 35, 'neuronal'), ('GO_0045202', 'synapse', 71, 'synapses')]
PMC3607807	3/2013	S29-PMC3607807	['from 34 weeks post-Conception until 2 years of age, peak Synapse Development, and significant Brain growth occurs (huttenlocher and dabholkar,1997; levitt,2003).']	N/A	N/A	[('GO_0007620', 'copulation', 19, 'conception'), ('GO_0007416', 'synapse assembly', 57, 'synapse development'), ('GO_0045202', 'synapse', 57, 'synapse'), ('UBERON_0000955', 'brain', 94, 'brain')]
PMC3607807	3/2013	S239-PMC3607807	['in addition, in Animal models hypothyroidism alters Neurogenesis and the Development and functions Of Synapses in the hippocampus (desouza et al.,2005; gong et al.,2010).']	N/A	N/A	[('NCBITaxon_33208', 'Metazoa', 16, 'animal'), ('GO_0022008', 'neurogenesis', 52, 'neurogenesis'), ('GO_0048513', 'animal organ development', 73, 'development ... of synapses'), ('GO_0045202', 'synapse', 102, 'synapses')]
PMC3608914	3/2013	S126-PMC3608914	['in addition, dio Rats Fed a hfd display a loss of Synapses onto Pomc Neurons, whereas high-fat Feeding in control (dr) Rats causes an increase in pomc Synaptic coverage (horvath et al.,2010).']	N/A	N/A	[('NCBITaxon_9986', 'Oryctolagus cuniculus', 17, 'rats'), ('GO_0007631', 'feeding behavior', 22, 'fed'), ('GO_0045202', 'synapse', 50, 'synapses'), ('CL_0000510', 'paneth cell', 64, 'POMC neurons'), ('GO_0007631', 'feeding behavior', 95, 'feeding'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 119, 'rats'), ('GO_0045202', 'synapse', 151, 'synaptic')]
PMC3734354	7/2013	S26-PMC3734354	['during the growth Spurt, the Brain follows an invariant sequence of developmental events, beginning with Neuronal Proliferation and Migration, followed by Neuronal Differentiation, the formation of connective patterns, subtractive Processes in the form of Neuronal Death and Synaptic Elimination and, finally, myelination (de graaf-peters and hadders-algra,2006).']	N/A	N/A	[('UBERON_0006337', 'distal early tubule', 18, 'spurt'), ('UBERON_0000955', 'brain', 29, 'brain'), ('CL_0000540', 'neuron', 105, 'neuronal'), ('GO_0070342', 'brown fat cell proliferation', 105, 'neuronal proliferation ... migration'), ('CL_0000540', 'neuron', 155, 'neuronal'), ('GO_0003357', 'noradrenergic neuron differentiation', 155, 'neuronal differentiation'), ('GO_0042995', 'cell projection', 231, 'processes'), ('CL_0000540', 'neuron', 256, 'neuronal'), ('GO_0019233', 'sensory perception of pain', 256, 'neuronal death'), ('GO_0045202', 'synapse', 275, 'synaptic'), ('GO_0099560', 'synaptic membrane adhesion', 275, 'synaptic elimination')]
PMC4037119	5/2014	S9-PMC4037119	['indeed, the expression of long-lasting activity-dependent Synaptic modifications in response to stimuli of high frequency is an established phenomenon of the Hippocampal Neural Circuitry [8].']	N/A	N/A	[('GO_0045202', 'synapse', 58, 'synaptic'), ('UBERON_0001954', "Ammon's horn", 158, 'hippocampal'), ('UBERON_0002310', 'hippocampus fimbria', 170, 'neural circuitry')]
PMC4037119	5/2014	S124-PMC4037119	['Synapses are particularly vulnerable to impairment and irreversible damage upon exposure to β -Amyloid and the Synaptic Formation is regarded as a key site in the initiation of the neurodegenerative process [93].']	N/A	N/A	[('GO_0045202', 'synapse', 0, 'Synapses'), ('CHEBI_60425', 'amyloid fibril', 95, 'amyloid'), ('GO_0007416', 'synapse assembly', 111, 'synaptic formation'), ('GO_0045202', 'synapse', 111, 'synaptic')]
PMC4037119	5/2014	S130-PMC4037119	['moreover, upregulation of Genes associated with Neurogenesis and Synaptic plasticity was found in the cr hippocampus, along with downregulation of Genes associated with the Expression of inflammatory markers.']	N/A	N/A	[('SO_0000704', 'gene', 26, 'genes'), ('GO_0022008', 'neurogenesis', 48, 'neurogenesis'), ('GO_0045202', 'synapse', 65, 'synaptic'), ('SO_0000704', 'gene', 147, 'genes'), ('GO_0010467', 'gene expression', 173, 'expression')]
PMC4037119	5/2014	S403-PMC4037119	['similar to diet, exercise entails a “broad spectrum of action” and also effectively promotes Brain plasticity through the increases of Neurogenesis, Neurotrophins levels, and Synaptic plasticity [235].']	N/A	N/A	[('UBERON_0000955', 'brain', 93, 'brain'), ('GO_0022008', 'neurogenesis', 135, 'neurogenesis'), ('PR_000021998', 'neurotrophin', 149, 'neurotrophins'), ('GO_0045202', 'synapse', 175, 'synaptic')]
PMC4037119	5/2014	S409-PMC4037119	['with regard to Synaptic plasticity, exercise greatly enhanced the action of Dha supplementation on levels of Bdnf and Trkb activation following tbi [238].']	N/A	N/A	[('GO_0045202', 'synapse', 15, 'synaptic'), ('CHEBI_17874', 'dihydrozeatin', 76, 'DHA'), ('PR_000004716', 'brain-derived neurotrophic factor', 109, 'BDNF'), ('PR_000011469', 'high affinity nerve growth factor receptor', 118, 'TrkB')]
PMC4037119	5/2014	S424-PMC4037119	['further to this, N-3 deficiency decreases phosphorylation of creb and reduces the levels of two markers of Synaptic plasticity—Synapsin I and Synaptophysin [245].']	N/A	N/A	[('PR_000011459', 'neurotrophin-3', 17, 'n-3'), ('GO_0045202', 'synapse', 107, 'synaptic'), ('PR_000015877', 'Ras/Rap GTPase-activating protein SynGAP', 127, 'synapsin I'), ('PR_000015896', 'synaptotagmin-11', 142, 'synaptophysin')]
PMC4061886	7/2013	S15-PMC4061886	['the Brain is not a static Organ, but it can change both physically (structural plasticity) and functionally (Synaptic plasticity) depending on environment and experience.']	N/A	N/A	[('UBERON_0000955', 'brain', 4, 'brain'), ('UBERON_0000062', 'organ', 26, 'organ'), ('GO_0045202', 'synapse', 109, 'synaptic')]
PMC4061886	7/2013	S18-PMC4061886	['one form of Synaptic plasticity is long-term potentiation (Ltp), which corresponds to the strengthening of a Synapse and is characterized by an increase in the size of an evoked Postsynaptic potential or current in response to the same stimulus [6].']	N/A	N/A	[('GO_0045202', 'synapse', 12, 'synaptic'), ('GO_0060291', 'long-term synaptic potentiation', 59, 'LTP'), ('GO_0045202', 'synapse', 109, 'synapse'), ('GO_0098794', 'postsynapse', 178, 'postsynaptic')]
PMC4061886	7/2013	S19-PMC4061886	['this results in long lasting Neuronal changes involving protein Expression and activation and an overall increase in Synaptic Transmission [7].']	N/A	N/A	[('CL_0000540', 'neuron', 29, 'neuronal'), ('GO_0010467', 'gene expression', 64, 'expression'), ('GO_0007268', 'chemical synaptic transmission', 117, 'synaptic transmission'), ('GO_0045202', 'synapse', 117, 'synaptic')]
