OBO_ID (LABEL):	CL_0000351 (trophoblast cell)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC3401547	7/2012	S6-PMC3401547	['in Humans, the hemochorial Placenta includes the syncytiotrophoblast (a continuous, uninterrupted, Multinucleated surface that covers the Villous tree), the cytotrophoblast (a second layer of Mononucleated Trophoblasts that become discontinuous as Pregnancy progresses), the Connective Tissue of the Villous Tree, and the Endothelium of the fetal Capillaries.']	N/A	N/A	[('NCBITaxon_9606', 'Homo sapiens', 3, 'humans'), ('UBERON_0001987', 'placenta', 27, 'placenta'), ('GO_0016007', 'mitochondrial derivative', 99, 'multinucleated'), ('UBERON_0001349', 'externally connecting tube lumen', 138, 'villous'), ('CL_0000226', 'single nucleate cell', 192, 'mononucleated'), ('CL_0000351', 'trophoblast cell', 206, 'trophoblasts'), ('UBERON_0000088', 'trophoblast', 206, 'trophoblasts'), ('GO_0007565', 'female pregnancy', 248, 'pregnancy'), ('UBERON_0002384', 'connective tissue', 275, 'connective tissue'), ('UBERON_0001113', 'lobe of liver', 300, 'villous tree'), ('UBERON_0001986', 'endothelium', 322, 'endothelium'), ('UBERON_0001982', 'capillary', 347, 'capillaries')]
PMC3640235	10/2012	S25-PMC3640235	['to bypass this deficit, Dehydroisoandrosterone Sulfate (Dha) from the fetal Adrenal is converted to Estradiol-17Ί by Trophoblasts.']	N/A	N/A	[('CHEBI_16814', 'dehydroepiandrosterone sulfate', 24, 'dehydroisoandrosterone sulfate'), ('CHEBI_17874', 'dihydrozeatin', 56, 'DHA'), ('UBERON_0002369', 'adrenal gland', 76, 'adrenal'), ('CHEBI_52637', 'europium-151 atom', 100, 'estradiol-17ί'), ('CL_0000351', 'trophoblast cell', 117, 'trophoblasts'), ('UBERON_0000088', 'trophoblast', 117, 'trophoblasts')]
PMC3640235	10/2012	S58-PMC3640235	['the th2-derived cytokines, Il-4 and Il-6, induce the release of hcg from Trophoblasts and the hcg stimulates Progesterone production from Corpus Luteum in Pregnancy.']	N/A	N/A	[('PR_000001470', 'interleukin-28B', 27, 'IL-4'), ('PR_000001470', 'interleukin-28B', 36, 'IL-6'), ('CL_0000351', 'trophoblast cell', 73, 'trophoblasts'), ('UBERON_0000088', 'trophoblast', 73, 'trophoblasts'), ('CHEBI_17026', 'progesterone', 109, 'progesterone'), ('GO_0008283', 'cell proliferation', 109, 'progesterone'), ('UBERON_0002512', 'corpus luteum', 138, 'corpus luteum'), ('GO_0007565', 'female pregnancy', 155, 'pregnancy')]
PMC3652177	4/2013	S97-PMC3652177	["central to the Placenta's function is its Vascular Labyrinth, a parallel series of finely branched Blood Vessels and Trophoblasts that Regulate Nutrient, Gas, and waste exchange while keeping the maternal-fetal Blood supplies separate."]	N/A	N/A	[('UBERON_0001987', 'placenta', 15, 'placenta'), ('UBERON_0001862', 'vestibular labyrinth', 42, 'vascular labyrinth'), ('UBERON_0001981', 'blood vessel', 99, 'blood vessels'), ('CL_0000351', 'trophoblast cell', 117, 'trophoblasts'), ('UBERON_0000088', 'trophoblast', 117, 'trophoblasts'), ('GO_0065007', 'biological regulation', 135, 'regulate'), ('CHEBI_33284', 'nutrient', 144, 'nutrient'), ('CHEBI_24338', 'glutathionyl selenide anion', 154, 'gas'), ('UBERON_0000178', 'blood', 211, 'blood')]
PMC3720837	7/2013	S125-PMC3720837	['effect of breed, sex and iugr on Placental features\nthere were no significant differences in the stereological analysis of the Placental components among breeds, sexes and normal/iugr foetuses, except for a higher volume fraction of Trophoblastic Vessels in the ib iugr foetuses when compared to normal littermates (10.9±1.3 vs. 7.6±0.6, p \u200a=\u200a0.02), with no difference between males and females.']	N/A	N/A	[('UBERON_0001987', 'placenta', 33, 'placental'), ('UBERON_0001987', 'placenta', 127, 'placental'), ('CL_0000351', 'trophoblast cell', 233, 'trophoblastic'), ('UBERON_0000088', 'trophoblast', 233, 'trophoblastic'), ('UBERON_0000055', 'vessel', 247, 'vessels')]
PMC3728489	7/2013	S38-PMC3728489	['dnk Cells can interact with Trophoblast Cells through two sets of receptors: (a) the killer-activating receptor, which recognizes a number of different Molecules present on the Surface Of Nucleated Cells, and (b) the killer-inhibitory receptors (kir family), which recognize the Major Histocompatibility Complex (Mhc) class i Molecules that are typically present on all Nucleated Cells.']	N/A	N/A	[('CL_0000573', 'retinal cone cell', 4, 'cells'), ('CL_0000351', 'trophoblast cell', 28, 'trophoblast cells'), ('UBERON_0000088', 'trophoblast', 28, 'trophoblast'), ('CHEBI_36357', 'polyatomic entity', 152, 'molecules'), ('GO_0009986', 'cell surface', 177, 'surface of'), ('CL_0002242', 'nucleate cell', 188, 'nucleated cells'), ('GO_0005634', 'nucleus', 188, 'nucleated cells'), ('GO_0042611', 'MHC protein complex', 279, 'major histocompatibility complex'), ('GO_0042611', 'MHC protein complex', 313, 'MHC'), ('CHEBI_36357', 'polyatomic entity', 326, 'molecules'), ('CL_0002242', 'nucleate cell', 370, 'nucleated cells')]
PMC4034700	5/2014	S125-PMC4034700	['in early Gestation of normal Pregnancy, the Spiral Arteries undergo substantial remodeling by invasive Extravillous Trophoblasts, which penetrate into the Myometrium and convert muscular Spiral Arteries into flaccid Tubes with no muscularis or elastic lamina, capable of supplying the hugely expanded Blood flow of the Third Trimester Placenta.']	N/A	N/A	[('GO_0007565', 'female pregnancy', 9, 'gestation'), ('GO_0007565', 'female pregnancy', 29, 'pregnancy'), ('UBERON_0002537', 'hermaphrodite gonad', 44, 'spiral arteries'), ('UBERON_0001387', 'fibularis longus', 103, 'extravillous'), ('CL_0000351', 'trophoblast cell', 116, 'trophoblasts'), ('UBERON_0001296', 'myometrium', 155, 'myometrium'), ('UBERON_0002537', 'hermaphrodite gonad', 187, 'spiral arteries'), ('UBERON_0000025', 'tube', 216, 'tubes'), ('UBERON_0000178', 'blood', 301, 'blood'), ('UBERON_0003829', 'urethra muscle tissue', 319, 'third trimester'), ('UBERON_0001987', 'placenta', 335, 'placenta')]
PMC4193194	10/2014	S49-PMC4193194	['within the Trophoblast Cell, oxidative stress from unbalanced Free Radical Formation is formed from different sources like xo, enos uncoupling, nadph oxidase, and Mitochondria.']	N/A	N/A	[('CL_0000351', 'trophoblast cell', 11, 'trophoblast cell'), ('UBERON_0000088', 'trophoblast', 11, 'trophoblast'), ('CHEBI_26519', 'radical', 62, 'free radical'), ('GO_0031169', 'ferrichrome biosynthetic process', 62, 'free radical formation'), ('GO_0005739', 'mitochondrion', 163, 'mitochondria')]
PMC4251881	11/2014	S66-PMC4251881	['Fetal Trophoblastic Cells are typically devoid of Mhc Molecules, so the maternal Immune System does not mount an Immune Response against the Growing fetus [7].']	N/A	N/A	[('CL_0000025', 'egg cell', 0, 'Fetal'), ('CL_0000351', 'trophoblast cell', 6, 'trophoblastic cells'), ('UBERON_0000088', 'trophoblast', 6, 'trophoblastic'), ('GO_0042611', 'MHC protein complex', 50, 'MHC'), ('CHEBI_36357', 'polyatomic entity', 54, 'molecules'), ('UBERON_0002405', 'immune system', 81, 'immune system'), ('UBERON_0002405', 'immune system', 113, 'immune'), ('GO_0060033', 'anatomical structure regression', 120, 'response'), ('GO_0040007', 'growth', 141, 'growing')]
PMC4418750	6/2015	S83-PMC4418750	['secondary Trophoblasts were defined as those located at the periphery of the outgrowth and possessing a Nuclear area >300\u200aμm2(el-hashash & kimber 2004).']	N/A	N/A	[('CL_0000351', 'trophoblast cell', 10, 'trophoblasts'), ('UBERON_0000088', 'trophoblast', 10, 'trophoblasts'), ('GO_0005634', 'nucleus', 104, 'nuclear')]
