OFFICIAL_GENE_SYMBOL	Name	Species
CEACAM8	CEA cell adhesion molecule 8(CEACAM8)	Homo sapiens
IFI44	interferon induced protein 44(IFI44)	Homo sapiens
OLFM4	olfactomedin 4(OLFM4)	Homo sapiens
TMEM176A	transmembrane protein 176A(TMEM176A)	Homo sapiens
SIGLEC14	sialic acid binding Ig like lectin 14(SIGLEC14)	Homo sapiens
LINC02520	long intergenic non-protein coding RNA 2520(LINC02520)	Homo sapiens
USP32P1	ubiquitin specific peptidase 32 pseudogene 1(USP32P1)	Homo sapiens
OAS3	2'-5'-oligoadenylate synthetase 3(OAS3)	Homo sapiens
TMTC1	transmembrane O-mannosyltransferase targeting cadherins 1(TMTC1)	Homo sapiens
LINC00328	long intergenic non-protein coding RNA 328(LINC00328)	Homo sapiens
CRISP3	cysteine rich secretory protein 3(CRISP3)	Homo sapiens
C4BPA	complement component 4 binding protein alpha(C4BPA)	Homo sapiens
LILRA3	leukocyte immunoglobulin like receptor A3(LILRA3)	Homo sapiens
IFI44L	interferon induced protein 44 like(IFI44L)	Homo sapiens
RNASE3	ribonuclease A family member 3(RNASE3)	Homo sapiens
RSAD2	radical S-adenosyl methionine domain containing 2(RSAD2)	Homo sapiens
ITGA2B	integrin subunit alpha 2b(ITGA2B)	Homo sapiens
MMP8	matrix metallopeptidase 8(MMP8)	Homo sapiens
MYL9	myosin light chain 9(MYL9)	Homo sapiens
LCN2	lipocalin 2(LCN2)	Homo sapiens
UTS2	urotensin 2(UTS2)	Homo sapiens
MS4A3	membrane spanning 4-domains A3(MS4A3)	Homo sapiens
TARP	TCR gamma alternate reading frame protein(TARP)	Homo sapiens
HP	haptoglobin(HP)	Homo sapiens
ITGB3	integrin subunit beta 3(ITGB3)	Homo sapiens
VNN1	vanin 1(VNN1)	Homo sapiens
CLEC12A	C-type lectin domain family 12 member A(CLEC12A)	Homo sapiens
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1(HLA-DQB1)	Homo sapiens
TUBB2A	tubulin beta 2A class IIa(TUBB2A)	Homo sapiens
CLEC4C	C-type lectin domain family 4 member C(CLEC4C)	Homo sapiens
GYPA	glycophorin A (MNS blood group)(GYPA)	Homo sapiens
SNORD116-1	small nucleolar RNA, C/D box 116-1(SNORD116-1)	Homo sapiens
RNF182	ring finger protein 182(RNF182)	Homo sapiens
ALOX15	arachidonate 15-lipoxygenase(ALOX15)	Homo sapiens
RHD	Rh blood group D antigen(RHD)	Homo sapiens
JCHAIN	joining chain of multimeric IgA and IgM(JCHAIN)	Homo sapiens
CLEC12B	C-type lectin domain family 12 member B(CLEC12B)	Homo sapiens
KRT73	keratin 73(KRT73)	Homo sapiens
IGKC	immunoglobulin kappa constant(IGKC)	Homo sapiens
IFIT1B	interferon induced protein with tetratricopeptide repeats 1B(IFIT1B)	Homo sapiens
SVBP	small vasohibin binding protein(SVBP)	Homo sapiens
ARG1	arginase 1(ARG1)	Homo sapiens
	KIAA1324		
