OBO_ID	GENE LIST	TOTAL GENES
PR_000014318	['RSAD2']	1
GO_0005739	['RSAD2', 'OLFM4']	2
91543	['RSAD2']	1
GO_0043621	['RSAD2']	1
GO_0034165	['RSAD2']	1
GO_0005743	['RSAD2']	1
UBERON_0001013	['RSAD2', 'ALOX15', 'MYL9']	3
CHEBI_17499	['RSAD2']	1
GO_0016829	['RSAD2']	1
CL_1001608	['RSAD2', 'IFI44L', 'OAS3', 'OLFM4', 'IFI44', 'MYL9', 'IFIT1B']	7
CHEBI_15377	['RSAD2', 'ALOX15', 'VNN1', 'ARG1']	4
GO_0045071	['RSAD2', 'OAS3']	2
GO_0005789	['RSAD2', 'KIAA1324']	2
CHEBI_57844	['RSAD2']	1
UBERON_0000178	['RSAD2', 'CLEC12A', 'GYPA', 'CRISP3', 'OLFM4', 'ITGB3', 'ITGA2B', 'ALOX15', 'UTS2', 'SIGLEC14', 'KRT73', 'MS4A3', 'ARG1', 'RHD', 'CLEC4C', 'JCHAIN', 'RNASE3']	17
CHEBI_13193	['RSAD2']	1
GO_0050778	['RSAD2']	1
CHEBI_15378	['RSAD2', 'TMTC1']	2
GO_2000553	['RSAD2']	1
UBERON_0001332	['RSAD2', 'IFI44L', 'OAS3', 'OLFM4', 'IFI44', 'MYL9', 'IFIT1B']	7
GO_0005783	['RSAD2', 'TMTC1']	2
CHEBI_59789	['RSAD2']	1
CHEBI_17319	['RSAD2']	1
CHEBI_49883	['RSAD2']	1
GO_0051539	['RSAD2']	1
PR_Q8WXG1	['RSAD2']	1
CL_0000771	['RSAD2', 'CLEC12A', 'HP', 'ALOX15', 'MYL9', 'RNASE3']	6
GO_0001650	['RSAD2']	1
GO_0045087	['RSAD2', 'OAS3', 'C4BPA', 'CRISP3', 'LCN2', 'VNN1', 'ARG1', 'IGKC', 'CLEC4C', 'JCHAIN', 'RNASE3']	11
GO_0043367	['RSAD2']	1
CL_0000094	['RSAD2', 'CLEC12A', 'HP', 'MMP8', 'KIAA1324', 'C4BPA', 'CRISP3', 'OLFM4', 'ITGB3', 'LCN2', 'ITGA2B', 'ALOX15', 'SIGLEC14', 'VNN1', 'CEACAM8', 'MS4A3', 'ARG1', 'RHD', 'RNASE3']	19
GO_0005794	['RSAD2']	1
GO_0034157	['RSAD2']	1
GO_0005515	['RSAD2', 'CLEC12A', 'TMEM176A', 'HP', 'GYPA', 'OAS3', 'C4BPA', 'OLFM4', 'ITGB3', 'LCN2', 'IFI44', 'ITGA2B', 'ALOX15', 'RNF182', 'KRT73', 'TUBB2A', 'HLA-DQB1', 'CEACAM8', 'MS4A3', 'ARG1', 'SVBP', 'CLEC4C', 'IFIT1B']	23
GO_0035710	['RSAD2']	1
GO_0046872	['RSAD2', 'OAS3', 'ITGA2B', 'RNF182', 'CLEC4C']	5
CL_0000097	['RSAD2', 'ITGA2B', 'ALOX15', 'UTS2', 'SIGLEC14', 'KRT73']	6
