GENE SYMBOL	OBO_ID_LIST (ALL)	TOTAL OBOS
RSAD2	['CHEBI_17319', 'CHEBI_15378', 'GO_0005789', 'GO_0051607', 'GO_0051539', 'GO_2000553', 'GO_0001650', 'UBERON_0001013', 'GO_0050778', 'CHEBI_15377', 'CHEBI_49883', 'GO_0005794', 'GO_0005811', 'GO_0035710', 'GO_0005783', 'GO_0016829', 'GO_0034157', 'GO_0005743', 'GO_0005739', 'GO_0009615', '91543', 'GO_0005515', 'CL_1001608', 'CL_0000771', 'GO_0045071', 'CHEBI_17499', 'CHEBI_57844', 'GO_0045087', 'CHEBI_37563', 'UBERON_0000178', 'GO_0005741', 'CHEBI_166821', 'GO_0043367', 'GO_0046872', 'GO_0034165', 'GO_0043621', 'CHEBI_13193', 'CHEBI_59789', 'GO_0050709', 'SO_0001217', 'PR_Q8WXG1', 'PR_000014318', 'UBERON_0001332', 'CL_0000094', 'CL_0000097']	45
TMTC1	['GO_0004169', 'CL_0000594', 'CHEBI_15378', 'UBERON_0002381', 'CHEBI_137323', 'CHEBI_137321', 'CL_0000632', 'UBERON_0002107', 'CHEBI_57683', 'GO_0005783', 'PR_Q8IUR5', 'GO_0000030', 'UBERON_0001911', 'CHEBI_29999', '83857', 'UBERON_0002462', 'CL_0000188', 'UBERON_0002380', 'GO_0035269', 'CHEBI_30013', 'CL_0000576', 'UBERON_0002371', 'SO_0001217', 'GO_0016021', 'PR_000030326', 'GO_0006396', 'CL_1001586', 'CHEBI_58211']	28
IFI44L	['CL_1000458', 'CL_1001608', 'GO_0005525', 'UBERON_0002072', 'CL_0000188', 'UBERON_0002462', '10964', 'GO_0005575', 'UBERON_0002380', 'PR_Q53G44', 'SO_0001217', 'PR_000008908', 'GO_0003674', 'UBERON_0001332', 'GO_0005737', 'GO_0006955']	16
CLEC12A	['UBERON_0001744', 'GO_0030246', 'CL_0000763', '160364', 'PR_Q5QGZ9', 'UBERON_0008952', 'CHEBI_2504', 'GO_0005515', 'CL_0000771', 'PR_000005559', 'GO_0030545', 'GO_0005886', 'UBERON_0000178', 'GO_0070821', 'CL_0000576', 'UBERON_0002371', 'GO_0035579', 'GO_0016021', 'CL_0000564', 'SO_0001217', 'CL_0000451', 'CL_0000094']	22
TMEM176A	['CHEBI_2504', 'GO_0005515', 'UBERON_0002113', 'CL_0000188', 'CL_0000576', 'UBERON_0002462', 'GO_2001199', 'CHEBI_39867', 'UBERON_0002380', 'CL_0000860', '55365', 'GO_0016021', 'PR_Q96HP8', 'PR_000032564', 'SO_0001217', 'UBERON_0001114']	16
HP	['GO_0031638', 'CHEBI_67246', 'CHEBI_25016', 'GO_0005576', 'GO_0005615', 'GO_2000296', 'GO_0098869', 'CHEBI_50868', 'CHEBI_67244', 'SO_0000704', 'CHEBI_39867', 'UBERON_0002107', 'GO_0042542', '3240', 'GO_1904724', 'CL_0000860', 'PR_P00738', 'GO_0051354', 'GO_0031838', 'CHEBI_17823', 'GO_0030492', 'CHEBI_2504', 'GO_0005515', 'GO_0004252', 'UBERON_0002462', 'PR_000008725', 'CL_0000771', 'CL_0000188', 'UBERON_0002380', 'CHEBI_31183', 'CL_0000182', 'GO_0071682', 'CHEBI_7959', 'GO_0016209', 'GO_0010942', 'CHEBI_27889', 'UBERON_0001114', 'GO_0002526', 'GO_0035580', 'CL_0000576', 'GO_0072562', 'SO_0001217', 'GO_0042742', 'GO_0006953', 'GO_0070062', 'GO_0006952', 'CL_0000094']	47
MMP8	['GO_0035987', 'GO_0010628', 'GO_1903980', 'GO_0030198', 'PR_P22894', 'GO_0150077', 'GO_0004175', 'CHEBI_29105', 'UBERON_0000014', 'CHEBI_77932', 'GO_0022617', 'GO_0005576', 'GO_0005615', 'GO_0043410', 'GO_0150078', 'GO_0062023', 'GO_0008270', 'GO_0010629', 'GO_0004222', '4317', 'GO_1903428', 'GO_1904724', 'CHEBI_60648', 'CHEBI_29108', 'CHEBI_50845', 'CL_1000458', 'GO_0004252', 'GO_0046330', 'CHEBI_42191', 'CL_0000094', 'CHEBI_27902', 'UBERON_0000956', 'GO_0032693', 'GO_0008233', 'PR_000010490', 'GO_1903978', 'GO_0045429', 'GO_0032755', 'GO_0043388', 'CL_0000775', 'CL_0000576', 'UBERON_0002371', 'GO_1901224', 'SO_0001217', 'GO_0032760', 'CHEBI_44975', 'GO_0030574', 'GO_0035580', 'CHEBI_138885', 'GO_0006508']	50
KIAA1324	['GO_0009267', 'GO_0005789', 'GO_0044090', 'GO_0005765', 'GO_0005802', 'GO_2000786', 'GO_0005764', 'GO_0000045', 'CL_0000082', 'UBERON_0001150', 'CL_0000125', 'GO_0003723', 'GO_0031902', 'UBERON_0000955', 'PR_Q6UXG2', 'UBERON_0001911', 'UBERON_0002048', 'GO_0005886', 'CL_0000775', 'UBERON_0000310', 'UBERON_0001044', 'GO_0016021', 'CL_1001586', 'GO_0005770', 'GO_0070062', 'CL_0000094', 'GO_0005887']	27
CLEC12B	['387837', 'GO_0009897', 'CL_0000775', 'GO_0045953', 'PR_000005560', 'GO_0002769', 'UBERON_0002371', 'GO_0032991', 'UBERON_0000473', 'CL_0000763', 'GO_0030246', 'GO_2000272', 'GO_0016021', 'SO_0001217', 'GO_0030547', 'PR_Q2HXU8', 'GO_0019903']	17
GYPA	['GO_0042802', 'CHEBI_16704', 'GO_0016020', 'CHEBI_30772', 'CHEBI_16778', 'CHEBI_58470', 'CHEBI_16243', 'CHEBI_3584', 'SO_0000704', 'GO_0046718', 'CL_0000765', 'GO_0001618', 'CHEBI_57694', 'CHEBI_2504', 'GO_0005654', 'GO_0005515', 'CHEBI_2781', 'CHEBI_15996', 'CHEBI_27881', 'CHEBI_37537', 'PR_000001460', 'CL_0000788', 'CHEBI_17594', 'CHEBI_65329', 'CHEBI_68540', 'GO_0005829', 'CHEBI_90695', 'GO_0005886', 'CHEBI_27563', 'CHEBI_90693', 'UBERON_0000178', 'CHEBI_82625', 'CHEBI_18388', '2993', 'CHEBI_16971', 'CHEBI_30621', 'UBERON_0002371', 'CHEBI_77986', 'SO_0001217', 'CHEBI_9433', 'CHEBI_63452', 'CHEBI_49900', 'CHEBI_17562', 'CHEBI_28939', 'CHEBI_45713', 'PR_P02724', 'GO_0005887']	47
