Gene SYMBOL	fold change (control/sPTB)
RSAD2	-0.8035
TMTC1	1.349
IFI44L	-0.7428
CLEC12A	1.963
TMEM176A	-0.9342
HP	1.205
MMP8	-0.9662
KIAA1324	-0.7705
CLEC12B	2.178
GYPA	1.169
OAS3	-1.458
C4BPA	1.624
CRISP3	1.093
OLFM4	1.624
ITGB3	1.402
LCN2	1.148
IFI44	-0.7741
ITGA2B	1.206
ALOX15	1.324
TARP	1.212
UTS2	2.059
RNF182	-0.6545
LINC02520	1.047
SIGLEC14	-0.9545
KRT73	-0.7894
TUBB2A	1.697
VNN1	1.472
LILRA3	-0.8072
HLA-DQB1	-0.6841
CEACAM8	1.137
MS4A3	-0.8788
ARG1	1.218
SVBP	-0.6228
IGKC	1.344
RHD	1.428
SNORD116-1	-0.8471
MYL9	1.259
LINC00328	-0.7591
CLEC4C	-0.768
JCHAIN	1.726
RNASE3	1.29
IFIT1B	1.345
USP32P1	-0.7964
