PMCID	DATE (MM/YYYY)
BMJ_2008_Nov_7_337_a2001	11/2008
BMJ_2010_Apr_29_340_c1640	4/2010
BMJ_2012_Aug_30_345_e5605	8/2012
BMJ_2012_Jan_30_344_e184	1/2012
BMJ_2012_May_17_344_e2088	5/2012
BMJ_2014_Feb_10_348_g1285	2/2014
PMC1074510	3/2004
PMC1164414	5/2005
PMC1168874	7/2005
PMC1182379	6/2005
PMC1184067	7/2005
PMC1187906	6/2005
PMC1247491	8/2004
PMC1247630	11/2004
PMC1252725	10/2005
PMC1280409	9/2005
PMC1281283	10/2005
PMC1281295	10/2005
PMC1361787	12/2005
PMC1409785	1/2006
PMC1448690	4/2006
PMC1459875	4/2006
PMC1474522	4/1988
PMC1481554	4/2006
PMC1533075	6/1998
PMC1544352	6/2006
PMC1592148	7/2006
PMC1626394	10/2006
PMC1626432	10/2006
PMC1665416	11/2006
PMC1764147	12/2006
PMC1779612	12/2006
PMC184457	8/2003
PMC1852384	1/2007
PMC1865559	5/2007
PMC1868729	3/2007
PMC1888711	5/2007
PMC1913535	6/2007
PMC1925082	7/2007
PMC1937008	7/2007
PMC1974834	3/2007
PMC2009866	3/1979
PMC2022638	10/2007
PMC2022676	10/2007
PMC2022678	10/2007
PMC2098747	10/2007
PMC2100429	9/2007
PMC2148036	9/2007
PMC2151954	10/2007
PMC2231404	10/2007
PMC2265032	3/2008
PMC2265059	3/2008
PMC2290983	4/2008
PMC2290997	4/2008
PMC2330139	3/2008
PMC2359644	3/2008
PMC2360554	10/2006
PMC2364279	7/2002
PMC2367669	5/2008
PMC2367680	5/2008
PMC2396486	6/2008
PMC2405769	5/2008
PMC2409299	5/2008
PMC2430236	6/2008
PMC2442189	7/2008
PMC2516569	8/2008
PMC2516588	8/2008
PMC2516600	8/2008
PMC2526009	10/2008
PMC2529404	9/2008
PMC2543024	9/2008
PMC2570364	10/2008
PMC2575191	10/2008
PMC2581757	11/2008
PMC2582131	11/2008
PMC2595955	5/1981
PMC2606998	6/2007
PMC2621211	12/2008
PMC2633366	8/2006
PMC2639309	3/2009
PMC2639364	2/2009
PMC2639379	12/2008
PMC2642759	1/2009
PMC2644268	3/2009
PMC2646054	3/2009
PMC2658734	4/2009
PMC2670501	4/2009
PMC2671035	5/2009
PMC2671168	5/2009
PMC2671593	5/2009
PMC2672359	2/2009
PMC2672462	4/2009
PMC2679409	5/2009
