PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC6011374	PMC6011374.nxml.gz-1	[0]	[99]	Vitamin D levels in an Australian and New Zealand cohort and the association with pregnancy outcome	association	SUPERFICIAL_RELATIONSHIP	[65]	[76]	PMC6011374.nxml.gz-2
PMC6011374	PMC6011374.nxml.gz-3	[122]	[192]	Pregnant women are at increased susceptibility to vitamin D deficiency	increased susceptibility	IMPORTANT_CONSIDERATION	[144]	[168]	PMC6011374.nxml.gz-4
PMC6011374	PMC6011374.nxml.gz-5	[194]	[286]	Hence, there is continuing interest in determining how vitamin D influences pregnancy health	continuing interest	INCOMPLETE_EVIDENCE	[210]	[229]	PMC6011374.nxml.gz-8137
PMC6011374	PMC6011374.nxml.gz-5	[194]	[286]	Hence, there is continuing interest in determining how vitamin D influences pregnancy health	how	EXPLICIT_QUESTION	[245]	[248]	PMC6011374.nxml.gz-8
PMC6011374	PMC6011374.nxml.gz-5	[194]	[286]	Hence, there is continuing interest in determining how vitamin D influences pregnancy health	influences	SUPERFICIAL_RELATIONSHIP	[259]	[269]	PMC6011374.nxml.gz-9
PMC6011374	PMC6011374.nxml.gz-10	[288]	[482]	We aimed to compare vitamin D status in two distinct populations of pregnant women in Australia and New Zealand and to investigate the relationship between vitamin D status and pregnancy outcome	aimed	QUESTION_ANSWERED_BY_THIS_WORK	[291]	[296]	PMC6011374.nxml.gz-11
PMC6011374	PMC6011374.nxml.gz-10	[288]	[482]	We aimed to compare vitamin D status in two distinct populations of pregnant women in Australia and New Zealand and to investigate the relationship between vitamin D status and pregnancy outcome	to investigate	QUESTION_ANSWERED_BY_THIS_WORK	[404]	[418]	PMC6011374.nxml.gz-12
PMC6011374	PMC6011374.nxml.gz-10	[288]	[482]	We aimed to compare vitamin D status in two distinct populations of pregnant women in Australia and New Zealand and to investigate the relationship between vitamin D status and pregnancy outcome	relationship	SUPERFICIAL_RELATIONSHIP	[423]	[435]	PMC6011374.nxml.gz-13
PMC6011374	PMC6011374.nxml.gz-14	[484]	[569]	This included evaluating possible effect measure modifications according to fetal sex	possible	INCOMPLETE_EVIDENCE	[509]	[517]	PMC6011374.nxml.gz-15
PMC6011374	PMC6011374.nxml.gz-14	[484]	[569]	This included evaluating possible effect measure modifications according to fetal sex	effect	SUPERFICIAL_RELATIONSHIP	[518]	[524]	PMC6011374.nxml.gz-16
PMC6011374	PMC6011374.nxml.gz-17	[1958]	[2061]	High serum 25(OH)D at 15 ± 1 weeks’ gestation was shown to be protective against the development of GDM	protective	SUPERFICIAL_RELATIONSHIP	[2020]	[2030]	PMC6011374.nxml.gz-18
PMC6011374	PMC6011374.nxml.gz-8142	[2063]	[2292]	A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations	possible	INCOMPLETE_EVIDENCE	[2065]	[2073]	PMC6011374.nxml.gz-20
PMC6011374	PMC6011374.nxml.gz-8142	[2063]	[2292]	A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations	association	SUPERFICIAL_RELATIONSHIP	[2074]	[2085]	PMC6011374.nxml.gz-21
PMC6011374	PMC6011374.nxml.gz-8142	[2063]	[2292]	A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations	further	INCOMPLETE_EVIDENCE	[2139]	[2146]	PMC6011374.nxml.gz-22
PMC6011374	PMC6011374.nxml.gz-8142	[2063]	[2292]	A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations	questions	EXPLICIT_QUESTION	[2147]	[2156]	PMC6011374.nxml.gz-23
PMC6011374	PMC6011374.nxml.gz-8142	[2063]	[2292]	A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations	encourages ... research	FUTURE_WORK	[2161, 2182]	[2171, 2190]	PMC6011374.nxml.gz-8139
PMC6011374	PMC6011374.nxml.gz-8142	[2063]	[2292]	A possible association between fetal sex, vitamin D status and GDM provides further questions and encourages continual research and discussion into the role of vitamin D in pregnancy, particularly in vitamin D replete populations	role	SUPERFICIAL_RELATIONSHIP	[2215]	[2219]	PMC6011374.nxml.gz-25
PMC6011374	PMC6011374.nxml.gz-26	[2477]	[2721]	With an increasing prevalence of vitamin D deficiency and insufficiency reported both in Australia and New Zealand, as well as worldwide [1], there is continuing interest in determining how vitamin D deficiency may influence health in pregnancy	continuing interest	INCOMPLETE_EVIDENCE	[2628]	[2647]	PMC6011374.nxml.gz-27
