PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
PMC1533075	PMC1533075.nxml.gz-2623	[1621]	[1847]	Mothers also took individual micronutrient supplements (e.g., vitamin C tablets), but most mothers who took these also took multivitamins, making it impossible to determine potential independent effects of these micronutrients	impossible	[1770]	[1780]	PMC1533075.nxml.gz-13
PMC2009866	PMC2009866.nxml.gz-10	[1125]	[1209]	The use of opium, bread and tea could not be assessed in the retrospective framework	could not be assessed	[1157]	[1178]	PMC2009866.nxml.gz-922
PMC2396486	PMC2396486.nxml.gz-10710	[22826]	[22958]	The small fold changes found in the study, while statistically significant, were too low to be reliably confirmed via immunoblot[49]	too ... to be	[22907, 22915]	[22910, 22920]	PMC2396486.nxml.gz-10707
PMC2396486	PMC2396486.nxml.gz-81	[5987]	[6143]	Female rats were not used in these experiments, because the estrous cycle can introduce variability in protein expression in the region of interest[20],[21]	variability	[6075]	[6086]	PMC2396486.nxml.gz-82
PMC2516588	PMC2516588.nxml.gz-23	[1879]	[1954]	It would not be possible however to relate such levels to prenatal exposure	would not be possible however	[1882]	[1911]	PMC2516588.nxml.gz-924
PMC2516588	PMC2516588.nxml.gz-27	[1956]	[2053]	This also illustrates the difficulty of selecting a suitable marker of impaired spermatotogenesis	difficulty	[1982]	[1992]	PMC2516588.nxml.gz-28
PMC2516588	PMC2516588.nxml.gz-39	[2693]	[2922]	Separate analyses were carried out for the three end points but the methodology applied did not allow us to explore the specific nature of causal relationships between congenital cryptorchidism, hypospadias, and testicular cancer	did not allow	[2781]	[2794]	PMC2516588.nxml.gz-40
PMC2516588	PMC2516588.nxml.gz-5	[757]	[1061]	It cannot, however, correct for potential bias and confounding of the studies included; we addressed this issue in our review (Martin et al. 2008) by rating the quality of individual studies and carrying out a sensitivity analysis by excluding studies for which the quality score was below a chosen value	cannot, however, correct for	[760]	[788]	PMC2516588.nxml.gz-6
PMC2672462	PMC2672462.nxml.gz-141	[6571]	[6643]	The recommended treatment targets vary from country to country (Table 2)	vary	[6605]	[6609]	PMC2672462.nxml.gz-144
PMC2672462	PMC2672462.nxml.gz-415	[17122]	[17283]	However, until their safety in pregnancy can be clearly established, the initiation of long-acting insulin analog therapy in women with GDM cannot be recommended	cannot be	[17262]	[17271]	PMC2672462.nxml.gz-419
PMC2672462	PMC2672462.nxml.gz-58	[2321]	[2431]	The diagnosis is made with an oral glucose tolerance test, though the criteria vary around the world (Table 1)	vary	[2400]	[2404]	PMC2672462.nxml.gz-60
PMC2672462	PMC2672462.nxml.gz-667	[28686]	[28845]	These studies were largely retrospective, unrandomized, or lacked power to detect differences in serious adverse perinatal outcomes and will not be listed here	differences	[28768]	[28779]	PMC2672462.nxml.gz-670
PMC2672462	PMC2672462.nxml.gz-734	[32124]	[32354]	In part, this is probably due to the real life challenges of maintaining motivation for healthy lifestyle change amongst young women at a time that they are having to deal with young children, return to work, and further education	challenges	[32171]	[32181]	PMC2672462.nxml.gz-738
PMC2874300	PMC2874300.nxml.gz-41	[1859]	[1981]	At present, it is impossible to conclusively state that a particular dietary pattern or food will alter AM risk in infants	impossible	[1877]	[1887]	PMC2874300.nxml.gz-43
PMC2889879	PMC2889879.nxml.gz-217	[30760]	[30936]	This suggestion has earlier been supported by ecological studies showing that variations in schizophrenia outcome between countries may be due to differences in the diet [6,14]	variations	[30838]	[30848]	PMC2889879.nxml.gz-221
