PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
PMC1247630	PMC1247630.nxml.gz-29	[2280]	[2344]	no one food should be singled out in attributing risk or benefit	should be	[2292]	[2301]	PMC1247630.nxml.gz-30
PMC1247630	PMC1247630.nxml.gz-35	[2446]	[2569]	it remains prudent for women who are pregnant or think they may become pregnant to eat a diet rich in fruits and vegetables	remains	[2449]	[2456]	PMC1247630.nxml.gz-920
PMC1247630	PMC1247630.nxml.gz-35	[2446]	[2569]	it remains prudent for women who are pregnant or think they may become pregnant to eat a diet rich in fruits and vegetables	prudent	[2457]	[2464]	PMC1247630.nxml.gz-38
PMC1626394	PMC1626394.nxml.gz-25	[3091]	[3233]	A more subtly calibrated iron supplementation during pregnancy may be as effective as current public health recommendations, and perhaps safer	recommendations	[3199]	[3214]	PMC1626394.nxml.gz-27
PMC2265032	PMC2265032.nxml.gz-44	[4517]	[4637]	Currently, the venom-based treatment is administered by injection, but the Texas researchers hope to develop a pill form	hope to	[4610]	[4617]	PMC2265032.nxml.gz-45
PMC2396486	PMC2396486.nxml.gz-167	[20827]	[20929]	Thus, these neuropeptides are of interest as potential targets for novel antipsychotic agents[39],[40]	targets	[20882]	[20889]	PMC2396486.nxml.gz-170
PMC2396486	PMC2396486.nxml.gz-224	[22960]	[23156]	Based on the behavioural findings in DVD-deficient rats, there is a case to explore proteomic dysregulation in rats after exposure to drugs known to disrupt dopaminergic and glutaminergic pathways	there is a case	[23017]	[23032]	PMC2396486.nxml.gz-226
PMC2396486	PMC2396486.nxml.gz-231	[23351]	[23404]	We plan to explore these issues in future experiments	plan to	[23354]	[23361]	PMC2396486.nxml.gz-232
PMC2396486	PMC2396486.nxml.gz-231	[23351]	[23404]	We plan to explore these issues in future experiments	future	[23386]	[23392]	PMC2396486.nxml.gz-235
PMC2672462	PMC2672462.nxml.gz-139	[6310]	[6369]	Women with GDM should perform home blood glucose monitoring	should	[6325]	[6331]	PMC2672462.nxml.gz-140
PMC2672462	PMC2672462.nxml.gz-141	[6571]	[6643]	The recommended treatment targets vary from country to country (Table 2)	recommended	[6575]	[6586]	PMC2672462.nxml.gz-142
PMC2672462	PMC2672462.nxml.gz-158	[6984]	[7130]	If glucose targets are not adequately met by lifestyle measures, and perhaps a review of dietary intake, then pharmacotherapy should be introduced	should be	[7110]	[7119]	PMC2672462.nxml.gz-161
PMC2672462	PMC2672462.nxml.gz-165	[7180]	[7385]	Rather than basing the need for insulin on glycemic parameters alone, some have advocated the combined use of ultrasound assessment of fetal abdominal circumference in combination with blood glucose levels	advocated	[7260]	[7269]	PMC2672462.nxml.gz-169
PMC2672462	PMC2672462.nxml.gz-177	[7733]	[7815]	Therefore all women with GDM should receive counseling from a specialist dietitian	should	[7762]	[7768]	PMC2672462.nxml.gz-178
PMC2672462	PMC2672462.nxml.gz-187	[8163]	[8412]	There are few trials examining the efficacy of dietary therapy for GDM, However, a cluster randomized controlled study has provided support for Medical Nutrition Therapy (MNT) for GDM, as recommended by the American Diabetes Association (ADA) (2004)	recommended	[8351]	[8362]	PMC2672462.nxml.gz-192
PMC2672462	PMC2672462.nxml.gz-199	[8700]	[8987]	The ADA states that all women should receive individualized counseling to provide adequate calories and nutrients to meet the needs of pregnancy and consistent with the blood glucose goals (fasting ≤105 mg/dl [5.8 mmol/L], 1 hr ≤155 mg/dl [8.6 mmol/L], and 2 hrs ≤130 mg/dl [7.2 mmol/L])	should	[8730]	[8736]	PMC2672462.nxml.gz-200
PMC2672462	PMC2672462.nxml.gz-20349	[26927]	[27052]	Transplacental transfer occurs,67,81and until studies demonstrating safety are performed, they should be avoided in pregnancy	until	[26967]	[26972]	PMC2672462.nxml.gz-654
PMC2672462	PMC2672462.nxml.gz-20349	[26927]	[27052]	Transplacental transfer occurs,67,81and until studies demonstrating safety are performed, they should be avoided in pregnancy	should be	[27022]	[27031]	PMC2672462.nxml.gz-656
PMC2672462	PMC2672462.nxml.gz-205	[8989]	[9100]	For obese women, a 30%–33% calorie restriction to approximately 25 kcal/kg actual weight per day is recommended	recommended	[9089]	[9100]	PMC2672462.nxml.gz-207
PMC2672462	PMC2672462.nxml.gz-208	[9102]	[9158]	Carbohydrate should be restricted to 35%–40% of calories	should be	[9115]	[9124]	PMC2672462.nxml.gz-209
PMC2672462	PMC2672462.nxml.gz-223	[10020]	[10234]	Whilst the latter studies were not specifically performed in women with GDM, they suggest that the concept of GI is valid in pregnancy, and it would be appropriate to recommend low GI carbohydrate to women with GDM	recommend	[10187]	[10196]	PMC2672462.nxml.gz-228
PMC2672462	PMC2672462.nxml.gz-229	[10236]	[10336]	Additional dietary measures are usually based upon the general recommendations for diabetes mellitus	recommendations	[10299]	[10314]	PMC2672462.nxml.gz-232
PMC2672462	PMC2672462.nxml.gz-233	[10338]	[10401]	A reduction in simple carbohydrates and fat intake is advisable	advisable	[10392]	[10401]	PMC2672462.nxml.gz-234
PMC2672462	PMC2672462.nxml.gz-238	[10571]	[10709]	Except for saccharin, which can cross the placenta and is therefore not recommended, other noncaloric sweeteners may be used in moderation	recommended	[10643]	[10654]	PMC2672462.nxml.gz-240
PMC2672462	PMC2672462.nxml.gz-270	[12002]	[12245]	Therefore, it seems reasonable to recommend that when there is no medical or obstetric contraindication, women with GDM should maintain a sensible level of light and moderate intensity physical activity until the latter stages of the pregnancy	recommend	[12036]	[12045]	PMC2672462.nxml.gz-273
PMC2672462	PMC2672462.nxml.gz-270	[12002]	[12245]	Therefore, it seems reasonable to recommend that when there is no medical or obstetric contraindication, women with GDM should maintain a sensible level of light and moderate intensity physical activity until the latter stages of the pregnancy	should	[12122]	[12128]	PMC2672462.nxml.gz-276
PMC2672462	PMC2672462.nxml.gz-277	[12247]	[12501]	The above studies provide reassurance that moderate intensity activities such as walking for 20–30 minutes each day, and attendance at antenatal exercise classes can be safely encouraged, and that modest improvements in glycemic control might be achieved	encouraged	[12423]	[12433]	PMC2672462.nxml.gz-280
PMC2672462	PMC2672462.nxml.gz-302	[13477]	[13543]	Frequent review and titration of the insulin dosage is recommended	recommended	[13532]	[13543]	PMC2672462.nxml.gz-303
PMC2672462	PMC2672462.nxml.gz-308	[13691]	[13800]	Nonetheless the woman should be advised regarding appropriate hypoglycemia prevention and management measures	should be	[13713]	[13722]	PMC2672462.nxml.gz-310
PMC2672462	PMC2672462.nxml.gz-308	[13691]	[13800]	Nonetheless the woman should be advised regarding appropriate hypoglycemia prevention and management measures	advised	[13723]	[13730]	PMC2672462.nxml.gz-311
PMC2672462	PMC2672462.nxml.gz-415	[17122]	[17283]	However, until their safety in pregnancy can be clearly established, the initiation of long-acting insulin analog therapy in women with GDM cannot be recommended	until	[17131]	[17136]	PMC2672462.nxml.gz-416
PMC2672462	PMC2672462.nxml.gz-415	[17122]	[17283]	However, until their safety in pregnancy can be clearly established, the initiation of long-acting insulin analog therapy in women with GDM cannot be recommended	recommended	[17272]	[17283]	PMC2672462.nxml.gz-420
PMC2672462	PMC2672462.nxml.gz-423	[17420]	[17619]	Most government drug agencies have not approved their use in pregnancy, and major specialty diabetes organizations recommend that oral agents be ceased if the woman had been taking them pre-pregnancy	recommend	[17535]	[17544]	PMC2672462.nxml.gz-425
PMC2672462	PMC2672462.nxml.gz-566	[23931]	[24099]	Therefore glyburide has the potential to result in earlier development of maternal diabetes, and long-term follow-up of the mothers are needed to alleviate this concern	are needed	[24063]	[24073]	PMC2672462.nxml.gz-568
PMC2672462	PMC2672462.nxml.gz-611	[25480]	[25676]	In view of the above concerns regarding the potential of glyburide and metformin to have long-term effects on the mother and child, I would recommend caution with their use in the treatment of GDM	recommend	[25620]	[25629]	PMC2672462.nxml.gz-617
PMC2672462	PMC2672462.nxml.gz-619	[25753]	[25895]	It may be circumspect to await the findings from this follow-up study before metformin can be considered safe for the routine treatment of GDM	considered	[25847]	[25857]	PMC2672462.nxml.gz-625
PMC2672462	PMC2672462.nxml.gz-640	[26664]	[26873]	Furthermore, the high frequency of gastrointestinal side effects experienced by people with type 2 diabetes suggests that any future role of acarbose, even if subsequent studies confirm safety, will be limited	future	[26790]	[26796]	PMC2672462.nxml.gz-643
PMC2672462	PMC2672462.nxml.gz-688	[29850]	[29947]	The medical management of gestational diabetes should not conclude with the delivery of the fetus	should	[29897]	[29903]	PMC2672462.nxml.gz-689
PMC2672462	PMC2672462.nxml.gz-701	[30550]	[30644]	Screening for diabetes, at regular intervals, is recommended by a number of diabetes societies	recommended	[30599]	[30610]	PMC2672462.nxml.gz-702
PMC2672462	PMC2672462.nxml.gz-713	[31061]	[31234]	Additionally, post partum evaluation and management of reversible cardiovascular risk factors such as smoking, obesity, hypertension, and hyperlipidemia should be undertaken	should be	[31214]	[31223]	PMC2672462.nxml.gz-714
PMC2672462	PMC2672462.nxml.gz-719	[31658]	[31823]	As 15% of the women in the Diabetes Prevention Program and Diabetes Prevention Study had GDM, similar measures should be recommended to women after they have had GDM	should be	[31769]	[31778]	PMC2672462.nxml.gz-721
PMC2672462	PMC2672462.nxml.gz-719	[31658]	[31823]	As 15% of the women in the Diabetes Prevention Program and Diabetes Prevention Study had GDM, similar measures should be recommended to women after they have had GDM	recommended	[31779]	[31790]	PMC2672462.nxml.gz-722
PMC2672462	PMC2672462.nxml.gz-739	[32356]	[32487]	Nonetheless, there are undisputed benefits to healthy eating and regular physical activity so these activities should be encouraged	should be	[32467]	[32476]	PMC2672462.nxml.gz-742
PMC2672462	PMC2672462.nxml.gz-739	[32356]	[32487]	Nonetheless, there are undisputed benefits to healthy eating and regular physical activity so these activities should be encouraged	encouraged	[32477]	[32487]	PMC2672462.nxml.gz-743
PMC2672462	PMC2672462.nxml.gz-744	[32514]	[32635]	Gestational diabetes is a common disorder which in the majority of cases, should initially be managed by dietary measures	should	[32588]	[32594]	PMC2672462.nxml.gz-745
PMC2672462	PMC2672462.nxml.gz-746	[32843]	[32890]	Moderate physical activity should be encouraged	should be	[32870]	[32879]	PMC2672462.nxml.gz-747
PMC2672462	PMC2672462.nxml.gz-746	[32843]	[32890]	Moderate physical activity should be encouraged	encouraged	[32880]	[32890]	PMC2672462.nxml.gz-748
PMC2672462	PMC2672462.nxml.gz-751	[32987]	[33082]	Where dietary measures are inadequate to achieve glycemic targets, insulin should be introduced	should be	[33062]	[33071]	PMC2672462.nxml.gz-753
PMC2672462	PMC2672462.nxml.gz-780	[33986]	[34068]	With good medical and obstetric care, the risks to the pregnancy should be minimal	should be	[34051]	[34060]	PMC2672462.nxml.gz-781
PMC2672462	PMC2672462.nxml.gz-786	[34140]	[34325]	Therefore after the pregnancy, healthy lifestyle measures should be encouraged to minimize the likelihood of developing diabetes, and regular screening for diabetes should be undertaken	should be	[34198]	[34207]	PMC2672462.nxml.gz-787
PMC2672462	PMC2672462.nxml.gz-786	[34140]	[34325]	Therefore after the pregnancy, healthy lifestyle measures should be encouraged to minimize the likelihood of developing diabetes, and regular screening for diabetes should be undertaken	encouraged	[34208]	[34218]	PMC2672462.nxml.gz-788
PMC2672462	PMC2672462.nxml.gz-786	[34140]	[34325]	Therefore after the pregnancy, healthy lifestyle measures should be encouraged to minimize the likelihood of developing diabetes, and regular screening for diabetes should be undertaken	should be	[34305]	[34314]	PMC2672462.nxml.gz-790
PMC2874300	PMC2874300.nxml.gz-27	[1446]	[1620]	Despite this, exclusive breastfeeding to 4-6 months should be encouraged as human milk contains numerous immunological properties and is associated with other health benefits	should be	[1498]	[1507]	PMC2874300.nxml.gz-30
PMC2874300	PMC2874300.nxml.gz-27	[1446]	[1620]	Despite this, exclusive breastfeeding to 4-6 months should be encouraged as human milk contains numerous immunological properties and is associated with other health benefits	encouraged	[1508]	[1518]	PMC2874300.nxml.gz-2629
PMC2874300	PMC2874300.nxml.gz-38	[1746]	[1857]	Solid foods should be introduced at age 4-6 months. The order of introduction seems to have little effect on AM	should be	[1758]	[1767]	PMC2874300.nxml.gz-39
