PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC1247630	PMC1247630.nxml.gz-29	[2280]	[2344]	no one food should be singled out in attributing risk or benefit	should be	FUTURE_WORK	[2292]	[2301]	PMC1247630.nxml.gz-30
PMC1626394	PMC1626394.nxml.gz-25	[3091]	[3233]	A more subtly calibrated iron supplementation during pregnancy may be as effective as current public health recommendations, and perhaps safer	recommendations	FUTURE_WORK	[3199]	[3214]	PMC1626394.nxml.gz-27
PMC2265032	PMC2265032.nxml.gz-44	[4517]	[4637]	Currently, the venom-based treatment is administered by injection, but the Texas researchers hope to develop a pill form	hope to	FUTURE_WORK	[4610]	[4617]	PMC2265032.nxml.gz-45
PMC2396486	PMC2396486.nxml.gz-167	[20827]	[20929]	Thus, these neuropeptides are of interest as potential targets for novel antipsychotic agents[39],[40]	targets	FUTURE_WORK	[20882]	[20889]	PMC2396486.nxml.gz-170
PMC2672462	PMC2672462.nxml.gz-139	[6310]	[6369]	Women with GDM should perform home blood glucose monitoring	should	FUTURE_WORK	[6325]	[6331]	PMC2672462.nxml.gz-140
PMC2874300	PMC2874300.nxml.gz-27	[1446]	[1620]	Despite this, exclusive breastfeeding to 4-6 months should be encouraged as human milk contains numerous immunological properties and is associated with other health benefits	should be	FUTURE_WORK	[1498]	[1507]	PMC2874300.nxml.gz-30
PMC2885310	PMC2885310.nxml.gz-23	[1689]	[1903]	Though consistent with studies of men and non-pregnant women, larger studies that include objective measures of sleep duration, quality and apnea are needed to obtain more precise estimates of observed associations	larger studies	FUTURE_WORK	[1751]	[1765]	PMC2885310.nxml.gz-26
PMC2889879	PMC2889879.nxml.gz-379	[36489]	[36676]	We have no baseline measure of symptom levels to further elucidate causality between different levels of intake of fatty fish or shellfish and the risk of positive psychotic-like symptoms	further elucidate	FUTURE_WORK	[36538]	[36555]	PMC2889879.nxml.gz-381
PMC2898025	PMC2898025.nxml.gz-197	[14539]	[14767]	Differences in the definition of atopy, a lack of objective measures of atopy, residual confounding, and bias (e.g., detection, selection, interview, recall) are important to consider when interpreting the above studies [92,121]	consider	FUTURE_WORK	[14714]	[14722]	PMC2898025.nxml.gz-202
PMC2999828	PMC2999828.nxml.gz-24	[881]	[986]	Diagnosis of allergy during pregnancy should mainly consist of the patient's history and in vitro testing	should	FUTURE_WORK	[919]	[925]	PMC2999828.nxml.gz-25
PMC3205727	PMC3205727.nxml.gz-100	[3149]	[3263]	This information is critical for the design of future intervention trials targeting obesity prevention in children	future intervention	FUTURE_WORK	[3196]	[3215]	PMC3205727.nxml.gz-102
PMC3272870	PMC3272870.nxml.gz-81	[3500]	[3665]	The diagnosis of a tumour during pregnancy obviously causes anxiety about the optimal timing of recommended treatments and about both maternal and neonatal morbidity	recommended	FUTURE_WORK	[3596]	[3607]	PMC3272870.nxml.gz-86
PMC3279448	PMC3279448.nxml.gz-55	[4812]	[5144]	The methylation status of these elements may represent a passive dosimeter by being altered by various exposures, although differences in the underlying structure of these elements and the unclear function of methylation of these regions suggest that their alteration and their potential relevance need to be more carefully examined	need to be ... examined	FUTURE_WORK	[5110, 5136]	[5120, 5144]	PMC3279448.nxml.gz-62
PMC3313761	PMC3313761.nxml.gz-31	[3336]	[3499]	While treating young infants with acute stridor and or wheeze, it would be prudent to consider hypocalcemia especially when one or several risk factors are present	prudent	FUTURE_WORK	[3411]	[3418]	PMC3313761.nxml.gz-33
PMC3348565	PMC3348565.nxml.gz-39	[3938]	[4061]	In children, serum calcifediol concentrations should be maintained at 50 nmol/L (20 ng/mL) or greater for skeletal benefits	should be	FUTURE_WORK	[3984]	[3993]	PMC3348565.nxml.gz-40
PMC3373750	PMC3373750.nxml.gz-26	[1772]	[1911]	It is important that providers be given the tools to empower them to discuss herbal medicine use with patients, and are encouraged to do so	encouraged	FUTURE_WORK	[1892]	[1902]	PMC3373750.nxml.gz-2633
