PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC1247630	PMC1247630.nxml.gz-1	[49]	[109]	Mother’s Pre-pregnancy Diet May Influence Child Cancer Risk
	May	INCOMPLETE_EVIDENCE	[77]	[80]	PMC1247630.nxml.gz-2
PMC1533075	PMC1533075.nxml.gz-6	[467]	[755]	Although risk estimates varied by study center, combined results suggest that maternal supplementation for two trimesters may decrease risk of brain tumor (odds ratio [OR] 0.7, 95% confidence interval [CI] 0.5-0.9), with a trend of less risk with longer duration of use (p trend = 0.0007)	suggest	INCOMPLETE_EVIDENCE	[532]	[539]	PMC1533075.nxml.gz-7
PMC1626394	PMC1626394.nxml.gz-3	[181]	[452]	But new research suggests that a weekly iron supplement coinciding with the renewal of the small intestine’s mucosal lining cells (where nutrient absorption occurs) works better than a daily supplement and prevents problems resulting from too much iron at the wrong times	new research	INCOMPLETE_EVIDENCE	[185]	[197]	PMC1626394.nxml.gz-5
PMC2009866	PMC2009866.nxml.gz-1	[185]	[309]	The main aim was to study factors identified in a previous study as potentially causally related to cancer of the oesophagus	previous study	INCOMPLETE_EVIDENCE	[235]	[249]	PMC2009866.nxml.gz-3
PMC2265032	PMC2265032.nxml.gz-1	[47]	[238]	In the February 2008 issue of Food and Chemical Toxicology , researchers from India report that aqueous garlic extract (AGE) fed to at-risk individuals may reduce the toxic effects of arsenic	may	INCOMPLETE_EVIDENCE	[199]	[202]	PMC2265032.nxml.gz-2
PMC2396486	PMC2396486.nxml.gz-1	[122]	[207]	Developmental vitamin D (DVD) deficiency is a candidate risk factor for schizophrenia	candidate	INCOMPLETE_EVIDENCE	[168]	[177]	PMC2396486.nxml.gz-2
PMC2516588	PMC2516588.nxml.gz-2	[49]	[325]	In response to Prasad’s constructive comments on our quantitative meta-analysis of the estrogen hypothesis and testicular dysgenesis syndrome (Martin et al. 2008), we offer the following observations regarding the scope of our study and limitations of the methodology applied.	hypothesis	INCOMPLETE_EVIDENCE	[145]	[155]	PMC2516588.nxml.gz-3
PMC2672462	PMC2672462.nxml.gz-7	[296]	[475]	This review will examine the pharmacological options for the management of gestational diabetes, as well as the evidence for blood glucose monitoring, dietary and exercise therapy	the evidence for	INCOMPLETE_EVIDENCE	[404]	[420]	PMC2672462.nxml.gz-10
PMC2874300	PMC2874300.nxml.gz-7	[774]	[985]	Based on an extensive review of the literature, we considered this hypothesis for the 3 nutritional progressions from fetal life through infancy: prenatal nutrition, breastfeeding and introduction of solid foods	hypothesis	INCOMPLETE_EVIDENCE	[841]	[851]	PMC2874300.nxml.gz-11
PMC2885310	PMC2885310.nxml.gz-18	[1571]	[1687]	These preliminary findings suggest associations of short sleep duration and snoring with glucose intolerance and GDM	preliminary	INCOMPLETE_EVIDENCE	[1577]	[1588]	PMC2885310.nxml.gz-19
PMC2889879	PMC2889879.nxml.gz-1	[207]	[356]	Low intake of fish, polyunsaturated fatty acids (PUFA) and vitamin D deficiency has been suggested to play a role in the development of schizophrenia	has been suggested	INCOMPLETE_EVIDENCE	[287]	[305]	PMC2889879.nxml.gz-2
PMC2898025	PMC2898025.nxml.gz-1	[58]	[182]	Adult onset glioma is a rare cancer which occurs more frequently in Caucasians than African Americans, and in men than women	rare	INCOMPLETE_EVIDENCE	[82]	[86]	PMC2898025.nxml.gz-2
PMC2999828	PMC2999828.nxml.gz-1	[62]	[138]	Asthma and allergic disorders can affect the course and outcome of pregnancy	can	INCOMPLETE_EVIDENCE	[92]	[95]	PMC2999828.nxml.gz-2
PMC3205727	PMC3205727.nxml.gz-20	[920]	[1052]	Mothers' eating behaviors during pregnancy, especially intake of sweets in OW/OB mothers, may have a lasting effect on child weight.	may	INCOMPLETE_EVIDENCE	[1010]	[1013]	PMC3205727.nxml.gz-23
PMC3272870	PMC3272870.nxml.gz-5	[381]	[624]	Differentiated thyroid cancer (DTC) in young people generally has an excellent prognosis, and disease-free survival among women with DTC diagnosed during pregnancy may not differ from that in age-matched non-pregnant women with similar disease	may	INCOMPLETE_EVIDENCE	[545]	[548]	PMC3272870.nxml.gz-7
