PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	C_START	C_END	CONCEPT_MENTION_ID
PMC1626394	PMC1626394.nxml.gz-14	[2273]	[2389]	Thus, the researchers suggest that excess iron supplementation can cause the same problems it is supposed to correct	Thus	[2273]	[2277]	PMC1626394.nxml.gz-13
PMC2396486	PMC2396486.nxml.gz-119	[18074]	[18324]	Amongst other functions, it is thought that this family of diffuse cytoplasmic proteins provides a ‘sink’ allowing cells to rapidly buffer intracellular calcium after actions potentials, thus allowing the cell to rapidly repolarise for further firing	thus	[18261]	[18265]	PMC2396486.nxml.gz-122
PMC2396486	PMC2396486.nxml.gz-123	[18326]	[18494]	Calbindin is strongly induced by vitamin D[29], and thus it is feasible that the reduction in this protein may be a consequence of the early life reduction in vitamin D	thus	[18378]	[18382]	PMC2396486.nxml.gz-124
PMC2396486	PMC2396486.nxml.gz-123	[18326]	[18494]	Calbindin is strongly induced by vitamin D[29], and thus it is feasible that the reduction in this protein may be a consequence of the early life reduction in vitamin D	feasible	[18389]	[18397]	PMC2396486.nxml.gz-125
PMC2396486	PMC2396486.nxml.gz-167	[20827]	[20929]	Thus, these neuropeptides are of interest as potential targets for novel antipsychotic agents[39],[40]	Thus	[20827]	[20831]	PMC2396486.nxml.gz-166
PMC2396486	PMC2396486.nxml.gz-173	[20931]	[21152]	Curiously, it has been shown that calcium concentration is an important modulator of thimet oligopeptidase activity[41], thus the disruption of this protein may also be down-stream consequence of altered calcium buffering	thus	[21052]	[21056]	PMC2396486.nxml.gz-176
PMC2396486	PMC2396486.nxml.gz-199	[22038]	[22222]	It is conceivable that a slight reduction in calcium buffering proteins may affect the ability of neurons within the nucleus accumbens to repolarise in response to psychomimetic agents	conceivable	[22044]	[22055]	PMC2396486.nxml.gz-200
PMC2396486	PMC2396486.nxml.gz-30	[2118]	[2363]	Given that vitamin D levels in the population fluctuate across the seasons and decrease across higher latitude[4], low prenatal vitamin D ‘fits’ these key environmental features and is therefore a plausible candidate risk factor for this disease	therefore	[2303]	[2312]	PMC2396486.nxml.gz-32
PMC2396486	PMC2396486.nxml.gz-84	[11294]	[11526]	Generally, a peptide match with at least 30% total sequence coverage was required for confidence in identification, but very low and high mass protein, and those resulting from protein fragmentation may not always meet the criterion	Generally	[11294]	[11303]	PMC2396486.nxml.gz-83
PMC2396486	PMC2396486.nxml.gz-84	[11294]	[11526]	Generally, a peptide match with at least 30% total sequence coverage was required for confidence in identification, but very low and high mass protein, and those resulting from protein fragmentation may not always meet the criterion	at least	[11326]	[11334]	PMC2396486.nxml.gz-85
PMC2396486	PMC2396486.nxml.gz-92	[12509]	[12563]	Finally, proteomic analyses are prone to Type I errors	prone	[12541]	[12546]	PMC2396486.nxml.gz-93
PMC2516588	PMC2516588.nxml.gz-36	[2400]	[2691]	We concluded that the significant association between prenatal diethylstilbestrol exposure and all three end points considered conferred weight to the hypothesis of a common etiology for these disorders, and therefore to the existence of a testicular dysgenesis syndrome (Martin et al. 2008)	weight	[2537]	[2543]	PMC2516588.nxml.gz-926
PMC2672462	PMC2672462.nxml.gz-118	[4976]	[5093]	Evidence from more contemporary populations is that the likelihood of subsequent diabetes may be substantially higher	likelihood	[5032]	[5042]	PMC2672462.nxml.gz-119
PMC2672462	PMC2672462.nxml.gz-145	[6645]	[6797]	These are largely consensus-based as the risk of complications is continuous and there are no obvious thresholds above which the risk markedly increases	consensus	[6663]	[6672]	PMC2672462.nxml.gz-146
PMC2672462	PMC2672462.nxml.gz-145	[6645]	[6797]	These are largely consensus-based as the risk of complications is continuous and there are no obvious thresholds above which the risk markedly increases	as	[6679]	[6681]	PMC2672462.nxml.gz-147
PMC2672462	PMC2672462.nxml.gz-15	[638]	[809]	As insulin therapy is effective and safe, it is considered the gold standard of pharmacotherapy for gestational diabetes, against which other treatments have been compared	As	[638]	[640]	PMC2672462.nxml.gz-16
