PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC1626394	PMC1626394.nxml.gz-14	[2273]	[2389]	Thus, the researchers suggest that excess iron supplementation can cause the same problems it is supposed to correct	Thus	PROBABLE_UNDERSTANDING	[2273]	[2277]	PMC1626394.nxml.gz-13
PMC2396486	PMC2396486.nxml.gz-30	[2118]	[2363]	Given that vitamin D levels in the population fluctuate across the seasons and decrease across higher latitude[4], low prenatal vitamin D ‘fits’ these key environmental features and is therefore a plausible candidate risk factor for this disease	therefore	PROBABLE_UNDERSTANDING	[2303]	[2312]	PMC2396486.nxml.gz-32
PMC2516588	PMC2516588.nxml.gz-36	[2400]	[2691]	We concluded that the significant association between prenatal diethylstilbestrol exposure and all three end points considered conferred weight to the hypothesis of a common etiology for these disorders, and therefore to the existence of a testicular dysgenesis syndrome (Martin et al. 2008)	weight	PROBABLE_UNDERSTANDING	[2537]	[2543]	PMC2516588.nxml.gz-926
PMC2672462	PMC2672462.nxml.gz-2	[102]	[294]	As gestational diabetes is associated with adverse pregnancy outcomes, and has long-term implications for both mother and child, it is important that it is recognized and appropriately managed	As	PROBABLE_UNDERSTANDING	[102]	[104]	PMC2672462.nxml.gz-1
PMC2874300	PMC2874300.nxml.gz-3	[618]	[772]	While diet can impact health at any life stage, it is likely to be most important during the fetal and infancy periods, when the immune system is immature	likely	PROBABLE_UNDERSTANDING	[672]	[678]	PMC2874300.nxml.gz-5
PMC2885310	PMC2885310.nxml.gz-59	[3557]	[3833]	Most sleep studies, however, have excluded pregnant women; hence very little is known about how insufficient sleep and sleep disordered breathing during gestation contribute to increased risks of medical complications of pregnancy including gestational diabetes mellitus (GDM)	hence	PROBABLE_UNDERSTANDING	[3616]	[3621]	PMC2885310.nxml.gz-61
PMC2889879	PMC2889879.nxml.gz-39	[2922]	[3018]	Schizophrenia in adulthood is often preceded by milder symptoms and delusions during adolescence	often	PROBABLE_UNDERSTANDING	[2952]	[2957]	PMC2889879.nxml.gz-40
PMC2898025	PMC2898025.nxml.gz-47	[2773]	[2975]	In this model, environmental exposures and lifestyle changes that occur afterwards play a mainly secondary role to the programming or imprinting that occurs during pregnancy and/or early infancy [14,15]	mainly	PROBABLE_UNDERSTANDING	[2863]	[2869]	PMC2898025.nxml.gz-49
PMC2999828	PMC2999828.nxml.gz-24	[881]	[986]	Diagnosis of allergy during pregnancy should mainly consist of the patient's history and in vitro testing	mainly	PROBABLE_UNDERSTANDING	[926]	[932]	PMC2999828.nxml.gz-26
PMC3205727	PMC3205727.nxml.gz-31	[1231]	[1404]	Studies have consistently found that higher maternal weight entering and during pregnancy increases risk for obesity among offspring in childhood, adolescence, and adulthood	consistently 	PROBABLE_UNDERSTANDING	[1244]	[1257]	PMC3205727.nxml.gz-1136
PMC3272870	PMC3272870.nxml.gz-5	[381]	[624]	Differentiated thyroid cancer (DTC) in young people generally has an excellent prognosis, and disease-free survival among women with DTC diagnosed during pregnancy may not differ from that in age-matched non-pregnant women with similar disease	generally	PROBABLE_UNDERSTANDING	[433]	[442]	PMC3272870.nxml.gz-6
PMC3279448	PMC3279448.nxml.gz-34	[2412]	[2718]	The molecular mechanisms that underlie these observations remain unclear, although recent work suggests that alterations to placental function may lead to altered fetal development and programming, likely playing a critical role in mediating these associations (Higgins et al. 2011;Lester and Padbury 2009)	likely	PROBABLE_UNDERSTANDING	[2610]	[2616]	PMC3279448.nxml.gz-39
PMC3342123	PMC3342123.nxml.gz-92	[14322]	[14498]	The intersection of commonly regulated genes between those comparisons was discarded because regulation of these genes was likely due to physiologically developmental processes	likely	PROBABLE_UNDERSTANDING	[14445]	[14451]	PMC3342123.nxml.gz-93
PMC3348565	PMC3348565.nxml.gz-46	[4595]	[4683]	Therefore, breastmilk, a normally poor source of vitamin D,11becomes even more deficient	Therefore	PROBABLE_UNDERSTANDING	[4595]	[4604]	PMC3348565.nxml.gz-45
PMC3400371	PMC3400371.nxml.gz-25	[1638]	[1833]	The initial reduction has been explained to result from increased red cell mass and demands of the fetus which exceeds iron intake with consequent reduction in iron stores of the woman's body [2]	explained	PROBABLE_UNDERSTANDING	[1669]	[1678]	PMC3400371.nxml.gz-27
PMC3427250	PMC3427250.nxml.gz-22	[2135]	[2201]	Vitamin D status is a well-known determinant of bone health[1],[2]	well-known	PROBABLE_UNDERSTANDING	[2157]	[2167]	PMC3427250.nxml.gz-23
PMC3914197	PMC3914197.nxml.gz-52	[6129]	[6294]	Therefore, it is possible that vasopressinase could have crossed the placenta thereby causing infant's hypernatremia and subsequently could have benefited from dDAVP	Therefore	PROBABLE_UNDERSTANDING	[6129]	[6138]	PMC3914197.nxml.gz-51
PMC3915248	PMC3915248.nxml.gz-6	[976]	[1191]	The Navajo people did not have a word for “radioactivity” when mining outfits looking for vanadium2and uranium3began moving onto their land in the 1940s, and they did not understand that radiation could be dangerous	did not understand	PROBABLE_UNDERSTANDING	[1139]	[1157]	PMC3915248.nxml.gz-9
PMC3933411	PMC3933411.nxml.gz-33	[1882]	[2119]	Women with a higher education (aOR, 2.3; 95% CI, 1.1-4.9), more than 10 prenatal visits (aOR, 7.2; 95% CI, 3.4-15.0) and those who received advice on breastfeeding (aOR, 2.0; 95% CI, 1.1-3.5) were more likely to use iron during pregnancy	likely	PROBABLE_UNDERSTANDING	[2084]	[2090]	PMC3933411.nxml.gz-34
PMC4122855	PMC4122855.nxml.gz-3	[128]	[325]	Reduced need for insulin therapy in Gestational Diabetes Mellitus (GDM) has been documented in a study validating American Nutrition Practice Guidelines, which recommend at least 3 dietitian visits	at least	PROBABLE_UNDERSTANDING	[298]	[306]	PMC4122855.nxml.gz-6
