PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
PMC1626394	PMC1626394.nxml.gz-14	[2273]	[2389]	Thus, the researchers suggest that excess iron supplementation can cause the same problems it is supposed to correct	problems	PROBLEM_COMPLICATION	[2355]	[2363]	PMC1626394.nxml.gz-16
PMC2396486	PMC2396486.nxml.gz-92	[12509]	[12563]	Finally, proteomic analyses are prone to Type I errors	errors	PROBLEM_COMPLICATION	[12557]	[12563]	PMC2396486.nxml.gz-94
PMC2516588	PMC2516588.nxml.gz-5	[757]	[1061]	It cannot, however, correct for potential bias and confounding of the studies included; we addressed this issue in our review (Martin et al. 2008) by rating the quality of individual studies and carrying out a sensitivity analysis by excluding studies for which the quality score was below a chosen value	issue	PROBLEM_COMPLICATION	[863]	[868]	PMC2516588.nxml.gz-8
PMC2672462	PMC2672462.nxml.gz-29	[1102]	[1321]	Whilst short-term data have not demonstrated adverse effects of glyburide and metformin on the fetus, and they are increasingly being used in pregnancy, there remain long-term concerns regarding their potential for harm	concerns	PROBLEM_COMPLICATION	[1278]	[1286]	PMC2672462.nxml.gz-34
PMC2885310	PMC2885310.nxml.gz-9	[297]	[453]	Little, however, is known about the consequences of insufficient sleep and poor sleep quality during pregnancy on glucose tolerance and gestational diabetes	consequences	PROBLEM_COMPLICATION	[333]	[345]	PMC2885310.nxml.gz-11
PMC2889879	PMC2889879.nxml.gz-117	[12179]	[12377]	However, we were not able take environmental factors and geographic area into account, because the study questionnaire did not assess the origin of fish, such as the Baltic Sea or the Atlantic Ocean	because	PROBLEM_COMPLICATION	[12266]	[12273]	PMC2889879.nxml.gz-119
PMC2898025	PMC2898025.nxml.gz-5621	[27273]	[27360]	To some degree, effect modification or publication bias may explain the inconsistencies	publication bias	PROBLEM_COMPLICATION	[27312]	[27328]	PMC2898025.nxml.gz-5619
PMC2999828	PMC2999828.nxml.gz-119	[7289]	[7435]	However, the potential side effects of any drug must be balanced against the risks of the mother or the infant having inadequately treated disease	inadequately	PROBLEM_COMPLICATION	[7407]	[7419]	PMC2999828.nxml.gz-124
PMC3205727	PMC3205727.nxml.gz-58	[1965]	[2009]	excessive GWG remains of predominant concern	concern	PROBLEM_COMPLICATION	[2002]	[2009]	PMC3205727.nxml.gz-1146
PMC3272870	PMC3272870.nxml.gz-57	[3114]	[3445]	This could support the hypothesis that sex hormones and, therefore, menstrual and reproductive events, may modify thyroid cancer risk in women6, although these associations – which could indicate either a causal link or a surveillance bias – may reflect an aetiology shared by both the above-mentioned factors and by thyroid cancer	bias	PROBLEM_COMPLICATION	[3349]	[3353]	PMC3272870.nxml.gz-71
PMC3313761	PMC3313761.nxml.gz-2631	[1862]	[2048]	Symptoms of hypocalcemia in children include lethargy, recurrent respiratory tract infections, focal clonic seizures, jitteriness, carpopedal spasm and rarely stridor due to laryngospasm	due to	PROBLEM_COMPLICATION	[2029]	[2035]	PMC3313761.nxml.gz-9
PMC3342123	PMC3342123.nxml.gz-44	[4645]	[4834]	In particular, the low protein diet provides a model for prenatal dietary undersupply and exposure to famine that regrettably still burdens a considerable proportion of the human population	burdens	PROBLEM_COMPLICATION	[4777]	[4784]	PMC3342123.nxml.gz-48
PMC3348565	PMC3348565.nxml.gz-41	[4063]	[4282]	Vitamin D deficiency rickets in children younger than 5 years is an endemic problem in developing countries, ranging from 5–45%, even where sunlight is abundant,1,2,7,8and has also re-emerged in some developed countries	problem	PROBLEM_COMPLICATION	[4139]	[4146]	PMC3348565.nxml.gz-42
