PMCID	DATE (MM/YYYY)
PMC1247630	11/2004
PMC1474522	4/1988
PMC1533075	6/1998
PMC1626394	10/2006
PMC2009866	3/1979
PMC2265032	3/2008
PMC2396486	6/2008
PMC2516588	8/2008
PMC2672462	4/2009
PMC2874300	5/2010
PMC2885310	5/2010
PMC2889879	5/2010
PMC2898025	5/2010
PMC2999828	3/2009
PMC3205727	10/2011
PMC3272870	12/2011
PMC3279448	10/2011
PMC3313761	3/2012
PMC3342123	3/2012
PMC3348565	4/2012
PMC3373750	6/2012
PMC3400371	7/2012
PMC3427250	8/2012
PMC3513049	2/2012
PMC3679768	5/2013
PMC3800883	12/2012
PMC3914197	7/2012
PMC3915248	2/2014
PMC3933411	12/2013
PMC4122855	7/2014
PMC4304064	12/2014
PMC4311629	1/2015
PMC4352710	2/2015
PMC4377896	3/2015
PMC4428817	4/2015
PMC4500436	9/2014
PMC4564405	5/2015
PMC4653409	11/2015
PMC4653418	11/2015
PMC4683322	11/2015
PMC4859539	5/2016
PMC4897523	10/2014
PMC4954778	7/2016
PMC4992225	8/2016
PMC5030620	9/2016
PMC5143410	12/2016
PMC5187359	12/2016
PMC5273824	1/2017
PMC5501061	2/2017
PMC5540678	7/2017
PMC5685050	10/2014
PMC5812027	2/2018
PMC6000839	5/2018
PMC6011374	6/2018
PMC6022422	6/2018
PMC6029118	7/2018
PMC6033232	7/2018
PMC6039335	7/2018
PMC6054603	1/2018
PMC6056931	7/2018
