DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
6/2008,PMC2396486,"Combined with other experimental findings, the current study lends further credibility to the notion that developmental vitamin D deficiency impacts adversely on normal brain development[30]","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('other', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('the_current_study', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('lends_further_credibility', 'INCOMPLETE_EVIDENCE'), ('notion', 'INCOMPLETE_EVIDENCE'), ('impacts', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"However, to our knowledge, no study has investigated the association between dietary intake of fish, omega-3 and omega-6 PUFA or vitamin D and the risk of having positive psychotic symptoms in the general adult population","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'FULL_UNKNOWN', 'SUPERFICIAL_RELATIONSHIP'}","[('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('to_our_knowledge', 'PROBABLE_UNDERSTANDING'), ('no_study', 'FULL_UNKNOWN'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,We decided not to include dietary Vitamin D estimates in the final multivariate models as fish is a rich source of vitamin D and could account for some of the effect of fish on our outcome,"{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('decided', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('estimates', 'INCOMPLETE_EVIDENCE'), ('models', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('as', 'PROBABLE_UNDERSTANDING'), ('could', 'INCOMPLETE_EVIDENCE'), ('some', 'INCOMPLETE_EVIDENCE'), ('effect', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"However, a small pilot study of maternal vitamin D levels in archived prenatal sera, showed no decrease in prenatal vitamin D in subjects who later developed schizophrenia [33]","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'INCOMPLETE_EVIDENCE'}","[('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('small...study', 'INCOMPLETE_EVIDENCE'), ('showed', 'INCOMPLETE_EVIDENCE')]"
5/2010,PMC2889879,"A more complete picture of the vitamin D status could have been supplied through vitamin D levels in blood; however, no biological samples are available","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FULL_UNKNOWN', 'INCOMPLETE_EVIDENCE'}","[('could', 'INCOMPLETE_EVIDENCE'), ('however', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('no...available', 'FULL_UNKNOWN')]"
5/2010,PMC2889879,"The absorption of dietary vitamin D is generally high at all stages of life [34], but serum levels also depend on the endogenous production of vitamin D due to sun exposure which is subject to seasonal variations","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'PROBABLE_UNDERSTANDING', 'DIFFICULT_TASK'}","[('generally', 'PROBABLE_UNDERSTANDING'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('variations', 'DIFFICULT_TASK')]"
5/2010,PMC2889879,"While the epidemiological evidence linking low prenatal vitamin D and schizophrenia remains inconclusive, rodent models have provided compelling evidence about the role of vitamin D deficiency for brain development like larger lateral volumes [36], subtle memory dysfunction and altered attention processing [37] which have implications for neuropsychiatric disorders","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('while', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('evidence', 'INCOMPLETE_EVIDENCE'), ('linking', 'SUPERFICIAL_RELATIONSHIP'), ('remains', 'INCOMPLETE_EVIDENCE'), ('inconclusive', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('models', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('compelling_evidence', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP'), ('implications', 'IMPORTANT_CONSIDERATION')]"
5/2010,PMC2889879,Otherwise the dietary intake of vitamin D would be lower,"{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'FUTURE_PREDICTION'}","[('Otherwise', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('would_be', 'FUTURE_PREDICTION')]"
5/2010,PMC2889879,"Misclassification of fish and PUFA or vitamin D intake due to measurement error associated with the food frequency questionnaire is unavoidable, but given the study design likely non-differential, and thus attenuating any true association","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'SUPERFICIAL_RELATIONSHIP'}","[('misclassification', 'PROBLEM_COMPLICATION'), ('error', 'PROBLEM_COMPLICATION'), ('associated', 'SUPERFICIAL_RELATIONSHIP'), ('unavoidable', 'PROBLEM_COMPLICATION'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('given', 'INCOMPLETE_EVIDENCE'), ('likely', 'PROBABLE_UNDERSTANDING'), ('thus', 'PROBABLE_UNDERSTANDING'), ('true', 'PROBABLE_UNDERSTANDING'), ('association', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"But, adjustment for multivitamin supplement intake, containing vitamin D, did not change the estimates","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'INCOMPLETE_EVIDENCE'}","[('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('estimates', 'INCOMPLETE_EVIDENCE')]"
