DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
5/2010,PMC2889879,It has been hypothesised that vitamin D insufficiency could account for some of the increased risk of schizophrenia observed among dark-skinned immigrants moving to countries with less sun exposure [12],"{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE'}","[('has_been', 'INCOMPLETE_EVIDENCE'), ('hypothesised', 'INCOMPLETE_EVIDENCE'), ('insufficiency', 'IMPORTANT_CONSIDERATION'), ('could', 'INCOMPLETE_EVIDENCE'), ('some', 'INCOMPLETE_EVIDENCE'), ('observed', 'INCOMPLETE_EVIDENCE')]"
5/2010,PMC2889879,"Our results of a protective effect of vitamin D intake must be considered as rough, since we only measure the dietary intake of vitamin D","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'PROBLEM_COMPLICATION', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('protective', 'SUPERFICIAL_RELATIONSHIP'), ('effect', 'SUPERFICIAL_RELATIONSHIP'), ('must...be', 'IMPORTANT_CONSIDERATION'), ('considered', 'IMPORTANT_CONSIDERATION'), ('as', 'PROBABLE_UNDERSTANDING'), ('rough', 'INCOMPLETE_EVIDENCE'), ('since', 'PROBLEM_COMPLICATION'), ('only', 'INCOMPLETE_EVIDENCE')]"
5/2010,PMC2889879,"While the epidemiological evidence linking low prenatal vitamin D and schizophrenia remains inconclusive, rodent models have provided compelling evidence about the role of vitamin D deficiency for brain development like larger lateral volumes [36], subtle memory dysfunction and altered attention processing [37] which have implications for neuropsychiatric disorders","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('while', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('evidence', 'INCOMPLETE_EVIDENCE'), ('linking', 'SUPERFICIAL_RELATIONSHIP'), ('remains', 'INCOMPLETE_EVIDENCE'), ('inconclusive', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('models', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('compelling_evidence', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP'), ('implications', 'IMPORTANT_CONSIDERATION')]"
5/2010,PMC2889879,In terms of generalisability of our results it is relevant to compare the levels of dietary intake of PUFAs and vitamin D in our cohort to other populations,"{'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('generalisability', 'IMPORTANT_CONSIDERATION'), ('relevant_to', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,It is relevant to note that in Sweden low-fat dairy products and margarines are fortified with vitamin D,{'IMPORTANT_CONSIDERATION'},"[('relevant to note', 'IMPORTANT_CONSIDERATION')]"
5/2010,PMC2889879,"Unfortunately, we do not have information about specific vitamin D supplementation","{'IMPORTANT_CONSIDERATION', 'FULL_UNKNOWN'}","[('Unfortunately', 'IMPORTANT_CONSIDERATION'), ('do_not_have', 'FULL_UNKNOWN')]"
5/2010,PMC2898025,"Vitamin D receptors are present in most cells and tissues in the body [152], including the brain [148], so this hormone is believed to play an important role in disease management and cancer prevention as a modulator of immune system activity [148,153–155]","{'IMPORTANT_CONSIDERATION', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('believed', 'INCOMPLETE_EVIDENCE'), ('important', 'IMPORTANT_CONSIDERATION'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
12/2011,PMC3272870,During pregnancy vitamin D and calcium metabolism undergo significant changes to provide the calcium needed for maternal skeletal preservation and foetal skeletal formation,{'IMPORTANT_CONSIDERATION'},"[('needed', 'IMPORTANT_CONSIDERATION')]"
12/2011,PMC3272870,"Although vitamin D is undoubtedly important for foetal bone development, we know that it plays a much wider role in health and disease prevention","{'ANOMALY_CURIOUS_FINDING', 'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'IMPORTANT_CONSIDERATION', 'SUPERFICIAL_RELATIONSHIP'}","[('although', 'ANOMALY_CURIOUS_FINDING'), ('undoubtedly', 'PROBABLE_UNDERSTANDING'), ('important', 'IMPORTANT_CONSIDERATION'), ('know', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
12/2011,PMC3272870,"Vitamin D is likely safe during pregnancy and breast feeding when taken by mouth in recommended amounts, that is 10 mcg (400 USP units) of vitamin D daily in normal pregnancy. but sometimes thyroidectomised women need more","{'PROBABLE_UNDERSTANDING', 'FUTURE_WORK', 'INCOMPLETE_EVIDENCE', 'ALTERNATIVE_OPTIONS_CONTROVERSY', 'IMPORTANT_CONSIDERATION'}","[('likely', 'PROBABLE_UNDERSTANDING'), ('safe', 'IMPORTANT_CONSIDERATION'), ('recommended', 'FUTURE_WORK'), ('but', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('sometimes', 'INCOMPLETE_EVIDENCE'), ('need', 'IMPORTANT_CONSIDERATION')]"
