DATE,ARTICLE,SENTENCE,IGNORANCE_CATEGORIES,ANNOTATED LEXICAL CUES
6/2008,PMC2396486,Developmental vitamin D (DVD) deficiency is a candidate risk factor for schizophrenia,{'INCOMPLETE_EVIDENCE'},"[('candidate', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,Disruptions in pathways related to calcium-binding proteins and mitochondrial function may underlie some of the behavioural features associated with animal models of developmental vitamin D deficiency,"{'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('related', 'SUPERFICIAL_RELATIONSHIP'), ('may', 'INCOMPLETE_EVIDENCE'), ('some', 'INCOMPLETE_EVIDENCE'), ('associated', 'SUPERFICIAL_RELATIONSHIP'), ('models', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"Based on clues from epidemiology, we have proposed that low prenatal vitamin D may be a risk factor for later development of schizophrenia[1]",{'INCOMPLETE_EVIDENCE'},"[('clues', 'INCOMPLETE_EVIDENCE'), ('proposed', 'INCOMPLETE_EVIDENCE'), ('may_be', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"Given that vitamin D levels in the population fluctuate across the seasons and decrease across higher latitude[4], low prenatal vitamin D ‘fits’ these key environmental features and is therefore a plausible candidate risk factor for this disease","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('fits', 'SUPERFICIAL_RELATIONSHIP'), ('therefore', 'PROBABLE_UNDERSTANDING'), ('plausible', 'INCOMPLETE_EVIDENCE'), ('candidate', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"In order to explore the biological plausibility of this candidate, we have a rat model that we call the Developmental Vitamin D (DVD) model","{'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE'}","[('in_order_to', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('plausibility', 'INCOMPLETE_EVIDENCE'), ('candidate', 'INCOMPLETE_EVIDENCE'), ('model', 'INCOMPLETE_EVIDENCE'), ('model', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,Rats exposed to low prenatal vitamin D have a broad range of neurobiological outcomes that are informative for schizophrenia research,{'INCOMPLETE_EVIDENCE'},"[('informative', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,"Calbindin is strongly induced by vitamin D[29], and thus it is feasible that the reduction in this protein may be a consequence of the early life reduction in vitamin D","{'PROBABLE_UNDERSTANDING', 'INCOMPLETE_EVIDENCE'}","[('thus', 'PROBABLE_UNDERSTANDING'), ('feasible', 'PROBABLE_UNDERSTANDING'), ('may_be', 'INCOMPLETE_EVIDENCE')]"
6/2008,PMC2396486,The potential links between vitamin D and neuronal calcium binding proteins has been noted in a recent review article[30],"{'ANOMALY_CURIOUS_FINDING', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('potential', 'INCOMPLETE_EVIDENCE'), ('links', 'SUPERFICIAL_RELATIONSHIP'), ('has_been_noted', 'ANOMALY_CURIOUS_FINDING')]"
6/2008,PMC2396486,"Combined with other experimental findings, the current study lends further credibility to the notion that developmental vitamin D deficiency impacts adversely on normal brain development[30]","{'ALTERNATIVE_OPTIONS_CONTROVERSY', 'QUESTION_ANSWERED_BY_THIS_WORK', 'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('other', 'ALTERNATIVE_OPTIONS_CONTROVERSY'), ('the_current_study', 'QUESTION_ANSWERED_BY_THIS_WORK'), ('lends_further_credibility', 'INCOMPLETE_EVIDENCE'), ('notion', 'INCOMPLETE_EVIDENCE'), ('impacts', 'SUPERFICIAL_RELATIONSHIP')]"
5/2010,PMC2889879,"Low intake of fish, polyunsaturated fatty acids (PUFA) and vitamin D deficiency has been suggested to play a role in the development of schizophrenia","{'INCOMPLETE_EVIDENCE', 'SUPERFICIAL_RELATIONSHIP'}","[('has_been_suggested', 'INCOMPLETE_EVIDENCE'), ('role', 'SUPERFICIAL_RELATIONSHIP')]"
