PMCID	SUBJECT_SCOPE_ID	S_START	S_END	SUBJECT_SCOPE	CONCEPT	IGNORANCE TYPE	C_START	C_END	CONCEPT_MENTION_ID
BMJ_2008_Nov_7_337_a2001	BMJ_2008_Nov_7_337_a2001_0	[0]	[450]	['Impact of micronutrient supplementation during pregnancy on birth weight, duration of gestation, and perinatal mortality in rural western China: double blind cluster randomised controlled trial\n\nAbstract\nObjective To examine the impact of antenatal supplementation with multiple micronutrients or iron and folic acid compared with folic acid alone on birth weight, duration of gestation, and maternal haemoglobin concentration in the third trimester.']	To examine	QUESTION_ANSWERED_BY_THIS_WORK	[214]	[224]	BMJ_2008_Nov_7_337_a2001_T226
BMJ_2010_Apr_29_340_c1640	BMJ_2010_Apr_29_340_c1640_0	[0]	[262]	['Low maternal exposure to ultraviolet radiation in pregnancy, month of birth, and risk of multiple sclerosis in offspring: longitudinal analysis\n\nAbstract\nObjectives To investigate the distribution of month of birth in people with multiple sclerosis in Australia.']	To investigate	QUESTION_ANSWERED_BY_THIS_WORK	[165]	[179]	BMJ_2010_Apr_29_340_c1640_T265
BMJ_2012_Aug_30_345_e5605	BMJ_2012_Aug_30_345_e5605_0	[0]	[236]	['Low glycaemic index diet in pregnancy to prevent macrosomia (ROLO study): randomised control trial\n\nAbstract\nObjective To determine if a low glycaemic index diet in pregnancy could reduce the incidence of macrosomia in an at risk group.']	To determine	QUESTION_ANSWERED_BY_THIS_WORK	[119]	[131]	BMJ_2012_Aug_30_345_e5605_T131
BMJ_2012_Jan_30_344_e184	BMJ_2012_Jan_30_344_e184_0	[0]	[410]	['Effect of n-3 long chain polyunsaturated fatty acid supplementation in pregnancy on infants’ allergies in first year of life: randomised controlled trial\n\nAbstract\nObjective To determine whether dietary n-3 long chain polyunsaturated fatty acid (LCPUFA) supplementation of pregnant women with a fetus at high risk of allergic disease reduces immunoglobulin E associated eczema or food allergy at 1 year of age.']	To determine	QUESTION_ANSWERED_BY_THIS_WORK	[174]	[186]	BMJ_2012_Jan_30_344_e184_T144
BMJ_2012_May_17_344_e2088	BMJ_2012_May_17_344_e2088_0	[0]	[316]	['Effects of interventions in pregnancy on maternal weight and obstetric outcomes: meta-analysis of randomised evidence\n\nAbstract\nObjective To evaluate the effects of dietary and lifestyle interventions in pregnancy on maternal and fetal weight and to quantify the effects of these interventions on obstetric outcomes.']	To evaluate	QUESTION_ANSWERED_BY_THIS_WORK	[138]	[149]	BMJ_2012_May_17_344_e2088_T250
BMJ_2014_Feb_10_348_g1285	BMJ_2014_Feb_10_348_g1285_0	[0]	[240]	['Antenatal lifestyle advice for women who are overweight or obese: LIMIT randomised trial\n\nAbstract\nObjective To determine the effect of antenatal dietary and lifestyle interventions on health outcomes in overweight and obese pregnant women.']	To determine	QUESTION_ANSWERED_BY_THIS_WORK	[109]	[121]	BMJ_2014_Feb_10_348_g1285_T188
PMC1074510	PMC1074510_47	[6596]	[6683]	['Here I will summarize the methods and results of the two Hungarian intervention trials.']	Here	QUESTION_ANSWERED_BY_THIS_WORK	[6596]	[6600]	PMC1074510_T285
PMC1164414	PMC1164414_3	[762]	[1024]	['Methods\nWe retrospectively evaluated the association of the MTHFR 677C>T and 1298A>C polymorphisms with pediatric ALL by genotyping a study sample of 443 ALL patients consecutively enrolled onto the German multicenter trial ALL-BFM 2000 and 379 healthy controls.']	evaluated	QUESTION_ANSWERED_BY_THIS_WORK	[789]	[798]	PMC1164414_T125
PMC1168874	PMC1168874_2	[122]	[218]	['We focus our analysis on human teratogenic drugs which are not used frequently during pregnancy.']	focus	QUESTION_ANSWERED_BY_THIS_WORK	[125]	[130]	PMC1168874_T382
PMC1182379	PMC1182379_47	[7673]	[7891]	['While women may be infected via several routes, the remainder of this article focuses on preventing transmission via the important child-to-mother route, by encouraging hygienic practices such as frequent hand washing.']	this article	QUESTION_ANSWERED_BY_THIS_WORK	[7738]	[7750]	PMC1182379_T359
