OBO_ID (LABEL):	GO_0007568 (aging)

ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
PMC1937008	7/2007	S43-PMC1937008	["caption (table-wrap): table 1\n\nincluded studies on maternal obesity and women's infant feeding intentionsauthors, year of publication, country, and year(s) of studyparticipantsdefinitionsresults barnes et al, 1997 [34], bristol, uk, 1991-112birth cohort, (avon longitudinal study of parents and children) n = 11,907multivariate analysis, n = 8431 for 1stweek and n = 8392 for 4 monthsintention: asked at 32 weeks (4 time periods, 4 options for each)Eating disorder examination questionnaire, including 'shape concern' and 'weight concern' items (> 2 indicated marked concern) intention to bf 1 week old infant: shape concern normal or 1.22 (95%ci: 1.10, 1.35)weight concern normal or 1.20 (95%ci, 1.07, 1.35) intention to bf infant up to 4 months: shape concern normal or 1.30 (95%ci: 1.19, 1.42)weight concern normal or 1.26 (95%ci: 1.14, 1.40)multivariate analysis: intention to bf 1 week old infant: shape concern normal or 1.25 (95%ci: 1.09, 1.42)weight concern normal ns intention to bf infant up to 4 months: shape concern normal or 1.26 (95%ci: 1.13, 1.42)weight concern normal or 1.16 (95%ci: 1.02, 1.32)(adjusted for demographic variables, smoking, maternal attitudes to baby)foster et al 1996 [41], manchester, uk, yr of study not statedantenatal cohort n = 38eating disorder examination: shape concern (sc).body satisfaction scale:general satisfaction (gs).measurement of bmi not mentioned in text bf intention and bmi: ns shape concern: intended to bf median 0.29intended to formula feed median 1.05 (i.e."]	N/A	N/A	[('GO_0007568', 'aging', 449, 'Eating')]
PMC2100429	9/2007	S77-PMC2100429	['non-Vegetarian Foods are meat, fish and eggs\nmaternal Vitamin B12And Folate status women in whom Vitamin B12, Folate and related measurements were not available had similar Pre-Pregnant weight, ses and weight gain at 28\xa0weeks of Pregnancy compared with those who were studied.']	N/A	N/A	[('NCBITaxon_7955', 'Danio rerio', 4, 'vegetarian'), ('CHEBI_33290', 'food', 15, 'foods'), ('CHEBI_10124', 'zolmitriptan', 54, 'vitamin B12and'), ('CHEBI_30863', '5-azaorotic acid', 69, 'folate'), ('CHEBI_33279', 'vitamin D5', 97, 'vitamin B12'), ('PR_000004481', 'V-type proton ATPase subunit B, kidney isoform', 97, 'vitamin B12'), ('CHEBI_30863', '5-azaorotic acid', 110, 'folate'), ('GO_0007568', 'aging', 173, 'pre'), ('GO_0007565', 'female pregnancy', 177, 'pregnant'), ('GO_0007565', 'female pregnancy', 229, 'pregnancy')]
PMC2148036	9/2007	S58-PMC2148036	['Pre-Pregnancy body mass index (bmi), a measure of overall maternal adiposity, was calculated as weight in kilograms divided by height in meters squared.']	N/A	N/A	[('GO_0007568', 'aging', 0, 'Pre'), ('GO_0007565', 'female pregnancy', 4, 'pregnancy')]
PMC2526009	10/2008	S30-PMC2526009	['an additional 112 Rats began the cross-sectional ( n \u2009=\u200932–2.5 months; n \u2009=\u200932–27.5 months) and longitudinal ( n \u2009=\u200948) Aging studies.']	N/A	N/A	[('NCBITaxon_9986', 'Oryctolagus cuniculus', 18, 'rats'), ('GO_0007568', 'aging', 120, 'aging')]
PMC2526009	10/2008	S35-PMC2526009	['for the Aging study Rats began training at 2 months of age.']	N/A	N/A	[('GO_0007568', 'aging', 8, 'aging'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 20, 'rats')]
PMC2526009	10/2008	S48-PMC2526009	['the behavioral procedures for the longitudinal and cross-sectional Aging studies used this same standard procedure.']	N/A	N/A	[('GO_0007568', 'aging', 67, 'aging')]
PMC2526009	10/2008	S84-PMC2526009	['neurochemical analysis of Acetylcholine release\nBrains were taken from all of the Rats that completed the behavioral portion of the longitudinal Aging study approximately 1 week following the last session.']	N/A	N/A	[('CHEBI_15355', 'acetylcholine', 26, 'acetylcholine'), ('UBERON_0000955', 'brain', 48, 'Brains'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 82, 'rats'), ('GO_0007568', 'aging', 145, 'aging')]
PMC2526009	10/2008	S116-PMC2526009	['caption (fig): figure 2\n\neffects of Prenatal Choline supplementation on spatial Memory performance in a 12-arm radial maze in longitudinal and cross-sectional Aging studies .']	N/A	N/A	[('GO_0007565', 'female pregnancy', 36, 'prenatal'), ('CHEBI_15354', 'choline', 45, 'choline'), ('GO_0007613', 'memory', 80, 'memory'), ('GO_0007568', 'aging', 159, 'aging')]
PMC2526009	10/2008	S119-PMC2526009	['in panel (b) , total errors (mean\u2009±\u2009sem) are plotted as a function of the first block of 3 sessions during the cross-sectional Aging study for separate groups of 2.5 and 27.5 month-old Rats in the con and the sup treatment conditions.']	N/A	N/A	[('GO_0007568', 'aging', 127, 'aging'), ('NCBITaxon_9986', 'Oryctolagus cuniculus', 185, 'rats')]
PMC2529404	9/2008	S4-PMC2529404	['we gave Mice unlimited or no access to Sucrose for a short period post-weaning and measured Sucrose-Seeking, Food Consumption, and weight gain in adulthood.']	N/A	N/A	[('NCBITaxon_10088', 'Mus <genus>', 8, 'mice'), ('CHEBI_17992', 'sucrose', 39, 'sucrose'), ('CHEBI_17992', 'sucrose', 92, 'sucrose'), ('GO_0007568', 'aging', 99, '-seeking'), ('CHEBI_33290', 'food', 109, 'food'), ('GO_0007631', 'feeding behavior', 109, 'food consumption')]
