	ARTICLE	ARTICLE DATE	SENTENCE NUM	SENTENCE	IGNORANCE CATEGORIES	NUM IGNORANCE CATEGORIES	OBO ID (LABEL)
S204-PMC2996405	PMC2996405	11/2010	S204-PMC2996405	['IT IS POSSIBLE to SPECULATE that a selective pressure COULD have favoured a Haplotype containing the t Allele in an environment with low Vitamin D availability, for its positive EFFECT on the bone phenotype.']	[('INCOMPLETE_EVIDENCE', 0), ('INCOMPLETE_EVIDENCE', 18), ('INCOMPLETE_EVIDENCE', 54), ('SUPERFICIAL_RELATIONSHIP', 178)]	4	[('SO_0001024', 'haplotype', 76, 'haplotype'), ('SO_0001023', 'allele', 103, 'allele'), ('CHEBI_27300', 'vitamin D', 137, 'vitamin D')]
S96-PMC3257641	PMC3257641	3/2010	S96-PMC3257641	['thus within the offspring of Vitamin D deficient mothers, there was lower Birth weight in those having the ff or ff genotype (where the f Allele is associated with increased Vitamin D Receptor activity [65]), but not in offspring with the ff genotype ( p -value for INTERACTION after adjustment for potential CONFOUNDING FACTORS = 0.02) [66].']	[('SUPERFICIAL_RELATIONSHIP', 266), ('PROBLEM_COMPLICATION', 309)]	2	[('CHEBI_27300', 'vitamin D', 29, 'vitamin D'), ('GO_0007567', 'parturition', 74, 'birth'), ('SO_0001023', 'allele', 138, 'allele'), ('CHEBI_27300', 'vitamin D', 174, 'vitamin D'), ('PR_000001683', 'vasopressin V2 receptor', 174, 'vitamin D receptor')]
S51-PMC3309463	PMC3309463	6/2011	S51-PMC3309463	['IF cryptic variation is exposed by environmental exposures, such as Vitamin D deficiency, stress or cannabis use, then Allelic EFFECTS should BE larger in populations where these exposures are prevalent.']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 0), ('SUPERFICIAL_RELATIONSHIP', 127), ('ANOMALY_CURIOUS_FINDING', 142)]	3	[('CHEBI_27300', 'vitamin D', 68, 'vitamin D'), ('SO_0001023', 'allele', 119, 'allelic')]
S64-PMC3427192	PMC3427192	4/2012	S64-PMC3427192	['Genetic studies of Vitamin D and asthmaauthoryearnlocation/ populationoutcome measuresfindingsbossé8620091,064québec, canada/ french-canadian familiesgenotype of Genes INVOLVED in the Vitamin D pathwaysnps in Il10, Cyp24A1, Cyp2R1, Il1Rl1 and Cd86 were ASSOCIATED with asthma and atopypoon8720041,139quebecvdr Genetic variants in family-based cohortssix Allelic varients were ASSOCIATED with asthma, while four varients were ASSOCIATED with atopyraby882004582united states/ multi-centertwenty-eight loci in 7 positional candidates were genotypedvdr polymorphism DEMONSTRATED significant transmission distortionsaadi8920091,090jinan china/ han Populationsnps in the vdronly one marker showed a significant ASSOCIATION with asthma.']	[('SUPERFICIAL_RELATIONSHIP', 168), ('SUPERFICIAL_RELATIONSHIP', 253), ('SUPERFICIAL_RELATIONSHIP', 376), ('SUPERFICIAL_RELATIONSHIP', 425), ('INCOMPLETE_EVIDENCE', 562), ('SUPERFICIAL_RELATIONSHIP', 705)]	6	[('SO_0000704', 'gene', 0, 'Genetic'), ('CHEBI_27300', 'vitamin D', 19, 'vitamin D'), ('SO_0000704', 'gene', 162, 'genes'), ('CHEBI_27300', 'vitamin D', 184, 'vitamin D'), ('GO_0007601', 'visual perception', 184, 'vitamin D'), ('PR_000001470', 'interleukin-28B', 209, 'IL10'), ('PR_000006101', 'cytochrome P450 1A1', 215, 'CYP24A1'), ('PR_000006110', 'cytochrome P450 27, mitochondrial', 224, 'CYP2R1'), ('PR_000008998', 'interleukin-21 receptor', 232, 'IL1RL1'), ('PR_000002060', 'lysosome-associated membrane glycoprotein 1', 243, 'CD86'), ('SO_0000704', 'gene', 310, 'genetic'), ('SO_0001023', 'allele', 354, 'allelic'), ('SO_0000751', 'proviral_location', 643, 'populationSNPs')]
S65-PMC3427192	PMC3427192	4/2012	S65-PMC3427192	['Haplotype analysis of the vdr polymorphisms SHOWED a significant ASSOCIATION with asthmavollmert90200432munich, germany/ germansnps in the vdr and Integrin Β7None of the Snps were ASSOCIATED with asthmawjst912005951munich, germany/ germany and sweden13 Snps in the vdrin unaffected siblings, Allele in the 5′ region was undertransmitted while two other Alleles in the 3′ terminal region were overtransmittedwjst922006947munich, germany/ germany and swedenserum levels of Vitamin D and genotyping of dna Single Base variantsat least one positive Snp with a transmission disequilibrium of for asthma or total Ige and Vitamin D was FOUND in several Genes\nONLY a HANDFUL OF STUDIES have evaluated the LINK between asthma and polymorphisms in other Genes INVOLVED in Vitamin d synthesis, bioavailability and Metabolism.']	[('INCOMPLETE_EVIDENCE', 44), ('SUPERFICIAL_RELATIONSHIP', 65), ('SUPERFICIAL_RELATIONSHIP', 180), ('INCOMPLETE_EVIDENCE', 629), ('INCOMPLETE_EVIDENCE', 652), ('INCOMPLETE_EVIDENCE', 659), ('SUPERFICIAL_RELATIONSHIP', 697), ('SUPERFICIAL_RELATIONSHIP', 750)]	8	[('SO_0001024', 'haplotype', 0, 'Haplotype'), ('PR_000009070', 'integrator complex subunit 3', 147, 'integrin β7None'), ('SO_0000694', 'SNP', 170, 'SNPs'), ('SO_0000694', 'SNP', 253, 'SNPs'), ('SO_0001023', 'allele', 292, 'allele'), ('SO_0001023', 'allele', 353, 'alleles'), ('CHEBI_27300', 'vitamin D', 471, 'vitamin D'), ('SO_0000984', 'single', 503, 'single base'), ('SO_0000694', 'SNP', 545, 'SNP'), ('GO_0071743', 'IgE immunoglobulin complex, circulating', 607, 'IgE'), ('CHEBI_27300', 'vitamin D', 615, 'vitamin D'), ('SO_0000704', 'gene', 646, 'genes'), ('SO_0000704', 'gene', 744, 'genes'), ('CHEBI_33229', 'vitamin (role)', 762, 'vitamin'), ('GO_0008152', 'metabolic process', 803, 'metabolism')]
S73-PMC3515553	PMC3515553	12/2012	S73-PMC3515553	['Genetic analysis\nmaternal and offspring genotypes were coded 0, 1, 2, based on the number of PUTATIVE Vitamin B-12 increasing Alleles, and were checked for deviation from hardy-weinberg equilibrium using the genhw function implemented in the program stata 11.0 (stata corporation, college station, texas).']	[('PROBABLE_UNDERSTANDING', 93)]	1	[('SO_0000704', 'gene', 0, 'Genetic'), ('CHEBI_27300', 'vitamin D', 102, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 102, 'vitamin B-12'), ('SO_0001023', 'allele', 126, 'alleles')]
S96-PMC3515553	PMC3515553	12/2012	S96-PMC3515553	['Maternal rs9606756/rs1801198 Haplotypes carrying at least one PUTATIVE Vitamin B-12 increasing Allele showed higher Cord Blood Vitamin B-12 compared to the Haplotype carrying both Alleles PREVIOUSLY ASSOCIATED with elevated Hcy and lower Vitamin B-12 concentrations (ag, i.e.']	[('PROBABLE_UNDERSTANDING', 62), ('INCOMPLETE_EVIDENCE', 188), ('SUPERFICIAL_RELATIONSHIP', 199)]	3	[('UBERON_0000976', 'humerus', 0, 'Maternal'), ('SO_0001024', 'haplotype', 29, 'haplotypes'), ('CHEBI_85855', 'diacylglycerol 46:7', 71, 'vitamin B-12'), ('PR_000017269', 'ventral anterior homeobox 2', 71, 'vitamin B-12'), ('SO_0001023', 'allele', 95, 'allele'), ('UBERON_0009472', 'axilla', 116, 'cord blood'), ('CHEBI_85855', 'diacylglycerol 46:7', 127, 'vitamin B-12'), ('PR_000017269', 'ventral anterior homeobox 2', 127, 'vitamin B-12'), ('SO_0001024', 'haplotype', 156, 'haplotype'), ('SO_0001023', 'allele', 180, 'alleles'), ('CHEBI_37958', 'dye', 224, 'Hcy'), ('PR_000008443', 'huntingtin-associated protein 1', 224, 'Hcy'), ('CHEBI_27300', 'vitamin D', 238, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 238, 'vitamin B-12')]
S99-PMC3515553	PMC3515553	12/2012	S99-PMC3515553	['offspring Haplotypes were not associated with Cord Blood Vitamin B-12 (data not shown).10.1371/journal.pone.0051084.t003\n\ncaption (table-wrap): table 3\nASSOCIATION of maternal genotype at Snps RELATED to Vitamin B-12 Metabolism with maternal dietary intake at 32 weeks Pregnant and Vitamin B-12 Cord Blood concentration.Snpgenotypenamedian (iqr) of maternal Vitaminb-12 dietary intake (µg/day)nmedian (iqr) of Vitamin B-12 Cord Blood (pmol/l) Fut2 rs492602tt16424.2 (3.0, 6.1)62291 (183, 397)tc31874.2 (3.0, 6.1)128300 (196, 424)cc16484.3 (3.0, 6.2)50294 (214, 534)ratio of geometric means perc Allele (95% ci)64771.00 (0.98, 1.02)2401.08 (0.97, 1.19)p-valuea0.82/0.960.15/0.31 tcn2 rs1801198gg12764.1 (3.0, 5.9)41276 (173, 369)cg32214.3 (3.2, 6.2)125279 (196, 417)cc20024.1 (3.0, 6.1)68318 (226, 436)ratio of geometric meansper c Allele (95% ci)64991.01 (0.99, 1.03)2341.13 (1.02–1.25)p-valuea0.44/0.020.02/0.07 tcn2 rs9606756aa54834.3 (3.1, 6.2)193288 (205, 397)ag16504.3 (3.0, 6.1)58298 (206, 484)gg1204.0 (2.9, 6.1)2238 (82, 394)ratio of geometric meansper G Allele (95% ci)72530.99 (0.96, 1.01)2531.03 (0.89, 1.18)p-valuea0.23/0.460.73/0.31\nn reflects the number of mothers with genotype and dietary Intake or offspring Cord Blood Vitamin B-12 data, regardless of whether there was offspring iq data available for them as well.']	[('SUPERFICIAL_RELATIONSHIP', 152), ('SUPERFICIAL_RELATIONSHIP', 193)]	2	[('SO_0001024', 'haplotype', 10, 'haplotypes'), ('UBERON_0002240', 'spinal cord', 46, 'cord'), ('UBERON_0000178', 'blood', 51, 'blood'), ('CHEBI_27300', 'vitamin D', 57, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 57, 'vitamin B-12'), ('SO_0000694', 'SNP', 188, 'SNPs'), ('CHEBI_27300', 'vitamin D', 204, 'vitamin B'), ('GO_0009235', 'cobalamin metabolic process', 204, 'vitamin B-12 metabolism'), ('PR_000017269', 'ventral anterior homeobox 2', 204, 'vitamin B-12'), ('GO_0007565', 'female pregnancy', 269, 'pregnant'), ('CHEBI_27300', 'vitamin D', 282, 'vitamin B'), ('UBERON_0002240', 'spinal cord', 295, 'cord'), ('UBERON_0000178', 'blood', 300, 'blood'), ('SO_0001744', 'UPD', 320, 'SNPgenotypeNamedian'), ('CHEBI_27300', 'vitamin D', 358, 'vitaminB'), ('PR_000017269', 'ventral anterior homeobox 2', 358, 'vitaminB-12'), ('CHEBI_27300', 'vitamin D', 410, 'vitamin B'), ('UBERON_0002240', 'spinal cord', 423, 'cord'), ('UBERON_0000178', 'blood', 428, 'blood'), ('PR_000007719', 'frizzled-2', 443, 'FUT2'), ('SO_0001023', 'allele', 595, 'allele'), ('SO_0001023', 'allele', 831, 'allele'), ('SO_0001434', 'cassette_pseudogene', 1061, 'G'), ('SO_0001023', 'allele', 1063, 'allele'), ('GO_0007631', 'feeding behavior', 1205, 'intake'), ('UBERON_0002240', 'spinal cord', 1225, 'cord'), ('UBERON_0000178', 'blood', 1230, 'blood'), ('CHEBI_27300', 'vitamin D', 1236, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 1236, 'vitamin B-12')]
S110-PMC3515553	PMC3515553	12/2012	S110-PMC3515553	['encoding aminoacids valine (v) at locus rs9606756 and arginine (r) at locus rs1801198) was ASSOCIATED with a considerable increase in iq scores (mean difference in iq per gg copy 4.2; 95%ci 1.2, 7.2).10.1371/journal.pone.0051084.t005\n\ncaption (table-wrap): table 5\nASSOCIATION of maternal genotype at Snps RELATED to Vitamin B-12 Metabolism with offspring iq at age 8.Snpgenotypeniq mean (sd) Fut2 rs492602tt1009103.3 (16.8)tc1940104.2 (16.1)cc1012105.0 (16.7)mean difference in child iq per callelea(95% ci)39610.86 (0.14, 1.58)p-value0.02 tcn2 rs1801198gg784103.9 (16.6)cg1978104.1 (16.0)cc1208104.6 (17.0)mean difference in child iq per callelea(95% ci)39700.35 (−0.38, 1.08)p-value0.35 tcn2 rs9606756aa3673104.5 (16.1)ag1038104.7 (17.0)gg74108.0 (14.3)mean difference in child iq per gallelea(95% ci)47850.55 (−0.44, 1.54)p-value0.28\nAllele mentioned has been ASSOCIATED with higher Vitamin B-12 or lower Hcy levels.']	[('SUPERFICIAL_RELATIONSHIP', 91), ('SUPERFICIAL_RELATIONSHIP', 265), ('SUPERFICIAL_RELATIONSHIP', 306), ('SUPERFICIAL_RELATIONSHIP', 864)]	4	[('SO_0000694', 'SNP', 301, 'SNPs'), ('CHEBI_27300', 'vitamin D', 317, 'vitamin B'), ('GO_0009235', 'cobalamin metabolic process', 317, 'vitamin B-12 metabolism'), ('PR_000017269', 'ventral anterior homeobox 2', 317, 'vitamin B-12'), ('SO_0001627', 'intron_variant', 368, 'SNPgenotypeNIQ'), ('PR_000007719', 'frizzled-2', 393, 'FUT2'), ('SO_0001023', 'allele', 838, 'Allele'), ('CHEBI_70326', 'guttiferone A, (rel-(+))-', 887, 'vitamin B-'), ('PR_000017269', 'ventral anterior homeobox 2', 887, 'vitamin B-12'), ('PR_000008443', 'huntingtin-associated protein 1', 909, 'Hcy')]
S124-PMC3515553	PMC3515553	12/2012	S124-PMC3515553	['frequencies of the Vitamin B-12 Alleles were SIMILAR in the mothers and their offspring, and COMPARABLE to those FOUND in the hapmap european population (ceu) (rs492602 c Allele: 0.50 in alspac, 0.53 in ceu; rs1801198 c Allele: 0.55 in alspac, 0.55 in ceu; rs9606756 g Allele: 0.13 in alspac, 0.10 in ceu).']	[('SUPERFICIAL_RELATIONSHIP', 45), ('INCOMPLETE_EVIDENCE', 93), ('INCOMPLETE_EVIDENCE', 113)]	3	[('CHEBI_27300', 'vitamin D', 19, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 19, 'vitamin B-12'), ('SO_0001023', 'allele', 32, 'alleles'), ('SO_0001023', 'allele', 171, 'allele'), ('SO_0001023', 'allele', 220, 'allele'), ('SO_0001023', 'allele', 269, 'allele')]
S132-PMC3515553	PMC3515553	12/2012	S132-PMC3515553	['in alspac, child iq was weakly ASSOCIATED with maternal Vitamin B-12-elevating Alleles at Fut2 and tcn2 .']	[('SUPERFICIAL_RELATIONSHIP', 31)]	1	[('CHEBI_27300', 'vitamin D', 56, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 56, 'vitamin B-12'), ('SO_0001023', 'allele', 79, 'alleles'), ('PR_000007719', 'frizzled-2', 90, 'FUT2')]
S142-PMC3515553	PMC3515553	12/2012	S142-PMC3515553	['CONSISTENT with this HYPOTHESIS, we FOUND that homozygotes for the rs492602 c Allele (in strong ld with rs601338 null Allele) exhibited higher Cord Blood Vitamin B-12 than tt/tc Individuals [geometric mean (95% ci), 322 (277, 374) vs 284 (263, 307), p\u200a=\u200a0.15].']	[('INCOMPLETE_EVIDENCE', 0), ('INCOMPLETE_EVIDENCE', 21), ('INCOMPLETE_EVIDENCE', 36)]	3	[('SO_0001023', 'allele', 78, 'allele'), ('SO_0001023', 'allele', 118, 'allele'), ('UBERON_0002240', 'spinal cord', 143, 'cord'), ('UBERON_0000178', 'blood', 148, 'blood'), ('CHEBI_27300', 'vitamin D', 154, 'vitamin B'), ('NCBITaxon_1', 'root', 178, 'individuals')]
S170-PMC3515553	PMC3515553	12/2012	S170-PMC3515553	['conclusions\nIN SUMMARY, we have FOUND that children Born to mothers with a higher dietary intake of Vitamin B-12 had a slightly higher iq than OTHER children, and that those with mothers carrying PUTATIVE Vitamin B-12-increasing Alleles were more LIKELY to have a higher iq than those Born to mothers without these Alleles.']	[('INCOMPLETE_EVIDENCE', 12), ('INCOMPLETE_EVIDENCE', 32), ('ALTERNATIVE_OPTIONS_CONTROVERSY', 143), ('PROBABLE_UNDERSTANDING', 196), ('PROBABLE_UNDERSTANDING', 247)]	5	[('GO_0007567', 'parturition', 52, 'born'), ('CHEBI_27300', 'vitamin D', 100, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 100, 'vitamin B-12'), ('CHEBI_27300', 'vitamin D', 205, 'vitamin B'), ('PR_000017269', 'ventral anterior homeobox 2', 205, 'vitamin B-12'), ('SO_0001023', 'allele', 229, 'alleles'), ('GO_0007567', 'parturition', 285, 'born'), ('SO_0001023', 'allele', 315, 'alleles')]
S10-PMC3582478	PMC3582478	2/2013	S10-PMC3582478	['changes in Fatty Acid composition during Pregnancy quickly return to the normal range following Parturition HOWEVER, an increase in the Omega-6/3 ratio increases the risk of Ppd11,12low maternal Omega-3 Polyunsaturated Fatty Acid Intake is SUGGESTED to CONTRIBUTE to decreased maternal and fetal health, INTERACTING with the Serotonin transporter Alleles to CONTRIBUTE TO ppd.13\ndecreased Pregnancy Vitamin D ASSOCIATES with many RISK FACTORS for ppd, including Preeclampsia,14SUGGESTING that it will indirectly Modulate ppd susceptibility.']	[('ANOMALY_CURIOUS_FINDING', 108), ('INCOMPLETE_EVIDENCE', 240), ('SUPERFICIAL_RELATIONSHIP', 253), ('SUPERFICIAL_RELATIONSHIP', 304), ('SUPERFICIAL_RELATIONSHIP', 358), ('SUPERFICIAL_RELATIONSHIP', 409), ('SUPERFICIAL_RELATIONSHIP', 430), ('INCOMPLETE_EVIDENCE', 475)]	8	[('CHEBI_35366', 'fatty acid', 11, 'fatty acid'), ('GO_0007565', 'female pregnancy', 41, 'pregnancy'), ('GO_0019230', 'proprioception', 96, 'parturition'), ('CHEBI_30823', 'oleate', 136, 'omega'), ('PR_000013057', 'peroxisome proliferator-activated receptor delta', 174, 'PPD11'), ('CHEBI_79370', 'ibho#10', 195, 'omega-3'), ('GO_0033576', 'protein glycosylation in cytosol', 203, 'polyunsaturated fatty acid intake'), ('CHEBI_35366', 'fatty acid', 219, 'fatty acid'), ('CHEBI_28790', 'serotonin', 325, 'serotonin'), ('SO_0001023', 'allele', 347, 'alleles'), ('GO_0007565', 'female pregnancy', 389, 'pregnancy'), ('CHEBI_27300', 'vitamin D', 399, 'vitamin D'), ('GO_0007128', 'meiotic prophase I', 462, 'preeclampsia'), ('GO_0065007', 'biological regulation', 512, 'modulate')]
S56-PMC3613945	PMC3613945	2/2013	S56-PMC3613945	['OF more immediate clinical INTEREST, PERHAPS, was our OBSERVATION that this Allele was also CORRELATED with the response of Serum 25(Oh)D levels to long-term Vitamin D supplementation.']	[('ANOMALY_CURIOUS_FINDING', 0), ('ANOMALY_CURIOUS_FINDING', 27), ('INCOMPLETE_EVIDENCE', 37), ('ANOMALY_CURIOUS_FINDING', 54), ('SUPERFICIAL_RELATIONSHIP', 92)]	5	[('SO_0001023', 'allele', 76, 'allele'), ('UBERON_0001977', 'blood serum', 124, 'serum'), ('CHEBI_71657', 'versiconol acetate', 130, '25(OH)D'), ('PR_000008775', 'estradiol 17-beta-dehydrogenase 11', 130, '25(OH)D'), ('CHEBI_27300', 'vitamin D', 158, 'vitamin D')]
S58-PMC3613945	PMC3613945	2/2013	S58-PMC3613945	['the population-wide IMPLICATIONS of these FINDINGS for Vitamin D in PUBLIC HEALTH are substantial, given that the 436\u2009k Allele is less PREVALENT in africans (15%) than in caucasians (23%), hispanics (20%) or asians (29%)45.']	[('IMPORTANT_CONSIDERATION', 20), ('INCOMPLETE_EVIDENCE', 42), ('IMPORTANT_CONSIDERATION', 68), ('IMPORTANT_CONSIDERATION', 135)]	4	[('CHEBI_27300', 'vitamin D', 55, 'vitamin D'), ('SO_0001023', 'allele', 120, 'allele')]
S6-PMC3773018	PMC3773018	4/2013	S6-PMC3773018	['HOWEVER, in combination, persistence of low Vitamin D status at Birth and early childhood increased the risk of fs (or=2.03, 95%ci:1.02–4.04), PARTICULARLY among children carrying the c Allele of rs2243250 (or=3.23, 95%ci:1.37–7.60).']	[('ALTERNATIVE_OPTIONS_CONTROVERSY', 0), ('ANOMALY_CURIOUS_FINDING', 0), ('ANOMALY_CURIOUS_FINDING', 143)]	3	[('CHEBI_27300', 'vitamin D', 44, 'vitamin D'), ('GO_0007567', 'parturition', 64, 'birth'), ('SO_0001023', 'allele', 186, 'allele')]
S58-PMC3773018	PMC3773018	4/2013	S58-PMC3773018	['among children carrying the c Allele of rs2243250 (~65% of the study subjects), persistently low Vitamin D status was ASSOCIATED with an over 3-fold increased risk of fs (or = 3.23, 95%ci: 1.37–7.60) compared to those with sufficient Vitamin D at both time points.']	[('SUPERFICIAL_RELATIONSHIP', 118)]	1	[('SO_0001023', 'allele', 30, 'allele'), ('CHEBI_27300', 'vitamin D', 97, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 234, 'vitamin D')]
S59-PMC3773018	PMC3773018	4/2013	S59-PMC3773018	['INTERESTINGLY, when low Vitamin D at Birth was followed by sufficient Vitamin D in early childhood, children carrying the c Allele were not at an INCREASED RISK for fs (or=1.26, 95%ci: 0.65–2.43).']	[('ANOMALY_CURIOUS_FINDING', 0), ('IMPORTANT_CONSIDERATION', 146)]	2	[('CHEBI_27300', 'vitamin D', 24, 'vitamin D'), ('GO_0007567', 'parturition', 37, 'birth'), ('CHEBI_27300', 'vitamin D', 70, 'vitamin D'), ('SO_0001023', 'allele', 124, 'allele')]
S84-PMC3773018	PMC3773018	4/2013	S84-PMC3773018	['among subjects carrying the c Allele of rs2243250, persistently low Vitamin D status dramatically increased the RISK of fs, WHILE sufficient Vitamin D status during early childhood attenuated the risk of Perinatal Vitamin D deficiency on fs to null.']	[('IMPORTANT_CONSIDERATION', 112), ('ANOMALY_CURIOUS_FINDING', 124)]	2	[('SO_0001023', 'allele', 30, 'allele'), ('CHEBI_27300', 'vitamin D', 68, 'vitamin D'), ('CHEBI_27300', 'vitamin D', 141, 'vitamin D'), ('GO_0036268', 'swimming', 204, 'perinatal'), ('UBERON_0012101', 'perinatal stage', 204, 'perinatal'), ('CHEBI_27300', 'vitamin D', 214, 'vitamin D')]
S962-PMC4113768	PMC4113768	7/2014	S962-PMC4113768	['thirty-seven Single Nucleotide Polymorphisms (Snps) in 13 Genes (dbp, Dhcr7, Cubn, Lrp2, Crtam, Lta4H, Cyp2R1, Cyp3A4, Cyp27A1, Cyp27B1, Cyp24A1, vdr, rxra), INVOLVED with Vitamin D Transport, Metabolism and Signalling were typed using taqman Allelic discrimination assays.']	[('SUPERFICIAL_RELATIONSHIP', 158)]	1	[('SO_0000694', 'SNP', 13, 'single nucleotide polymorphisms'), ('SO_0000694', 'SNP', 46, 'SNPs'), ('SO_0000704', 'gene', 58, 'genes'), ('PR_000006474', 'ATP-dependent RNA helicase A', 70, 'DHCR7'), ('PR_000006022', 'lysosomal protective protein', 77, 'CUBN'), ('PR_000009920', 'low-density lipoprotein receptor-related protein 1B', 83, 'LRP2'), ('PR_000005866', 'cAMP-responsive element modulator', 89, 'CRTAM'), ('PR_000009920', 'low-density lipoprotein receptor-related protein 1B', 96, 'LTA4H'), ('PR_000006110', 'cytochrome P450 27, mitochondrial', 103, 'CYP2R1'), ('PR_000006131', 'cytochrome P450 3A43', 111, 'CYP3A4'), ('PR_000006101', 'cytochrome P450 1A1', 119, 'CYP27A1'), ('PR_000006101', 'cytochrome P450 1A1', 128, 'CYP27B1'), ('PR_000006101', 'cytochrome P450 1A1', 137, 'CYP24A1'), ('CHEBI_27300', 'vitamin D', 172, 'vitamin D'), ('GO_0007601', 'visual perception', 172, 'vitamin D'), ('GO_0009294', 'DNA mediated transformation', 182, 'transport ...'), ('GO_0009554', 'megasporogenesis', 193, 'metabolism ... signalling'), ('SO_0001023', 'allele', 243, 'allelic')]
S1529-PMC4113768	PMC4113768	7/2014	S1529-PMC4113768	['we FOUND a significant positive linear RELATIONSHIP between carrying 0–2, 3, 4 or 5 risk Alleles, total Vitamin D intake and the increase in s-25(Oh)D concentrations ( p = 0.0012, 0.0001, 0.0118 and 0.0029), respectively.']	[('INCOMPLETE_EVIDENCE', 3), ('SUPERFICIAL_RELATIONSHIP', 39)]	2	[('SO_0001023', 'allele', 89, 'alleles'), ('CHEBI_27300', 'vitamin D', 104, 'vitamin D'), ('CHEBI_71657', 'versiconol acetate', 143, '25(OH)D')]
S84-PMC4383226	PMC4383226	2/2015	S84-PMC4383226	['ASSOCIATIONS between Vitamin A and parasitemia were stronger among communities with a higher mean predicted Sickle Cell hemoglobin (hbs) Allele frequency or median predicted Glucose-6-Phosphate dehydrogenase deficiency (g6pdd) Allele frequency.']	[('SUPERFICIAL_RELATIONSHIP', 0)]	1	[('CHEBI_27300', 'vitamin D', 21, 'vitamin A'), ('CL_0000129', 'microglial cell', 108, 'sickle cell'), ('SO_0001023', 'allele', 137, 'allele'), ('CHEBI_17234', 'glucose', 174, 'glucose'), ('CHEBI_18367', 'phosphate(3-)', 184, 'phosphate'), ('SO_0001023', 'allele', 227, 'allele')]
S102-PMC4383226	PMC4383226	2/2015	S102-PMC4383226	['we FOUND no indication of an elevated gender EFFECT for either dtp or Vitamin A, ALTHOUGH the latter SEEMED TO BE more PROTECTIVE among children living in communities with higher Allele frequencies for x-linked g6pdd.']	[('INCOMPLETE_EVIDENCE', 3), ('SUPERFICIAL_RELATIONSHIP', 45), ('ANOMALY_CURIOUS_FINDING', 81), ('ANOMALY_CURIOUS_FINDING', 101), ('SUPERFICIAL_RELATIONSHIP', 119)]	5	[('CHEBI_27300', 'vitamin D', 70, 'vitamin A'), ('SO_0001023', 'allele', 179, 'allele')]
